loss,_runtime,l2_error,loss_interior,step,_timestamp,time,_step,loss_boundary
3.173703907627406,5.644031763076782,0.6840747876821367,0.00025267566290999985,0,1715680404.4724057,1.5786912441253662,0,3.1734512319644956
0.3647230445811322,5.846745729446411,0.7408719393617683,0.0005656946166652533,1,1715680404.6751196,2.1093251705169678,1,0.3641573499644669
0.3368447401030083,6.049027919769287,0.7944984821251154,0.0009920200591255087,2,1715680404.8774018,2.3126940727233887,2,0.3358527200438828
0.3273354017310078,6.249744892120361,0.7028513917985059,0.002838677310157789,3,1715680405.0781188,2.513491153717041,3,0.32449672442085
0.31094494266797956,6.449859857559204,0.7494815278650329,0.010090828260917244,4,1715680405.2782338,2.713667154312134,4,0.30085411440706233
0.29737562978051535,6.6489081382751465,0.6695588698825838,0.023318519293010632,5,1715680405.477282,2.91267728805542,5,0.2740571104875047
0.2855210239309635,6.851640462875366,0.634463389340602,0.023352392781982808,6,1715680405.6800144,3.115328550338745,6,0.2621686311489807
0.26680292499708513,7.052870988845825,0.6850630643740254,0.016489912958032954,7,1715680405.881245,3.316596269607544,7,0.2503130120390522
0.25618553346749506,7.252464771270752,0.5963538347084516,0.016052866729814052,8,1715680406.0808387,3.516167402267456,8,0.24013266673768102
0.24449788849156398,7.453505992889404,0.6655660028527735,0.019672794137972297,9,1715680406.28188,3.717212438583374,9,0.2248250943535917
0.2328733686741972,7.655091047286987,0.551885800593408,0.014253049919419808,10,1715680406.483465,3.9187631607055664,10,0.2186203187547774
0.2229601529918717,7.855255365371704,0.6150782231293407,0.020809782025161924,11,1715680406.6836293,4.119009971618652,11,0.20215037096670976
0.21403374378733456,8.063232183456421,0.5565711160503357,0.014198285949364392,12,1715680406.891606,4.326903581619263,12,0.19983545783797016
0.19800220236885557,8.265393018722534,0.5979066313048084,0.022145516548421687,13,1715680407.093767,4.529086112976074,13,0.17585668582043387
0.1951847014810445,8.471242189407349,0.5621825126975972,0.013100211915763332,14,1715680407.299616,4.734896898269653,14,0.18208448956528117
0.19234087126254532,8.672273397445679,0.6246566276069174,0.01858108922052828,15,1715680407.5006473,4.9359047412872314,15,0.17375978204201703
0.18767812097782247,8.877781867980957,0.5576467371588872,0.007469691275514842,16,1715680407.7061558,5.141444206237793,16,0.18020842970230763
0.18113485814854213,9.077441692352295,0.479671758417793,0.015907306385676064,17,1715680407.9058156,5.341115713119507,17,0.16522755176286608
0.1760237128997164,9.277045726776123,0.5469585602569317,0.026766781867572517,18,1715680408.1054196,5.540730714797974,18,0.14925693103214388
0.1688841081488717,9.476751565933228,0.544750209712369,0.010623323446429122,19,1715680408.3051255,5.74034857749939,19,0.15826078470244256
0.15837844509042742,9.679969310760498,0.5116808342155919,0.01728692418663665,20,1715680408.5083432,5.943514823913574,20,0.14109152090379076
0.15285064206174598,9.880318403244019,0.4671087057536405,0.008145770428365362,21,1715680408.7086923,6.143893003463745,21,0.1447048716333806
0.14896972383633644,10.080955743789673,0.5161298187562238,0.024798582736390476,22,1715680408.9093297,6.344473123550415,22,0.12417114109994598
0.14396329527726448,10.280990362167358,0.47109105641628407,0.00784460957829657,23,1715680409.1093643,6.5445239543914795,23,0.1361186856989679
0.14005326549366393,10.4838707447052,0.5025963123032153,0.01439053549038113,24,1715680409.3122447,6.747384309768677,24,0.1256627300032828
0.13711365696244643,10.685831308364868,0.4667964722329948,0.007108491531249328,25,1715680409.5142052,6.949326992034912,25,0.1300051654311971
0.13416855891830928,10.887203693389893,0.4824807443414588,0.013765450666069247,26,1715680409.7155776,7.150676012039185,26,0.12040310825224003
0.12868926003525114,11.087887525558472,0.4343425419379649,0.007656274677617681,27,1715680409.9162614,7.351374864578247,27,0.12103298535763346
0.1255221785246238,11.288869380950928,0.45241255113132145,0.01757225750298321,28,1715680410.1172433,7.5523521900177,28,0.1079499210216406
0.12286686161362184,11.490673303604126,0.3588962937732487,0.011531494721583645,29,1715680410.3190472,7.75410532951355,29,0.1113353668920382
0.1160723567332213,11.69284176826477,0.4049679796731096,0.03436255744530769,30,1715680410.5212157,7.9563047885894775,30,0.08170979928791362
0.1068861231018137,11.89567518234253,0.42642556902003115,0.015045855237310059,31,1715680410.724049,8.15912389755249,31,0.09184026786450364
0.10423070005598269,12.099026203155518,0.3825178277713815,0.012126236858494536,32,1715680410.9274,8.362521648406982,32,0.09210446319748815
0.0975888264917385,12.30383038520813,0.3154394053230096,0.016000532684325976,33,1715680411.1322043,8.563209295272827,33,0.08158829380741253
0.09230042007532505,12.507063388824463,0.34965964287344103,0.02455762406120805,34,1715680411.3354373,8.77050495147705,34,0.067742796014117
0.08699795307272207,12.707792043685913,0.34619471832631915,0.01365514721950743,35,1715680411.536166,8.971263885498047,35,0.07334280585321463
0.08000897567167922,12.91321086883545,0.3453378541439872,0.01964391262510002,36,1715680411.7415848,9.176627159118652,36,0.06036506304657921
0.07590845820994958,13.115516185760498,0.27087841243124156,0.0136614088774399,37,1715680411.94389,9.378914594650269,37,0.062247049332509685
0.07235938205393946,13.318099975585938,0.2893237583955147,0.018072532528261593,38,1715680412.146474,9.581544399261475,38,0.054286849525677874
0.06950154401857096,13.521862506866455,0.293755658063233,0.01415955690718469,39,1715680412.3502364,9.785255432128906,39,0.05534198711138628
0.06652481038550612,13.724122285842896,0.30026146876805393,0.01890219491577449,40,1715680412.5524962,9.987550497055054,40,0.04762261546973163
0.061409209269411666,14.124953985214233,0.26971332310623153,0.0172411392028818,42,1715680412.953328,10.388338088989258,41,0.04416807006652987
