_step,_runtime,_timestamp,time,loss_boundary,step,loss_interior,loss,l2_error
0,5.7272374629974365,1715706467.8494046,1.5822885036468506,3.1734512319644956,0,0.00025267566290999985,3.173703907627406,2.060241293237579
1,5.921192646026611,1715706468.0433598,2.0648531913757324,3.173443568707753,1,0.00025267414730452365,3.1736962428550575,0.6278952552084094
2,6.028672456741333,1715706468.1508396,2.173692464828491,0.43775524700082613,2,0.0012306213977836455,0.43898586839860976,3.072291103864944
3,6.1274309158325195,1715706468.249598,2.2722694873809814,6.384429381688339,3,0.01661759440670256,6.401046976095041,0.47503717125211536
4,6.228285551071167,1715706468.3504527,2.373046875,0.20937404218455208,4,0.01036970331856888,0.21974374550312095,0.571947812051561
5,6.329174280166626,1715706468.4513414,2.4739606380462646,0.185543378001546,5,0.011102943624368615,0.1966463216259146,0.5028655574004615
6,6.436968088150024,1715706468.5591352,2.5787856578826904,0.1535015883766937,6,0.034057566326261945,0.18755915470295564,0.5385181338299259
7,6.5461084842681885,1715706468.6682756,2.6906092166900635,0.14825395062654673,7,0.014193290419526538,0.16244724104607328,0.49953009675367893
8,6.65661883354187,1715706468.778786,2.801391839981079,0.14144125308584074,8,0.018652100585090522,0.16009335367093125,0.4919399922084709
9,6.767637491226196,1715706468.8898046,2.9121017456054688,0.13540001267176568,9,0.013293551650638476,0.14869356432240416,0.4882754171680582
10,6.880845785140991,1715706469.003013,3.025223970413208,0.1388774619379837,10,0.0038576454349890416,0.14273510737297274,0.2948907897596176
11,6.991936922073364,1715706469.114104,3.1363120079040527,0.10705606048669862,11,0.027671105325158197,0.1347271658118568,0.3452948081650743
12,7.107338190078735,1715706469.2295053,3.2518470287323,0.08231006506389116,12,0.02141138272895438,0.10372144779284553,0.34893434577221555
13,7.219722509384155,1715706469.3418896,3.3640260696411133,0.06988826844437851,13,0.024364630026909428,0.09425289847128794,0.3381998899618375
14,7.321501970291138,1715706469.443669,3.4661691188812256,0.06216110693865432,14,0.014441680533378904,0.07660278747203322,0.33896488423245313
15,7.422894239425659,1715706469.5450613,3.5675618648529053,0.06255274693378525,15,0.011593260270437404,0.07414600720422265,0.27660696038806065
16,7.523957967758179,1715706469.646125,3.6685733795166016,0.054403149662532936,16,0.011583674201870356,0.0659868238644033,0.2854371903121716
17,7.625048875808716,1715706469.747216,3.76969575881958,0.04738528898974148,17,0.012563904154546496,0.059949193144287975,0.214374277219963
18,7.7336509227752686,1715706469.855818,3.878265619277954,0.03576341435637181,18,0.0169804412863866,0.05274385564275841,0.2068477112289493
19,7.843415975570679,1715706469.965583,3.9876346588134766,0.03420242854152314,19,0.016743646376230766,0.05094607491775391,0.22460472519898786
20,7.95450234413147,1715706470.0766695,4.098905086517334,0.033317428762942594,20,0.014093373248919303,0.047410802011861895,0.2194585778049641
21,8.06657600402832,1715706470.188743,4.210906028747559,0.03226053470190394,21,0.013213840165108527,0.04547437486701247,0.21018427823478164
22,8.18065881729126,1715706470.302826,4.324908018112183,0.0304409774128014,22,0.012692354062563398,0.0431333314753648,0.21945713528563196
23,8.298184871673584,1715706470.420352,4.442336797714233,0.02815217191104453,23,0.012635326399060346,0.04078749831010488,0.20944719587058716
24,8.412055730819702,1715706470.5342228,4.556496620178223,0.026715987528343785,24,0.012803761826570365,0.03951974935491415,0.1664589206687017
25,8.526793241500854,1715706470.6489604,4.67107629776001,0.02152883162020155,25,0.014430771798049283,0.035959603418250836,0.15397897559060866
26,8.638450622558594,1715706470.7606177,4.782642602920532,0.01997133568300472,26,0.011640759405064609,0.03161209508806933,0.15066514501385106
27,8.746203660964966,1715706470.8683708,4.890510082244873,0.01937935364464408,27,0.010832430498032114,0.030211784142676196,0.1414347688001935
28,8.860240936279297,1715706470.982408,5.004432201385498,0.01657164668248642,28,0.008767960179310703,0.025339606861797124,0.1296157310811867
29,8.972839593887329,1715706471.0950067,5.117180585861206,0.014717929300728816,29,0.007250409985393999,0.021968339286122816,0.1197320025936546
30,9.086285591125488,1715706471.2084527,5.230598449707031,0.013078728795686544,30,0.006116046313663562,0.019194775109350106,0.11730549748110881
31,9.2022066116333,1715706471.3243737,5.346362590789795,0.011408581574765955,31,0.005644464434700115,0.01705304600946607,0.11554349245264027
32,9.314712762832642,1715706471.4368799,5.459007978439331,0.010675179124516543,32,0.005726264360803422,0.016401443485319966,0.12550979225516234
33,9.42831563949585,1715706471.5504827,5.572474241256714,0.009968575479670592,33,0.003931322106554201,0.013899897586224792,0.1180570926597509
34,9.541855335235596,1715706471.6640224,5.68612265586853,0.008671889108231768,34,0.003660808128650208,0.012332697236881976,0.11329660301184899
35,9.659684181213379,1715706471.7818513,5.80409049987793,0.008098944625611032,35,0.003004278284343944,0.011103222909954975,0.08230326076926468
36,9.77247142791748,1715706471.8946385,5.9166693687438965,0.0054751020913257,36,0.003095198752819506,0.008570300844145206,0.07567739296647377
37,9.884113550186157,1715706472.0062807,6.0281970500946045,0.004926148654362759,37,0.002875194120804706,0.007801342775167465,0.05964516373983827
