loss_interior,_timestamp,loss_boundary,step,time,l2_error,_step,_runtime,loss
0.00025267566290999985,1729109745.9331703,3.1734512319644956,0,1.5407135486602783,1.0710823078279659,0,2.4336912631988525,3.173703907627406
0.012390422840371661,1729109746.395045,1.1603620805626957,1,2.2430124282836914,1.0860006024391826,1,2.895565986633301,1.1727525034030675
0.004194583664706134,1729109747.0250359,1.0061429279185912,2,2.87284517288208,0.24217007974561536,2,3.525556802749634,1.0103375115832973
0.09952630800097399,1729109747.7217815,0.06671198933106677,3,3.5695621967315674,0.22583626765434656,3,4.222302436828613,0.16623829733204076
0.04996279432986468,1729109748.471913,0.07499823277776571,4,4.318350553512573,0.0621237625368271,4,4.972434043884277,0.12496102710763039
0.003364876407235378,1729109749.476397,0.004213470470330265,5,5.3241822719573975,0.07636198289146541,5,5.97691798210144,0.007578346877565643
0.0007315439978203057,1729109750.4089372,0.004029877002423544,6,6.256704092025757,0.02745848215054681,6,6.909458160400391,0.00476142100024385
0.0005382507328954489,1729109751.5307791,0.0006767432622124998,7,7.378428220748901,0.017341805745208307,7,8.031300067901611,0.0012149939951079487
0.0001221521512885661,1729109753.369736,0.00017304073551868977,8,9.217492818832397,0.01348856149210785,8,9.870256900787354,0.0002951928868072559
3.752440308382428e-05,1729109755.2660723,9.310723717203563e-05,9,11.113806009292603,0.009770792361675726,9,11.766593217849731,0.00013063164025585992
2.1146991736136132e-05,1729109757.661775,4.325128694170434e-05,10,13.509316682815552,0.008321568796253532,10,14.162296056747437,6.439827867784048e-05
1.7329721180138377e-05,1729109760.267702,3.1890094872573076e-05,11,16.115414142608643,0.00890561049345157,11,16.76822304725647,4.921981605271145e-05
1.3171509125914032e-05,1729109762.777632,4.0653790250822874e-05,12,18.625348567962646,0.007319757598797158,12,19.27815294265747,5.382529937673691e-05
1.4072945690420537e-05,1729109765.8628323,3.0690233722019995e-05,13,21.710546016693115,0.006871283872485423,13,22.36335325241089,4.476317941244053e-05
1.517373517187382e-05,1729109767.614887,2.9430110303018578e-05,14,23.4626362323761,0.00706802744712211,14,24.115407943725586,4.46038454748924e-05
1.63134897116812e-05,1729109769.4020185,2.688075826178246e-05,15,25.249762535095215,0.0066107863163545584,15,25.902539491653442,4.319424797346366e-05
1.627501192401599e-05,1729109772.7756917,2.1513108108716754e-05,16,28.623189210891724,0.006332803689895839,16,29.276212692260742,3.778812003273275e-05
1.5107226983286233e-05,1729109775.6591337,1.940603673460968e-05,17,31.506864547729492,0.006335023247034771,17,32.15965461730957,3.4513263717895916e-05
1.1902667492392687e-05,1729109777.8586767,2.0922453247022485e-05,18,33.70638370513916,0.006408312576499086,18,34.35919761657715,3.282512073941517e-05
1.102784664453847e-05,1729109779.6680589,2.0567293608092105e-05,19,35.51579451560974,0.0060987947776458724,19,36.16857981681824,3.159514025263057e-05
1.2302596006541526e-05,1729109781.1950433,1.7939456840506822e-05,20,37.04269289970398,0.006029384870688538,20,37.69556427001953,3.0242052847048348e-05
1.148271037035505e-05,1729109785.4340806,2.007329383528453e-05,21,41.28181862831116,0.0041102835440469405,21,41.93460154533386,3.155600420563958e-05
1.49296493575862e-05,1729109788.4045115,8.85287153680446e-06,22,44.25219702720642,0.0031546873790893972,22,44.90503239631653,2.378252089439066e-05
1.6617772414736034e-05,1729109789.488469,7.0888911987877276e-06,23,45.336185932159424,0.002824890137549927,23,45.98898983001709,2.370666361352376e-05
1.700821462134923e-05,1729109793.3278599,6.861826577158056e-06,24,49.17534375190735,0.0024731702539306684,24,49.828380823135376,2.3870041198507286e-05
1.6181398994471814e-05,1729109794.3523147,6.356336664768958e-06,25,50.2000048160553,0.0023093921604631132,25,50.8528356552124,2.253773565924077e-05
1.558322809604193e-05,1729109795.3881345,5.6743621995453215e-06,26,51.23585224151611,0.0021986842243322028,26,51.88865542411804,2.125759029558725e-05
1.5283001119988335e-05,1729109796.4152193,5.363983797892746e-06,27,52.26295256614685,0.0020674470316008773,27,52.91574025154114,2.064698491788108e-05
1.4243760866580705e-05,1729109797.6020274,5.102749774731818e-06,28,53.449761629104614,0.002089133837783406,28,54.102548360824585,1.9346510641312523e-05
1.3249023741309836e-05,1729109798.6546834,4.844361611040912e-06,29,54.50239419937134,0.002036926909230696,29,55.15520429611206,1.809338535235075e-05
1.24078094819927e-05,1729109799.9188702,4.885891612615847e-06,30,55.76659679412842,0.0020878878993652707,30,56.41939115524292,1.729370109460855e-05
1.20955397348303e-05,1729109800.982711,4.919399500051635e-06,31,56.83040404319763,0.0020249566361203305,31,57.48323202133179,1.7014939234881937e-05
1.084389913915555e-05,1729109801.9985805,4.61838515538469e-06,32,57.846301317214966,0.0020734505584400317,32,58.499101400375366,1.546228429454024e-05
1.0347334239604573e-05,1729109803.0508485,4.76491762107344e-06,33,58.89857769012451,0.002001289967474883,33,59.551369428634644,1.5112251860678013e-05
8.745580846498043e-06,1729109807.3528712,4.426528589361741e-06,34,63.200603723526,0.003423455258738092,34,63.853392124176025,1.3172109435859783e-05
1.528000445595063e-06,1729109810.2487247,8.354032594597111e-06,35,66.09644293785095,0.0031501204470360824,35,66.74924564361572,9.882033040192174e-06
2.1605104290091652e-06,1729109813.8299744,7.3279826254950196e-06,36,69.67752861976624,0.001914982429164407,36,70.33049535751343,9.488493054504185e-06
3.4828325821120304e-06,1729109814.9084601,3.2493864332956187e-06,37,70.75612211227417,0.0014989515167729052,37,71.40898108482361,6.73221901540765e-06
