_runtime,step,time,_step,loss,loss_boundary,loss_interior,l2_error,_timestamp
9.611230611801147,0,1.138420581817627,0,0.4743456201757445,0.47374858953817967,0.0005970306375648473,0.22770785453861572,1716323251.8774495
10.147611618041992,1,2.2831597328186035,1,0.1226392455968169,0.025813376477478014,0.09682586911933888,0.35279461006701274,1716323252.4138305
10.682943105697632,2,2.791306495666504,2,0.2925408393120741,0.06252910817158204,0.23001173114049203,0.2870372620839247,1716323252.949162
11.218478202819824,3,3.326364755630493,3,0.0710112384954172,0.04099471952087851,0.030016518974538685,0.48903628566321156,1716323253.484697
11.754070043563843,4,3.8621304035186768,4,0.12046973214848762,0.11916980994675834,0.0012999222017292837,0.39221857354619216,1716323254.020289
12.290088415145874,5,4.398826837539673,5,0.07714948075529401,0.07664119558838135,0.0005082851669126609,0.16986128133185302,1716323254.5563073
12.826103210449219,6,4.941924571990967,6,0.01863054103333133,0.014449451771229886,0.0041810892621014445,0.1706657109881429,1716323255.092322
13.362077713012695,7,5.477340936660767,7,0.026780660842186225,0.014883754617393333,0.011896906224792891,0.23863227189641634,1716323255.6282966
13.900090217590332,8,6.0121259689331055,8,0.04046080416352181,0.028915001599022026,0.011545802564499783,0.1719102460953351,1716323256.166309
14.435696601867676,9,6.550581216812134,9,0.018697926300350918,0.01513812430223673,0.0035598019981141885,0.12470434737895855,1716323256.7019155
14.970825433731079,10,7.0864174365997314,10,0.008078405649660057,0.007983816711068775,9.458893859128313e-05,0.15252985119884035,1716323257.2370443
15.50605845451355,11,7.614498615264893,11,0.012446603836085273,0.011727926154533762,0.0007186776815515106,0.16664625065089128,1716323257.7722774
16.041664838790894,12,8.150055646896362,12,0.015467292140381356,0.013947033857397283,0.0015202582829840744,0.1513092302269521,1716323258.3078837
16.577030181884766,13,8.685595750808716,13,0.012804282433258344,0.011542657177934025,0.0012616252553243202,0.13078946226594487,1716323258.843249
17.1123685836792,14,9.221458911895752,14,0.009304048997879066,0.008714183869534407,0.0005898651283446605,0.12731224293135707,1716323259.3785875
17.647364377975464,15,9.756131410598755,15,0.008484182477317402,0.008328426354771162,0.00015575612254624123,0.1352601338850231,1716323259.9135833
18.18261408805847,16,10.297088623046875,16,0.009437233833653124,0.00941025506683586,2.697876681726284e-05,0.1388360293861668,1716323260.448833
18.717894554138184,17,10.835073947906494,17,0.009926871004254885,0.009906831899108562,2.0039105146323176e-05,0.13443336066534628,1716323260.9841135
19.253443479537964,18,11.368159294128418,18,0.009303155070654417,0.009284434644799616,1.8720425854801025e-05,0.12791994474623955,1716323261.5196624
19.788838148117065,19,11.903704404830933,19,0.008408111948305883,0.00839337225019035,1.4739698115531398e-05,0.12508182248038058,1716323262.055057
20.323824405670166,20,12.437654972076416,20,0.008016356063380681,0.00799486742356229,2.148863981839023e-05,0.1260685446795935,1716323262.5900433
20.860694408416748,21,12.974442720413208,21,0.008118029043604843,0.008086633420387698,3.139562321714412e-05,0.127630221651399,1716323263.1269133
21.39591884613037,22,13.511500120162964,22,0.008296243745448326,0.008265264634549392,3.097911089893378e-05,0.12762832647970426,1716323263.6621377
21.931246042251587,23,14.046667575836182,23,0.008278873197316157,0.00825873551445956,2.013768285659706e-05,0.12627381534745902,1716323264.197465
22.46676731109619,24,14.581196546554565,24,0.008101772378473811,0.008090578223952778,1.1194154521034477e-05,0.12486947079183822,1716323264.7329862
23.00227189064026,25,15.116712093353271,25,0.007938860074908563,0.007923191309828043,1.5668765080519178e-05,0.12426159283701652,1716323265.2684908
23.53768038749695,26,15.651443004608154,26,0.007890777270973273,0.007856554011477111,3.422325949616182e-05,0.1243049035602375,1716323265.8038993
24.073100328445435,27,16.189785718917847,27,0.007924676505041254,0.007867321392001195,5.735511304005791e-05,0.12441846383751291,1716323266.3393192
24.607834577560425,28,16.716745615005493,28,0.007955056151709265,0.007881237947601606,7.381820410765956e-05,0.12430259867328705,1716323266.8740535
25.143265962600708,29,17.25265622138977,29,0.007939502662896671,0.007861138075980585,7.836458691608668e-05,0.12408426666936873,1716323267.4094849
25.67839527130127,30,17.792615175247192,30,0.007897565649736428,0.007824462942905633,7.31027068307961e-05,0.12399890856124768,1716323267.9446142
26.213395833969116,31,18.327468395233154,31,0.007866424538668933,0.007802774371177811,6.365016749112148e-05,0.12409911880663155,1716323268.4796147
26.748373985290527,32,18.863279342651367,32,0.007859691277848371,0.007804794391490643,5.489688635772834e-05,0.12425209870495366,1716323269.014593
27.2833309173584,33,19.400667905807495,33,0.007864932418257945,0.007815616721654357,4.9315696603588884e-05,0.12431326596067961,1716323269.5495498
27.818331003189087,34,19.93334126472473,34,0.007865296766036381,0.007817889033728733,4.7407732307648334e-05,0.12424981815887642,1716323270.08455
28.353303909301758,35,20.468760013580322,35,0.007855875501057622,0.007807241859038969,4.863364201865337e-05,0.12412717852625031,1716323270.6195228
28.888548374176025,36,21.00297498703003,36,0.007842855341587617,0.007790932874327216,5.192246726040095e-05,0.1240235615876604,1716323271.1547673
29.424141883850098,37,21.538180589675903,37,0.007833423865337193,0.007777559833885524,5.58640314516703e-05,0.12397029555000559,1716323271.6903608
29.96104073524475,38,22.07577919960022,38,0.007828982346627678,0.007769992463373738,5.898988325393947e-05,0.12395465716858989,1716323272.2272596
30.496520519256592,39,22.605280876159668,39,0.007826225171311065,0.007765994648741062,6.023052257000349e-05,0.12395486786907628,1716323272.7627394
31.03201460838318,40,23.141113758087158,40,0.007821946090319816,0.007762664882604494,5.928120771532177e-05,0.12396277880461573,1716323273.2982335
