loss,_runtime,_step,_timestamp,loss_interior,l2_error,loss_boundary,step,time
0.4740576752799318,6.137871742248535,0,1716179439.2303329,0.000599843657772304,0.8099697185172975,0.4734578316221595,0,1.1304192543029785
0.3383882469474897,6.713165760040283,1,1716179439.8056269,0.011062163174513674,0.6434338210479739,0.327326083772976,1,2.056903123855591
0.24160692500882835,7.289346218109131,2,1716179440.3818073,0.035027589800523465,0.47377040951652255,0.20657933520830488,2,2.628201723098755
0.1845695194268951,7.864290714263916,3,1716179440.9567518,0.07255330308719148,0.30837208381057024,0.11201621633970361,3,3.203711986541748
0.16858014152094974,8.440619468688965,4,1716179441.5330806,0.12110916544206185,0.17455561692578514,0.047470976078887894,4,3.7848684787750244
0.18452848480656114,9.016985893249512,5,1716179442.109447,0.16930828970240777,0.10897984729737092,0.015220195104153376,5,4.361227512359619
0.20485985193069317,9.592050075531006,6,1716179442.6845112,0.19892214541263614,0.0969510938250488,0.005937706518057024,6,4.931872844696045
0.20860062269706997,10.167234182357788,7,1716179443.2596953,0.20390133804418886,0.10581298216959568,0.004699284652881109,7,5.506603956222534
0.19594923248840804,10.74354076385498,8,1716179443.8360019,0.19035812921364892,0.13754317049083284,0.005591103274759107,8,6.083697319030762
0.17619161311245993,11.318929672241211,9,1716179444.4113908,0.1667593636335483,0.18992054688579568,0.009432249478911638,9,6.665184497833252
0.15787202203511852,11.894923686981201,10,1716179444.9873848,0.13990210237264855,0.2509451080069437,0.01796991966246997,10,7.234095096588135
0.14564320402061137,12.47078275680542,11,1716179445.5632439,0.11427741865937237,0.3103048343929351,0.03136578536123899,11,7.809757232666016
0.14032474739977205,13.047632932662964,12,1716179446.140094,0.09236854070044795,0.361132164933695,0.04795620669932411,12,8.385559558868408
0.14013613184713167,13.62319564819336,13,1716179446.7156568,0.07518544478185342,0.39911920675428203,0.06495068706527825,13,8.962597846984863
0.14214224755451957,14.197786092758179,14,1716179447.2902472,0.0628123518672711,0.42192448225950563,0.07932989568724846,14,9.537788391113281
0.14349091628431265,14.77241849899292,15,1716179447.8648796,0.05484243063146871,0.4288890141404929,0.08864848565284394,15,10.112547159194946
0.14227008876931915,15.34883737564087,16,1716179448.4412985,0.05068002135842805,0.4207088386935132,0.0915900674108911,16,10.687106847763062
0.13785662238882074,15.923587322235107,17,1716179449.0160484,0.049739282226578696,0.39904394129641835,0.08811734016224206,17,11.26454472541809
0.13078968958598367,16.498626232147217,18,1716179449.5910873,0.051529114626621374,0.36625570181221806,0.0792605749593623,18,11.837612390518188
0.12237626413912507,17.073158025741577,19,1716179450.1656191,0.055622831305507325,0.325356712531134,0.06675343283361775,19,12.412271738052368
0.11420838023093689,17.647615671157837,20,1716179450.7400768,0.06154888266904773,0.2801159018781848,0.05265949756188916,20,12.987141132354736
0.10766540496746332,18.22212529182434,21,1716179451.3145864,0.0686493977995776,0.2351474061622263,0.03901600716788573,21,13.561725854873657
0.10344176546862426,18.796791553497314,22,1716179451.8892527,0.07596127675550247,0.19563926859688388,0.02748048871312178,22,14.136112451553345
0.1012178504397395,19.37238883972168,23,1716179452.46485,0.08220511456511337,0.16627191239467534,0.019012735874626135,23,14.717316389083862
0.09971215806636799,19.947487831115723,24,1716179453.039949,0.08598284475314105,0.14954378932851983,0.013729313313226936,24,15.293197393417358
0.09728531376142233,20.523972034454346,25,1716179453.6164331,0.08618022639073543,0.14530539362941833,0.011105087370686904,25,15.868143796920776
0.09284553947070374,21.09946346282959,26,1716179454.1919246,0.08236303814345089,0.1524472388730096,0.01048250132725286,26,16.44368577003479
0.08645133499531961,21.675185203552246,27,1716179454.7676463,0.07491963601391853,0.16992578414605822,0.011531698981401077,27,17.020020008087158
0.07923291339705503,22.25246810913086,28,1716179455.3449292,0.0649149842207831,0.1955347211612104,0.014317929176271933,28,17.596659183502197
0.07274535140903891,22.828497409820557,29,1716179455.9209585,0.05379484372620271,0.2247505972952633,0.018950507682836206,29,18.17335081100464
0.06810128728178119,23.404289960861206,30,1716179456.496751,0.04306925430183511,0.2510472897567216,0.025032032979946085,30,18.74309253692627
0.06525250824853154,23.980233192443848,31,1716179457.0726943,0.03402345176221994,0.26728036657219195,0.031229056486311607,31,19.319104433059692
0.06286724002811189,24.557035446166992,32,1716179457.6494966,0.02747632224744509,0.267861910059278,0.03539091778066681,32,19.899521112442017
0.05919636555070252,25.13456082344055,33,1716179458.227022,0.023666404575960698,0.2509486038652849,0.03552996097474182,33,20.474019289016724
0.05351502980129886,25.711018085479736,34,1716179458.8034792,0.022352357746602068,0.2195127301347841,0.03116267205469679,34,21.05433964729309
0.04681521564306475,26.287867784500122,35,1716179459.380329,0.022993251802983592,0.1813030481184602,0.02382196384008116,35,21.63091230392456
0.04099473624731431,26.864529848098755,36,1716179459.956991,0.02475517335103854,0.14755324345092433,0.016239562896275775,36,22.20954704284668
0.03715438699608303,27.44150137901306,37,1716179460.5339625,0.026386479339700102,0.1277509567732691,0.010767907656382933,37,22.779160976409912
0.03447261468697385,28.018695831298828,38,1716179461.111157,0.02636939143359961,0.12199927834404536,0.008103223253374238,38,23.356189250946045
0.031064821920675664,28.597877025604248,39,1716179461.6903381,0.02365066248197025,0.12525646129684417,0.0074141594387054114,39,23.938854932785034
0.026247081396807717,29.175419092178345,40,1716179462.2678802,0.018441269019924062,0.13676773803327016,0.007805812376883655,40,24.51953101158142
0.018732618012676772,30.145671367645264,41,1716179463.2381325,0.006940554044110785,0.16803495116396192,0.011792063968565988,42,25.481300354003906
