step,_runtime,_timestamp,time,_step,l2_error,loss_boundary,loss,loss_interior
0,6.825421333312988,1716208863.8287373,2.6048452854156494,0,0.973948915143828,0.4739014295766705,0.47451530954207544,0.0006138799654049548
1,9.02226448059082,1716208866.0255804,5.073413133621216,1,0.12215074416937452,0.4738986133964569,0.4745125322866509,0.0006139188901940311
2,11.218173265457153,1716208868.2214892,7.26913857460022,2,0.11425925343529128,0.007416306945299727,0.007529921234686147,0.00011361428938641953
3,13.415021657943726,1716208870.4183376,9.466145992279053,3,0.11404473217133682,0.006515159619508144,0.006617479058739688,0.00010231943923154409
4,15.615694522857666,1716208872.6190104,11.665334463119507,4,0.11383385762050835,0.00648962067721328,0.0065614551248351005,7.183444762182011e-05
5,17.81514286994934,1716208874.8184588,13.866166114807129,5,0.11364530105101929,0.006458423357033597,0.006498092734534541,3.966937750094446e-05
6,20.01435923576355,1716208877.0176752,16.065487384796143,6,0.11346754723052847,0.006431553121003178,0.006452190978262611,2.0637857259432077e-05
7,22.216124773025513,1716208879.2194407,18.266854524612427,7,0.1132275189814444,0.006403502624507804,0.00641415438208863,1.0651757580825402e-05
8,24.4155113697052,1716208881.4188273,20.466639041900635,8,0.1129018271470336,0.006364763691852325,0.006370089266734092,5.325574881766371e-06
9,26.614903450012207,1716208883.6182194,22.665985822677612,9,0.11243359209267949,0.006311969461466921,0.006315423813214227,3.4543517473064407e-06
10,28.815874576568604,1716208885.8191905,24.86663794517517,10,0.11170545734863727,0.006237492917000339,0.00624129544017997,3.802523179630404e-06
11,31.016517877578735,1716208888.0198338,27.067453384399414,11,0.11047306092589548,0.006125024889684931,0.006133664116830864,8.639227145933047e-06
12,33.21786594390869,1716208890.2211819,29.268883228302002,12,0.10816584544387015,0.005940220847782851,0.005961210175487832,2.098932770498089e-05
13,35.41942811012268,1716208892.422744,31.470588445663452,13,0.1034806639242051,0.005607149033330837,0.005654320104500577,4.717107116973933e-05
14,37.61901235580444,1716208894.6223283,33.670151710510254,14,0.0946424134123903,0.004968629765845471,0.005073678428650791,0.00010504866280531997
15,39.8196325302124,1716208896.8229485,35.87067484855652,15,0.08559681977600596,0.003873606562073714,0.004023545789470831,0.00014993922739711674
16,42.020509004592896,1716208899.023825,38.071523904800415,16,0.08188773144644305,0.002907410529062452,0.003266699839924398,0.00035928931086194593
17,44.22266745567322,1716208901.2259834,40.273314237594604,17,0.08069761778255291,0.0025634688075587184,0.0027584329863993657,0.00019496417884064718
18,46.4245879650116,1716208903.427904,42.475287199020386,18,0.0803431663529215,0.002461713893469167,0.0025412551440055203,7.954125053635299e-05
19,48.62706112861633,1716208905.630377,44.67780566215515,19,0.08021361965891664,0.00242524409513765,0.0024418177029830734,1.65736078454234e-05
20,50.82957077026367,1716208907.8328867,46.88052558898926,20,0.08005296981939376,0.002404901492370273,0.002407887825822904,2.9863334526308595e-06
21,53.03140187263489,1716208910.0347178,49.0823335647583,21,0.07987296462718894,0.0023792908071933964,0.002385512872564336,6.2220653709395896e-06
22,55.237953662872314,1716208912.2412696,51.28869581222534,22,0.07953705263957797,0.002342372599470927,0.0023503589588361904,7.986359365263217e-06
23,57.44572138786316,1716208914.4490373,53.49640607833862,23,0.0792145451470063,0.002279462536950038,0.0022887770715335647,9.314534583526733e-06
24,59.65296506881714,1716208916.656281,55.70360469818115,24,0.07884141725516401,0.0022140263252818275,0.002219664446674552,5.6381213927246985e-06
25,61.86074781417847,1716208918.8640637,57.911415100097656,25,0.07846077125315844,0.0021408285501206127,0.002143663441363968,2.834891243355444e-06
26,64.06822156906128,1716208921.0715375,60.118793964385986,26,0.07803734110238002,0.0020633695305098134,0.0020663954574097303,3.025926899916983e-06
27,66.27669620513916,1716208923.2800121,62.3271062374115,27,0.0775297198943708,0.001975843693894415,0.001979089540646865,3.2458467524496602e-06
28,68.48556303977966,1716208925.488879,64.53608322143555,28,0.07696501672896991,0.0018772685845781405,0.0018822132109475981,4.9446263694575285e-06
29,70.69437599182129,1716208927.697692,66.74497771263123,29,0.07633658861965055,0.0017749072376623957,0.0017819799822402977,7.072744577901985e-06
30,72.90244102478027,1716208929.905757,68.95311880111694,30,0.07561872232037961,0.0016697562983389819,0.0016752543930995672,5.498094760585375e-06
31,75.11001539230347,1716208932.1133313,71.16060519218445,31,0.0748529958287821,0.0015607915715969854,0.0015695751360014314,8.783564404445986e-06
32,77.31858801841736,1716208934.321904,73.36914825439453,32,0.07395290443895963,0.0014500892644730475,0.0014594151334967366,9.32586902368902e-06
33,79.5267915725708,1716208936.5301075,75.57732391357422,33,0.07306899224488779,0.0013271778852545052,0.0013319198133185171,4.741928064011918e-06
34,81.7355546951294,1716208938.7388706,77.7860734462738,34,0.07215394250735616,0.001206820509947518,0.00121281188703533,5.9913770878121355e-06
35,83.94391012191772,1716208940.947226,79.99441242218018,35,0.07127031025604402,0.0010841348872602794,0.0010903820546104889,6.247167350209413e-06
36,86.15298128128052,1716208943.1562972,82.20320463180542,36,0.07055211172070744,0.0009748186205381943,0.0009804303003761222,5.611679837927955e-06
37,88.3617331981659,1716208945.3650491,84.41183614730835,37,0.06979435646781461,0.0008927521364457675,0.0009014960180701077,8.743881624340194e-06
38,90.5703775882721,1716208947.5736935,86.62072682380676,38,0.06911775173827711,0.000816530539100473,0.000824742359531613,8.211820431139917e-06
39,92.77895736694336,1716208949.7822733,88.82912039756775,39,0.06849622711701457,0.0007473998334676086,0.0007536876629204655,6.287829452856966e-06
