loss,time,step,_timestamp,loss_interior,_runtime,l2_error,loss_boundary,_step
0.4743424385915429,23.19497847557068,0,1716169878.0737734,0.0005949545455000863,28.483505487442017,0.2125619833155664,0.47374748404604283,0
0.027611952147022452,45.57976508140564,1,1716169899.7647188,0.005271322381504871,50.17445087432861,0.17155620226612814,0.02234062976551758,1
0.017747483327473144,67.25145649909973,2,1716169921.4365573,0.003214219696832054,71.84628939628601,0.11052860043631957,0.01453326363064109,2
0.0060779312367553835,88.91344451904297,3,1716169943.0983622,5.16396709999728e-05,93.5080943107605,0.11051273548335527,0.006026291565755411,3
0.00607642014227649,110.57604813575745,4,1716169964.7607923,5.135545115713666e-05,115.17052435874939,0.10816004077316042,0.006025064691119354,4
0.005858922357580158,132.2587447166443,5,1716169986.443806,9.95680425762833e-05,136.85353803634644,0.106468366920689,0.005759354315003875,5
0.005660741825689594,153.94903135299683,6,1716170008.1339746,9.170399555770077e-05,158.54370665550232,0.10081393361208699,0.0055690378301318936,6
0.005244254733088397,175.64148926734924,7,1716170029.82587,0.0002772676904772528,180.23560214042664,0.09804057963741583,0.004966987042611144,7
0.004860061041698514,197.33056116104126,8,1716170051.5154588,0.00017789328787599202,201.92519092559814,0.09163987049908605,0.004682167753822522,8
0.004270120010594927,219.0188992023468,9,1716170073.2032397,0.00020707400049135413,223.61297178268433,0.08506053053755036,0.004063046010103573,9
0.003887368709262041,240.70918989181519,10,1716170094.8940954,0.000416727630064784,245.30382752418518,0.08223656335580451,0.003470641079197257,10
0.003558913537222188,262.39777088165283,11,1716170116.582137,0.0003265778169930972,266.9918692111969,0.0780071576588295,0.003232335720229091,11
0.003185713707469471,284.08507013320923,12,1716170138.270064,0.00029692969284377587,288.67979621887207,0.07058190650247263,0.0028887840146256953,12
0.002854050457109013,305.7741527557373,13,1716170159.9585614,0.0005209577234452889,310.36829352378845,0.06999521662729524,0.002333092733663724,13
0.0026491775362690903,327.46209192276,14,1716170181.64695,0.0003580983014133776,332.05668210983276,0.06954841507388977,0.0022910792348557127,14
0.0026261865743425687,349.1596751213074,15,1716170203.3447547,0.00036688764813870377,353.7544867992401,0.06642433152837736,0.0022592989262038648,15
0.0024156470882323046,370.8522882461548,16,1716170225.0374825,0.0003715521898540397,375.4472146034241,0.06585410584442124,0.0020440948983782648,16
0.0023438592149566738,392.5423700809479,17,1716170246.7274702,0.0003384663237760961,397.1372022628784,0.0636112763067214,0.0020053928911805776,17
0.0021957352270321863,414.2318000793457,18,1716170268.4167516,0.0003380685560829865,418.82648372650146,0.0632007106205289,0.0018576666709491998,18
0.0021336488263088743,435.91937279701233,19,1716170290.1042895,0.00030298935647681804,440.51402163505554,0.0623187277192335,0.0018306594698320564,19
0.0020532849032558896,457.60945105552673,20,1716170311.7945027,0.00027915527885975013,462.2042348384857,0.06159928017218161,0.0017741296243961396,20
0.001996521200209021,479.3013138771057,21,1716170333.4861002,0.00026849456280600225,483.89583230018616,0.06121502751580918,0.001728026637403019,21
0.0019538495022316396,500.9924075603485,22,1716170355.1771579,0.00024989371404486723,505.5868899822235,0.055136607792325404,0.0017039557881867726,22
0.0017682230990903676,522.6854305267334,23,1716170376.8704472,0.00042543894122457673,527.2801792621613,0.05497251143921873,0.0013427841578657908,23
0.0014935415948459812,544.376213312149,24,1716170398.5608478,0.0001592223587132633,548.9705798625946,0.0549133146705605,0.0013343192361327178,24
0.0014674122026440046,566.065774679184,25,1716170420.2506604,0.00013619338540655224,570.6603925228119,0.05487474015210788,0.0013312188172374523,25
0.0014638931451145234,587.7567200660706,26,1716170441.9412317,0.00013475307180837824,592.3509638309479,0.05477184097876958,0.0013291400733061451,26
0.0014620491123134482,609.4458923339844,27,1716170463.6306305,0.00013865737172410957,614.0403625965118,0.05463657374007734,0.0013233917405893387,27
0.0014461397167968729,631.1367883682251,28,1716170485.3213704,0.0001307459727397963,635.7311024665833,0.0543590559062788,0.0013153937440570766,28
0.0014260698514028363,652.8271970748901,29,1716170507.0121744,0.00012653183488648426,657.4219064712524,0.054257201781693756,0.0012995380165163521,29
0.0014150026427611814,674.518105506897,30,1716170528.7026877,0.00012160486025213869,679.1124198436737,0.05403369237039678,0.0012933977825090428,30
0.0014001931056772496,696.208263874054,31,1716170550.3929725,0.000119628013384028,700.8027045726776,0.053953904738902485,0.0012805650922932217,31
0.001389900011677216,717.8979163169861,32,1716170572.0833561,0.00011429022350902154,722.4930882453918,0.05376416170459544,0.0012756097881681944,32
0.001377503690347583,739.5917534828186,33,1716170593.7769248,0.00011283306111094707,744.1866569519043,0.05369717214054512,0.0012646706292366357,33
0.0013677509002676604,761.2836000919342,34,1716170615.4690647,0.00010733474993915185,765.8787968158722,0.05353229557768751,0.0012604161503285084,34
0.0013561369150272605,782.9762473106384,35,1716170637.161359,0.000105294952920404,787.5710911750793,0.0534720467332681,0.0012508419621068566,35
0.0013475893993486069,804.6676888465881,36,1716170658.8526073,0.00010059999431511605,809.2623393535614,0.05332675651224162,0.001246989405033491,36
0.0013363807374429,826.357120513916,37,1716170680.542062,9.792121279590411e-05,830.9517941474915,0.053269972730900436,0.001238459524646996,37
0.001329390489946792,848.0463311672211,38,1716170702.231572,9.454094079405629e-05,852.6413040161133,0.05300929910913747,0.0012348495491527358,38
0.0013157543079531852,869.7363080978394,39,1716170723.9213877,9.637141354046965e-05,874.3311197757721,0.052987707755961726,0.0012193828944127155,39
0.00130483502620619,891.4258296489716,40,1716170745.6106906,8.69625506214572e-05,896.0204226970673,0.052962816377655306,0.0012178724755847329,40
