_step,l2_error,loss_interior,_timestamp,loss_boundary,loss,step,time,_runtime
0,0.2719234464059879,0.01668509951821564,1714847723.644082,0.11966100085340635,0.13634610037162198,0,1.4551947116851807,5.547806978225708
1,0.21133158429898655,0.016684687704006957,1714847723.6981602,0.11966060805290288,0.13634529575690985,1,1.8185670375823975,5.601885080337524
2,0.2311307285810991,0.00334276212243127,1714847723.7355564,0.06791942712924375,0.07126218925167502,2,1.8559119701385498,5.639281272888184
3,0.19469326583037874,0.002137935077295796,1714847723.772995,0.06401305389960459,0.06615098897690039,3,1.8933014869689941,5.676719903945923
4,0.22448967820290933,0.011212077835695613,1714847723.8161433,0.049706953040326726,0.06091903087602234,4,1.936394453048706,5.719868183135986
5,0.1630212066327891,0.04272656622579007,1714847723.854944,0.0641801519263024,0.10690671815209246,5,1.9750947952270508,5.758668899536133
6,0.14146822530788103,0.004736592832644069,1714847723.8944678,0.03808712090703831,0.04282371373968238,6,2.014737129211426,5.798192739486694
7,0.10247169625737061,0.00263823263477857,1714847723.93308,0.031632902135373106,0.03427113477015167,7,2.053412675857544,5.8368048667907715
8,0.09730927543443149,0.005809354466538199,1714847723.9710526,0.024448461292783687,0.030257815759321887,8,2.0913195610046387,5.874777555465698
9,0.08702809928730522,0.0013530019223218367,1714847724.0125537,0.02247246091733154,0.023825462839653377,9,2.13104510307312,5.916278600692749
10,0.14004536485166946,0.0019142463909931618,1714847724.0536885,0.019681438675104523,0.021595685066097686,10,2.1738998889923096,5.9574134349823
11,0.08094932661846578,0.1376155893224499,1714847724.0926735,0.017534650873372765,0.1551502401958227,11,2.2130625247955322,5.996398448944092
12,0.07070447768842533,0.009007275855057983,1714847724.1321661,0.013135309400326017,0.022142585255383998,12,2.2523193359375,6.035891056060791
13,0.19333141662164002,0.002390987794579819,1714847724.1715925,0.011543055731043184,0.013934043525623004,13,2.291715145111084,6.0753173828125
14,0.09159480634018807,0.010023230888224773,1714847724.2119942,0.018491135067617466,0.02851436595584224,14,2.332111120223999,6.1157190799713135
15,0.14559659609432454,0.001646391036613367,1714847724.2505338,0.011465292194201506,0.013111683230814873,15,2.3707642555236816,6.154258728027344
16,0.06878619757928209,0.0025377130287686485,1714847724.2939599,0.021151945436499623,0.02368965846526827,16,2.4140117168426514,6.1976847648620605
17,0.0819869301347691,0.0007460389488873181,1714847724.3334267,0.011402551416364754,0.012148590365252072,17,2.4535470008850098,6.237151622772217
18,0.0686724486136747,0.002590011803145386,1714847724.3737674,0.015719665022797296,0.018309676825942683,18,2.4938416481018066,6.27749228477478
19,0.14852367760394075,0.0007063178955699859,1714847724.4143124,0.01130334087616832,0.012009658771738306,19,2.534447193145752,6.318037271499634
20,0.07874347490741056,0.024070352147849895,1714847724.4541183,0.025756826719717577,0.049827178867567476,20,2.5741631984710693,6.3578431606292725
21,0.07409662078524921,0.0008534954539564901,1714847724.4941015,0.01156890885182788,0.01242240430578437,21,2.614051103591919,6.397826433181763
22,0.07399149669545123,0.0008632952116210916,1714847724.5350392,0.011487151007861896,0.012350446219482988,22,2.6551125049591064,6.4387640953063965
