loss_boundary,loss,step,_step,l2_error,_timestamp,time,_runtime,loss_interior
0.06064752632213642,0.06086582597867248,0,0,0.14260367273800423,1714190363.7782445,1.7992417812347412,6.070131540298462,0.00021829965653606163
0.05518431365026045,0.056061356988753495,1,1,0.14286098965781832,1714190364.05689,2.326444149017334,6.3487770557403564,0.0008770433384930495
0.05495035098550132,0.0556392302835662,2,2,0.1423623639824538,1714190364.352927,2.622293472290039,6.6448140144348145,0.0006888792980648801
0.05487550109149968,0.05557019889010797,3,3,0.1422798948180231,1714190364.6217003,2.8914620876312256,6.913587331771851,0.0006946977986082861
0.05485614057433136,0.05554353122328135,4,4,0.14225293964800448,1714190364.8746185,3.144460916519165,7.166505575180054,0.0006873906489499906
0.054783817640360805,0.05545839247087452,5,5,0.14195608177088692,1714190365.1408558,3.4107017517089844,7.4327428340911865,0.0006745748305137207
0.05472294574418014,0.055398438171878686,6,6,0.13979434667146573,1714190365.3936365,3.6635208129882812,7.685523509979248,0.0006754924276985395
0.052672923661340694,0.05358758360225284,7,7,0.15551214495220744,1714190365.6580637,3.926729679107666,7.949950695037842,0.0009146599409121426
0.05118832159340714,0.05197782735322692,8,8,0.16952502824995494,1714190365.9216354,4.19146990776062,8.21352243423462,0.0007895057598197804
0.03720937133126947,0.043931129963414084,9,9,0.1691756040102722,1714190366.183792,4.4536192417144775,8.475679159164429,0.006721758632144619
0.03680640227419002,0.04362020737324033,10,10,0.17183341137118735,1714190366.4488719,4.718590974807739,8.740758895874023,0.006813805099050311
0.036143432789841674,0.043117903705002576,11,11,0.18231002014068443,1714190366.6908813,4.960177421569824,8.982768297195435,0.006974470915160901
0.03531855847465583,0.04146495185300206,12,12,0.16694098274903646,1714190366.94131,5.211117506027222,9.23319697380066,0.006146393378346226
0.03368426278591431,0.040136734802529585,13,13,0.15225516358263422,1714190367.2241704,5.493993759155273,9.51605749130249,0.006452472016615274
0.03267272921871247,0.036708182900242234,14,14,0.13868681956684567,1714190367.562012,5.831542730331421,9.853899002075195,0.004035453681529763
0.032073854093862895,0.03295143295575618,15,15,0.1408825369055172,1714190367.8749013,6.144712209701538,10.166788339614868,0.000877578861893286
0.027194109631762994,0.029962440978649856,16,16,0.1365173562913685,1714190368.14303,6.412582159042358,10.434916973114014,0.0027683313468868606
0.023175625488439423,0.026924545120034577,17,17,0.11327849911723875,1714190368.4229534,6.692692995071411,10.714840412139893,0.003748919631595155
0.01982268079836124,0.02367445327321767,18,18,0.09429838365616014,1714190368.6757526,6.945604562759399,10.967639684677124,0.003851772474856427
0.015059158402462669,0.018558690791679433,19,19,0.07703391505896288,1714190368.9275658,7.1974523067474365,11.219452857971191,0.0034995323892167626
0.009385846658689124,0.01110088724030305,21,20,0.055166745002058266,1714190369.4341478,7.7039783000946045,11.726034879684448,0.001715040581613926
0.004799256701436037,0.006717693958291036,22,21,0.03484289073166689,1714190369.6791093,7.94891357421875,11.970996379852295,0.0019184372568549993
0.0024497327521046486,0.004249267677851153,23,22,0.024391207775115473,1714190369.9300919,8.199974536895752,12.221978902816772,0.0017995349257465046
0.0005504722454566857,0.0011487929897479377,25,23,0.010246061544953488,1714190370.4687617,8.738602638244629,12.760648727416992,0.0005983207442912522
0.0001104606717594989,0.00024274155162904028,27,24,0.010237784939304388,1714190370.9734838,9.243356466293335,13.265370845794678,0.0001322808798695414
6.920271183400846e-05,0.00017386245127002837,28,25,0.008243863630026745,1714190371.2327049,9.502283096313477,13.52459192276001,0.0001046597394360199
3.862805908948183e-05,0.00010238911982713724,30,26,0.007447688420179676,1714190371.715358,9.984782934188843,14.007245063781738,6.37610607376554e-05
2.461087647990101e-05,6.940405419652337e-05,32,27,0.00687734954790848,1714190372.1998985,10.469592332839966,14.491785526275635,4.4793177716622366e-05
1.784775777304899e-05,5.2822347259257675e-05,34,28,0.00609186870354238,1714190372.6766315,10.94644570350647,14.968518495559692,3.497458948620869e-05
1.3993936049322832e-05,4.187057125493313e-05,36,29,0.00518220280546081,1714190373.1687152,11.438605785369873,15.460602283477783,2.7876635205610298e-05
8.617638754420842e-06,2.938401232961287e-05,39,30,0.004283593080879698,1714190373.9252403,12.195092916488647,16.217127323150635,2.076637357519203e-05
6.730300618014422e-06,2.3146804824798137e-05,41,31,0.0038441937469486883,1714190374.442014,12.71191954612732,16.733901023864746,1.6416504206783716e-05
4.024062981621908e-06,1.579468223889558e-05,44,32,0.003162793265801278,1714190375.1618807,13.431836128234863,17.453767776489258,1.1770619257273672e-05
2.7621679700799773e-06,1.202819150486422e-05,47,33,0.00246954519150029,1714190375.8857818,14.155508279800415,18.177668809890747,9.266023534784243e-06
1.9234564397342073e-06,9.07828705916214e-06,50,34,0.00209945953802052,1714190376.656643,14.92653226852417,18.948529958724976,7.154830619427933e-06
1.3627544564280994e-06,7.3228119356404266e-06,53,35,0.0018086991673658584,1714190377.4243655,15.694256067276001,19.71625256538391,5.960057479212327e-06
7.391855703256959e-07,5.273638051339796e-06,57,36,0.0013516357826690365,1714190378.4457858,16.71560502052307,20.737672805786133,4.5344524810141e-06
5.499842937081078e-07,4.191218010785415e-06,60,37,0.0010470983640413964,1714190379.1858501,17.45575761795044,21.477737188339233,3.641233717077307e-06
4.272644234985099e-07,3.229593876059428e-06,64,38,0.0008880319928212143,1714190380.3142426,18.583690881729126,22.60612964630127,2.8023294525609183e-06
3.091825708281118e-07,2.4647824389501733e-06,68,39,0.0008496370545217234,1714190381.2848935,19.554659366607666,23.576780557632446,2.1555998681220614e-06
2.1174383514770574e-07,1.6886775907037542e-06,73,40,0.0009085676937796085,1714190382.8218148,21.091567277908325,25.113701820373535,1.4769337555560485e-06
1.5624885668154713e-07,1.3411531782043011e-06,77,41,0.0008978111345312634,1714190383.8801546,22.149999141693115,26.172041654586792,1.184904321522754e-06
1.0200589710062809e-07,1.0109808255294586e-06,82,42,0.0008346551771231019,1714190385.2227685,23.49208688735962,27.514655590057373,9.089749284288305e-07
7.486022050014217e-08,7.70484149361735e-07,88,43,0.0007841883115867373,1714190386.5944726,24.864277839660645,28.886359691619873,6.956239288615928e-07
6.221077512240083e-08,5.9188085684345e-07,93,44,0.0006430240918919727,1714190387.6245642,25.894396543502808,29.91645121574402,5.296700817210492e-07
4.988711175143906e-08,4.5063365645354165e-07,99,45,0.0005623190584935722,1714190389.1444683,27.41432785987854,31.436355352401733,4.007465447021026e-07
3.9749464127461495e-08,3.5445494644472374e-07,106,46,0.0005118213286489543,1714190390.625798,28.895630836486816,32.91768503189087,3.1470548231726224e-07
3.2810427965522554e-08,3.0497174670681717e-07,113,47,0.0005038491414938866,1714190392.5065434,30.775819301605225,34.79843044281006,2.7216131874129463e-07
2.719054010326517e-08,2.762687998137935e-07,120,48,0.0004963927163932579,1714190394.2372684,32.50713896751404,36.52915549278259,2.4907825971052834e-07
2.1870190152858988e-08,2.50409401518431e-07,128,49,0.000545763282649137,1714190396.2982693,34.5680513381958,38.5901563167572,2.28539211365572e-07
2.0173036618878965e-08,2.3507304164413456e-07,136,50,0.0004919107892401202,1714190398.4211402,36.68945932388306,40.713027238845825,2.149000050252556e-07
1.7690810340250126e-08,2.1771192482363414e-07,145,51,0.00045199176665398964,1714190400.6833954,38.953335762023926,42.975282430648804,2.00021114483384e-07
1.5578552849554382e-08,2.0178241112654178e-07,154,52,0.0004428566561396361,1714190402.6022213,40.87212920188904,44.894108295440674,1.862038582769874e-07
1.2688281222371458e-08,1.8456729108721336e-07,164,53,0.0004054652576018979,1714190404.8463728,43.11464190483093,47.13825988769531,1.718790098648419e-07
1.1177085090944029e-08,1.6985538814401322e-07,175,54,0.00037681546921306105,1714190407.7249217,45.98808240890503,50.01680874824524,1.5867830305306918e-07
9.694364541168108e-09,1.582978700241972e-07,186,55,0.00034123814425210446,1714190410.5486999,48.818604707717896,52.84058690071106,1.486035054830291e-07
9.357095125788909e-09,1.4374503386114267e-07,198,56,0.00030648363889014036,1714190413.793615,52.06300091743469,56.08550214767456,1.3438793873535376e-07
9.221676188608986e-09,1.2654414836141528e-07,211,57,0.00029100414225984164,1714190417.2857747,55.55375933647156,59.577661752700806,1.1732247217280629e-07
8.634415147005587e-09,1.1267036767740042e-07,224,58,0.00023779512239689276,1714190420.7675407,59.0370717048645,63.0594277381897,1.0403595253039483e-07
8.54119936590277e-09,1.0315539912406889e-07,238,59,0.00017546666305487022,1714190424.184392,62.453720808029175,66.47627902030945,9.461419975816612e-08
8.074325698314963e-09,9.738135913691182e-08,254,60,0.00016761403563399932,1714190428.242305,66.51161885261536,70.53419208526611,8.930703343859686e-08
7.169391689245869e-09,9.323927370795123e-08,270,61,0.00016154246199358538,1714190432.2057834,70.47491407394409,74.4976704120636,8.606988201870536e-08
7.357861858876118e-09,8.80740979592746e-08,288,62,0.00016473400333669072,1714190436.3896115,74.65868544578552,78.68149852752686,8.071623610039849e-08
6.357830549334524e-09,8.168527980111635e-08,306,63,0.00015238192757958578,1714190440.9885187,79.25709176063538,83.2804057598114,7.532744925178183e-08
5.734664688754619e-09,7.45043464623245e-08,326,64,0.00016554173703528313,1714190445.6512177,83.92047667503357,87.94310474395752,6.876968177356988e-08
5.249952497269324e-09,6.791656881962266e-08,347,65,0.0001568272818613602,1714190450.8825364,89.1516432762146,93.17442345619202,6.266661632235334e-08
4.380710061610327e-09,6.250304522826428e-08,369,66,0.00014808676951367865,1714190456.667252,94.93665885925293,98.95913910865784,5.812233516665396e-08
3.614671111794613e-09,5.8693299256520064e-08,393,67,0.00014651456711828548,1714190462.7231224,100.99265241622925,105.01500940322876,5.507862814472545e-08
3.304207565244836e-09,5.55538595441735e-08,418,68,0.00014319852325180287,1714190469.1683857,107.43791604042053,111.46027278900146,5.224965197892866e-08
3.0680092280527003e-09,5.2476886922413934e-08,445,69,0.00013172466711851934,1714190476.1270862,114.39639806747437,118.41897320747375,4.9408877694361234e-08
2.8644624618111773e-09,4.8426404132467796e-08,473,70,0.00012486770612628217,1714190483.2738447,121.54348158836365,125.56573176383972,4.556194167065662e-08
2.463744381289942e-09,3.993318022414505e-08,504,71,0.00011991010953563774,1714190491.148993,129.41788840293884,133.44088006019592,3.746943584285511e-08
2.5673805232268557e-09,2.9685379043694098e-08,536,72,9.37071394842592e-05,1714190499.0086255,137.27781081199646,141.30051255226135,2.711799852046724e-08
2.1425605038232104e-09,2.4283993394830524e-08,571,73,0.00011099087900158885,1714190508.2858496,146.55513405799866,150.57773661613464,2.2141432891007313e-08
1.896463664641884e-09,2.1389378162584495e-08,607,74,0.00011627057256192514,1714190517.4468157,155.71601605415344,159.73870277404785,1.9492914497942612e-08
2.0258154901131826e-09,1.9739978725491524e-08,646,75,0.00012235351279598077,1714190527.618627,165.88819098472595,169.91051411628723,1.771416323537834e-08
2.060829766662213e-09,1.9081188814785927e-08,688,76,0.00013147201365509603,1714190538.6345506,176.90401434898376,180.92643761634827,1.7020359048123715e-08
2.0505309194827957e-09,1.8606159413869426e-08,732,77,0.00012988330479658827,1714190549.7861464,188.05557298660278,192.07803344726562,1.655562849438663e-08
2.048720259566847e-09,1.806756412069391e-08,779,78,0.0001315604401754537,1714190562.184225,200.45369696617126,204.47611212730408,1.601884386112706e-08
1.9224162162630467e-09,1.7377331849168278e-08,829,79,0.00013047205303435416,1714190574.8278563,213.09704875946045,217.11974334716797,1.545491563290523e-08
1.7842806927939714e-09,1.6370918443670764e-08,882,80,0.00013374568872258415,1714190587.1965873,225.4659297466278,229.48847436904907,1.4586637750876793e-08
1.7443256091321815e-09,1.56871378078688e-08,939,81,0.00013920368198028053,1714190600.137427,238.40458011627197,242.42931413650513,1.3942812198736621e-08
1.6591938750941602e-09,1.5430583297970697e-08,999,82,0.0001446603893896758,1714190615.7975855,254.06661319732666,258.08947253227234,1.3771389422876535e-08
1.5852792667411497e-09,1.528170442015055e-08,1064,83,0.00014541124656644992,1714190632.6187785,270.88813400268555,274.91066551208496,1.3696425153409398e-08
1.4911426622745024e-09,1.4953576447024467e-08,1132,84,0.0001358319834554635,1714190650.6691806,288.93697214126587,292.9610676765442,1.3462433784749965e-08
1.4514908360994742e-09,1.4349143806778379e-08,1205,85,0.00012915219048751232,1714190668.8922765,307.1615152359009,311.18416357040405,1.2897652970678905e-08
1.3887965033453392e-09,1.3371237542127588e-08,1282,86,0.00012619993984378482,1714190688.8946033,327.1635229587555,331.1864902973175,1.1982441038782248e-08
1.3661867051192072e-09,1.2864758073564499e-08,1364,87,0.00011161793890518526,1714190709.9893866,348.25880551338196,352.28127360343933,1.1498571368445291e-08
1.363581612361937e-09,1.2622554542805527e-08,1452,88,9.794354694732267e-05,1714190733.4718344,371.74000430107117,375.76372146606445,1.125897293044359e-08
1.3734276281219864e-09,1.2441087661599851e-08,1545,89,8.653639601450436e-05,1714190759.2834604,397.55283856391907,401.57534742355347,1.1067660033477865e-08
1.3966852961356645e-09,1.2272089657032986e-08,1645,90,7.402057552670842e-05,1714190786.027893,424.2965679168701,428.31978011131287,1.0875404360897321e-08
