_runtime,_timestamp,loss,step,time,loss_interior,_step,l2_error,loss_boundary
5.188591241836548,1714598742.0985503,0.13634610037162198,0,1.1634941101074219,0.01668509951821564,0,0.1612085785670191,0.11966100085340635
5.324448347091675,1714598742.2344074,0.05566196881703829,1,1.5082948207855225,0.010514447156821259,1,0.10636335719096283,0.04514752166021703
5.4974024295806885,1714598742.4073615,0.01938521196582246,2,1.6812512874603271,0.002855902667474088,2,0.06652371381091444,0.016529309298348373
5.707675457000732,1714598742.6176345,0.010114558193707912,3,1.8915035724639893,0.0027969475241521667,3,0.043246506681457304,0.007317610669555745
5.9547834396362305,1714598742.8647425,0.005312298171628785,4,2.1386523246765137,0.0018493821352658097,4,0.027488007046489717,0.003462916036362975
6.253995895385742,1714598743.163955,0.0028332347574618858,5,2.437831401824951,0.0014592221827688142,5,0.025493207052317425,0.0013740125746930715
6.587385177612305,1714598743.4973443,0.0016795700208774582,6,2.771211624145508,0.0006462156114648431,6,0.016752875834557503,0.0010333544094126151
6.9569830894470215,1714598743.8669422,0.0012182161133928284,7,3.140787124633789,0.0006805727338486653,7,0.00923052456676348,0.0005376433795441631
7.336435079574585,1714598744.2463942,0.0008249430356928974,8,3.520167350769043,0.0005469637401485589,8,0.009339098035451195,0.0002779792955443385
7.713383674621582,1714598744.6233428,0.0005162364022610133,9,3.8970847129821777,0.000377554001241569,9,0.006979491385034252,0.00013868240101944437
8.088298797607422,1714598744.9982579,0.0002769768513077592,10,4.2720794677734375,0.000209303470236535,10,0.006242364241979066,6.767338107122423e-05
8.462955713272095,1714598745.3729148,0.00022817749182435276,11,4.646713972091675,0.00016287062087393009,11,0.007086490758070721,6.530687095042269e-05
8.829010248184204,1714598745.7389693,0.00020499095789681802,12,5.011570692062378,0.00014269350916335262,12,0.005808550967634124,6.229744873346541e-05
9.19168758392334,1714598746.1016467,0.00016840355648739495,13,5.375509738922119,0.00011965902840042055,13,0.005799726163226602,4.8744528086974404e-05
9.558468580245972,1714598746.4684277,0.00016481841976469713,14,5.74224328994751,0.00011809289748730199,14,0.004590164860853937,4.672552227739515e-05
9.929686069488525,1714598746.8396451,0.00012905778020725072,15,6.113524675369263,0.00010436557261243188,15,0.0038165974433244884,2.469220759481883e-05
10.296033143997192,1714598747.2059922,0.000114246216930495,16,6.479878187179565,9.458588050184639e-05,16,0.0030937633877477417,1.9660336428648613e-05
10.658495426177979,1714598747.5684545,0.00010502783232427707,17,6.842296123504639,9.062387152170003e-05,17,0.0025515403615856904,1.4403960802577045e-05
11.020096778869629,1714598747.9300559,9.572380469663018e-05,18,7.20394229888916,8.439527949088208e-05,18,0.0021450654454287224,1.13285252057481e-05
11.381511688232422,1714598748.2914708,8.612579329425496e-05,19,7.565335035324097,7.722651770918181e-05,19,0.0027219004429371923,8.899275585073154e-06
11.75379228591919,1714598748.6637514,7.941360892189557e-05,20,7.937625885009766,6.937931890586833e-05,20,0.0015504771011894964,1.0034290016027228e-05
12.118163824081421,1714598749.028123,6.0739756622396385e-05,21,8.301989078521729,5.803179675118339e-05,21,0.001683688613179112,2.707959871212997e-06
12.485198974609375,1714598749.395158,5.125319660837026e-05,22,8.669049263000488,4.751496521889282e-05,22,0.0028916227354293562,3.738231389477439e-06
12.857681512832642,1714598749.7676406,3.597005687925073e-05,23,9.041470766067505,2.7331444768815063e-05,23,0.0027001456447680035,8.638612110435664e-06
13.223419666290283,1714598750.1333787,3.325628705234197e-05,24,9.407272338867188,2.518758875480243e-05,24,0.0023594569802428667,8.068698297539538e-06
13.584279537200928,1714598750.4942386,2.9224920678054062e-05,25,9.768078565597534,2.2257389738855772e-05,25,0.002122700752881274,6.96753093919829e-06
13.960567474365234,1714598750.8705266,2.4223154747679496e-05,26,10.144422054290771,1.9084665014566132e-05,26,0.0018137599551990556,5.1384897331133634e-06
14.32139778137207,1714598751.2313569,2.160460485944344e-05,27,10.505241394042969,1.729107508056192e-05,27,0.0018780674584899862,4.313529778881521e-06
14.692579984664917,1714598751.602539,1.9406860767350186e-05,28,10.876379251480103,1.5068491223056598e-05,28,0.0017223473993147264,4.338369544293589e-06
15.053889513015747,1714598751.9638486,1.8419902572975127e-05,29,11.237725496292114,1.5002758660521883e-05,29,0.0010372837347923099,3.417143912453244e-06
15.422114372253418,1714598752.3320735,1.4511347907292773e-05,30,11.60591197013855,1.3087226175142388e-05,30,0.0011730105706915385,1.4241217321503847e-06
15.792599201202393,1714598752.7025583,1.370989245062882e-05,31,11.976457834243774,1.1782440997166038e-05,31,0.0010883248866683948,1.9274514534627813e-06
16.16798448562622,1714598753.0779436,1.1404738348392024e-05,32,12.351808786392212,9.851752667508705e-06,32,0.0008023612624361608,1.552985680883318e-06
16.535712242126465,1714598753.4456713,1.087290391356921e-05,33,12.719401359558105,9.779929549308707e-06,33,0.0009008669705645618,1.0929743642605032e-06
16.91378688812256,1714598753.823746,1.0551200981450372e-05,34,13.097623586654663,9.201172136010895e-06,34,0.0008255741787670756,1.3500288454394764e-06
17.28140878677368,1714598754.1913679,1.0139735236653822e-05,35,13.465253591537476,8.963510292048216e-06,35,0.0009502190492492769,1.1762249446056054e-06
17.64948058128357,1714598754.5594397,9.979675140007155e-06,36,13.833244323730469,8.502682946009133e-06,36,0.0009688669819580554,1.4769921939980227e-06
18.00983238220215,1714598754.9197915,9.020096879949203e-06,37,14.193698406219482,7.541901473748568e-06,37,0.00081884960160262,1.4781954062006343e-06
