_step,loss_interior,step,time,l2_error,_timestamp,loss,loss_boundary,_runtime
0,0.016712704322372693,0,1.3817315101623535,0.2733034216258551,1715513131.6535347,0.13810716338990703,0.12139445906753432,5.35210657119751
1,0.016712524309552584,1,1.6459417343139648,0.2109629312187496,1715513131.7034974,0.13810665709534783,0.12139413278579525,5.402069330215454
2,0.0026928649901890984,2,1.6816377639770508,0.21686084507301412,1715513131.7391381,0.07459954860017505,0.07190668360998595,5.4377100467681885
3,0.001956520710897579,3,1.7190308570861816,0.20462281058451387,1715513131.7766693,0.07335632514236884,0.07139980443147126,5.475241184234619
4,0.0033647145862365354,4,1.7578790187835693,0.19460773261973188,1715513131.815406,0.07291663303409729,0.06955191844786075,5.513978004455566
5,0.0013021532136800174,5,1.7909166812896729,0.148262160648569,1715513131.8484313,0.06971483426354781,0.0684126810498678,5.547003269195557
6,0.012775591957090814,6,1.823585033416748,0.15948829589920463,1715513131.8811114,0.05694532969314901,0.0441697377360582,5.579683303833008
7,0.011694360104007148,7,1.8559510707855225,0.18586432191556368,1715513131.9134274,0.055939426431995315,0.044245066327988164,5.611999273300171
8,0.007658953824280792,8,1.899780511856079,0.11296050476970679,1715513131.9573889,0.040252355924473335,0.03259340210019254,5.65596079826355
9,0.006654844742390443,9,1.9325990676879883,0.10980908758982202,1715513131.9912822,0.031546299846578224,0.024891455104187783,5.689854145050049
10,0.004919081359230054,10,1.9685211181640625,0.10375393607318117,1715513132.0260258,0.026494875359143633,0.02157579399991358,5.724597692489624
11,0.005032303196872544,11,2.0019960403442383,0.10292942660182185,1715513132.059433,0.02623684589406436,0.021204542697191815,5.758004903793335
12,0.0031242077594481384,12,2.0346992015838623,0.10966573997919743,1715513132.0921218,0.025160301462909034,0.022036093703460893,5.790693759918213
13,0.002923823137972367,13,2.0688462257385254,0.10927934459676081,1715513132.1262922,0.02469941077570305,0.02177558763773068,5.824864149093628
14,0.0025673537204130735,14,2.102872848510742,0.10646037569906529,1715513132.1602957,0.02431764315041166,0.021750289429998584,5.858867645263672
15,0.002667088385646426,15,2.134817361831665,0.09758108825007596,1715513132.1922112,0.024230308899745503,0.021563220514099077,5.890783071517944
16,0.002315813186933119,16,2.1687769889831543,0.10080348750378945,1715513132.2261872,0.023797659317645443,0.021481846130712325,5.924759149551392
17,0.0026030714873812527,17,2.2029151916503906,0.10453503636242237,1715513132.2604089,0.023333632587185134,0.020730561099803882,5.9589807987213135
18,0.002074077107310757,18,2.234593152999878,0.10435727580889617,1715513132.2919824,0.022971819936455237,0.02089774282914448,5.990554332733154
19,0.0012669312299022175,19,2.2670087814331055,0.09396745085288,1715513132.324432,0.021758371747472766,0.02049144051757055,6.023003816604614
20,0.001219691840690921,20,2.302462100982666,0.09314566565763799,1715513132.3600059,0.02149904893590355,0.020279357095212627,6.0585777759552
21,0.001325785128089256,21,2.335463047027588,0.09576058179278614,1715513132.393013,0.02100316915059599,0.019677384022506732,6.091584920883179
22,0.0010394189366029717,22,2.3698818683624268,0.10440193911272919,1715513132.4273148,0.020659166660490048,0.019619747723887075,6.125886678695679
23,0.0015186235563909658,23,2.4051477909088135,0.09243752359157834,1715513132.4629514,0.01947682201837604,0.017958198461985077,6.161523342132568
24,0.0016586799936841087,24,2.4372189044952393,0.0904913408705398,1715513132.4946284,0.018955580000793976,0.017296900007109865,6.193200349807739
25,0.0018719698758181086,25,2.466724395751953,0.09250111343720793,1715513132.5240834,0.01874593824674407,0.01687396837092596,6.222655296325684
26,0.0012934309659816579,26,2.505708694458008,0.09220238993903568,1715513132.5632167,0.017291516516207143,0.015998085550225485,6.261788606643677
27,0.0019584577203375594,27,2.537977457046509,0.09032728160933057,1715513132.595384,0.01659241070828944,0.014633952987951879,6.2939558029174805
28,0.0015229769201526352,28,2.5768067836761475,0.07853003961637617,1715513132.634416,0.01588718763199784,0.014364210711845207,6.332988023757935
29,0.002436399315248851,29,2.610476016998291,0.07608061719140516,1715513132.6678734,0.015052194190267817,0.012615794875018967,6.366445302963257
30,0.002846966283780744,30,2.6443047523498535,0.06672602347898218,1715513132.7019575,0.013793179293735854,0.01094621300995511,6.400529384613037
31,0.0034086466061621313,31,2.677015542984009,0.0671301125297794,1715513132.7344153,0.012630428986938176,0.009221782380776046,6.432987213134766
32,0.0030531285138520985,32,2.7089953422546387,0.06012728148811978,1715513132.7664416,0.01166666170216031,0.008613533188308212,6.46501350402832
33,0.003267569812696455,33,2.744259834289551,0.060714466927798715,1715513132.8016899,0.011033480409612401,0.007765910596915946,6.5002617835998535
34,0.0021940178002097174,34,2.7754311561584473,0.06278060486374182,1715513132.8328063,0.0102698086717289,0.008075790871519183,6.531378269195557
35,0.001619944390978171,35,2.8072240352630615,0.06193161469245925,1715513132.8646376,0.009326584074287225,0.007706639683309053,6.563209533691406
36,0.0011834622643078635,36,2.838890314102173,0.057872950292187496,1715513132.896288,0.008840017653494918,0.007656555389187055,6.594859838485718
37,0.0013012847893096834,37,2.8702070713043213,0.056432327402384824,1715513132.92756,0.008554308202444204,0.0072530234131345205,6.626132011413574
38,0.0011597551846642123,38,2.900078296661377,0.053914759260622246,1715513132.9575238,0.008366919459769794,0.007207164275105582,6.656095743179321
39,0.0013447422200220972,39,2.935364246368408,0.05434811467682667,1715513132.9928818,0.00815279829929073,0.006808056079268633,6.691453695297241
40,0.0014813245047982269,40,2.9692327976226807,0.05224359418976964,1715513133.026623,0.0077669162338510475,0.006285591729052821,6.725194931030273
