time,_step,_runtime,l2_error,_timestamp,step,loss_boundary,loss,loss_interior
1.4672224521636963,0,5.52696418762207,0.27192353466768404,1714847331.9855351,0,0.11966100085340635,0.13634610037162198,0.01668509951821564
1.838860034942627,1,5.585475444793701,0.21209566136815733,1714847332.0440464,1,0.11966068702310984,0.13634560650430683,0.01668491948119698
1.8957223892211914,2,5.642320156097412,0.20317651680263546,1714847332.100891,2,0.06925022798420692,0.07212504803818241,0.0028748200539754853
1.9400207996368408,3,5.686651945114136,0.21222884728784186,1714847332.145223,3,0.061136047619884545,0.06592673980685748,0.004790692186972931
1.9818050861358643,4,5.728346109390259,0.16920454583035072,1714847332.186917,4,0.0549898256159037,0.061769840666326285,0.006780015050422584
2.0189802646636963,5,5.7656636238098145,0.16470181771810302,1714847332.2242346,5,0.04620787733936405,0.05866112494210084,0.012453247602736783
2.056262731552124,6,5.802940368652344,0.36834034330776066,1714847332.2615113,6,0.046198754558415725,0.05772899440292591,0.011530239844510182
2.093383312225342,7,5.840099096298218,0.14179219700919354,1714847332.29867,7,0.061230770805323166,0.11799334775516199,0.05676257694983883
2.1313061714172363,8,5.877969026565552,0.1122108045621316,1714847332.33654,8,0.021797883786736822,0.029387928468460504,0.007590044681723682
2.1677775382995605,9,5.915673494338989,0.10364969978114175,1714847332.3742445,9,0.019663418433292355,0.02646554573250084,0.006802127299208487
2.2059264183044434,10,5.952495098114014,0.10843851283081052,1714847332.411066,10,0.017137659793820877,0.022380583824048398,0.0052429240302275205
2.243051052093506,11,5.98964786529541,0.11298838319206422,1714847332.4482188,11,0.01749823284801396,0.021905289394415963,0.004407056546402004
2.280040740966797,12,6.026688814163208,0.10749811888786445,1714847332.4852598,12,0.017360424177344007,0.021126843607486852,0.0037664194301428463
2.316854238510132,13,6.063482046127319,0.10449934804534482,1714847332.522053,13,0.017354280330498423,0.02100589289714818,0.0036516125666497586
2.35402512550354,14,6.100579261779785,0.10492284651380258,1714847332.5591502,14,0.01752472500970518,0.020401825169105884,0.0028771001594007036
2.391101360321045,15,6.137749671936035,0.10932077000271509,1714847332.5963206,15,0.01735831016096464,0.020196409514741793,0.0028380993537771523
2.4277937412261963,16,6.180058717727661,0.10207973233465331,1714847332.6386297,16,0.017347466835051454,0.01955198673956711,0.0022045199045156554
2.47063946723938,17,6.217205286026001,0.09304829758261336,1714847332.6757762,17,0.017277601482039353,0.019160246803139283,0.0018826453210999312
2.507391929626465,18,6.254006624221802,0.09815496410856842,1714847332.7125776,18,0.016751885785044607,0.018366973765204266,0.00161508798015966
2.545478105545044,19,6.292058706283569,0.10262541010344434,1714847332.7506297,19,0.016345595977972485,0.017882213047363687,0.0015366170693912004
2.5832417011260986,20,6.3298704624176025,0.10358952265593072,1714847332.7884414,20,0.01616271481610109,0.017237533049991732,0.001074818233890643
2.6197032928466797,21,6.366232872009277,0.09165442756659596,1714847332.8248038,21,0.01584927485018758,0.016745020023813017,0.0008957451736254364
2.6562983989715576,22,6.402817249298096,0.09394841666528785,1714847332.8613882,22,0.014318113585345607,0.015326214684674825,0.001008101099329217
2.6929845809936523,23,6.439669609069824,0.10300162236248984,1714847332.8982406,23,0.014231045193181722,0.015172251936369207,0.0009412067431874859
2.7340962886810303,24,6.481513023376465,0.09747485670521316,1714847332.940084,24,0.013665851960600736,0.014734969796973845,0.0010691178363731095
