l2_error,loss_boundary,loss_interior,loss,_runtime,_timestamp,_step,step,time
0.23525296544477683,0.11966100085340635,0.01668509951821564,0.13634610037162198,5.359988689422607,1714598066.0090976,0,0,1.070420742034912
0.22944670021073632,0.09292151053826593,0.004906850990281222,0.09782836152854715,5.366699457168579,1714598066.0158083,1,1,1.2920868396759033
0.2705233168817085,0.07197494002189782,0.0009462458642170282,0.07292118588611485,5.371873617172241,1714598066.0209825,2,2,1.297356128692627
0.28858770890863517,0.07331927608282748,0.01963965093811304,0.09295892702094052,5.377082824707031,1714598066.0261917,3,3,1.3025362491607666
0.2519731538329362,0.07857011437381163,0.05002021271489361,0.12859032708870524,5.382137775421143,1714598066.0312467,4,4,1.3076279163360596
0.19400838677385265,0.06976005861033666,0.06316506303968851,0.13292512165002518,5.38724946975708,1714598066.0363584,5,5,1.3127100467681885
0.18390712083717867,0.05804638560834769,0.04432744483286035,0.10237383044120804,5.392491579055786,1714598066.0416005,6,6,1.3179407119750977
0.21999735634139822,0.06375783295252782,0.012591081007012167,0.07634891395954,5.397861480712891,1714598066.0469704,7,7,1.3232855796813965
0.2503670995572521,0.08522772606718863,0.00021823805891786057,0.0854459641261065,5.40306544303894,1714598066.0521743,8,8,1.3285205364227295
0.26412521402667133,0.10269293274309761,0.013758814990738883,0.1164517477338365,5.40813946723938,1714598066.0572484,9,9,1.3336055278778076
0.26591702005659384,0.10368474968917583,0.026858270308606748,0.1305430199977826,5.413226366043091,1714598066.0623353,10,10,1.3386623859405518
0.2524284736171914,0.09209567416504653,0.017487244066944938,0.10958291823199147,5.418370485305786,1714598066.0674794,11,11,1.3438282012939453
0.22329266559500646,0.0773461372798687,0.001026016407984376,0.07837215368785308,5.423446893692017,1714598066.0725558,12,12,1.348923683166504
0.19220327455312888,0.06498270077501318,0.010540049526405876,0.07552275030141906,5.43015456199646,1714598066.0792634,13,13,1.3539974689483643
0.17432231401332468,0.05661246287882846,0.04803217983203246,0.10464464271086091,5.4354188442230225,1714598066.0845277,14,14,1.3608746528625488
0.17313141757227032,0.0523818905235269,0.07531062887615338,0.1276925193996803,5.440471172332764,1714598066.08958,15,15,1.3659765720367432
0.19120279257515252,0.05255823252157205,0.061339092184471235,0.11389732470604329,5.445558309555054,1714598066.0946672,16,16,1.3710334300994873
0.22486289169946003,0.05819526612242908,0.022580524955945844,0.08077579107837493,5.450660943984985,1714598066.0997698,17,17,1.3761398792266846
0.2543208655931447,0.06942411372053435,0.0005472659974766637,0.06997137971801101,5.455764532089233,1714598066.1048734,18,18,1.3812215328216553
0.26302157970981765,0.08307326639480701,0.00937109147496543,0.09244435786977244,5.460780620574951,1714598066.1098895,19,19,1.3862841129302979
