l2_error,time,loss_interior,_timestamp,loss_boundary,loss,_step,_runtime,step
0.3397746641612471,1.0581028461456299,0.016712704322372693,1729887438.8430097,0.12139445906753432,0.13810716338990703,0,1.8627147674560547,0
0.3475520718201763,1.489344596862793,0.007935476924851003,1729887439.042127,0.1134494145936657,0.1213848915185167,1,2.0618319511413574,1
0.2217989282854563,1.6759278774261475,0.017093920224156702,1729887439.2286577,0.09781959796108118,0.11491351818523789,2,2.2483627796173096,2
0.16629058054922383,1.9274296760559082,0.06978355778407824,1729887439.4801445,0.023850814274398877,0.09363437205847712,3,2.499849557876587,3
0.08148054349125734,2.1722068786621094,0.046659855121871895,1729887439.724935,0.01813120455435823,0.06479105967623013,4,2.7446401119232178,4
0.05002143423656594,2.360119581222534,0.05464693353153273,1729887439.912796,0.003985147911491234,0.05863208144302396,5,2.9325010776519775,5
0.05937511349612486,2.6339004039764404,0.05320133823587884,1729887440.187936,0.0008613249999845724,0.05406266323586341,6,3.207641124725342,6
0.036011056243854124,3.0180466175079346,0.046781074393688005,1729887440.570774,0.0007493468947254028,0.04753042128841341,7,3.5904791355133057,7
0.035876369451386864,3.203444480895996,0.033707448098360196,1729887440.756112,0.0009520706116204066,0.0346595187099806,8,3.7758171558380127,8
0.06464616848291727,3.4696402549743652,0.032833740220995035,1729887441.0223546,0.00037998033855993684,0.033213720559554974,9,4.042059659957886,9
0.08110297710378452,3.8824377059936523,0.008283749660333212,1729887441.4351745,0.002511460733158104,0.010795210393491315,10,4.454879522323608,10
0.0862587921566742,4.167273759841919,0.0025874154551794033,1729887441.719952,0.0048691454228292205,0.007456560878008623,11,4.739657163619995,11
0.08176875425604271,4.463062047958374,0.002679607673893718,1729887442.015792,0.003907814813011285,0.006587422486905003,12,5.035496950149536,12
0.050227595004040275,4.812483787536621,0.0021293660145351315,1729887442.3652186,0.0031394225637142556,0.0052687885782493876,13,5.384923696517944,13
0.02610161102454568,5.051977872848511,0.0014998853869020272,1729887442.604718,0.0029939910884631852,0.004493876475365212,14,5.624423027038574,14
0.0216112149495126,5.530585050582886,0.001561517865660808,1729887443.0833118,0.0006890722697035371,0.002250590135364345,15,6.1030168533325195,15
0.012166397074276095,5.896710395812988,0.0011477183512802064,1729887443.4494276,0.0004130560710297972,0.0015607744223100036,16,6.469132661819458,16
0.010245178533614866,6.203396320343018,0.0005017832503804818,1729887443.756061,0.00023012506189501144,0.0007319083122754932,17,6.775766134262085,17
0.011335299831609615,6.519692659378052,0.0005698209564758952,1729887444.0724037,0.00011413558788229181,0.000683956544358187,18,7.092108726501465,18
0.007559669866568337,6.832798004150391,0.0005155980980463365,1729887444.3855617,0.00010403004680603418,0.0006196281448523707,19,7.405266761779785,19
0.008630710189157714,7.193467855453491,0.0004996447804646634,1729887444.74616,6.152484841136327e-05,0.0005611696288760267,20,7.765865087509155,20
0.010790826683280188,7.754981517791748,0.00010257069872893505,1729887445.3077302,4.336177977960902e-05,0.00014593247850854408,21,8.32743525505066,21
0.010055794185457939,8.136487007141113,4.8458495026337686e-05,1729887445.689196,4.4083749207799645e-05,9.254224423413733e-05,22,8.708901166915894,22
0.006632945398322804,8.689261674880981,3.65773890189088e-05,1729887446.2420115,4.757973650357214e-05,8.415712552248093e-05,23,9.261716604232788,23
0.002075896631652734,9.100319385528564,4.280575391685929e-05,1729887446.653016,2.057635423046932e-05,6.338210814732861e-05,24,9.672721147537231,24
0.0032349735882996797,9.41090440750122,3.322414609165479e-05,1729887446.9636326,8.153598427419783e-06,4.137774451907457e-05,25,9.983337640762329,25
0.003595463029565245,9.798816442489624,2.3690855863160235e-05,1729887447.3515983,1.158467338547658e-05,3.5275529248636815e-05,26,10.37130331993103,26
0.0034632809247432195,10.059813499450684,1.8079695794892596e-05,1729887447.6124585,1.135064804292342e-05,2.9430343837816015e-05,27,10.632163524627686,27
0.0033717735196672357,10.26321792602539,1.8437201520852756e-05,1729887447.815861,9.069890088762324e-06,2.7507091609615082e-05,28,10.83556604385376,28
0.0033396446165322624,10.730408191680908,1.9329041431854882e-05,1729887448.2831864,7.587489003610856e-06,2.6916530435465738e-05,29,11.302891492843628,29
0.0032960568892675232,10.986143350601196,1.8935124371049054e-05,1729887448.5388901,6.887350051340552e-06,2.5822474422389606e-05,30,11.558595180511475,30
0.0031578285295580264,11.247141122817993,1.8738026689460977e-05,1729887448.7998264,6.213690986257479e-06,2.4951717675718457e-05,31,11.819531440734863,31
0.003020257755656325,11.481250524520874,1.8386967353769722e-05,1729887449.033877,5.435102733751071e-06,2.3822070087520792e-05,32,12.053581953048706,32
0.0028555704697365166,11.72461986541748,1.7622410374104807e-05,1729887449.277345,4.719370563021388e-06,2.2341780937126193e-05,33,12.29704999923706,33
0.0026612304022134202,12.03227710723877,1.6407426417030647e-05,1729887449.5849466,4.0216486109233935e-06,2.042907502795404e-05,34,12.604651689529419,34
0.0024654658120511494,12.264297485351562,1.4811615597448975e-05,1729887449.816999,3.4025065197886657e-06,1.821412211723764e-05,35,12.836704015731812,35
0.0023726420228084347,12.93398118019104,1.3107136895795982e-05,1729887450.4867342,2.8351853557118447e-06,1.5942322251507828e-05,36,13.506439208984375,36
0.0018656856075503312,13.236983060836792,9.883971363056778e-06,1729887450.7898438,2.931403820008122e-06,1.28153751830649e-05,37,13.80954885482788,37
0.0016826859599521943,13.5056471824646,9.364896793192858e-06,1729887451.0583494,2.843292526260693e-06,1.220818931945355e-05,38,14.078054428100586,38
