time,_step,l2_error,loss_boundary,_timestamp,_runtime,step,loss_interior,loss
1.5361828804016113,0,0.19997535801297178,0.11966100085340635,1714592309.125244,7.0979859828948975,0,0.01668509951821564,0.13634610037162198
2.353330373764038,1,0.19997535801297178,0.05397462327162943,1714592309.2003767,7.173118829727173,1,0.0646656226470553,0.11864024591868473
2.436359405517578,2,0.21867414601245683,0.05397462327162943,1714592309.2834468,7.256188869476318,2,0.0646656226470553,0.11864024591868473
2.503774404525757,3,0.22458647561503683,0.05076938841524434,1714592309.35239,7.325132131576538,3,0.06590960763691678,0.11667899605216112
2.573003053665161,4,0.28104567231846267,0.051633316367629564,1714592309.4205918,7.393333911895752,4,0.06501930153924344,0.11665261790687301
2.637449264526367,5,0.31460254889586076,0.06355301312954632,1714592309.4850507,7.45779275894165,5,0.0412639317293716,0.10481694485891793
2.703277111053467,6,0.31460254889586076,0.07377084639705138,1714592309.5507104,7.523452520370483,6,0.027853184075921134,0.10162403047297251
2.767500162124634,7,0.3150069271118892,0.07377084639705138,1714592309.6151264,7.5878684520721436,7,0.027853184075921134,0.10162403047297251
2.831132411956787,8,0.2867844414249491,0.07390859650749024,1714592309.678677,7.651419162750244,8,0.02771482064693347,0.1016234171544237
2.8946144580841064,9,0.23120339039114388,0.06740512613620521,1714592309.7421877,7.714929819107056,9,0.019425477495226186,0.0868306036314314
2.95825457572937,10,0.19975221597751439,0.052887706623783774,1714592309.8058813,7.778623342514038,10,0.026419295190988543,0.07930700181477232
3.021718978881836,11,0.19243230557565105,0.04543694079960205,1714592309.869265,7.842007160186768,11,0.03275731231607155,0.0781942531156736
3.0919137001037598,12,0.13543946752115182,0.04378670558868638,1714592309.9394803,7.912222385406494,12,0.03434458846926797,0.07813129405795435
3.1550700664520264,13,0.11034094297493129,0.03233120962054159,1714592310.0025907,7.975332736968994,13,0.04459316009794386,0.07692436971848546
3.2188472747802734,14,0.09284000241362718,0.027973403144754976,1714592310.0663621,8.039104223251343,14,0.04826200506943896,0.07623540821419393
3.2828338146209717,15,0.08838661911075253,0.024904000132938114,1714592310.1304662,8.103208303451538,15,0.050628194654270924,0.07553219478720904
3.3488316535949707,16,0.08838661911075253,0.021649816383704543,1714592310.1963515,8.169093608856201,16,0.05304174185383712,0.07469155823754167
3.4141974449157715,17,0.09240425158401376,0.021649816383704543,1714592310.261837,8.234579086303711,17,0.05304174185383712,0.07469155823754167
3.479844570159912,18,0.10249775367874557,0.0213345461248368,1714592310.3275175,8.300259590148926,18,0.0532846919266586,0.0746192380514954
3.5454087257385254,19,0.11425774526237907,0.02097116266782758,1714592310.393075,8.365817070007324,19,0.05326983131064597,0.07424099397847356
3.6189582347869873,20,0.1267081351488158,0.020811585291219077,1714592310.4666042,8.439346313476562,20,0.05286422460803662,0.0736758098992557
3.6911604404449463,21,0.1389369529546189,0.020768239191596257,1714592310.5387914,8.511533498764038,21,0.052387515726494506,0.07315575491809076
3.756622552871704,22,0.16356089420525594,0.02079699215265509,1714592310.6042404,8.576982498168945,22,0.05201184040988445,0.07280883256253953
3.821915626525879,23,0.1696564717590514,0.021019420547436326,1714592310.6695158,8.642257928848267,23,0.05122618537656998,0.0722456059240063
3.886993646621704,24,0.21338683509136638,0.02115291520143342,1714592310.7346516,8.707393646240234,24,0.050978726223269606,0.07213164142470302
3.953268051147461,25,0.21338683509136638,0.025080267734378495,1714592310.800745,8.773487091064453,25,0.043439830933760824,0.06852009866813932
4.018987417221069,26,0.21338683509136638,0.025080267734378495,1714592310.8664615,8.839203596115112,26,0.043439830933760824,0.06852009866813932
4.089830636978149,27,0.21509225641151603,0.025080267734378495,1714592310.9374504,8.910192489624023,27,0.043439830933760824,0.06852009866813932
4.154567718505859,28,0.21935010436490612,0.025416567157317705,1714592311.0022337,8.974975824356079,28,0.04307627061576243,0.06849283777308013
4.217953443527222,29,0.22053020099901083,0.02655237642036742,1714592311.065569,9.038311004638672,29,0.04147589061746283,0.06802826703783026
4.281104326248169,30,0.22019659959375817,0.027426609314668254,1714592311.1286879,9.10142993927002,30,0.04012011357578399,0.06754672289045224
4.3446385860443115,31,0.21771199355343018,0.02774072198408668,1714592311.1921778,9.16491985321045,31,0.03968234127524117,0.06742306325932786
4.40835165977478,32,0.2130226499109006,0.028076290909418954,1714592311.2559388,9.228680849075317,32,0.039057949926730735,0.06713424083614969
4.472539663314819,33,0.20633299751191375,0.028033641177805227,1714592311.3201027,9.292844772338867,33,0.03883620302674782,0.06686984420455305
4.536963224411011,34,0.14654380920629356,0.027568205184099404,1714592311.384507,9.357249021530151,34,0.03904643820370208,0.06661464338780149
4.608140707015991,35,0.143872327506672,0.01923923408774626,1714592311.4556773,9.428419351577759,35,0.04514026958566927,0.06437950367341552
4.671005487442017,36,0.1341512392600798,0.01886096125057975,1714592311.518638,9.491379976272583,36,0.045503196371908756,0.06436415762248851
4.733685731887817,37,0.09566377417855575,0.017511549213121175,1714592311.5812337,9.553975820541382,37,0.04669440094394924,0.06420595015707042
4.797271013259888,38,0.0786730739259945,0.012801531069092521,1714592311.644803,9.617545127868652,38,0.050271333027158555,0.06307286409625107
4.861132860183716,39,0.0667658864458387,0.011127666702384617,1714592311.708704,9.681446075439453,39,0.05157166633473044,0.06269933303711506
4.924894332885742,40,0.06191440431735754,0.010113211116994732,1714592311.772474,9.745216131210327,40,0.05221521515497143,0.06232842627196616
5.048653602600098,41,0.10291296616037526,0.010827129601574424,1714592311.8962843,9.86902642250061,42,0.049441398342529454,0.06026852794410388
