_step,loss_interior,loss_boundary,loss,l2_error,step,_runtime,_timestamp,time
0,0.00021829962698260142,0.060647525544027865,0.06086582517101047,0.13325565947637324,0,2.6208391189575195,1714183174.52301,0.09439396858215332
1,0.000578423958265114,0.055507539943143426,0.05608596390140854,0.19466166476228325,1,2.6961278915405273,1714183174.5982988,0.3164188861846924
2,0.002722028702040056,0.03556913433974531,0.03829116304178537,0.17640169686692717,2,2.767242193222046,1714183174.669413,0.38812994956970215
3,0.001975230656638985,0.031319007003128785,0.03329423765976777,0.16839722048444958,3,2.8372890949249268,1714183174.73946,0.4569368362426758
4,0.00015759085511125564,0.030268809468776525,0.03042640032388778,0.1263197205832566,4,2.9021310806274414,1714183174.804302,0.523482084274292
5,0.0005042204306075634,0.026704961176712713,0.027209181607320276,0.11953167973192448,5,2.9750990867614746,1714183174.87727,0.5956778526306152
6,0.0010436191959290882,0.024613998440728552,0.02565761763665764,0.11780625832589739,6,3.043870210647583,1714183174.946041,0.6652090549468994
7,0.0006461344228735345,0.02371570127388626,0.024361835696759794,0.11628480444177165,7,3.117192268371582,1714183175.0193632,0.7378747463226318
8,0.0006436634969398608,0.02277800399609765,0.02342166749303751,0.11330751141864331,8,3.184636116027832,1714183175.086807,0.8054587841033936
9,0.0005551128277897494,0.021934748704415905,0.022489861532205654,0.12108733738159601,9,3.2539570331573486,1714183175.156128,0.8749690055847168
10,0.00042402589804523325,0.021334076967908098,0.02175810286595333,0.10257846376300592,10,3.3205931186676025,1714183175.222764,0.9411368370056152
11,0.0007997626082865971,0.019295201582797895,0.020094964191084492,0.10085521897682627,11,3.3901400566101074,1714183175.292311,1.0111548900604248
12,0.0005387632754957285,0.018783974038229657,0.019322737313725385,0.09942182315560487,12,3.4569811820983887,1714183175.359152,1.0777299404144287
13,0.0005269354586051042,0.018287043963451616,0.01881397942205672,0.09503350297462966,13,3.5244100093841553,1714183175.426581,1.1452867984771729
14,0.0009103513746599384,0.017421781424950725,0.018332132799610663,0.09594863624340731,14,3.591702938079834,1714183175.4938738,1.2126529216766357
15,0.0006024047159290193,0.01724086365839255,0.01784326837432157,0.09371070688991161,15,3.661468029022217,1714183175.563639,1.2818779945373535
16,0.0007340507437740242,0.01673872744537959,0.017472778189153614,0.09428122027315453,16,3.7313990592956543,1714183175.63357,1.3524668216705322
17,0.0006595809962725278,0.016439874515087036,0.017099455511359562,0.09170246086613436,17,3.7990190982818604,1714183175.70119,1.42038893699646
18,0.0007867326491944953,0.016031833738047625,0.01681856638724212,0.09231280588876803,18,3.8655269145965576,1714183175.7676978,1.4865257740020752
19,0.0006677606703540368,0.01585133399535261,0.016519094665706648,0.08831733929868861,19,3.933251142501831,1714183175.835422,1.5544559955596924
20,0.0007396765711836175,0.015185309055465706,0.015924985626649322,0.08870591941445043,21,4.065457105636597,1714183175.967628,1.6864140033721924
21,0.0007545878198677741,0.014941617581164367,0.015696205401032143,0.08739686808290256,22,4.133422136306763,1714183176.035593,1.7544350624084473
22,0.0008779244917407028,0.014389796710365492,0.015267721202106194,0.08633277665525307,23,4.203102111816406,1714183176.105273,1.8233819007873535
23,0.001021745832530927,0.013585883591067886,0.014607629423598813,0.08440102679056354,25,4.335587024688721,1714183176.237758,1.956479787826538
24,0.0008866252612576637,0.013301564297849186,0.01418818955910685,0.0828031200575458,27,4.4701831340789795,1714183176.372354,2.091040849685669
25,0.0008268633500647743,0.013184845418340823,0.014011708768405597,0.08110903506263337,28,4.536095142364502,1714183176.438266,2.1568708419799805
