step,_step,l2_error,time,_runtime,loss,_timestamp,loss_boundary,loss_interior
81,48,0.0947920482048479,7.988224029541016,13.166361570358276,0.02644855229864365,1715507764.7399065,0.012596061687935258,0.013852490610708396
89,49,0.11775443437846382,8.44079303741455,13.618890523910522,0.025763189502204964,1715507765.1924355,0.012934315927052421,0.012828873575152541
98,50,0.06679186215678325,8.968048572540283,14.146187543869019,0.022583287629577464,1715507765.7197325,0.008743876946269864,0.0138394106833076
107,51,0.05587915712349709,9.482789993286133,14.66088604927063,0.020751912230224476,1715507766.234431,0.007024765276522531,0.013727146953701946
118,52,0.06397105633643306,10.076372146606445,15.254770994186401,0.014874823476952558,1715507766.828316,0.007088671353557121,0.007786152123395437
130,53,0.06216345578246517,10.7346351146698,15.912874698638916,0.0147344758712762,1715507767.4864197,0.006974508989504654,0.007759966881771547
143,54,0.05888274652724307,11.436118841171265,16.61445903778076,0.014256720072772473,1715507768.188004,0.006678777356319201,0.007577942716453272
157,55,0.08748428420577642,12.232763528823853,17.411010026931763,0.012488369999700984,1715507768.984555,0.0065451511761935345,0.005943218823507449
172,56,0.07060359735965366,13.095218420028687,18.273356676101685,0.007923162079580517,1715507769.8469017,0.002774339596011044,0.005148822483569473
190,57,0.046195082708216886,14.162177085876465,19.340315580368042,0.004870223032218991,1715507770.9138606,0.0017835654511506869,0.0030866575810683046
208,58,0.040253423230170095,15.153717756271362,20.331833362579346,0.004317023933303994,1715507771.9053783,0.0014609464918961528,0.0028560774414078407
229,59,0.04035290004377315,16.3753445148468,21.553470373153687,0.0034580139335677433,1715507773.1270154,0.0017168779833270243,0.0017411359502407192
252,60,0.023219010050783036,17.626410245895386,22.804550409317017,0.0030538479259964407,1715507774.3780954,0.0005690037616037607,0.00248484416439268
277,61,0.035598605867477165,19.100615978240967,24.27880096435547,0.002135696141115991,1715507775.852346,0.0013761475704563552,0.0007595485706596361
305,62,0.044176051388160435,20.645891189575195,25.824013471603394,0.0013305106763954726,1715507777.3975585,0.0008135111484168493,0.0005169995279786235
335,63,0.028173021074853477,22.29292106628418,27.47104525566101,0.0007813194786328298,1715507779.0445902,0.0004397755688969619,0.0003415439097358679
369,64,0.015557189932490294,24.122254371643066,29.30035972595215,0.0005621989120424991,1715507780.8739047,0.0002681798646108301,0.00029401904743166907
406,65,0.01847498420477591,26.260340213775635,31.43853521347046,0.00038851223895758433,1715507783.0120802,0.00018764921793419222,0.0002008630210233921
446,66,0.017497576189271766,28.531625747680664,33.71004819869995,0.0002029085933909064,1715507785.2835932,0.00016276359896885047,4.014499442205592e-05
491,67,0.007473500265854136,31.17703914642334,36.35517978668213,9.01083771979823e-05,1715507787.9287248,5.173290372116135e-05,3.8375473476820946e-05
540,68,0.005646858769590101,33.99160552024841,39.16970252990723,4.870696950107301e-05,1715507790.7432475,3.094395474648905e-05,1.776301475458396e-05
594,69,0.004368536953635451,36.83844614028931,42.01656794548035,2.9481593317535657e-05,1715507793.590113,1.5652015142266498e-05,1.382957817526916e-05
653,70,0.004048338526088835,40.106213092803955,45.28431940078735,1.57804876409209e-05,1715507796.8578644,1.0366817275246353e-05,5.413670365674546e-06
718,71,0.003135188731247988,43.66467332839966,48.842915296554565,8.561262205019915e-06,1715507800.4164603,6.30267335894701e-06,2.2585888460729044e-06
790,72,0.002382342964442662,47.55681014060974,52.73559761047363,4.675029573062297e-06,1715507804.3091426,3.340186091753597e-06,1.3348434813087003e-06
869,73,0.0015846411766575392,51.95253396034241,57.13067150115967,2.3991387919597157e-06,1715507808.7042165,1.6411426386666492e-06,7.579961532930665e-07
956,74,0.0012676176067680886,56.88363265991211,62.06176018714905,1.3935247228937883e-06,1715507813.6353052,1.0208444521951392e-06,3.7268027069864924e-07
1052,75,0.0009507347271055746,62.34166145324707,67.51986694335938,7.780775042598909e-07,1715507819.093412,5.297202596587418e-07,2.4835724460114917e-07
1157,76,0.0007190692172115525,68.27356958389282,73.45201969146729,4.245443496067066e-07,1715507825.0255647,2.3668567002245807e-07,1.8785867958424853e-07
1272,77,0.0005433992499330258,74.72944116592407,79.90762138366699,2.439283206236555e-07,1715507831.4811664,1.2539742819645676e-07,1.1853089242719875e-07
1400,78,0.00033570421196152557,81.7958447933197,86.9740149974823,1.390947903489649e-07,1715507838.54756,5.1475369364572686e-08,8.761942098439219e-08
1539,79,0.00026691329792182054,89.69324111938477,94.87174654006958,9.649728155125208e-08,1715507846.4452915,3.1838405478992205e-08,6.465887607225987e-08
1693,80,0.00020692719819846565,97.98893213272095,103.16714119911194,7.24330235913086e-08,1715507854.7406862,2.3774530886372e-08,4.865849270493661e-08
1863,81,0.00016860242858634744,107.14625763893127,112.32436418533325,5.543522378029977e-08,1715507863.8979092,1.6130314577118028e-08,3.930490920318174e-08
2049,82,0.0001391288443858548,117.3032295703888,122.48140048980713,4.200149634385406e-08,1715507874.0549455,1.1826610726028536e-08,3.017488561782553e-08
2254,83,0.00012150136183023499,128.7474181652069,133.92590498924255,3.152104100228054e-08,1715507885.49945,9.003744530278495e-09,2.251729647200205e-08
2479,84,0.00011131610512804038,141.27201747894287,146.45018076896667,2.5471201976720628e-08,1715507898.0237257,7.255789518178788e-09,1.821541245854184e-08
2727,85,0.00010134821047851189,155.218243598938,160.39666986465454,2.001425679161977e-08,1715507911.9702148,5.6745851844002294e-09,1.4339671607219539e-08
3000,86,7.661125863232754e-05,170.94168519973755,176.12017369270325,1.30129727100765e-08,1715507927.6937187,3.300571335200634e-09,9.712401374875865e-09
3299,87,5.159202501031578e-05,187.73034286499023,192.9084529876709,8.274929612377197e-09,1715507944.481998,1.8412851983888547e-09,6.433644413988341e-09
3629,88,3.3815100517368504e-05,205.9369809627533,211.11544108390808,4.6047997405616885e-09,1715507962.688986,7.80437199084917e-10,3.824362541476771e-09
3992,89,2.3324388604500896e-05,226.06388545036316,231.24200439453125,3.1953064380025814e-09,1715507982.8155494,4.3067417876127396e-10,2.7646322592413074e-09
4391,90,2.1772951290599578e-05,248.36754441261292,253.5459861755371,2.9622316573101463e-09,1715508005.1195312,3.987756785263123e-10,2.563455978783834e-09
4831,91,2.1267257260921382e-05,272.5966091156006,277.7748167514801,2.655537310230249e-09,1715508029.3483617,3.7436232222878546e-10,2.2811749880014634e-09
5314,92,1.572073485381543e-05,299.64478182792664,304.82329058647156,2.1113408099914444e-09,1715508056.3968356,2.570758074634997e-10,1.8542650025279447e-09
5845,93,1.1543056327025981e-05,328.9630401134491,334.1411771774292,1.1899110424377606e-09,1715508085.7147222,1.3225840703183928e-10,1.0576526354059213e-09
6429,94,1.0941622647507124e-05,361.05011534690857,366.22854113578796,9.32716433689279e-10,1715508117.802086,1.1474374599424154e-10,8.179726876950373e-10
7072,95,1.0401759742169285e-05,397.1247704029083,402.3036844730377,7.778765749222456e-10,1715508153.8772295,9.917158022436059e-11,6.78704994697885e-10
7779,96,9.72821905427337e-06,436.1764316558838,441.3547978401184,6.625898513051636e-10,1715508192.9283428,8.445925857799597e-11,5.781305927271676e-10
8557,97,8.388914474339574e-06,479.98217129707336,485.16065764427185,5.677925754579616e-10,1715508236.7342026,6.463319375561034e-11,5.031593817023512e-10
9413,98,7.585671429774012e-06,527.3368353843689,532.5152816772461,5.178763516417805e-10,1715508284.0888267,5.5978740484536734e-11,4.6189761115724375e-10
10354,99,7.524305743977635e-06,579.6841752529144,584.8626992702484,4.893645050401629e-10,1715508336.4362442,5.6186445594992157e-11,4.331780594451707e-10
11389,100,7.625601525428688e-06,636.4521088600159,641.6305258274078,4.696529019375142e-10,1715508393.2040708,5.6826116647528796e-11,4.128267852899854e-10
12528,101,5.22425431996177e-06,699.280149936676,704.4586522579193,4.0354004989089105e-10,1715508456.0321972,3.121031682182752e-11,3.7232973306906355e-10
13781,102,4.150885980211094e-06,768.1032152175903,773.2816276550293,2.960186438907608e-10,1715508524.8551726,1.8173022602352282e-11,2.778456212884085e-10
15159,103,3.5046644258532897e-06,844.6333515644073,849.8122794628143,2.457694357505195e-10,1715508601.3858244,1.2869547299001989e-11,2.3289988845151755e-10
16675,104,3.1077129772184463e-06,928.1689276695251,933.3475263118744,2.1342878847812224e-10,1715508684.9210713,1.0002669610095241e-11,2.03426118868027e-10
17977,105,2.81031007594142e-06,1000.0312564373016,1005.2098035812378,1.9351874857458276e-10,1715508756.7833486,8.229180301136181e-12,1.8528956827344657e-10
