_runtime,l2_error,step,loss_boundary,_step,_timestamp,loss,time,loss_interior
8.787970304489136,0.1980109296926155,0,0.06064752632213642,0,1714167123.0398903,0.06086582597867248,2.7348618507385254,0.00021829965653606163
9.12292218208313,0.17487158331001898,1,0.0452294909537018,1,1714167123.3748422,0.04638291239871493,3.9212777614593506,0.001153421445013122
9.486546039581299,0.17995352513503332,2,0.04301359580945851,2,1714167123.738466,0.04449036590627854,4.28485369682312,0.0014767700968200312
9.813096284866333,0.17462768371320608,3,0.04236061119931123,3,1714167124.0650163,0.043456243113735506,4.6114842891693115,0.0010956319144242816
10.133275032043457,0.169921625304247,4,0.04112383916968867,4,1714167124.385195,0.04210923634702787,4.931649446487427,0.0009853971773392037
10.480886936187744,0.16078161097987043,5,0.03922627983618881,5,1714167124.732807,0.04001602762622704,5.279243230819702,0.0007897477900382325
10.823219060897827,0.13839469262263399,6,0.036077785189169355,6,1714167125.075139,0.03668977903774532,5.621593952178955,0.0006119938485759664
11.14495062828064,0.11930760952715658,7,0.030844558148407496,7,1714167125.3968706,0.03148610507730629,5.942307710647583,0.0006415469288987914
11.455769300460815,0.11509991959445581,8,0.02435614955004395,8,1714167125.7076893,0.02511508792826006,6.254208087921143,0.0007589383782161117
11.770347118377686,0.11887802109007384,9,0.020223751431800188,9,1714167126.022267,0.021196645262725834,6.568726301193237,0.000972893830925646
12.109411716461182,0.11259813454459976,10,0.01855159992592305,10,1714167126.3613317,0.019813649451012206,6.907802581787109,0.001262049525089159
12.42595911026001,0.11221705479728462,11,0.018119197750571955,11,1714167126.677879,0.019033294640896894,7.2243688106536865,0.00091409689032494
12.771523475646973,0.10565402072528966,12,0.017258494825817823,12,1714167127.0234435,0.018322866362673693,7.569917678833008,0.0010643715368558692
13.089524030685425,0.10543044664573804,13,0.016694056058123987,13,1714167127.341444,0.01753049355417669,7.887963771820068,0.0008364374960527005
13.404098510742188,0.0933156875765465,14,0.015145578682586439,14,1714167127.6560185,0.016592280908108832,8.20246410369873,0.0014467022255223918
13.736008167266846,0.08544084591909283,15,0.014229301186828454,15,1714167127.9879282,0.014898823362632482,8.534388542175293,0.0006695221758040288
14.056628465652466,0.07215947987976373,16,0.01184346040027328,16,1714167128.3085485,0.012735006347399349,8.855077505111694,0.0008915459471260691
14.3864426612854,0.06480527161731367,17,0.00956709189601616,17,1714167128.6383626,0.0107965757772935,9.184812545776367,0.0012294838812773401
14.709057331085205,0.06252938711447434,18,0.008421341947417822,18,1714167128.9609773,0.009352329781322576,9.507483959197998,0.0009309878339047535
15.04634428024292,0.0619191594087078,19,0.007694277138338122,19,1714167129.2982643,0.008572018518152893,9.844731330871582,0.000877741379814771
15.695218324661255,0.053517588269591014,21,0.005950224910392795,20,1714167129.9471383,0.007092466856332249,10.493650197982788,0.001142241945939455
16.043495655059814,0.05133387442505614,22,0.005258135166337491,21,1714167130.2954156,0.006149339213530335,10.841896295547485,0.000891204047192844
16.37989830970764,0.04810417371368305,23,0.004945058482179343,22,1714167130.6318183,0.005814014151922644,11.178276300430298,0.0008689556697433012
17.038679838180542,0.04303988905058863,25,0.004423883407767392,23,1714167131.2905998,0.004966729476347933,11.837053775787354,0.0005428460685805412
17.684492349624634,0.042644314902500834,27,0.003823603484221522,24,1714167131.9364123,0.004279868371022936,12.482916355133057,0.00045626488680141443
18.014281034469604,0.03936191663396082,28,0.003757075330304156,25,1714167132.266201,0.004205365088117164,12.812638998031616,0.00044828975781300776
18.65953254699707,0.03763463331006521,30,0.003363410486217344,26,1714167132.9114525,0.003823430131606697,13.457931518554688,0.00046001964538935284
19.308804273605347,0.037464426127519435,32,0.0031877893091259986,27,1714167133.5607243,0.003584547701072624,14.107000827789307,0.00039675839194662553
19.918460845947266,0.03618299643432202,34,0.003141723184670192,28,1714167134.1703808,0.0035286098146089092,14.71686863899231,0.0003868866299387174
20.561591148376465,0.034398519316898135,36,0.0029077000140240424,29,1714167134.8135111,0.0032839295729443735,15.360032558441162,0.0003762295589203311
21.541223526000977,0.03258114018448421,39,0.002690577020276672,30,1714167135.7931435,0.0030418345432841865,16.339598178863525,0.0003512575230075148
22.183573961257935,0.03154720324226553,41,0.0025225295035178593,31,1714167136.435494,0.002861439574147847,16.982017755508423,0.0003389100706299876
23.17571997642517,0.027849265750129172,44,0.0021539429319608477,32,1714167137.42764,0.002521533176119093,17.97408366203308,0.0003675902441582455
24.172844409942627,0.023548197955198386,47,0.0017822816944933603,33,1714167138.4247644,0.00205419245718091,18.970782995224,0.00027191076268754993
25.138220071792603,0.021512583896803748,50,0.0013287556336964504,34,1714167139.39014,0.001557417067172538,19.936468839645386,0.00022866143347608783
26.119879722595215,0.020152728043739375,53,0.0009137228971467045,35,1714167140.3717997,0.001123988885989157,20.918265342712402,0.00021026598884245262
27.378207445144653,0.012671976515093185,57,0.0003832379012304821,36,1714167141.6301274,0.0005186118235984309,22.17664384841919,0.00013537392236794875
28.25580644607544,0.010215010888817003,60,0.00016122548086769414,37,1714167142.5077264,0.00024246606041680756,23.05422568321228,8.124057954911341e-05
29.454150438308716,0.009299787531240729,64,4.439596403561219e-05,38,1714167143.7060704,8.894154055247064e-05,24.252578258514404,4.4545576516858444e-05
30.758524656295776,0.006644052092941995,68,1.5736608851222548e-05,39,1714167145.0104446,4.123763294583561e-05,25.55687713623047,2.5501024094613056e-05
32.368571519851685,0.004467656886147774,73,6.898964192683379e-06,40,1714167146.6204915,2.1375163907586567e-05,27.166959285736084,1.4476199714903188e-05
