l2_error,time,_runtime,_timestamp,step,_step,loss_boundary,loss_interior,loss
0.21550802063273133,1.4172749519348145,5.5773468017578125,1714601763.0286517,0,0,0.11966100085340635,0.01668509951821564,0.13634610037162198
0.2082303743843305,2.024024248123169,5.8468337059021,1714601763.2981386,1,1,0.06821072285997176,0.0037809792621000355,0.0719917021220718
0.20690787040838313,2.2624411582946777,6.085314035415649,1714601763.536619,2,2,0.06807501291514001,0.002423753377547331,0.07049876629268734
0.20119916207853433,2.547767400741577,6.370503664016724,1714601763.8218086,3,3,0.06565048988957925,0.0028448360787079385,0.06849532596828718
0.19318283760260335,2.7776272296905518,6.600594758987427,1714601764.0518997,4,4,0.06274093105233744,0.0027027642217511286,0.06544369527408857
0.17553337029458593,3.002356767654419,6.826104640960693,1714601764.2774096,5,5,0.057659050338212114,0.0024790965113352546,0.060138146849547366
0.12348228859698729,3.2603049278259277,7.084281921386719,1714601764.5355868,6,6,0.04773431006761417,0.001842639067332334,0.04957694913494651
0.11597811613135942,3.4959545135498047,7.318650007247925,1714601764.769955,7,7,0.02853898710967422,0.0021253538591689573,0.030664340968843178
0.09962119003640464,3.7263073921203613,7.549008846282959,1714601765.0003138,8,8,0.017816600985129633,0.0031739099502955093,0.02099051093542514
0.0885077124666007,4.012557744979858,7.835383653640747,1714601765.2866886,9,9,0.016374652267627764,0.001871556791169083,0.018246209058796845
0.07468418576777722,4.2528769969940186,8.075554609298706,1714601765.5268595,10,10,0.012861636536856957,0.0010199233528095388,0.013881559889666497
0.06479619639340733,4.477088689804077,8.30068826675415,1714601765.7519932,11,11,0.0104371014773742,0.0012281389859865829,0.011665240463360782
0.04541700526655968,4.70706582069397,8.530734062194824,1714601765.982039,12,12,0.008201886999700122,0.0007808638368948169,0.008982750836594939
0.0433270033519364,4.935709714889526,8.759369373321533,1714601766.2106743,13,13,0.005043847175171007,0.001235380019252022,0.006279227194423029
0.031049041977760254,5.165572643280029,8.989392518997192,1714601766.4406974,14,14,0.0034301464677175355,0.001088111350774934,0.0045182578184924695
0.02378906518976315,5.398611307144165,9.221978664398193,1714601766.6732836,15,15,0.0025230191817947212,0.0008913668925735786,0.0034143860743683
0.01862254537151987,5.6267030239105225,9.450373649597168,1714601766.9016786,16,16,0.001580296847880718,0.00099166656348518,0.002571963411365898
0.016207042713429983,5.860551595687866,9.68324089050293,1714601767.1345458,17,17,0.0010794599816118424,0.0004951905500663901,0.0015746505316782326
0.014927912778297378,6.0912861824035645,9.913980722427368,1714601767.3652856,18,18,0.0007887809601034632,0.0003957674908113345,0.0011845484509147978
0.011291771965703006,6.328825950622559,10.151526927947998,1714601767.6028318,19,19,0.0005848955368699811,0.0002520454959581374,0.0008369410328281185
