l2_error,_timestamp,loss,_step,loss_boundary,loss_interior,step,time,_runtime
0.2584942057372672,1714603034.9816558,0.13634610037162198,0,0.11966100085340635,0.01668509951821564,0,1.3579719066619873,5.488356828689575
0.30562172466734255,1714603035.225695,0.12291588611185418,1,0.10871927449250478,0.014196611619349401,1,1.924933671951294,5.732395887374878
0.30522325990032595,1714603035.4511275,0.11522616390180797,2,0.11311827025276895,0.002107893649039023,2,2.1507816314697266,5.957828521728516
0.2889357048775429,1714603035.675176,0.1126584352499607,3,0.11021857366022053,0.002439861589740171,3,2.3744990825653076,6.18187689781189
0.2817107233546299,1714603035.89973,0.10594117244180776,4,0.09808197065615831,0.007859201785649443,4,2.599027633666992,6.406430959701538
0.2766211315205662,1714603036.1222637,0.10274578839704021,5,0.09708440961870647,0.005661378778333746,5,2.821503162384033,6.62896466255188
0.24465086411932474,1714603036.348514,0.10135436749494317,6,0.0970785055504327,0.0042758619445104696,6,3.0465569496154785,6.855215072631836
0.24193871453169025,1714603036.576164,0.08997225849285097,7,0.08561002539225297,0.00436223310059799,7,3.2758290767669678,7.082864999771118
0.22899885435237613,1714603036.798242,0.08827013611924224,8,0.08357082411564497,0.004699312003597267,8,3.4972493648529053,7.304943084716797
0.2168835398757902,1714603037.0247316,0.07612321531957422,9,0.07158513943513815,0.0045380758844360625,9,3.723604440689087,7.531432628631592
0.23954400599466585,1714603037.2553728,0.06930297674244938,10,0.06611725270710384,0.0031857240353455477,10,3.9549753665924072,7.762073755264282
0.19935141958415364,1714603037.485739,0.06481612157153226,11,0.06186849512473573,0.00294762644679652,11,4.185392141342163,7.9924399852752686
0.20833935956991956,1714603037.7190204,0.05992323330849998,12,0.05346142023194172,0.00646181307655826,12,4.418708086013794,8.22572135925293
0.2079774201774065,1714603037.9444406,0.057282646006810954,13,0.05134562897862833,0.005937017028182628,13,4.6440041065216064,8.451141595840454
0.21576314172766548,1714603038.173795,0.0564528513519859,14,0.05004825512722831,0.0064045962247575895,14,4.873361825942993,8.680495977401733
0.20977552855792467,1714603038.3982902,0.05577395301560694,15,0.051031789003510304,0.004742164012096636,15,5.097577810287476,8.904991149902344
0.20958150162864353,1714603038.6218312,0.053854402311386954,16,0.0489404904869913,0.004913911824395656,16,5.321213006973267,9.12853217124939
0.20866244829877753,1714603038.8517509,0.05218198349288514,17,0.045723319475832004,0.006458664017053131,17,5.551398038864136,9.358451843261719
0.20739274928444776,1714603039.0767844,0.05182103624406689,18,0.04529328307150901,0.006527753172557884,18,5.775744438171387,9.58348536491394
0.20780889869504268,1714603039.299704,0.051670522465822225,19,0.04498115452001366,0.006689367945808564,19,5.99894905090332,9.806405067443848
0.21758639762166568,1714603039.523948,0.051492882672487215,20,0.04494667353823081,0.006546209134256408,20,6.223254919052124,10.030648946762085
0.21758062664765734,1714603039.748298,0.049863929811098204,21,0.04588560010167464,0.003978329709423564,21,6.4476330280303955,10.254998922348022
0.21713831275586123,1714603039.9782372,0.049501241088742085,22,0.04555989660964499,0.003941344479097096,22,6.674328088760376,10.484938144683838
0.21699910451357432,1714603040.2073908,0.04941632869732026,23,0.04544743601223633,0.003968892685083929,23,6.9069812297821045,10.714091777801514
0.20698445289234713,1714603040.4414613,0.049358179007669284,24,0.045365409205178966,0.003992769802490321,24,7.1410181522369385,10.948162317276001
0.20544584003778665,1714603040.6702826,0.047962947602307474,25,0.04450455799715018,0.003458389605157294,25,7.369861125946045,11.17698359489441
0.20379725267072654,1714603040.8969393,0.0474062423007577,26,0.04370964066862142,0.0036966016321362725,26,7.596297264099121,11.403640270233154
0.2063493470601865,1714603041.1243622,0.04575103522068573,27,0.04306892065118799,0.00268211456949774,27,7.823986053466797,11.631063222885132
0.19476644969026818,1714603041.3489175,0.04519772393765773,28,0.042498300007858175,0.002699423929799555,28,8.048256874084473,11.855618476867676
0.18640161878380448,1714603041.57469,0.04381166666573323,29,0.041315560962746245,0.0024961057029869896,29,8.27413821220398,12.081391096115112
0.19568115939707303,1714603041.7944996,0.04224327750162832,30,0.03971270607580886,0.0025305714258194575,30,8.493705749511719,12.30120062828064
0.1932507820511275,1714603042.0291913,0.04151131947421121,31,0.0390797517487593,0.002431567725451907,31,8.728779792785645,12.535892248153687
0.16029434692796982,1714603042.2532573,0.038380798635183885,32,0.035934252058445436,0.0024465465767384517,32,8.952556848526001,12.759958267211914
0.14629902392109517,1714603042.4771187,0.03405069732471247,33,0.029266819345450654,0.004783877979261819,33,9.176480293273926,12.983819723129272
0.17588573530232202,1714603042.7055643,0.03057796716674078,34,0.02676277536808395,0.0038151917986568255,34,9.40502405166626,13.212265253067017
0.17736661458440658,1714603042.9281805,0.02708199541104431,35,0.02594494693645871,0.0011370484745856003,35,9.627554416656494,13.434881448745728
0.17720602839476818,1714603043.1515946,0.026542734746463,36,0.02548796015018797,0.0010547745962750325,36,9.850895643234253,13.658295631408691
0.15942263290465838,1714603043.3758194,0.026371449940354442,37,0.025350019901372454,0.0010214300389819874,37,10.075167417526245,13.8825204372406
0.1594519691531297,1714603043.5988069,0.02482533025127879,38,0.02297165778618301,0.0018536724650957768,38,10.298111200332642,14.105507850646973
0.16091277935372483,1714603043.8293931,0.02423834680016695,39,0.022286968405655944,0.0019513783945110076,39,10.529062509536743,14.33609414100647
0.1569906315455084,1714603044.0678585,0.023969432147492916,40,0.021949720118457423,0.002019712029035493,40,10.767515659332275,14.574559450149536
0.1308353222140049,1714603044.5114322,0.023305242844471788,41,0.02130784947425588,0.0019973933702159053,42,11.210326910018921,15.018133163452148
