_step,l2_error,_timestamp,_runtime,loss_interior,time,loss,step,loss_boundary
0,0.14457829205672865,1714219434.4082243,5.755669355392456,0.0002182996565360616,1.5150988101959229,0.06086582597867248,0,0.06064752632213642
1,0.14436268871967872,1714219434.4700863,5.81753134727478,8.027867165105004e-05,1.9548304080963135,0.06070184657479449,1,0.060621567903143436
2,0.14351883428843423,1714219434.530789,5.878233909606934,0.00023485652249605378,2.015566825866699,0.06039976735394894,2,0.06016491083145289
3,0.14358949972386945,1714219434.5913553,5.93880033493042,3.390818605947992e-05,2.076270341873169,0.06006963521541374,3,0.06003572702935426
4,0.1430918119950338,1714219434.6521313,5.9995763301849365,4.3716869436908874e-05,2.1368961334228516,0.05988304730615356,4,0.05983933043671665
5,0.14272862788346924,1714219434.7143517,6.06179666519165,1.1811663512296034e-05,2.1991024017333984,0.05975830994608827,5,0.05974649828257598
6,0.1415499757605583,1714219434.7767918,6.124236822128296,0.00029942976289520944,2.2600536346435547,0.05935141080326937,6,0.05905198104037416
7,0.14180434225435068,1714219434.8395622,6.187007188796997,3.3823351533452254e-05,2.3237416744232178,0.058987428654121134,7,0.05895360530258768
8,0.14109266514681912,1714219434.9033158,6.250760793685913,7.530919939024479e-05,2.3874499797821045,0.05882436276659472,8,0.05874905356720448
9,0.14053479190294213,1714219434.9668033,6.314248323440552,1.255991551073643e-05,2.4511539936065674,0.05864173787082021,9,0.05862917795530947
10,0.13870856642186438,1714219435.0293798,6.376824855804443,0.0006069167175582527,2.5136144161224365,0.058188999492036854,10,0.0575820827744786
11,0.13891388947412217,1714219435.0940585,6.441503524780273,7.39717402100254e-05,2.5781126022338867,0.057486331060797445,11,0.05741235932058742
12,0.1356358987561579,1714219435.1581903,6.5056352615356445,1.1335465892781679e-05,2.6422948837280273,0.0572820536229363,12,0.057270718157043515
13,0.1367713755909124,1714219435.2222137,6.5696587562561035,0.0005962119880479322,2.7063393592834473,0.05665758807911273,13,0.0560613760910648
14,0.13502061796106438,1714219435.2855968,6.633041858673096,6.023324543950111e-05,2.7696609497070312,0.055986263888243286,14,0.055926030642803784
15,0.1354636930720132,1714219435.348082,6.695527076721191,0.0001974547840941563,2.8323917388916016,0.05567682681578005,15,0.055479372031685896
16,0.1326643895357884,1714219435.4104068,6.757851839065552,2.3732552619826316e-05,2.894697666168213,0.05530946248137267,16,0.055285729928752844
17,0.1334660915008746,1714219435.4737353,6.82118034362793,0.00040957657764104436,2.95784330368042,0.054717870440257034,17,0.05430829386261599
18,0.1314067975143465,1714219435.537378,6.8848230838775635,4.734596152453185e-05,3.0216476917266846,0.05414510497487456,18,0.05409775901335003
19,0.13185645042994845,1714219435.6009402,6.948385238647461,0.000182754820989311,3.0852456092834473,0.05360876329806616,19,0.05342600847707685
20,0.1285496554922194,1714219435.723869,7.071314096450806,0.00012479069028876566,3.2080490589141846,0.052371410369864264,21,0.0522466196795755
21,0.12422528237124518,1714219435.7865663,7.134011268615723,0.0009572568063033696,3.2707979679107666,0.0512625537780909,22,0.05030529697178753
22,0.12474952755740014,1714219435.8498657,7.19731068611145,0.0004050920289684016,3.334071397781372,0.049809220267769794,23,0.049404128238801394
23,0.12129951820318743,1714219435.9708867,7.318331718444824,0.0015600845801532336,3.4551360607147217,0.04766880376484481,25,0.046108719184691574
24,0.11959548983881121,1714219436.0929887,7.440433740615845,0.000510638200286838,3.5770480632781982,0.04506380523328629,27,0.044553167032999455
25,0.11604639720011328,1714219436.156178,7.503623008728027,0.0007098564376935965,3.6406168937683105,0.043783610866105584,28,0.043073754428411985
26,0.127689027296499,1714219436.2794142,7.626859188079834,0.004383293745374743,3.763575315475464,0.038000816836518875,30,0.03361752309114413
27,0.1293980258660533,1714219436.4001555,7.747600555419922,0.0008352607985580897,3.884484052658081,0.034713224079409806,32,0.033877963280851714
28,0.12883138394433583,1714219436.522583,7.870028018951416,0.0008205155284508614,4.006730079650879,0.03404916848585141,34,0.03322865295740055
29,0.13110483549524318,1714219436.6499565,7.997401475906372,0.0008779678284126217,4.134070158004761,0.03352798520991462,36,0.03265001738150199
30,0.13161246396081924,1714219436.8301225,8.177567481994629,0.0005344819317317415,4.314197540283203,0.03296653075449896,39,0.032432048822767214
31,0.13495509335052325,1714219436.9520369,8.299481868743896,0.0010537978307202111,4.436236381530762,0.03198917432537419,41,0.030935376494653975
32,0.13206162185444625,1714219437.134375,8.481820106506348,0.0005392471162674934,4.618608713150024,0.03125246906357124,44,0.03071322194730374
33,0.13262032027654824,1714219437.3159103,8.663355350494385,0.0008846105226693748,4.800230503082275,0.030884321810206523,47,0.02999971128753715
34,0.13042769802410117,1714219437.4949524,8.842397451400757,0.0005149619230630089,4.979263067245483,0.030534063860398395,50,0.030019101937335386
35,0.1313358825578352,1714219437.6765254,9.023970365524292,0.00059029354530877,5.160678863525391,0.030290177784031962,53,0.029699884238723193
36,0.13079215762076862,1714219437.9140663,9.261511325836182,0.0005851746330957339,5.3982768058776855,0.03001488607145136,57,0.029429711438355627
37,0.12921288489182073,1714219438.092555,9.440000057220459,0.000486611214755741,5.57670783996582,0.02985227490752702,60,0.029365663692771278
38,0.1296041195158752,1714219438.330534,9.677978992462158,0.0004698264808674338,5.81473708152771,0.029602689372396337,64,0.029132862891528905
39,0.12895681932799685,1714219438.569541,9.916985988616943,0.00046242866307129803,6.053677558898926,0.029379986172170712,68,0.028917557509099415
40,0.1292006802852318,1714219438.8793664,10.226811408996582,0.0005071712936009868,6.363079786300659,0.02916494364200979,73,0.028657772348408803
