loss_boundary,loss_interior,time,l2_error,_runtime,_timestamp,step,loss,_step
0.11966100085340635,0.01668509951821564,1.5187983512878418,0.21431664155359195,5.748190641403198,1714595115.5484686,0,0.13634610037162198,0
0.08162051028151206,0.0022616527603230184,1.903487205505371,0.1975366094320817,5.816272258758545,1714595115.6165502,1,0.08388216304183507,1
0.07270026850199948,0.007280856873148477,1.9630568027496338,0.19408484648490013,5.875652313232422,1714595115.6759303,2,0.07998112537514795,2
0.06492593083238611,0.006615519599733663,2.0229194164276123,0.20839649647214567,5.935432195663452,1714595115.7357101,3,0.07154145043211978,3
0.06646348673309609,0.00282813060738954,2.089449405670166,0.22181588542766417,6.003906726837158,1714595115.8041847,4,0.06929161734048563,4
0.06708064257213195,0.0008426723546555269,2.1529674530029297,0.16441023713094188,6.065793037414551,1714595115.866071,5,0.06792331492678748,5
0.042518480904118056,0.015413807819342474,2.220038652420044,0.17436799986757165,6.1328489780426025,1714595115.933127,6,0.057932288723460526,6
0.04305498219752442,0.0037484184777528125,2.2809336185455322,0.17811020079978215,6.193842172622681,1714595115.9941201,7,0.04680340067527723,7
0.04273253351238027,0.00169536024837551,2.347895622253418,0.1276944246076902,6.260449171066284,1714595116.0607271,8,0.04442789376075578,8
0.03206165148982017,0.006629779645068904,2.4079065322875977,0.11163740677625782,6.320460081100464,1714595116.120738,9,0.03869143113488907,9
0.028129613878645616,0.002779678775370549,2.498060703277588,0.10783259035437436,6.410678148269653,1714595116.210956,10,0.030909292654016166,10
0.02593121283990138,0.001493626673938767,2.5582871437072754,0.09904735997395399,6.470853805541992,1714595116.2711318,11,0.027424839513840147,11
0.022718539903484672,0.003103590175011433,2.61734676361084,0.0898992756592142,6.529938459396362,1714595116.3302164,12,0.025822130078496104,12
0.018553092184942638,0.0009397661739105333,2.6775360107421875,0.08716381778283883,6.590351581573486,1714595116.3906295,13,0.01949285835885317,13
0.016169883442509362,0.0018288445728946413,2.739948272705078,0.08379838535055574,6.6528356075286865,1714595116.4531136,14,0.017998728015404003,14
0.012963316186887602,0.002297821373587808,2.8080215454101562,0.08266403426239458,6.720638990402222,1714595116.520917,15,0.01526113756047541,15
0.011564935721628127,0.0018603631292171809,2.87153697013855,0.08184851457843315,6.784271240234375,1714595116.5845492,16,0.013425298850845308,16
0.010766373865961411,0.0012226599677057817,2.930532455444336,0.08001626442821419,6.843029975891113,1714595116.643308,17,0.011989033833667192,17
0.009643357464433133,0.0014530357577854551,2.989673137664795,0.07781454038952716,6.9026594161987305,1714595116.7029374,18,0.011096393222218587,18
0.00904922824548628,0.0018162479975353304,3.049286127090454,0.07462021895597062,6.961704730987549,1714595116.7619827,19,0.01086547624302161,19
0.008477959462237885,0.0021360551546287594,3.108551263809204,0.07278361066067408,7.021098375320435,1714595116.8213763,20,0.010614014616866644,20
0.00786365515878241,0.002416231855953102,3.1691973209381104,0.07106884245439525,7.081949234008789,1714595116.8822272,21,0.010279887014735511,21
0.0076453747466485806,0.0021125278113515934,3.234429359436035,0.0743184232878239,7.146969318389893,1714595116.9472473,22,0.009757902558000174,22
0.008124886789498123,0.0006230828229458262,3.3052639961242676,0.0743184232878239,7.21792197227478,1714595117.0182,23,0.00874796961244395,23
0.008124886789498123,0.0006230828229458262,3.3656046390533447,0.07389897197649618,7.279999494552612,1714595117.0802774,24,0.00874796961244395,24
