loss_interior,_step,step,_timestamp,_runtime,time,l2_error,loss_boundary,loss
0.0002182996565360616,0,0,1714115791.314544,5.504783868789673,1.3595490455627441,0.14381475845084887,0.06064752632213642,0.06086582597867248
0.00023905423785909615,1,1,1714115791.7132852,5.903525114059448,2.0809903144836426,0.14269622341974503,0.06034867319171492,0.060587727429574016
0.00026840740826082523,2,2,1714115791.885901,6.076140880584717,2.253685474395752,0.1412159468873377,0.05983998335058269,0.06010839075884351
0.0005420932462082056,3,3,1714115792.0585606,6.24880051612854,2.426323175430298,0.13997282551987397,0.05702458927720386,0.057566682523412065
0.000872537537410101,4,4,1714115792.2271948,6.4174346923828125,2.5950024127960205,0.13852779106820484,0.054438828833575224,0.055311366370985326
0.0010619705313267475,5,5,1714115792.4661558,6.656395673751831,2.833904981613159,0.13690995811667872,0.05276134690803319,0.05382331743935994
0.0013306798755821252,6,6,1714115792.6470485,6.8372883796691895,3.014744997024536,0.13337698349636984,0.05056125231479966,0.05189193219038178
0.0019000679986893672,7,7,1714115792.8777714,7.068011283874512,3.245561122894287,0.13217339820019827,0.04542624056856857,0.04732630856725793
0.0025772217015348144,8,8,1714115793.202526,7.392765998840332,3.5699143409729004,0.12885476324134687,0.039552560146332294,0.04212978184786711
0.0030524421030817847,9,9,1714115793.457366,7.647605895996094,3.8252363204956055,0.11944246251348405,0.0339877903853897,0.037040232488471485
0.003871224751433505,10,10,1714115793.93811,8.128350019454956,4.304355144500732,0.10938537334244064,0.027238883049360584,0.03111010780079409
0.0038685369631283875,11,11,1714115794.3422797,8.532519578933716,4.710196256637573,0.15661991277049028,0.025246322908475276,0.029114859871603664
0.0029704884911233727,12,12,1714115794.86065,9.05088996887207,5.228641510009766,0.13852511606155907,0.029615227248058023,0.0325857157391814
0.003120297969073677,13,13,1714115795.6443207,9.834560632705688,6.012236833572388,0.06427331408554299,0.0238318440324505,0.026952142001524175
0.0029675730411024906,14,14,1714115796.1572418,10.347481727600098,6.5250160694122314,0.07095572621327718,0.00930641981071365,0.012273992851816141
0.002550539477848331,15,15,1714115796.8187551,11.008995056152344,7.186453342437744,0.07298833993308511,0.007781197633645557,0.010331737111493888
0.0025353334299934934,16,16,1714115797.6581106,11.848350524902344,8.025429725646973,0.0769063069265824,0.007304730519655183,0.009840063949648677
0.0025355027423869685,17,17,1714115798.0860975,12.276337385177612,8.453694343566895,0.08990053784646154,0.006973124453662367,0.009508627196049335
0.0025133750207387093,18,18,1714115798.5475445,12.737784385681152,8.915427207946777,0.09445121257440423,0.0069294565401133825,0.009442831560852093
0.002437579481518448,19,19,1714115800.185098,14.375337839126587,10.552462339401245,0.11019980516274949,0.0068733636967192105,0.00931094317823766
0.0019486118537182144,20,21,1714115801.1015975,15.291837453842163,11.466821193695068,0.08661618942692653,0.006012140118560555,0.00796075197227877
0.0019626033617033962,21,22,1714115801.6589534,15.849193334579468,12.026746273040771,0.08081046377488618,0.005457786373105303,0.0074203897348086995
0.0019902497896258837,22,23,1714115802.052876,16.24311590194702,12.41980528831482,0.07611536330516293,0.0050175448479372435,0.007007794637563127
0.0020263083270979916,23,25,1714115802.9290326,17.119272470474243,13.296874046325684,0.06638593531902963,0.004303762183123521,0.006330070510221513
0.0020375658964555273,24,27,1714115804.0578558,18.248095750808716,14.42544174194336,0.058694193655336825,0.00361393653275629,0.005651502429211817
0.0019481981547123915,25,28,1714115804.4203026,18.61054253578186,14.788205623626709,0.055648175471029675,0.003268014119101565,0.005216212273813956
0.0019294515080973194,26,30,1714115805.1484458,19.338685750961304,15.51631784439087,0.04966647948441625,0.0027272119636371638,0.004656663471734483
0.0019430649296819855,27,32,1714115806.2423334,20.432573318481445,16.610079288482666,0.04584135477366572,0.002429923192871041,0.004372988122553026
0.0016340275475088264,28,34,1714115807.8900905,22.08033037185669,18.258037090301514,0.04455803589338531,0.0018515937120607516,0.003485621259569578
0.0015903112787286789,29,36,1714115808.6907153,22.8809552192688,19.058196783065796,0.04326137578543808,0.0015086910073557613,0.00309900228608444
0.0015383049868073382,30,39,1714115810.088997,24.279236793518066,20.45681595802307,0.04360611067577673,0.0012879100082012003,0.0028262149950085387
0.0013693830167682691,31,41,1714115810.8205543,25.010794162750244,21.188424825668335,0.044065215064086595,0.0012353157449131152,0.0026046987616813845
0.0008293241682770362,32,44,1714115813.6113951,27.801635026931763,23.978965759277344,0.030772388529731503,0.0008901542218693072,0.0017194783901463434
0.000763804319439641,33,47,1714115815.2144558,29.404695749282837,25.582067489624023,0.03148462127515514,0.0006986599743037651,0.001462464293743406
0.0006182660918895756,34,50,1714115816.8176048,31.00784468650818,27.18555974960327,0.036733596387682324,0.0007399066294109774,0.001358172721300553
0.00041755833007619793,35,53,1714115819.2024384,33.39267826080322,29.57016682624817,0.02780638349267095,0.0008115312755591453,0.0012290896056353431
0.00030094140035233466,36,57,1714115821.5471528,35.73739266395569,31.914819955825806,0.027406154931643296,0.0005396543588889043,0.0008405957592412389
0.0002388575367411883,37,60,1714115824.3729203,38.56316018104553,34.74084234237671,0.02564983286400452,0.0003413459035744161,0.0005802034403156043
0.00019373479611137004,38,64,1714115827.477944,41.66818380355835,37.84559488296509,0.02335911850134035,0.0002630104724633888,0.00045674526857475883
0.0001212509364573535,39,68,1714115829.8076093,43.997849225997925,40.17495799064636,0.019118101999684292,0.00018549330726985407,0.00030674424372720754
0.00010046154393118281,40,73,1714115833.4957647,47.686004638671875,43.86362981796265,0.01716464134805918,0.00015283465280408666,0.0002532961967352695
