_step,loss,time,step,_timestamp,loss_interior,_runtime,loss_boundary,l2_error
0,0.13634610037162198,1.5121965408325195,0,1714596784.8692555,0.01668509951821564,5.56880259513855,0.11966100085340635,0.2252217800538081
1,0.08770207740739813,1.8321549892425537,1,1714596784.9342418,0.0004457103390797305,5.633788824081421,0.08725636706831841,0.18516788585830254
2,0.07647042310755627,1.8919920921325684,2,1714596784.9943023,0.01058498080281189,5.693849325180054,0.06588544230474437,0.18463156714834952
3,0.0743960575282787,1.9579293727874756,3,1714596785.0602598,0.012611697526044404,5.759806871414185,0.0617843600022343,0.2194619185493091
4,0.0710920732048244,2.0176291465759277,4,1714596785.1216762,0.005506117692104531,5.821223258972168,0.06558595551271987,0.22538660514293496
5,0.0709633923938587,2.0850791931152344,5,1714596785.1877537,0.004500544165388581,5.887300729751587,0.06646284822847011,0.2312776497969354
6,0.07083897766652308,2.14660382270813,6,1714596785.2493472,0.003410682469804667,5.948894262313843,0.06742829519671842,0.2339605596112384
7,0.07078675781212587,2.208132266998291,7,1714596785.3109012,0.0028871007273541566,6.010448217391968,0.06789965708477172,0.2385588158592107
8,0.07072677027199224,2.2693755626678467,8,1714596785.3720245,0.001961307897204441,6.071571588516235,0.0687654623747878,0.24026990163728917
9,0.07071276481517338,2.330782890319824,9,1714596785.433515,0.0016022356260209933,6.133062124252319,0.06911052918915239,0.2423401015124964
10,0.07066852984219764,2.3928027153015137,10,1714596785.495471,0.0010853532872478506,6.19501805305481,0.06958317655494979,0.24281288724720723
11,0.07056833778815234,2.4543516635894775,11,1714596785.5570884,0.0007923881722568403,6.256635427474976,0.0697759496158955,0.23830012325574484
12,0.06997693898359195,2.5164432525634766,12,1714596785.619222,0.00047557754624047714,6.3187689781188965,0.06950136143735147,0.2196970562094863
13,0.06836319772131232,2.5851640701293945,13,1714596785.687925,0.0009965250564151228,6.387472152709961,0.0673666726648972,0.2098693782826952
14,0.06770364271351417,2.6501123905181885,14,1714596785.7528296,0.0020545456644434543,6.4523766040802,0.06564909704907072,0.20507071958742304
15,0.06756043294695178,2.718026876449585,15,1714596785.8207033,0.003142097274890866,6.52025032043457,0.06441833567206091,0.2027181631970175
16,0.0675121895728834,2.7783679962158203,16,1714596785.8811002,0.0038545776304605168,6.580647230148315,0.06365761194242288,0.2004316286087853
17,0.06742179973820306,2.8390512466430664,17,1714596785.941747,0.004625975227547728,6.641294002532959,0.06279582451065534,0.19625011721687122
18,0.06715316176315828,2.898850440979004,18,1714596786.0013218,0.006142384875871861,6.700868844985962,0.06101077688728642,0.18375285803823027
19,0.06579499437912627,2.958364725112915,19,1714596786.0610003,0.010855175746097085,6.760547399520874,0.054939818633029186,0.22886795983069136
20,0.05614048211657891,3.017402410507202,20,1714596786.1198227,0.0035357301044481163,6.819369792938232,0.052604752012130794,0.17232496789461255
21,0.04928948139093878,3.082878351211548,21,1714596786.1853342,0.01150041237451759,6.884881258010864,0.037789069016421185,0.1505541687310801
22,0.040309837727169714,3.141860246658325,22,1714596786.2443423,0.007250912277557839,6.943889379501343,0.03305892544961188,0.132138409393104
23,0.03858950728932396,3.201331615447998,23,1714596786.3037665,0.007771822448405147,7.0033135414123535,0.030817684840918815,0.11082710225664834
24,0.03530833696130369,3.2606968879699707,24,1714596786.363148,0.007099759475128196,7.062695026397705,0.028208577486175498,0.11298678092965023
25,0.035027472840333064,3.3200368881225586,25,1714596786.4224982,0.007223858855981885,7.122045278549194,0.027803613984351182,0.11160850159624139
