step,_step,l2_error,_timestamp,loss_interior,_runtime,loss,time,loss_boundary
0,0,4.670480202897635,1715447780.832343,122.66030248931287,5.263548135757446,124.1572763305401,1.0167033672332764,1.496973841227229
1,1,14.166883242992196,1715447780.9473898,52915.523875161925,5.378594875335693,52927.150935881604,1.3673739433288574,11.627060719677177
2,2,15.006776828910468,1715447781.0450199,118.34714319028677,5.476224899291992,217.7932828266521,1.4642071723937988,99.44613963636533
3,3,14.473909417987073,1715447781.1421185,126.95738669446747,5.573323488235474,239.69727408644167,1.5608799457550049,112.7398873919742
4,4,13.515696737306929,1715447781.2233782,144.67340122898977,5.654583215713501,249.7647430258522,1.657881498336792,105.09134179686242
5,5,12.485687934539401,1715447781.3031926,146.25918962187708,5.734397649765015,238.6728183820244,1.73854660987854,92.41362876014732
6,6,11.721308534864619,1715447781.3829024,120.06606728449492,5.814107418060303,197.6376503682272,1.8184242248535156,77.57158308373229
7,7,11.060689610854778,1715447781.46273,120.68247706627568,5.893934965133667,189.46722855261902,1.8981223106384277,68.78475148634335
8,8,10.452621454309291,1715447781.5429127,124.24023478422511,5.974117755889893,185.68948480304567,1.9786148071289062,61.44925001882055
9,9,9.88837647757966,1715447781.622697,126.86915162089777,6.0539021492004395,180.82629589052456,2.0583479404449463,53.957144269626795
10,10,9.36245795110156,1715447781.7039647,124.69092559763152,6.135169744491577,174.46190896938657,2.1382367610931396,49.77098337175504
11,11,8.870830460979468,1715447781.7855852,125.45406581638719,6.216790199279785,168.78670445906093,2.2207963466644287,43.33263864267374
12,12,8.40983448387423,1715447781.866888,120.26125754414507,6.29809308052063,159.90258434910643,2.3021938800811768,39.641326804961366
13,13,7.976782479979239,1715447781.9481182,118.77105798093794,6.379323244094849,153.23800668735038,2.3831984996795654,34.466948706412424
14,14,7.568835712747979,1715447782.029625,115.7508384637994,6.460829973220825,148.6555459284694,2.464811086654663,32.90470746467001
15,15,7.183879829863025,1715447782.1118941,117.70310690502983,6.5430991649627686,147.62127402953433,2.5472755432128906,29.918167124504514
16,16,6.820212486752812,1715447782.1936066,120.57602841917289,6.62481164932251,147.45272336354708,2.6290478706359863,26.876694944374208
17,17,6.476602098482707,1715447782.2751021,120.10145617481655,6.7063071727752686,143.54658497635018,2.710348606109619,23.445128801533638
18,18,6.151491275449175,1715447782.3567803,120.6916641380941,6.787985324859619,142.29125875021748,2.7921109199523926,21.599594612123386
19,19,5.843701029228447,1715447782.438106,124.32767186420065,6.869311094284058,143.9110483343168,2.8732619285583496,19.583376470116157
20,20,5.55219243588031,1715447782.5196671,126.1383005877613,6.950872182846069,143.74761992219396,2.954629898071289,17.609319334432662
21,21,5.276259052989305,1715447782.6036973,127.56854945813188,7.034902334213257,142.78410349851345,3.036222219467163,15.215554040381557
22,22,5.01486265180289,1715447782.6906266,118.94018732847546,7.121831655502319,133.12417755570138,3.125715494155884,14.183990227225921
23,23,4.7672145701009905,1715447782.7720623,124.0985105355671,7.203267335891724,136.44633756026784,3.207347869873047,12.347827024700745
24,24,4.5335086090470655,1715447782.8537066,124.04785672793382,7.284911632537842,135.51054516301252,3.2888426780700684,11.462688435078704
25,25,4.31217559435055,1715447782.9370098,119.92621024439848,7.368214845657349,129.951943134372,3.372218370437622,10.0257328899735
26,26,4.102651712212347,1715447783.0182347,119.52286226420763,7.449439764022827,129.12944139994312,3.453298330307007,9.60657913573549
27,27,3.904853423938378,1715447783.0998266,123.1043801107068,7.531031608581543,131.37824794424998,3.5350019931793213,8.27386783354318
28,28,3.7179301213711633,1715447783.1866136,117.87530100375896,7.617818593978882,125.81631917025943,3.6212377548217773,7.941018166500466
29,29,3.5417535465800345,1715447783.2678628,124.13760611198151,7.699067831039429,131.0552757116706,3.703146457672119,6.917669599689089
30,30,3.375990430878394,1715447783.3491948,124.01214066499514,7.780399799346924,130.04441884677078,3.784426212310791,6.032278181775635
31,31,3.219892284205664,1715447783.4304163,125.44515720495981,7.861621379852295,131.5327948079355,3.8655567169189453,6.087637602975663
32,32,3.0734450407251708,1715447783.5118048,121.47462697790395,7.943009853363037,126.58499493034161,3.946943759918213,5.110367952437658
33,33,2.9363541885492235,1715447783.5930614,118.54660292146202,8.024266481399536,123.17858449269359,4.0280678272247314,4.631981571231567
34,34,2.8080482140382848,1715447783.6744,123.89302647643932,8.105605125427246,128.5164997899073,4.109462022781372,4.623473313467995
35,35,2.688062151848953,1715447783.7556956,116.13860259230553,8.186900615692139,120.38755965157026,4.190828323364258,4.248957059264726
36,36,2.5761850867147285,1715447783.8370414,118.22158171533263,8.268246412277222,122.20261061696262,4.27212119102478,3.9810289016299882
37,37,2.4722119793131943,1715447783.9184048,123.49912149526027,8.349609851837158,127.07415758356899,4.353438377380371,3.5750360883087238
38,38,2.375898795883184,1715447783.9996881,119.08601424950636,8.430893182754517,122.25642651170658,4.434807538986206,3.17041226220022
39,39,2.286943124479789,1715447784.0808935,124.28820208615353,8.512098550796509,127.41108296577424,4.515920639038086,3.122880879620706
40,40,2.204906158096859,1715447784.162252,124.54972316278545,8.593456983566284,127.61415240705247,4.5971550941467285,3.0644292442670222
42,41,2.061840014268711,1715447784.3037803,120.89057388752187,8.7349853515625,123.1830110265329,4.7390172481536865,2.2924371390110214
46,42,1.8507323219875573,1715447784.5638936,118.87065231911927,8.99509859085083,121.12174230459972,4.998858213424683,2.251089985480442
50,43,1.7179537469174802,1715447784.8242617,118.44627395872502,9.25546669960022,120.4917176477368,5.259474515914917,2.0454436890117957
