time,l2_error,step,_timestamp,loss,_step,_runtime,loss_boundary,loss_interior
1.6653809547424316,1.5767443347305297,0,1715450932.6510801,124.1572763305401,0,5.7393622398376465,1.496973841227229,122.66030248931287
2.3590776920318604,15.172797646711823,1,1715450933.0866249,124.15726822169113,1,6.174906969070435,1.4969726895887918,122.66029553210234
2.7701756954193115,3.850001435378895,2,1715450933.497308,605543.1679695155,2,6.585590124130249,114.83606924701756,605428.3319002686
3.181392192840576,2.420932808902612,3,1715450933.908539,28870.536843682487,3,6.996821165084839,8.371119664271966,28862.165724018214
3.5929856300354004,1.9486780925276035,4,1715450934.3201509,6820.383092196874,4,7.408432960510254,3.4134049345777466,6816.969687262296
4.004654407501221,1.840592951437323,5,1715450934.7318408,523.1192570326908,5,7.820122957229614,2.341796506590732,520.7774605261001
4.416287183761597,1.7638034290125508,6,1715450935.1448612,234.79929268454384,6,8.233143329620361,2.171372182978838,232.627920501565
4.829063892364502,1.6531179217456575,7,1715450935.5561974,169.28828678375925,7,8.644479513168335,2.0439683271352727,167.24431845662397
5.240533113479614,1.6542661511426606,8,1715450935.967712,115.59084939437147,8,9.055994033813477,1.862940681436625,113.72790871293485
5.652460813522339,1.6811257865010991,9,1715450936.379612,52.85019131781116,9,9.467894077301025,1.8649428070636678,50.98524851074749
6.064199686050415,1.6548868718498801,10,1715450936.7913404,43.02471731685656,10,9.879622459411621,1.939839566156843,41.08487775069972
6.476007461547852,1.646456995741198,11,1715450937.2033048,28.33032399595612,11,10.291586875915527,1.8764504938277828,26.45387350212834
6.888169050216675,1.654918000703605,12,1715450937.6153214,23.042805391437177,12,10.703603506088257,1.845538552936662,21.197266838500514
7.299757957458496,1.6833637672161794,13,1715450938.0269053,17.94737200997075,13,11.115187406539917,1.8522734974429118,16.095098512527837
7.711867570877075,1.6830617640808396,14,1715450938.4390461,14.449959347984159,14,11.527328252792358,1.9059175608745864,12.544041787109572
8.123361349105835,1.6310322824546808,15,1715450938.850534,12.809844549995619,15,11.93881607055664,1.9011681536111775,10.908676396384442
8.535399198532104,1.5853452435379154,16,1715450939.2625422,9.813391835372244,16,12.350824356079102,1.7846487621442393,8.028743073228004
8.947239398956299,1.4983025869084405,17,1715450939.6743834,8.675098006166774,17,12.762665510177612,1.6895511881072731,6.9855468180595
9.358806848526001,1.411311321153548,18,1715450940.0859184,7.375610351371572,18,13.174200534820557,1.5192685879991144,5.856341763372457
9.770949602127075,1.3446566655203498,19,1715450940.4981914,5.954062565109657,19,13.58647346496582,1.34464000817423,4.609422556935427
10.18288779258728,1.2610563671579813,20,1715450940.9100323,5.240542090807133,20,13.998314380645752,1.2113084920483699,4.029233598758763
10.59517502784729,1.136453314246172,21,1715450941.3222914,4.714395317205413,21,14.410573482513428,1.0629757675433364,3.6514195496620765
11.007283687591553,1.026334712028356,22,1715450941.7345266,3.985506960802785,22,14.822808742523193,0.8660486714902669,3.119458289312518
11.419165134429932,0.8893132409298021,23,1715450942.1463048,3.5608475325310907,23,15.234586954116821,0.7064962679092975,2.8543512646217932
11.83090853691101,0.8115661923457582,24,1715450942.5580678,3.113486041667681,24,15.646349906921387,0.5262965968263347,2.587189444841346
12.243357419967651,0.7395751337067354,25,1715450942.970826,2.77019197104674,25,16.059108018875122,0.4354618903052262,2.334730080741514
12.656939506530762,0.6682807982388805,26,1715450943.38407,2.513936097071498,26,16.472352027893066,0.36230605422327483,2.151630042848223
13.068412065505981,0.5538266335534895,27,1715450943.7955697,2.3434133862832645,27,16.883851766586304,0.2953318960625272,2.048081490220737
13.479745626449585,0.4884282975996212,28,1715450944.2068603,2.0410969977759277,28,17.29514241218567,0.20189783693531063,1.8391991608406169
13.891334056854248,0.42766155310210574,29,1715450944.6184566,1.8713325509803573,29,17.706738710403442,0.16019022929385418,1.7111423216865032
14.302950382232666,0.3964857622719608,30,1715450945.0300913,1.7068515454754365,30,18.11837339401245,0.12785314251639626,1.5789984029590403
14.714563846588135,0.37119043217962755,31,1715450945.4416795,1.5893328369178799,31,18.529961585998535,0.11278044963800554,1.4765523872798743
15.126451969146729,0.3447015149481,32,1715450945.8535595,1.4962615911564074,32,18.94184160232544,0.1019200739808045,1.3943415171756028
15.538213968276978,0.3241154442508192,33,1715450946.2653625,1.4065466433089537,33,19.353644609451294,0.09179060714377474,1.314756036165179
15.950601816177368,0.3179835068300841,34,1715450946.6777747,1.2480835761342857,34,19.766056776046753,0.08468994405367002,1.1633936320806157
16.362664461135864,0.31913215350844254,35,1715450947.0898592,1.119824696427792,35,20.178141355514526,0.0835238740154803,1.0363008224123118
16.774429082870483,0.3215048582194901,36,1715450947.5015345,1.0006625585567852,36,20.589816570281982,0.0848093850113976,0.9158531735453876
17.18606209754944,0.3195949573445894,37,1715450947.913156,0.849951885440909,37,21.00143814086914,0.0859088339393547,0.7640430515015544
17.59733009338379,0.3157144614922637,38,1715450948.3244472,0.744002002574879,38,21.412729263305664,0.08518890008780224,0.6588131024870768
18.009180068969727,0.30544098783401064,39,1715450948.73629,0.6455943000345163,39,21.82457208633423,0.08321708500571916,0.5623772150287972
18.420799016952515,0.297600102358412,40,1715450949.1478794,0.5418215974977418,40,22.236161470413208,0.07803483183665591,0.46378676566108595
19.223223447799683,0.2786402152551147,42,1715450949.950362,0.4230308808099347,41,23.038644075393677,0.07030220118408836,0.3527286796258463
20.806791305541992,0.2581628981154171,46,1715450951.5338893,0.23905733838725246,42,24.62217140197754,0.05501419543923478,0.18404314294801769
