l2_error,_step,loss_boundary,step,loss,loss_interior,time,_runtime,_timestamp
1.2863465729029293,0,1.496973841227229,0,124.1572763305401,122.66030248931287,2.2069687843322754,6.302953720092773,1715441674.8264747
0.7506872830263226,1,0.7605143566558836,1,106.92341782838075,106.16290347172486,3.2348086833953857,7.081732273101807,1715441675.6052532
1.1121367853369402,2,0.32574584395686706,2,87.87485083260633,87.54910498864946,4.012998342514038,7.85867977142334,1715441676.3822007
0.8297498227039887,3,0.7057796976755303,3,57.87922297932501,57.173443281649476,4.790501356124878,8.63614559173584,1715441677.1596665
1.2362563692873922,4,0.5105323886965324,4,41.02314579091503,40.5126134022185,5.56780219078064,9.413491487503052,1715441677.9370124
1.654978839978685,5,1.0919745904498424,5,33.128838549894134,32.03686395944429,6.346243381500244,10.192383289337158,1715441678.7159042
1.6913925689776854,6,1.8526704086460317,6,22.906662711990815,21.053992303344785,7.124230623245239,10.969935178756714,1715441679.4934561
1.779756905202988,7,1.9909913143389986,7,21.13567245153002,19.14468113719102,7.900757312774658,11.746507167816162,1715441680.270028
1.8800353237556975,8,2.1118032806915257,8,19.811846785677943,17.700043504986418,8.677606344223022,12.52330756187439,1715441681.0468285
1.9147488301159137,9,2.4262592180430174,9,18.476651373539028,16.05039215549601,9.455962419509888,13.301920652389526,1715441681.8254416
1.9837842995657549,10,2.4094685828297626,10,17.209156245117338,14.799687662287576,10.233581304550171,14.079320907592773,1715441682.6028419
1.9889086053450877,11,2.683346615998881,11,15.636888153632993,12.953541537634113,11.010854005813599,14.856857538223267,1715441683.3803785
2.024968076287782,12,2.63493274255465,12,14.130596087604602,11.495663345049952,11.791318416595459,15.637330532073975,1715441684.1608515
1.9827653180990772,13,2.795326309606877,13,12.974006142657377,10.1786798330505,12.572863578796387,16.418673038482666,1715441684.942194
1.8765360937373332,14,2.637973678244681,14,11.918666872536166,9.280693194291485,13.351217031478882,17.19728946685791,1715441685.7208104
1.7796791707853319,15,2.3776273661610468,15,8.576342124028162,6.198714757867115,14.130106687545776,17.976175546646118,1715441686.4996965
1.7276034836343923,16,2.1058590252554756,16,7.732534156279047,5.626675131023571,14.909892082214355,18.75619649887085,1715441687.2797174
1.7046385282908014,17,2.039041840407744,17,7.034022362330532,4.9949805219227885,15.69070553779602,19.53682565689087,1715441688.0603466
1.6401678201131036,18,1.930960250962812,18,6.148368892594773,4.217408641631961,16.471057415008545,20.317203760147095,1715441688.8407247
1.640953682647645,19,1.8144009691175251,19,5.524717178005267,3.710316208887742,17.250471353530884,21.0966374874115,1715441689.6201584
1.5882742528253335,20,1.783473700356678,20,5.0400219230816905,3.2565482227250127,18.02976703643799,21.875975847244263,1715441690.3994968
1.436806274255573,21,1.6924627943065638,21,4.6699725497518525,2.977509755445289,18.809823513031006,22.656126976013184,1715441691.179648
1.375287808812472,22,1.3622277373827447,22,3.391383675684791,2.029155938302046,19.590487718582153,23.43682551383972,1715441691.9603465
1.3684444068385855,23,1.2701498106758469,23,3.140594164455986,1.8704443537801392,20.37146019935608,24.217837810516357,1715441692.7413588
1.3050830000102867,24,1.2436692992356393,24,2.944626375597326,1.7009570763616868,21.152167558670044,24.99853277206421,1715441693.5220537
1.3074190213029442,25,1.1479924734115976,25,2.816352025387534,1.6683595519759367,21.93227219581604,25.778658151626587,1715441694.302179
0.9172182344944944,26,1.1402283840766767,26,2.6753969754701044,1.5351685913934277,22.715975046157837,26.562399864196777,1715441695.0859208
0.9289586540673698,27,0.5753906179545375,27,2.0460083386871513,1.4706177207326137,23.49967098236084,27.34607172012329,1715441695.8695927
0.9343800966180271,28,0.5793222773733421,28,1.8269514635939346,1.2476291862205926,24.281254291534424,28.127756357192993,1715441696.6512773
0.8945076178492354,29,0.5772838081591227,29,1.7734330032626817,1.196149195103559,25.0647451877594,28.911457777023315,1715441697.4349787
0.8874473393265734,30,0.5371840434847756,30,1.6948489581963067,1.157664914711531,25.847014665603638,29.693612098693848,1715441698.217133
0.7378199476873746,31,0.5221073524157358,31,1.6269772504886595,1.1048698980729237,26.629271507263184,30.4759578704834,1715441698.9994788
0.7319219792175821,32,0.3671166921485543,32,1.392392144702579,1.0252754525540249,27.413084745407104,31.259807109832764,1715441699.783328
0.6879694041827766,33,0.35133037061621986,33,1.3028779459728215,0.9515475753566015,28.195136785507202,32.04177689552307,1715441700.5652978
0.6757504459844125,34,0.3171381394764262,34,1.2424184657164052,0.925280326239979,28.976866722106934,32.82337307929993,1715441701.346894
0.5257493987208682,35,0.3016256855597109,35,1.1905076641330363,0.8888819785733255,29.758046865463257,33.60451531410217,1715441702.1280363
0.5195393999613998,36,0.18897050351887665,36,1.0717833147313103,0.8828128112124337,30.539133071899414,34.3856475353241,1715441702.9091685
0.5091583071065098,37,0.18093678042021769,37,0.9355495659123888,0.7546127854921711,31.320608377456665,35.16728234291077,1715441703.6908033
0.49413939708235755,38,0.1709244505097474,38,0.9160902206049277,0.7451657700951804,32.10167336463928,35.948137044906616,1715441704.471658
0.4011183891015514,39,0.16325343496764316,39,0.8807424021643278,0.7174889671966845,32.88277792930603,36.729267835617065,1715441705.2527888
0.38762980564766447,40,0.10376553987186622,40,0.7794268913741443,0.6756613515022781,33.66398286819458,37.5104877948761,1715441706.0340087
0.368257051816078,41,0.09574502550250745,42,0.6661313724726052,0.5703863469700978,35.206506967544556,39.05306839942932,1715441707.5765893
0.30508392290588215,42,0.07085588590733022,46,0.543473579707951,0.47261769380062074,38.269689083099365,42.11631941795349,1715441710.6398404
