_step,step,time,_runtime,l2_error,loss_boundary,loss,loss_interior,_timestamp
0,0,1.6284081935882568,2.6712965965270996,1.3782091307500945,1.496973841227229,124.1572763305401,122.66030248931287,1730044471.9140315
1,1,3.062767505645752,3.5731186866760254,2.2606587953884003,1.0299692274483192,119.7747502950301,118.74478106758178,1730044472.8158536
2,2,4.885650396347046,5.396192789077759,1.8128700249823197,2.5425475935988233,77.35120477419926,74.80865718060043,1730044474.6389277
3,3,6.962222099304199,7.474070072174072,1.6187608658997745,1.9904947955890744,62.76439629935588,60.77390150376681,1730044476.716805
4,4,9.737847805023193,10.248790740966797,1.5894947411097657,1.687087919060966,41.29794242430274,39.610854505241775,1730044479.4915257
5,5,12.488687992095947,12.999654769897461,1.4321604317412782,1.4172811948295863,14.485458216082565,13.068177021252978,1730044482.2423897
6,6,15.527555465698242,16.038241386413574,0.7509871302382546,1.494467908452721,7.505265097170227,6.010797188717506,1730044485.2809763
7,7,18.953089714050293,19.464170217514038,0.5040919088056998,0.34408702342655273,3.9881265479627737,3.644039524536221,1730044488.7069051
8,8,23.389720916748047,23.900623083114624,0.35004495921786344,0.1734022483014344,1.19135270603056,1.0179504577291256,1730044493.143358
9,9,28.669641733169556,29.180691719055176,0.3100783408836433,0.0957536048519562,0.7168683520728277,0.6211147472208716,1730044498.4234266
10,10,35.17735719680786,35.68826198577881,0.2344096245893546,0.08610008568479863,0.1869807840969412,0.10088069841214257,1730044504.930997
11,11,42.33300423622131,42.84414553642273,0.17038507413512427,0.04297790267450941,0.10764332354561018,0.06466542087110078,1730044512.0868804
12,12,50.013779640197754,50.52467370033264,0.1095517481424142,0.025271788703257806,0.06198843720596507,0.03671664850270726,1730044519.7674086
13,13,57.86928987503052,58.38054275512695,0.06683220611362929,0.009100960862173636,0.03794148749467762,0.028840526632503985,1730044527.6232777
14,14,67.13871121406555,67.64976096153259,0.0374402654951523,0.003291942579593156,0.018423954737109987,0.01513201215751683,1730044536.8924959
15,15,77.00976395606995,77.5210931301117,0.02332404784661095,0.0013414188144047442,0.008151583542065396,0.006810164727660653,1730044546.763828
16,16,89.80981063842773,90.32095432281494,0.016446656743708505,0.0004805533305021879,0.0030586948393980175,0.0025781415088958295,1730044559.5636892
17,17,106.99173402786255,107.50312399864197,0.013787913823772703,0.00027502718467424395,0.0014900644831891264,0.0012150372985148825,1730044576.745859
18,18,124.91019415855408,125.42172002792358,0.01186287231609731,0.00022789465351780676,0.0009805280125322901,0.0007526333590144833,1730044594.664455
19,19,147.04492568969727,147.5561501979828,0.009732547688217222,0.00014708086867405126,0.000667902899086154,0.0005208220304121027,1730044616.798885
20,20,174.26186561584473,174.77335929870605,0.008758821318922489,9.313190279234277e-05,0.0004654591361578384,0.00037232723336549564,1730044644.0160942
21,21,202.46802377700806,202.97968864440918,0.008006967354062033,7.983580472726643e-05,0.00041180242162655665,0.0003319666168992902,1730044672.2224236
22,22,233.92106890678406,234.43254971504211,0.007040645704639123,6.410503222010049e-05,0.0003366376016897216,0.00027253256946962106,1730044703.6752846
23,23,267.7957866191864,268.30746626853943,0.006528338359971394,4.8590478759613944e-05,0.00029673065653669224,0.0002481401777770783,1730044737.5502012
24,24,301.63720321655273,302.1489095687866,0.0063635150406690785,3.583291231105118e-05,0.00028694343156979564,0.0002511105192587445,1730044771.3916445
25,25,335.53525137901306,336.04676365852356,0.005623641019126873,3.981418816899786e-05,0.00022813961340215522,0.00018832542523315737,1730044805.2894986
26,26,369.2999665737152,369.8116705417633,0.005639155627352584,3.404611733868807e-05,0.00021395091430792613,0.00017990479696923807,1730044839.0544055
27,27,403.0405111312866,403.5520911216736,0.005059954265721725,2.93897298069873e-05,0.00022151192718986343,0.00019212219738287613,1730044872.794826
28,28,436.9037935733795,437.4153325557709,0.005244411482298984,1.9469880258392415e-05,0.00017486846869018143,0.000155398588431789,1730044906.6580675
29,29,470.77787256240845,471.2895505428314,0.0053720701576929295,2.0503778552666008e-05,0.00016887834177317242,0.00014837456322050642,1730044940.5322855
30,30,504.5315697193146,505.0430634021759,0.005319313386283532,1.8080296319525493e-05,0.00014435237297160777,0.00012627207665208228,1730044974.2857983
31,31,538.3429923057556,538.8546676635742,0.006155241948095868,1.7758331206070574e-05,0.00012464210850652354,0.00010688377730045297,1730045008.0974026
32,32,572.0502638816833,572.561886548996,0.004690614146095632,1.9936029774255815e-05,0.00011223722677589304,9.230119700163722e-05,1730045041.8046215
33,33,605.8252940177917,606.3368487358093,0.003579934883917527,1.3420035355559579e-05,0.00010370202903908302,9.028199368352344e-05,1730045075.5795836
34,34,639.6912863254547,640.203015089035,0.0031886828078699536,8.499699765202666e-06,8.86793194768384e-05,8.017961971163573e-05,1730045109.44575
35,35,673.5211181640625,674.0326166152954,0.001841424327616681,7.432879620436695e-06,7.886323176513812e-05,7.143035214470143e-05,1730045143.2753515
