step,loss_boundary,loss,loss_interior,time,_step,_runtime,l2_error,_timestamp
46,0.018725900677337457,0.01961735100166005,0.0008914503243225908,206.11201310157776,42,209.16282033920288,0.2101709813317678,1717831848.4758914
50,0.015080536885661014,0.015519884632118343,0.00043934774645732985,223.01437139511108,43,226.06492471694946,0.1910333314988296,1717831865.3779957
55,0.014303560820849714,0.014483764088031946,0.00018020326718223183,244.05940222740173,44,247.10943579673767,0.17405874244560662,1717831886.4225068
61,0.010755678450529417,0.01146113365479749,0.0007054552042680738,269.2687633037567,45,272.31912088394165,0.16416646640399238,1717831911.632192
67,0.009942407165929836,0.010066841108224296,0.00012443394229446006,294.48704528808594,46,297.5373239517212,0.15721278242397557,1717831936.850395
73,0.009104375597184187,0.009176350744365623,7.1975147181436e-05,319.699501991272,47,322.74992060661316,0.15132336533227275,1717831962.0629916
81,0.00803555943151575,0.008073513706790823,3.795427527507268e-05,353.24893498420715,48,356.29929637908936,0.14356868763392283,1717831995.6123674
89,0.0071043172495286085,0.007137655005673455,3.333775614484666e-05,386.7942764759064,49,389.8443899154663,0.13624987710303674,1717832029.157461
98,0.005554205366909649,0.005874490597707941,0.0003202852307982921,424.5306148529053,50,427.58124828338623,0.12440069733580332,1717832066.8943193
107,0.004442078812415074,0.00448105102594527,3.8972213530196284e-05,462.2651267051697,51,465.31551814079285,0.09837428772484318,1717832104.6285892
118,0.0023237723399486964,0.002455131395976232,0.0001313590560275355,508.41287088394165,52,511.4634623527527,0.08752795979742554,1717832150.7765334
130,0.0012037275291274306,0.0012084163047317085,4.6887756042779445e-06,558.6732542514801,53,561.7235708236694,0.04431982698946481,1717832201.0366418
143,0.0005153501926130883,0.000519483545501151,4.133352888062798e-06,613.0974810123444,54,616.1477415561676,0.04394210337667055,1717832255.4608126
157,0.00044902448420179727,0.00044944491682301856,4.204326212212903e-07,671.695957660675,55,674.7464034557343,0.04306224599651472,1717832314.0594745
172,0.0003452569118805132,0.0003491298557479793,3.872943867466099e-06,734.4748418331146,56,737.5251126289368,0.04173585685683699,1717832376.8381836
190,0.00031825001172085054,0.00031859253409938877,3.425223785382568e-07,809.7575914859772,57,812.8079996109009,0.04138404290299342,1717832452.1210706
208,0.00028784086656679655,0.0002889218011914137,1.0809346246171687e-06,885.3103187084198,58,888.3607511520386,0.04097411151838307,1717832527.6738222
229,0.0002649896446193499,0.00026508596108495937,9.631646560943951e-08,973.4375262260437,59,976.4878780841827,0.040651944707996795,1717832615.800949
252,0.00024584540137581606,0.0002458829390903222,3.7537714506169786e-08,1069.9267973899841,60,1072.977088689804,0.040373196463538194,1717832712.2901597
277,0.000198197838526951,0.00019826597730655902,6.81387796080078e-08,1174.8192348480225,61,1177.8694808483124,0.0391488165635038,1717832817.1825519
305,0.0001581304030257413,0.00015817857319170393,4.81701659626165e-08,1292.2934350967407,62,1295.3437929153442,0.03895192763160101,1717832934.656864
335,0.000731247026245827,0.0009960287504499408,0.0002647817242041139,1418.2105450630188,63,1421.260953426361,0.03761399152703039,1717833060.5740244
369,0.0004018433058721238,0.0004234657096174057,2.1622403745281888e-05,1560.7820091247559,64,1563.8323152065277,0.03324015760717414,1717833203.1453862
406,0.00032277394106906317,0.0003229968202087998,2.2287913973661105e-07,1715.9705917835236,65,1719.0208775997162,0.03242913096889601,1717833358.3339486
446,0.00023334834296421562,0.00023355273328874636,2.043903245307412e-07,1883.6874723434448,66,1886.737826347351,0.03155968010785527,1717833526.0508974
491,0.00016483499171906094,0.00016492423266740996,8.924094834902433e-08,2072.3388934135437,67,2075.389132976532,0.03073339299439815,1717833714.702204
540,0.0001264060579004447,0.00012660293880143277,1.9688090098808904e-07,2277.7494201660156,68,2280.8020720481873,0.030254056968642896,1717833920.115143
594,8.641795838873724e-05,8.684000158185894e-05,4.220431931217055e-07,2504.2683205604553,69,2507.3188722133636,0.029670757668723992,1717834146.6319432
653,0.0004355643409944501,0.000516416834584913,8.085249359046287e-05,2751.860987186432,70,2754.912433862686,0.029199200124180733,1717834394.2255049
718,0.00017952533400039463,0.00017964666247672235,1.2132847632772368e-07,3024.499212741852,71,3027.5496742725372,0.027190243808988296,1717834666.8627453
790,0.00010640383606123511,0.0001064418916421239,3.805558088878965e-08,3326.498926639557,72,3329.549341201782,0.026152516030320278,1717834968.8624122
869,6.775121613581799e-05,6.776224734460967e-05,1.1031208791682487e-08,3657.784112215042,73,3660.834422826767,0.02560011410542684,1717835300.1474938
956,4.339856544478724e-05,4.341261126903506e-05,1.404582424782007e-08,4022.6565861701965,74,4025.706859588623,0.024891776948222626,1717835665.0199306
1052,0.00015465445511221224,0.00015481227790787395,1.5782279566172013e-07,4425.292184114456,75,4428.342471599579,0.023377548155867206,1717836067.6555426
1157,4.2798816757267755e-05,4.281853918135507e-05,1.972242408731311e-08,4865.5504150390625,76,4868.600821018219,0.02185400232993293,1717836507.913892
1272,2.8433329270342014e-05,2.8578919939298566e-05,1.4559066895655347e-07,5347.688923835754,77,5350.739216804504,0.021623687718605882,1717836990.0522878
1400,8.561105636692713e-05,8.842601734183086e-05,2.8149609749037243e-06,5884.421944618225,78,5887.472294092178,0.02004232263082816,1717837526.785365
1539,3.29708593101552e-05,3.298649759722261e-05,1.563828706740664e-08,6467.143639326096,79,6470.193759679794,0.01934107858172283,1717838109.5068307
1693,9.801608178606752e-05,9.816461169767777e-05,1.485299116102528e-07,7112.808044195175,80,7115.858460903168,0.01827531375041537,1717838755.171532
1863,3.3226159345980336e-05,3.3428720839814785e-05,2.0256149383444728e-07,7825.492082357407,81,7828.5424020290375,0.01751165127766366,1717839467.855473
2049,6.678691565170712e-05,6.78388627015621e-05,1.051947049854969e-06,8605.351906299591,82,8608.402220964432,0.01680106712250163,1717840247.715292
2254,0.00013693537054189356,0.005686708301303642,0.005549772930761749,9464.85118484497,83,9467.901495695114,0.016176507133521267,1717841107.2145667
2382,6.645928093694074e-05,6.656659041460426e-05,1.0730947766351987e-07,10001.496641397476,84,10004.547140598297,0.015754194659888157,1717841643.8602116
