step,loss_boundary,loss,loss_interior,time,_step,_runtime,l2_error,_timestamp
0,0.47705810037589214,18.528600120916806,18.051542020540914,5.7171289920806885,0,9.049211263656616,3.034459221127054,1717831648.3622823
1,4.609754723066553,13.97315792298932,9.363403199922766,10.37328839302063,1,13.423288345336914,0.5405260151545783,1717831652.7363594
2,0.15144188867685252,8.16270850939226,8.011266620715407,14.754847049713135,2,17.80603551864624,1.2737059400116326,1717831657.1191065
3,0.8066760477523927,3.350801357740653,2.54412530998826,19.13667345046997,3,22.18662428855896,1.8485876967326396,1717831661.4996953
4,1.695297182643243,2.832793098121936,1.1374959154786928,23.51769995689392,4,26.56811761856079,2.0350417892750676,1717831665.8811886
5,2.052593831951431,2.634495453238014,0.5819016212865828,27.89703059196472,5,30.94716715812683,1.0410962935861339,1717831670.2602382
6,0.5415767453072202,0.8275620929445092,0.285985347637289,32.27580809593201,6,35.325788259506226,0.7378641392701848,1717831674.6388593
7,0.28599271784881203,0.4280364439439595,0.14204372609514748,36.652302980422974,7,39.70223569869995,0.7260706473459266,1717831679.0153067
8,0.28026986089130523,0.41172837298564047,0.13145851209433523,41.02936005592346,8,44.07978940010071,0.7238907421211279,1717831683.3928604
9,0.27883805011436746,0.4104465651786088,0.13160851506424134,45.405494928359985,9,48.455585956573486,0.6337555483205586,1717831687.768657
10,0.21126938933224043,0.3439192697958464,0.132649880463606,49.7824969291687,10,52.832454204559326,0.5991837393379206,1717831692.1455252
11,0.18524274779448202,0.25784003758329077,0.07259728978880872,54.16069674491882,11,57.21065616607666,0.5849931275321335,1717831696.5237272
12,0.1731829898828657,0.24016328193325195,0.06698029205038625,58.53710436820984,12,61.587130308151245,0.5303393531075258,1717831700.9002013
13,0.13972296854110852,0.2029307259084242,0.0632077573673157,62.91370463371277,13,65.96372103691101,0.5177362649646152,1717831705.276792
14,0.13101394087441134,0.17312793217997188,0.042113991305560546,67.29106640815735,14,70.34105253219604,0.4749658418867243,1717831709.6541235
15,0.10996300310143343,0.15171436441466618,0.04175136131323274,71.67414617538452,15,74.72438788414001,0.461833227812866,1717831714.037459
16,0.10339261675853503,0.13854046904376116,0.035147852285226114,76.05616784095764,16,79.10640811920166,0.4481262903290893,1717831718.4194791
