loss,time,_step,_runtime,loss_interior,_timestamp,loss_boundary,step,l2_error
5.987193403194146e-06,4935.263761758804,44,4939.155549526215,4.434946310104818e-06,1716129706.2082055,1.552247093089328e-06,55,0.025278991981345776
4.203732077933563e-06,5463.455858707428,45,5467.347563505173,3.214943827078357e-06,1716130234.4002194,9.887882508552052e-07,61,0.025284629539074083
3.0751499103937035e-06,5965.193105697632,46,5969.08493065834,2.339558634075845e-06,1716130736.1375866,7.355912763178582e-07,67,0.025258633202365138
2.202383329877437e-06,6493.324341058731,47,6497.216035604477,1.7325720002783878e-06,1716131264.2686915,4.698113295990494e-07,73,0.025274365757126615
1.6464460274775962e-06,6858.561065196991,48,6862.45282459259,1.2920614918759899e-06,1716131629.5054805,3.543845356016062e-07,81,0.02528844902139576
1.6019278198792252e-06,7078.548448085785,49,7082.440186500549,1.2470179671278142e-06,1716131849.4928424,3.5490985275141096e-07,89,0.025283751348445137
1.0615064493701129e-06,7681.447710037231,50,7685.339416742325,8.609329885689334e-07,1716132452.3920727,2.005734608011794e-07,98,0.02529716595414203
0.0004094117113518625,8134.790894985199,51,8138.682746887207,7.984925082436963e-05,1716132905.7354028,0.00032956246052749286,107,0.026168101872443488
0.00012755045061294622,9103.018204689026,52,9106.909956216812,4.131124771291072e-05,1716133873.9626122,8.62392029000355e-05,118,0.022439659701260165
5.125992399973681e-05,10071.090444803238,53,10074.98196029663,2.345904425212576e-05,1716134842.0346162,2.7800879747611045e-05,129,0.021181077751231143
