loss,time,_step,_runtime,loss_interior,_timestamp,loss_boundary,step,l2_error
18.526934705701105,88.54355454444885,0,92.66934752464294,18.047957886324923,1716124859.7220035,0.47897681937618325,0,0.45635078021683023
0.15431337168670184,176.36099815368652,1,180.24688816070557,0.05127809052575469,1716124947.299544,0.10303528116094716,1,0.2066266842487456
0.030796595833553916,264.00077414512634,2,267.88558197021484,0.011771725326203887,1716125034.938238,0.01902487050735003,2,0.0655730360297848
0.008983335123487242,351.83689999580383,3,355.72225975990295,0.007237709144906652,1716125122.7749157,0.0017456259785805896,3,0.043696747189728415
0.005473535685154787,439.9838914871216,4,443.86959743499756,0.004705570769470829,1716125210.9222534,0.0007679649156839582,4,0.03546119686099128
0.00346376914429291,528.1428320407867,5,532.0287706851959,0.0029405891708619535,1716125299.0814266,0.0005231799734309563,5,0.032734240023456346
0.002301968514468868,616.3044407367706,6,620.1911852359772,0.0019035021689355757,1716125387.2438412,0.00039846634553329207,6,0.03217791520984927
0.0015431143021937112,704.4667935371399,7,708.3538861274719,0.0011817897447139998,1716125475.406542,0.00036132455747971137,7,0.02982609326739843
0.001102551616027423,792.6306204795837,8,796.5203993320465,0.0008190106379961211,1716125563.5730553,0.00028354097803130193,8,0.02904045725795693
0.0007535667718969919,880.8032398223877,9,884.6924600601196,0.0005148333455582582,1716125651.745116,0.00023873342633873366,9,0.028456878692920552
0.0005904463330934748,968.975067615509,10,972.8646559715271,0.0003844731740651282,1716125739.917312,0.00020597315902834662,10,0.028153572393037618
0.0004751327466567813,1057.147765636444,11,1061.0380251407623,0.0002949386456386592,1716125828.090681,0.0001801941010181221,11,0.027921146940523098
0.0003664623830210479,1145.3290920257568,12,1149.2196578979492,0.00021274158494922912,1716125916.2723138,0.00015372079807181877,12,0.028267098232217836
0.0003276287341626231,1233.5152785778046,13,1237.406237602234,0.00018447694915169383,1716126004.4588935,0.0001431517850109293,13,0.027352903800627982
0.00025579679116744,1321.6969349384308,14,1325.588058233261,0.00014015059881607804,1716126092.6407142,0.00011564619235136198,14,0.026896051297883247
0.00021783632735359525,1409.8781158924103,15,1413.7692999839783,0.00011833206443915241,1716126180.821956,9.950426291444284e-05,15,0.02658613262384391
0.00019613205644359682,1498.0647625923157,16,1501.956246137619,0.00010474159921883294,1716126269.008902,9.13904572247639e-05,16,0.026803160638175845
0.0001776533833227459,1586.2573010921478,17,1590.1490211486816,9.02563468406097e-05,1716126357.201677,8.73970364821362e-05,17,0.02673330919142552
0.00015815651424310584,1674.4460508823395,18,1678.3378067016602,7.679252901859646e-05,1716126445.3904626,8.136398522450937e-05,18,0.02660425191359708
0.00014002709464628748,1762.6283557415009,19,1766.5202391147614,6.659911120092575e-05,1716126533.572895,7.342798344536174e-05,19,0.026529938396709748
0.00012309322506902335,1850.8154919147491,20,1854.7073912620544,5.9528807865376914e-05,1716126621.7600472,6.356441720364643e-05,20,0.026392020901035484
0.0001118295282863815,1939.0061039924622,21,1942.897870540619,5.608809767638757e-05,1716126709.9505265,5.5741430609993925e-05,21,0.026232937427211073
0.00010123622156815506,2027.188989162445,22,2031.0808062553406,5.280981266735134e-05,1716126798.1334622,4.842640890080371e-05,22,0.026120581422160317
9.36851717052135e-05,2115.371406316757,23,2119.2631800174713,5.005142219079922e-05,1716126886.315836,4.3633749514414286e-05,23,0.025886275446869892
8.685833591465024e-05,2203.55300450325,24,2207.444803237915,4.82595993343569e-05,1716126974.4974592,3.859873658029333e-05,24,0.02576725172926152
8.269944463688841e-05,2291.7375497817993,25,2295.6293816566467,4.659374431867759e-05,1716127062.6820376,3.6105700318210826e-05,25,0.025787856018103506
7.495712901204243e-05,2379.9191291332245,26,2383.8108229637146,4.2270793177187396e-05,1716127150.863479,3.2686335834855034e-05,26,0.02582443928633406
