time,l2_error,_timestamp,step,_runtime,loss_boundary,loss,loss_interior,_step
2.2367970943450928,1.4298188340752238,1716175827.8192985,0,9.4072105884552,0.4758618613275883,18.52383828559773,18.047976424270143,0
4.127869367599487,1.9247486989221347,1716175828.8089147,1,10.39682674407959,1.0239484176843365,17.090032298174727,16.06608388049039,1
5.111802577972412,2.5213886265426355,1716175829.7967083,2,11.384620428085327,1.8524482919785494,15.990459603471447,14.138011311492898,2
6.098585605621338,3.1237197339273974,1716175830.7844307,3,12.372342824935913,3.1752996361730377,15.315784463097817,12.140484826924778,3
7.080804824829102,3.4408841266087444,1716175831.7721424,4,13.36005449295044,4.869825901736222,15.224677340064035,10.354851438327813,4
8.068872690200806,3.3950894553427142,1716175832.7598448,5,14.34775686264038,5.905872067956621,15.201524449078736,9.295652381122116,5
9.056372165679932,3.1200201867164044,1716175833.7474182,6,15.335330247879028,5.747425780333975,14.778319255687162,9.030893475353187,6
10.044214248657227,2.7777435527169345,1716175834.7349672,7,16.322879314422607,4.851949695377679,14.199850942099143,9.347901246721463,7
11.031468391418457,2.5261823358384667,1716175835.7228212,8,17.310733318328857,3.8437533788321083,13.790813337740099,9.94705995890799,8
12.025461435317993,2.4599760510032675,1716175836.71273,9,18.300642013549805,3.176219180390278,13.528547943456672,10.352328763066394,9
13.009252786636353,2.5872750586959423,1716175837.7003138,10,19.288225889205933,3.007917451288693,13.164797253877735,10.156879802589042,10
13.996628522872925,2.8648842350162633,1716175838.6876125,11,20.275524616241455,3.3221060231713415,12.6046073677699,9.282501344598558,11
14.990212678909302,3.1867625679431706,1716175839.6753144,12,21.26322650909424,4.06686139197851,11.987736237067816,7.920874845089306,12
15.972374677658081,3.364029818441852,1716175840.6631317,13,22.251043796539307,5.023694828798191,11.497801627719106,6.474106798920914,13
16.9596266746521,3.2654665551839086,1716175841.6509914,14,23.238903522491455,5.585781081152177,11.033827809155806,5.448046728003629,14
17.94760513305664,2.926759605107172,1716175842.6380773,15,24.22598934173584,5.245262458251242,10.344035806669964,5.098773348418724,15
18.935827493667603,2.525685284039492,1716175843.6227605,16,25.210672616958618,4.190004916012653,9.545428403684353,5.3554234876716995,16
19.92470097541809,2.3713760402336828,1716175844.6095505,17,26.197462558746338,3.0930290058109216,8.900112756604988,5.807083750794067,17
20.91239619255066,2.58491726611833,1716175845.5937164,18,27.181628465652466,2.700772753012264,8.159766967382744,5.45899421437048,18
21.896349906921387,2.921774982097107,1716175846.578197,19,28.166109085083008,3.1904615231733575,7.141343518716257,3.950881995542899,19
22.87873601913452,2.769637976447236,1716175847.5624878,20,29.150399923324585,4.057099195041695,6.354094806950636,2.2969956119089407,20
23.86408305168152,2.1086273256174097,1716175848.5468602,21,30.134772300720215,3.596509811041065,5.46471579340496,1.8682059823638952,21
24.849122047424316,1.9689959165704032,1716175849.5313566,22,31.119268655776978,2.024199367006629,4.690205319652057,2.666005952645427,22
25.834213256835938,2.422731098848142,1716175850.515943,23,32.10385513305664,1.7337773717538816,4.082725633420562,2.348948261666681,23
26.818655490875244,1.862483915386523,1716175851.5006459,24,33.088557958602905,2.624698323076547,3.754917855718919,1.1302195326423723,24
27.797308444976807,1.525521626146765,1716175852.4860077,25,34.07391977310181,1.5140276896751625,3.2214109863814135,1.707383296706251,25
28.790212869644165,1.943152900758271,1716175853.4715447,26,35.05945682525635,1.0211195499589285,3.0656660098517454,2.044546459892817,26
29.768117427825928,1.3134443752888694,1716175854.4572184,27,36.045130491256714,1.6125099388808997,2.8859370192847584,1.2734270804038588,27
30.759727239608765,1.1987780238133012,1716175855.4432046,28,37.03111672401428,0.7639659082083465,2.2202925464427423,1.456326638234396,28
31.74015998840332,1.3612323963505755,1716175856.4290714,29,38.01698350906372,0.6373164521042051,1.7648965269098076,1.1275800748056024,29
32.73216390609741,0.9547542835754417,1716175857.4150007,30,39.002912759780884,0.7590186169114109,1.599051820462905,0.8400332035514941,30
33.716634035110474,0.8571672846940884,1716175858.4007742,31,39.988686323165894,0.4241413241751493,1.1188774994895754,0.694736175314426,31
34.697205781936646,0.933939586835628,1716175859.3868823,32,40.97479438781738,0.3384618085337347,0.8462953409640355,0.5078335324303008,32
35.68313694000244,0.7071792063489701,1716175860.3727503,33,41.96066236495972,0.35108561628360985,0.8468187804057812,0.4957331641221713,33
36.6691997051239,0.6730924716852604,1716175861.3588681,34,42.94678020477295,0.23594811622420567,0.5783535679769968,0.3424054517527911,34
37.65769839286804,0.7250109867235033,1716175862.3449256,35,43.93283772468567,0.22127384900493716,0.5477011877913098,0.3264273387863727,35
38.64697313308716,0.5754077116982822,1716175863.3311667,36,44.9190788269043,0.2257651935658649,0.5791325804328907,0.35336738686702585,36
39.627634048461914,0.5989107233216326,1716175864.317354,37,45.90526604652405,0.15454256822950702,0.41501000594893783,0.2604674377194308,37
40.61938762664795,0.6320414747973035,1716175865.3038056,38,46.89171767234802,0.1779805865660219,0.4996561120046293,0.3216755254386074,38
41.60054659843445,0.5673400477645796,1716175866.2901776,39,47.87808966636658,0.18693778636809613,0.450998657782569,0.2640608714144729,39
42.58687973022461,0.5353995902409308,1716175867.27651,40,48.864422082901,0.15349105648117092,0.38727525080166564,0.23378419432049471,40
44.38045597076416,0.6031124851728682,1716175869.065917,42,50.6538290977478,0.1395747014634116,0.3527310482469032,0.2131563467834916,41
47.77167320251465,0.4457588566636407,1716175872.464258,46,54.05217003822327,0.15297028580956312,0.33133095668634766,0.17836067087678453,42
