loss,_step,loss_boundary,step,_runtime,_timestamp,loss_interior,time,l2_error
18.52540243296475,0,0.477615222768955,0,9.0473952293396,1715790751.2376611,18.047787210195796,1.1397614479064941,0.9872099781837502
18.471868624893375,1,0.49158894742874865,1,11.074219703674316,1715790753.2644856,17.980279677464626,4.0671546459198,1.0147895441107653
18.368718243471562,2,0.5192777252124771,2,13.100447654724121,1715790755.2907135,17.849440518259087,6.071234941482544,1.0547829474936499
18.220886244023195,3,0.5607770484146498,3,15.126821279525757,1715790757.3170872,17.660109195608545,8.097039461135864,1.106265543593471
18.033766935653475,4,0.616546446195173,4,17.153360843658447,1715790759.3436267,17.417220489458302,10.118808507919312,1.168489736296323
17.81266674620927,5,0.6874797796046923,5,19.179415941238403,1715790761.3696818,17.125186966604577,12.14447808265686,1.241028627955014
17.562387550068316,6,0.7750457152841843,6,21.209712505340576,1715790763.3999784,16.78734183478413,14.17044973373413,1.323893141323476
17.287035044780097,7,0.8814969671164613,7,23.23801064491272,1715790765.4282765,16.405538077663635,16.202488660812378,1.417605388039903
16.9901155569366,8,1.0101338840035747,8,25.268207788467407,1715790767.4584737,15.979981672933027,18.23631000518799,1.5232123739338521
16.674953579349122,9,1.165592955067763,9,27.297722816467285,1715790769.4879887,15.50936062428136,20.260520696640015,1.642221963024914
16.345427334116565,10,1.3541082525003707,10,29.327183723449707,1715790771.5174496,14.991319081616194,22.29003643989563,1.7764372935306079
16.006964544029504,11,1.583653429718931,11,31.356024742126465,1715790773.5462906,14.423311114310572,24.31903910636902,1.9276587233405529
15.667639383699369,12,1.8638020590377447,12,33.38429093360901,1715790775.5745568,13.803837324661623,26.347206830978394,2.097219465837798
15.33904006333901,13,2.205040911454785,13,35.41338062286377,1715790777.6036465,13.133999151884224,28.375542163848877,2.285332440939895
15.036341611418836,14,2.617156952582437,14,37.44185733795166,1715790779.6321232,12.419184658836398,30.40398120880127,2.490265435677171
14.776810540995372,15,3.1062743155171098,15,39.47193193435669,1715790781.6621978,11.670536225478262,32.43305850028992,2.7074415950332367
14.576014720447164,16,3.6703060648348083,16,41.502413511276245,1715790783.6926794,10.905708655612356,34.463292598724365,2.9286793062342507
14.441651191926633,17,4.293223033009905,17,43.53274178504944,1715790785.7230077,10.148428158916728,36.49419975280762,3.14190244674501
14.366349742121152,18,4.939721033920631,18,45.56545162200928,1715790787.7557175,9.426628708200521,38.52433133125305,3.331690173551284
14.3226824186054,19,5.553226622817628,19,47.595460653305054,1715790789.7857265,8.769455795787772,40.55680179595947,3.4809045271166354
14.264611583831613,20,6.060677806811585,20,49.627615451812744,1715790791.8178813,8.203933777020028,42.58683514595032,3.573303861929112
14.138059260007413,21,6.385848539918272,21,51.65824031829834,1715790793.8485062,7.75221072008914,44.61941480636597,3.596618018233687
13.898735411239139,22,6.468884004489462,22,53.68863129615784,1715790795.8788972,7.429851406749677,46.6494026184082,3.5452378992352642
13.530040501094435,23,6.2851184163676095,23,55.71951127052307,1715790797.9097772,7.244922084726825,48.67957806587219,3.421663558358768
13.051784571149508,24,5.8546290005120145,24,57.75052762031555,1715790799.9407935,7.197155570637493,50.71086049079895,3.2362225894673613
12.51418277799094,25,5.237501713517262,25,59.78197932243347,1715790801.9722452,7.276681064473678,52.7423255443573,3.0051775577669506
11.97933711989404,26,4.516802341068437,26,61.81211066246033,1715790804.0023766,7.462534778825604,54.7732470035553,2.7479129623018568
11.498984853179461,27,3.7771125219785535,27,63.84251689910889,1715790806.0327828,7.721872331200907,56.80336546897888,2.4841549099544493
11.098234488394372,28,3.0873839023126655,28,65.87305116653442,1715790808.063317,8.010850586081705,58.83370089530945,2.2320131412240505
10.770349547141711,29,2.492952723145019,29,67.90363883972168,1715790810.0939047,8.277396823996693,60.86391615867615,2.0071660794449198
10.48151303924211,30,2.016355509432244,30,69.93391561508179,1715790812.1241815,8.465157529809867,62.89481163024902,1.823007715562198
10.181195601603498,31,1.6635099408902358,31,71.96396923065186,1715790814.1542351,8.517685660713262,64.92512464523315,1.691259971517076
9.814350456018698,32,1.43169703113314,32,73.99396228790283,1715790816.1842282,8.382653424885557,66.95514607429504,1.6224567199263389
9.334268625365885,33,1.3172171427560682,33,76.02493953704834,1715790818.2152054,8.017051482609817,68.98504042625427,1.6257002329917758
8.716895322373503,34,1.3217593254583377,34,78.05593085289001,1715790820.2461967,7.395135996915166,71.0160927772522,1.7070229389188531
7.976587755754673,35,1.4561483440293772,35,80.0873966217041,1715790822.2776625,6.520439411725296,73.04765272140503,1.865570066735423
7.1779220698621735,36,1.7376017701303155,36,82.11785221099854,1715790824.308118,5.440320299731858,75.0782425403595,2.0871166997554376
6.428260895437467,37,2.1728143194807927,37,84.15023517608643,1715790826.340501,4.255446575956674,77.11026883125305,2.336051952622249
5.829907715762546,38,2.7197700691302646,38,86.18109202384949,1715790828.371358,3.110137646632281,79.14644312858582,2.550330674362684
5.392526406074143,39,3.2391705426164354,39,88.2127673625946,1715790830.4030333,2.1533558634577084,81.17853665351868,2.6471648255348206
4.9717885032458415,40,3.4872355428994237,40,90.24347972869873,1715790832.4337456,1.484552960346418,83.2101616859436,2.54568848064798
3.4605948235469377,41,2.411551611312445,42,94.0953779220581,1715790836.2856438,1.0490432122344926,87.06944346427917,1.6531633808126782
1.7652407149401301,42,0.15329540695055294,46,101.61471939086914,1715790843.8049853,1.6119453079895771,94.58834052085876,0.5844804045294554
1.2748360977790982,43,0.5510195984626686,50,109.13618087768555,1715790851.3264468,0.7238164993164298,102.1089928150177,0.7665890439219796
