_timestamp,_step,_runtime,l2_error,loss,time,loss_boundary,loss_interior,step
1717178308.6317139,0,11.376349925994873,0.9729243172877537,18.52452877228907,4.38017725944519,0.47766474185314295,18.046864030435927,0
1717178311.4015179,1,14.146153926849365,2.2561136544355813,18.52450382497777,8.421125650405884,0.47766964726007966,18.04683417771769,1
1717178314.0515552,2,16.796191215515137,2.5837214933045605,4.735509188094286,11.07162880897522,2.547217120585447,2.1882920675088395,2
1717178316.6968307,3,19.441466808319092,0.7343440025174693,3.999203115673166,13.71688437461853,3.3972118026091547,0.6019913130640115,3
1717178319.3413515,4,22.08598756790161,0.716043033700349,0.5661541917699796,16.362159490585327,0.29001138747672334,0.27614280429325627,4
1717178321.9889295,5,24.73356556892395,0.6733731058313037,0.4722262971383422,19.007752895355225,0.2725302048719151,0.1996960922664271,5
1717178324.6340015,6,27.378637552261353,0.6550314409946013,0.33285188033085455,21.654884338378906,0.231729640125244,0.10112224020561056,6
1717178327.2809362,7,30.025572299957275,0.44679296164979043,0.24176478552794806,24.30104160308838,0.21506281189921647,0.02670197362873159,7
1717178329.9307027,8,32.67533874511719,0.4440166023004764,0.14156964895635188,26.950417041778564,0.09820381716279128,0.04336583179356061,8
1717178332.5764985,9,35.32113456726074,0.4039531582862838,0.12013110628544424,29.596545934677124,0.09666839050239896,0.02346271578304527,9
1717178335.2246733,10,37.96930932998657,0.39670311617019827,0.084633783610147,32.244975566864014,0.07914060547322183,0.00549317813692518,10
1717178337.869895,11,40.61453104019165,0.3588734090956461,0.08209093824988653,34.890620708465576,0.07603535359170725,0.006055584658179275,11
1717178340.5136316,12,43.258267641067505,0.3335142191331018,0.06591235929400857,37.53446292877197,0.06059059317379211,0.005321766120216458,12
1717178343.1577828,13,45.90241885185242,0.30927833617067396,0.05687153269129367,40.178353786468506,0.050798960582355904,0.006072572108937767,13
1717178345.8015857,14,48.54622173309326,0.2938170617766789,0.048528028564525864,42.82193851470947,0.04250385869282908,0.006024169871696784,14
1717178348.448614,15,51.19324994087219,0.27523890554594743,0.04634338587795475,45.46893501281738,0.037693285273700645,0.008650100604254104,15
1717178351.15525,16,53.89988613128662,0.25522927190246975,0.054705382691898764,48.17399716377258,0.03727749322936129,0.017427889462537476,16
1717178353.810934,17,56.555570125579834,0.22098422491899516,0.04480828759790437,50.829049825668335,0.03218056635387664,0.012627721244027728,17
1717178356.4598699,18,59.204505920410156,0.2196356510265357,0.029407096678999718,53.47996401786804,0.023516637589671905,0.005890459089327815,18
1717178359.1101263,19,61.85476231575012,0.1972292366690869,0.028841689441561427,56.12972903251648,0.02320286223768312,0.0056388272038783065,19
1717178361.761714,20,64.50635004043579,0.1943260747234432,0.01984572450529546,58.782116413116455,0.01790638596210344,0.001939338543192021,20
1717178364.4105468,21,67.15518283843994,0.17146788109165859,0.019483336889744227,61.43105363845825,0.017282957368270378,0.002200379521473849,21
1717178367.064475,22,69.80911111831665,0.1636784362275598,0.016917124419251528,64.08433437347412,0.012764084225708383,0.004153040193543146,22
1717178369.7140393,23,72.45867538452148,0.14373919206937652,0.015905815845766263,66.73382782936096,0.011405990535946403,0.004499825309819861,23
1717178372.3631332,24,75.10776925086975,0.1418006629113458,0.012935467506709486,69.38362860679626,0.008434791917447598,0.0045006755892618875,24
1717178375.0206609,25,77.76529693603516,0.1325722646570468,0.01215796544013173,72.04045367240906,0.008212606834689917,0.0039453586054418125,25
1717178377.6697717,26,80.41440773010254,0.1322600417691361,0.009260426122345039,74.69018483161926,0.007282461221174696,0.001977964901170343,26
1717178380.318297,27,83.06293296813965,0.12199747583736013,0.008950938024462052,77.33876252174377,0.0072670325344519355,0.0016839054900101161,27
1717178382.9670846,28,85.71172070503235,0.12145864978673042,0.006628069064949928,79.98724341392517,0.006101427338882277,0.0005266417260676512,28
1717178385.61679,29,88.36142611503601,0.10388680559849985,0.006517194655403147,82.63672137260437,0.006045124878207155,0.00047206977719599195,29
1717178388.2661495,30,91.0107855796814,0.10247525421537355,0.004931094521043637,85.28656935691833,0.004170628106987207,0.0007604664140564291,30
1717178390.9136016,31,93.65823769569397,0.07266646674117273,0.004842582473921434,87.93387365341187,0.004037552454472467,0.0008050300194489669,31
1717178393.594622,32,96.33925795555115,0.06193917652898399,0.014191941843735973,90.61436462402344,0.0028383187477688124,0.01135362309596716,32
1717178396.248051,33,98.99268698692322,0.0694555112685969,0.007146627370678392,93.2657561302185,0.0020344613893486896,0.005112165981329702,33
1717178398.8996158,34,101.6442518234253,0.07621178657914579,0.005657488642142524,95.91807651519775,0.002533095887143857,0.003124392754998667,34
1717178401.5537612,35,104.29839730262756,0.07902830655381021,0.00486781062483947,98.57198739051819,0.003022390132690963,0.0018454204921485068,35
1717178404.209789,36,106.95442509651184,0.08278000321409178,0.004662819376060196,101.22829985618591,0.0032407092878931564,0.0014221100881670397,36
1717178406.8614833,37,109.60611939430237,0.08392163991968456,0.004240961341210351,103.88093996047974,0.0035313848083082097,0.0007095765329021414,37
1717178409.5110743,38,112.25571036338806,0.08498072929336781,0.004157700554509742,106.53116512298584,0.0036222209020475276,0.0005354796524622151,38
1717178412.1618974,39,114.90653347969055,0.08536652905374324,0.003963564094087222,109.18225908279419,0.00369208950328965,0.0002714745907975714,39
1717178414.8143196,40,117.55895566940308,0.08520991333992049,0.003925288861683046,111.83462858200073,0.003718449927543025,0.00020683893414002097,40
1717178419.9255788,41,122.67021489143372,0.08443802798457074,0.003787144384218845,116.94545793533325,0.0036740195094622863,0.00011312487475655911,42
