loss,l2_error,step,_timestamp,loss_boundary,time,_step,loss_interior,_runtime
18.53109365508353,2.451359997275303,0,1729983288.1781182,0.4766982955446673,11.867010116577148,0,18.054395359538862,12.794069290161133
11.702981197126999,4.10048412104355,1,1729983297.2947435,3.0010595084782388,21.285409688949585,1,8.70192168864876,21.91069459915161
8.531904178177378,2.381275356342858,2,1729983306.0048673,8.401207797605903,29.995659112930298,2,0.1306963805714751,30.620818376541138
3.2984793026827237,0.3301338829695262,3,1729983313.9586153,2.837739537988688,37.94953370094299,3,0.4607397646940361,38.57456636428833
0.33417282924265945,0.3750297909923772,4,1729983324.4078012,0.05409229779124227,48.39726543426514,4,0.2800805314514172,49.023752212524414
0.08669452211101454,0.21402659515466624,5,1729983408.175803,0.07065678351527048,132.1667423248291,5,0.016037738595744058,132.79175400733948
0.0306598512311358,0.2289176427891787,6,1729983417.1570513,0.022218848312274105,141.14829182624817,6,0.008441002918861693,141.77300238609314
0.030153837547562415,0.23007120923916163,7,1729983430.556719,0.025533950962932934,154.54715728759766,7,0.0046198865846294795,155.1726701259613
0.02777815728387774,0.22037567767350852,8,1729983440.09979,0.025860072851923842,164.09055876731873,8,0.0019180844319538959,164.71574115753174
0.024160867030741422,0.2191551380775499,9,1729983450.4782472,0.02374734893484891,174.46879649162292,9,0.00041351809589251234,175.0941982269287
0.023730466604278275,0.2042027645331073,10,1729983460.0107176,0.023530854688858856,184.00139546394348,10,0.00019961191541941915,184.62666869163513
0.021685946875425525,0.11757540679181189,11,1729983470.5489779,0.020423297265276003,194.5397732257843,11,0.0012626496101495219,195.16492891311646
0.006854329280883092,0.10192114064101801,12,1729983545.7811496,0.006602435925553706,269.7715287208557,12,0.0002518933553293863,270.397100687027
0.006610777737725674,0.10196354791921049,13,1729983560.0224757,0.004893588896784498,284.0128300189972,13,0.0017171888409411756,284.6384267807007
0.005613577693653492,0.09684481974951065,14,1729983573.7599478,0.004908160962866207,297.75062251091003,14,0.0007054167307872849,298.3758988380432
0.00455083221579686,0.08937477358204816,15,1729983607.7461631,0.00442487873307877,331.7366306781769,15,0.00012595348271809048,332.3621141910553
0.003933448638085541,0.08416160365359385,16,1729983621.7428665,0.0037605974215038215,345.7336366176605,16,0.00017285121658171918,346.35881757736206
0.003496589547294856,0.08126392958706935,17,1729983635.6513324,0.0033085935361234714,359.64201760292053,17,0.00018799601117138454,360.26728343963623
0.0031669312721608637,0.0749326799732246,18,1729983645.4418175,0.003068460685148505,369.4321038722992,18,9.847058701235888e-05,370.05776858329773
0.002610320061762378,0.07105333834010318,19,1729983656.15512,0.0025768098012618388,380.1457996368408,19,3.3510260500539064e-05,380.77107095718384
0.0023002647167230357,0.06977275246301949,20,1729983665.268466,0.002296993827495563,389.25920128822327,20,3.2708892274725757e-06,389.88441705703735
0.002216371936381808,0.06766282784813654,21,1729983674.800574,0.002208107510928277,398.79187774658203,21,8.264425453531098e-06,399.41652512550354
0.002110484734678168,0.0550030066543728,22,1729983706.1040487,0.002069433449120942,430.0950708389282,22,4.105128555722572e-05,430.71999979019165
0.0013286817072378206,0.05148924228726075,23,1729983771.6669104,0.0013041096474487657,495.6579511165619,23,2.4572059789054836e-05,496.28286147117615
0.0011719572609003475,0.05111413446405285,24,1729983784.145512,0.0011075933589014422,508.13658905029297,24,6.436390199890525e-05,508.7614631652832
0.0011458258990667412,0.04918031134524046,25,1729983796.118522,0.0010810306571427764,520.1099054813385,25,6.479524192396481e-05,520.734472990036
0.001053755520537581,0.04764349885677802,26,1729983810.5089142,0.0009808468636352853,534.500314950943,26,7.29086569022958e-05,535.1248652935028
0.0010045605389215034,0.04478651537872708,27,1729983821.399195,0.0009045409289615016,545.3903629779816,27,0.00010001960996000188,546.0151460170746
0.0008961547761639704,0.046346592303312284,28,1729983858.2124841,0.0007744431721671296,582.2038011550903,28,0.00012171160399684072,582.8284351825714
0.0008625110728236025,0.04413343428399554,29,1729983870.0160072,0.0008436185454117554,594.0072445869446,29,1.8892527411847026e-05,594.6319582462311
0.0007511070435990617,0.042965233539437944,30,1729983879.733723,0.0007461521932670708,603.7252442836761,30,4.954850331990965e-06,604.3496739864349
0.0007022676376427619,0.04009850847095698,31,1729983910.6261945,0.0006984669618929609,634.6174442768097,31,3.8006757498009314e-06,635.2421455383301
0.000589165079799253,0.038456633895857135,32,1729983922.928632,0.0005847572631170698,646.920125246048,32,4.407816682183215e-06,647.5445830821991
0.0005476141712353062,0.03656107963175057,33,1729983952.7279122,0.0005246873060204205,676.7195065021515,33,2.2926865214885635e-05,677.3438632488251
0.00047448398463701666,0.034274294347021714,34,1729983964.4429524,0.0004569035832926031,688.4340934753418,34,1.758040134441356e-05,689.0589034557343
0.0003857058524380638,0.03218637655591974,35,1729984023.3979976,0.00037858535416182576,747.389169216156,35,7.120498276238059e-06,748.0139486789703
0.000334435486227938,0.03136049779686688,36,1729984034.2823617,0.00031189118214041935,758.2739963531494,36,2.254430408751868e-05,758.8983128070831
0.00030472021448567827,0.031045088186302576,37,1729984051.0816112,0.000284719071773432,775.0730164051056,37,2.00011427122463e-05,775.6975622177124
0.0002869214760989963,0.02984485388565697,38,1729984061.8815951,0.00027376338788335445,785.8732357025146,38,1.3158088215641887e-05,786.4975461959839
0.00024781147013886595,0.02912415328426854,39,1729984099.4992862,0.000238307820550184,823.4905414581299,39,9.503649588681951e-06,824.115237236023
0.00022059925579130581,0.02793658641390004,40,1729984130.1245725,0.00021691555510222661,854.1162378787994,40,3.6837006890791953e-06,854.7405235767365
