loss_interior,_step,_timestamp,loss_boundary,loss,l2_error,step,time,_runtime
120.48818016217722,0,1716097888.1485682,1.4725889618458647,121.96076912402307,1.0559661825350128,0,2.3719098567962646,7.746560096740723
102.2693448189322,1,1716097888.6443515,0.5946568339494654,102.86400165288167,1.4023663528532424,1,3.1173577308654785,8.242343425750732
74.70609511247066,2,1716097889.1376934,0.9772409317423582,75.68333604421302,0.9878775411129437,2,3.611110210418701,8.735685348510742
35.91231246571345,3,1716097889.6297336,0.681291508093775,36.59360397380723,1.0288087372165893,3,4.1031599044799805,9.227725505828857
35.462617810298575,4,1716097890.1223962,0.7377327353911729,36.200350545689744,1.0531518799870816,4,4.595826148986816,9.720388174057007
35.33141496703184,5,1716097890.6184015,0.7709478221727629,36.102362789204605,1.0794082179202913,5,5.091793775558472,10.21639347076416
35.24034298726259,6,1716097891.1115384,0.8070256592831784,36.04736864654577,1.0929785268125554,6,5.5849504470825195,10.709530353546143
35.20156000880046,7,1716097891.6045074,0.8258658376446112,36.02742584644508,1.120644531816957,7,6.077790975570679,11.202499389648438
35.1331169309147,8,1716097892.0972304,0.8647945906854463,35.99791152160015,1.1345606949134237,8,6.570652723312378,11.6952223777771
35.10166971291073,9,1716097892.593134,0.8846697074512697,35.986339420362,1.1623445653335496,9,7.0664801597595215,12.191125869750977
35.039319946843584,10,1716097893.08626,0.9249967707649838,35.96431671760857,1.176096204075578,10,7.559632062911987,12.6842520236969
35.006496933255946,11,1716097893.579248,0.9452933456213568,35.951790278877304,1.2031934099983939,11,8.052625179290771,13.177239894866943
34.93291450608879,12,1716097894.0726793,0.9859774726130002,35.918891978701794,1.2298753110775664,12,8.54603385925293,13.670671224594116
34.85852136461141,13,1716097894.5638967,1.0269213753871564,35.88544273999857,1.28259253729727,13,9.037278175354004,14.161888599395752
34.734791780700704,14,1716097895.0557458,1.1103521375276606,35.845143918228366,1.3083367152522047,14,9.52911639213562,14.653737783432007
34.676014787297454,15,1716097895.5477695,1.1523658401965942,35.82838062749405,1.3583034784855075,15,10.020960569381714,15.145761489868164
34.5440307653069,16,1716097896.0390148,1.2363939370639072,35.78042470237081,1.4066606366604213,16,10.51244568824768,15.637006759643555
34.40489734564706,17,1716097896.5306692,1.3208278288390347,35.725725174486094,1.4529577351060874,17,11.003995180130005,16.128661155700684
34.23128116430832,18,1716097897.0241575,1.4046618704873104,35.63594303479563,1.54164581811192,18,11.497364521026611,16.62214946746826
33.83751530210704,19,1716097897.5161161,1.5733701240202949,35.41088542612734,1.6254634620170045,19,11.989439249038696,17.114108085632324
33.37589028995201,20,1716097898.010085,1.742802095054384,35.1186923850064,1.7816208819951949,20,12.483222484588623,17.60807704925537
32.323057391442134,21,1716097898.5023835,2.0849666892245593,34.40802408066669,1.919192895373221,21,12.975720405578613,18.100375413894653
30.973538507656272,22,1716097898.9947753,2.4171714079112685,33.39070991556754,2.1475115298359047,22,13.467977046966553,18.592767238616943
27.72052921359464,23,1716097899.4885936,3.034378872295288,30.75490808588993,2.3502351136524915,23,13.961697816848755,19.086585521697998
23.718639379431377,24,1716097899.9813852,3.6129134685723163,27.331552848003692,2.4574349294784654,24,14.454426765441895,19.57937717437744
21.362534967991245,25,1716097900.4743218,3.8954377937228384,25.257972761714083,2.5661030222277996,25,14.947190523147583,20.07231378555298
19.186704566901877,26,1716097900.9687805,4.152470155389957,23.339174722291833,2.662324591650606,26,15.441611766815186,20.5667724609375
18.18653738806822,27,1716097901.4633849,4.356441025795045,22.542978413863267,2.6757498442077323,27,15.936224222183228,21.061376810073853
18.012827997497197,28,1716097901.957655,4.379673559374171,22.39250155687137,2.6749220001713994,28,16.43043041229248,21.555646896362305
17.480904032968184,29,1716097902.4523027,4.357256714990729,21.838160747958913,2.6454560641456086,29,16.92502498626709,22.050294637680054
17.040152704391414,30,1716097902.946638,4.26722805502315,21.307380759414563,2.591211733694416,30,17.419285535812378,22.54463005065918
16.850618581108417,31,1716097903.4414368,4.124110358400864,20.97472893950928,2.5577129796618014,31,17.914080381393433,23.0394287109375
16.82261288284482,32,1716097903.9363084,4.042372850609864,20.86498573345468,2.522602435691967,32,18.408931732177734,23.534300327301025
16.760693622431702,33,1716097904.4313416,3.961945510037004,20.722639132468707,2.4886458279034933,33,18.903904914855957,24.02933359146118
16.665099133848358,34,1716097904.927645,3.8892564897401445,20.554355623588503,2.458329100831617,34,19.400134086608887,24.525636911392212
16.527422611369545,35,1716097905.423779,3.829675068240875,20.35709767961042,2.4095113640231407,35,19.89627742767334,25.02177095413208
16.336716305654534,36,1716097905.919415,3.746794629147358,20.083510934801893,2.3942451950438683,36,20.391920804977417,25.517406940460205
16.230700600949078,37,1716097906.4150293,3.7298103845967088,19.96051098554579,2.3850277337412105,37,20.887526512145996,26.013021230697632
15.860383006976866,38,1716097906.9105473,3.7498174390391017,19.610200446015966,2.401005116773864,38,21.383015394210815,26.5085391998291
15.320876126254507,39,1716097907.4073458,3.831650880285526,19.152527006540033,2.491173597302133,39,21.879732608795166,27.005337715148926
14.1032020781274,40,1716097907.9030843,4.1415494030726805,18.24475148120008,2.5558192242380082,40,22.375468015670776,27.501076221466064
11.425129120305812,41,1716097908.875215,4.789454607269689,16.2145837275755,2.7592278519686837,42,23.347440481185913,28.473206996917725
9.608001289586603,42,1716097910.801232,5.048548481889312,14.656549771475916,2.68552364167863,46,25.27336573600769,30.399224042892456
8.084008941966882,43,1716097912.7302818,3.2637647586808374,11.34777370064772,2.2199005754061245,50,27.202048540115356,32.32827377319336
