_timestamp,loss_interior,step,loss,l2_error,_runtime,loss_boundary,_step,time
1715692449.98655,122.12596385838222,0,123.64525708905695,1.4300597064017821,6.107939004898071,1.519293230674729,0,2.1097161769866943
1715692451.004478,25.916395039280335,1,27.359613074758993,2.711208605858094,7.125866889953613,1.4432180354786592,1,3.40508770942688
1715692452.0473132,3.8539431647159628,2,8.942449892405943,1.0152700836743787,8.168702125549316,5.08850672768998,2,4.448269605636597
1715692453.1262293,1.4942445032959963,3,2.217744072615846,0.5941148982571332,9.247618198394775,0.7234995693198496,3,5.527038097381592
1715692454.2528267,0.8272746497761597,4,1.085019826405694,0.33375834080733624,10.374215602874756,0.25774517662953444,4,6.6534812450408936
1715692455.4303083,0.38011011254077554,5,0.4713231210216984,0.3353092764256487,11.551697254180908,0.09121300848092284,5,7.831131458282471
1715692456.635176,0.14571478223133874,6,0.24903983621942027,0.29935805123510384,12.756564855575562,0.10332505398808152,6,9.03573989868164
1715692457.869386,0.07862407014068067,7,0.16372456041544442,0.22849525055493597,13.990774869918823,0.08510049027476375,7,10.269474983215332
1715692459.139692,0.05697081005093357,8,0.10688295200047483,0.14721495297652895,15.261080980300903,0.049912141949541265,8,11.53905987739563
1715692460.4334083,0.042671400792962326,9,0.06281373545773651,0.10441929367564426,16.554797172546387,0.020142334664774185,9,12.834133386611938
1715692461.7292347,0.02681813449572899,10,0.03730595570861756,0.0662796108832385,17.850623607635498,0.010487821212888571,10,14.12973403930664
1715692463.0216537,0.018332210107178976,11,0.022528805183165943,0.05071182546157012,19.14304256439209,0.004196595075986967,11,15.422260999679565
1715692464.3194962,0.011440611793630403,12,0.013903032798563714,0.03672319778347438,20.440885066986084,0.0024624210049333122,12,16.720027923583984
1715692465.6307418,0.007203277987196152,13,0.008549513459031205,0.03044081565457531,21.75213074684143,0.0013462354718350538,13,18.03131866455078
1715692466.9470851,0.005311001676279837,14,0.006226960283237912,0.02487917990737307,23.068474054336548,0.0009159586069580756,14,19.347427368164062
1715692468.2488463,0.0037418658070040235,15,0.004369273751341045,0.02291569027678785,24.370235204696655,0.0006274079443370214,15,20.64903998374939
1715692469.565818,0.002791515427460185,16,0.0033482976454459706,0.02159001820758408,25.687206983566284,0.0005567822179857857,16,21.96626114845276
1715692470.886956,0.0023058790118235047,17,0.0027876188028895564,0.019498238067746462,27.008344888687134,0.00048173979106605155,17,23.287347078323364
1715692472.1933103,0.0018572082985048254,18,0.002246816154903134,0.018341170065330203,28.314699172973633,0.00038960785639830854,18,24.59384274482727
1715692473.4939675,0.0015720144534932372,19,0.0019218749926849857,0.018352672382171118,29.6153564453125,0.0003498605391917486,19,25.894455671310425
1715692474.796049,0.001206326542970443,20,0.0015377505911413096,0.01706093568525485,30.91743803024292,0.0003314240481708664,20,27.1965548992157
1715692476.0948894,0.0010192000154765034,21,0.0013097712085191997,0.016144009925151075,32.216278314590454,0.00029057119304269624,21,28.49539065361023
1715692477.3957095,0.0008479300594997579,22,0.0011046366633534624,0.014331916173541655,33.51709842681885,0.00025670660385370455,22,29.796208381652832
1715692478.6962166,0.0006961773828097237,23,0.0008970809895841768,0.01361355467231427,34.81760549545288,0.00020090360677445314,23,31.096635818481445
1715692480.003334,0.0006081188553933565,24,0.0007912674644821201,0.01248574568044473,36.124722957611084,0.0001831486090887636,24,32.40352129936218
1715692481.3045998,0.0005123216638770512,25,0.0006702945477873922,0.011287715860154394,37.42598867416382,0.0001579728839103409,25,33.70492601394653
1715692482.6096995,0.0004394986620423321,26,0.0005716125095158629,0.010845259900180875,38.731088399887085,0.0001321138474735308,26,35.01004076004028
1715692483.9117556,0.0003962788493177032,27,0.0005157906678736532,0.010426905257329021,40.03314447402954,0.00011951181855594995,27,36.31218409538269
1715692485.2135725,0.00036477159202005235,28,0.00047533217211011655,0.009949916427251008,41.33496141433716,0.00011056058009006419,28,37.61398935317993
1715692486.5182626,0.00033268471559280173,29,0.00043429948532619977,0.009789352438283846,42.63965153694153,0.00010161476973339804,29,38.918678522109985
1715692487.8168645,0.0003081484995415437,30,0.0004049604643625712,0.008839468791915214,43.93825340270996,9.681196482102745e-05,30,40.21726870536804
1715692489.1153727,0.000286838461953059,31,0.0003675643836893839,0.008346184848893785,45.23676156997681,8.072592173632488e-05,31,41.51577806472778
1715692490.4166539,0.0002680293644756353,32,0.00033878454885398967,0.008239343499242425,46.53804278373718,7.075518437835435e-05,32,42.81702780723572
1715692491.7168472,0.0002495089173720491,33,0.00031902379847972514,0.00807386031220357,47.83823609352112,6.951488110767606e-05,33,44.11723971366882
1715692493.0190656,0.00022849185855648187,34,0.00029616199718161677,0.007985498619662211,49.14045453071594,6.767013862513488e-05,34,45.41924524307251
1715692494.3177161,0.00020940627887966183,35,0.0002756088499339382,0.007701853569098406,50.43910503387451,6.620257105427642e-05,35,46.71808385848999
1715692495.6157525,0.00019595274770338984,36,0.00025738179017075337,0.007321434526031708,51.737141370773315,6.142904246736353e-05,36,48.01583290100098
1715692496.9126577,0.00018740392022690522,37,0.00024371981774179923,0.007229022473148203,53.03404664993286,5.631589751489402e-05,37,49.313034534454346
1715692498.2097838,0.00017837543177376964,38,0.00023289781065489193,0.0069313402953281675,54.331172704696655,5.452237888112231e-05,38,50.61002993583679
1715692499.51135,0.000171982643228613,39,0.00022240766816581677,0.006742427208565265,55.63273882865906,5.0425024937203756e-05,39,51.911731481552124
1715692500.8146498,0.000163160842413226,40,0.0002115046972020177,0.006598541844404109,56.93603873252869,4.834385478879168e-05,40,53.21499013900757
