loss_interior,step,time,l2_error,_timestamp,_step,loss_boundary,_runtime,loss
140.88004836861643,0,1.434258222579956,0.9009250006330988,1715910436.8312905,0,1.4536416189521626,5.686582565307617,142.3336899875686
91.64521893722636,1,4.047107458114624,1.563921266754692,1715910439.140219,1,0.5769059911889506,7.995511054992676,92.22212492841531
73.24066232839881,2,5.0991597175598145,1.1153213622640512,1715910440.1922305,2,1.4844967979241321,9.04752254486084,74.72515912632295
72.84581213234624,3,5.938908576965332,0.8984066529313691,1715910441.0318682,3,0.7572818748613674,9.887160301208496,73.6030940072076
32.374887031185374,4,7.005629539489746,0.801745316795148,1715910442.0980752,4,0.5361056627648051,10.953367233276367,32.91099269395018
29.647207010835103,5,8.280616760253906,0.4914202152480955,1715910443.3736537,5,0.4057183746571872,12.2289457321167,30.05292538549229
6.447365688248213,6,9.913971662521362,0.17462517494870178,1715910445.0083044,6,0.15376345210587808,13.863596439361572,6.60112914035409
1.2561644558395477,7,14.05183744430542,0.1618728400717764,1715910449.1447568,7,0.02915170126217508,18.000048875808716,1.2853161571017229
1.2804410555198409,8,15.759057760238647,0.10900412247657085,1715910450.851662,8,0.018899773430419865,19.70695400238037,1.2993408289502608
0.4768746898295087,9,17.729307889938354,0.10159901196342752,1715910452.8220923,9,0.008168876537087214,21.67738437652588,0.4850435663665959
0.19524886987114629,10,21.457125663757324,0.02686780014943339,1715910456.549986,10,0.005385709981359303,25.405277967453003,0.2006345798525056
0.033388840136525495,11,23.60737895965576,0.016625707378683678,1715910458.6998553,11,0.0006072829499401677,27.555147409439087,0.033996123086465664
0.0016474319334142747,12,28.38839602470398,0.013777435639312526,1715910463.4814029,12,0.0002506259796035432,32.336694955825806,0.001898057913017818
0.0006469643140029328,13,31.4996178150177,0.012334485198585824,1715910466.5923486,13,0.00016619531421777366,35.44764065742493,0.0008131596282207065
0.00015810634586871893,14,35.976502418518066,0.011329956553556779,1715910471.0693922,14,0.00012994795792528935,39.924684286117554,0.0002880543037940083
3.650432705764063e-05,15,40.45722675323486,0.01052297091048141,1715910475.549784,15,0.00010653198893568993,44.405076026916504,0.00014303631599333055
2.535146205846109e-05,16,44.82578802108765,0.009901581939176722,1715910479.9185672,16,8.914209020351955e-05,48.77385926246643,0.00011449355226198064
1.5029454856721645e-05,17,49.640215158462524,0.009414761789590678,1715910484.7329717,17,7.67711637414988e-05,53.588263750076294,9.180061859822044e-05
9.405987072827287e-06,18,53.935539960861206,0.009010351681258081,1715910489.0281103,18,6.780181895804841e-05,57.8834023475647,7.72078060308757e-05
6.182546463079837e-06,19,58.65904712677002,0.008653992955345448,1715910493.7519698,19,6.093422108674537e-05,62.60726189613342,6.711676754982521e-05
4.619853726471434e-06,20,63.256916761398315,0.008344722371361244,1715910498.349757,20,5.545056913246756e-05,67.20504903793335,6.007042285893899e-05
3.7760826378295482e-06,21,67.39674544334412,0.008070838356441333,1715910502.4896934,21,5.094382405250182e-05,71.3449854850769,5.4719906690331365e-05
3.3111955827303986e-06,22,71.7905592918396,0.007827753905196626,1715910506.8834398,22,4.715776679473948e-05,75.7387318611145,5.046896237746988e-05
2.982833297367252e-06,23,75.94998931884766,0.007609377282613122,1715910511.0426197,23,4.393850448513189e-05,79.89791178703308,4.692133778249914e-05
2.730632611641128e-06,24,80.0956392288208,0.007410856791187429,1715910515.1883965,24,4.116143717307637e-05,84.04368853569031,4.38920697847175e-05
2.5070595640941388e-06,25,84.2344138622284,0.007229513367157657,1715910519.3272858,25,3.873685820001083e-05,88.18257784843445,4.1243917764104966e-05
2.3377673878007822e-06,26,88.37749075889587,0.007062870581523324,1715910523.4701517,26,3.659662705133151e-05,92.32544374465942,3.893439443913229e-05
2.218645316563245e-06,27,92.14229965209961,0.006908591307717035,1715910527.2349558,27,3.4695384113777846e-05,96.09024786949158,3.691402943034109e-05
2.0977493647866384e-06,28,96.08049511909485,0.0067650829767182995,1715910531.1733687,28,3.2982999268181686e-05,100.02866077423096,3.5080748632968323e-05
1.9917474685869724e-06,29,99.87816429138184,0.006630866770609692,1715910534.9706643,29,3.1429802998529886e-05,103.82595634460449,3.342155046711686e-05
1.888240014608665e-06,30,103.5713632106781,0.006505050251768504,1715910538.6637936,30,3.0015755882132768e-05,107.51908564567566,3.190399589674143e-05
1.7931108800786615e-06,31,107.37315535545349,0.006387019779336537,1715910542.4659948,31,2.8722179103440026e-05,111.32128691673279,3.051528998351869e-05
1.6984316246274895e-06,32,111.27139663696289,0.006275651084682546,1715910546.36394,32,2.7534742906771803e-05,115.21923208236694,2.923317453139929e-05
1.611049142144252e-06,33,115.15587496757507,0.006170550595260922,1715910550.2487223,33,2.6440272862802734e-05,119.10401439666748,2.8051322004946985e-05
1.5255048998234108e-06,34,119.08070158958435,0.006071117135959925,1715910554.1732132,34,2.54287230447956e-05,123.02850532531738,2.695422794461901e-05
1.4451800356312992e-06,35,122.90561985969543,0.005976851603009352,1715910557.9981906,35,2.4490672130322185e-05,126.85348272323608,2.5935852165953482e-05
1.3672693696146746e-06,36,126.70746898651123,0.005887316341021247,1715910561.800232,36,2.361874265758595e-05,130.65552401542664,2.4986012027200627e-05
1.294011035455754e-06,37,130.56353855133057,0.005802152977679142,1715910565.6559837,37,2.280593880094989e-05,134.51127576828003,2.4099949836405645e-05
1.2232172407966852e-06,38,134.44452786445618,0.005721028679161763,1715910569.5370193,38,2.2046697912478367e-05,138.39231133460999,2.3269915153275054e-05
