loss_interior,time,_runtime,_timestamp,loss,step,_step,l2_error,loss_boundary
122.86842548748442,1.129267930984497,5.23612904548645,1716646762.843622,124.30717224479385,0,0,1.5636577051815854,1.4387467573094341
122.82967213478788,1.4303922653198242,5.278522968292236,1716646762.886016,124.26220750639409,1,1,1.5604971816839406,1.4325353716062126
122.7907867700577,1.4720280170440674,5.320303916931152,1716646762.9277968,124.21714941824811,2,2,1.5573457314540655,1.4263626481904204
122.75165557767934,1.5141329765319824,5.360174894332886,1716646762.9676678,124.17187156213485,3,3,1.5541960622454982,1.4202159844555107
122.71216930367734,1.5538125038146973,5.394741535186768,1716646763.0022345,124.12625011134803,4,4,1.551040210713789,1.4140808076706812
122.67220979472867,1.5885028839111328,5.428971767425537,1716646763.0364647,124.0801517494718,5,5,1.547870119238176,1.4079419547431222
122.631657058578,1.622603178024292,5.463663101196289,1716646763.071156,124.03344151622548,6,6,1.5446782186857975,1.4017844576474796
122.59039224095615,1.6575722694396973,5.49799108505249,1716646763.105484,123.9859865859109,7,7,1.54145723779892,1.3955943449547448
122.54829581650722,1.6915338039398193,5.531972646713257,1716646763.1394656,123.93765400918419,8,8,1.5382000869703283,1.3893581926769714
122.50524512669575,1.7255120277404785,5.567247629165649,1716646763.1747406,123.8883080486527,9,9,1.5348997752482347,1.3830629219569506
122.46111263054406,1.7604172229766846,5.601312160491943,1716646763.208805,123.83780831592239,10,10,1.5315493009549037,1.3766956853783299
122.41576497814826,1.798630952835083,5.638092756271362,1716646763.2455857,123.78600867351642,11,11,1.5281415913078513,1.3702436953681636
122.36906259714878,1.8318297863006592,5.6723268032073975,1716646763.2798197,123.73275673416556,12,12,1.524669494304713,1.363694137016777
122.32085948473194,1.865966796875,5.705948114395142,1716646763.313441,123.67789366176464,13,13,1.5211257810611145,1.357034177032697
122.27100299382184,1.899308204650879,5.739519119262695,1716646763.347012,123.62125398298275,14,14,1.5175031427300294,1.3502509891609114
122.21933349301116,1.9330711364746094,5.773300886154175,1716646763.3807938,123.56266525776826,15,15,1.5137941740924488,1.3433317647571021
122.16568386049023,1.9671916961669922,5.807277679443359,1716646763.4147706,123.50194755648401,16,16,1.5099913477368898,1.3362636959937821
122.10987882646558,2.000812530517578,5.840874671936035,1716646763.4483676,123.43891276779804,17,17,1.506086986199543,1.3290339413324737
122.0517342121406,2.034231424331665,5.874374628067017,1716646763.4818676,123.37336380013062,18,18,1.5020732384364526,1.3216295879900186
121.99105611515532,2.067790985107422,5.907968521118164,1716646763.5154614,123.3050937372111,19,19,1.4979420588822916,1.3140376220557748
121.927640065644,2.1013455390930176,5.941474676132202,1716646763.5489676,123.23388496926485,20,20,1.4936851840142624,1.306244903620856
121.86127013799825,2.1349074840545654,5.975094318389893,1716646763.5825872,123.15950827721666,21,21,1.4892941085040317,1.2982381392184188
121.79171798332533,2.1685779094696045,6.008762836456299,1716646763.6162558,123.0817218383934,22,22,1.484760067969914,1.290003855068081
121.71874175629286,2.202484607696533,6.0426952838897705,1716646763.6501882,123.0002701406327,23,23,1.4800740305480606,1.2815283843398366
121.64208492316492,2.236185312271118,6.076326370239258,1716646763.6838193,122.91488279731848,24,24,1.4752266925943847,1.2727978741535664
121.56147494831599,2.270052909851074,6.110108852386475,1716646763.7176018,122.82527325267026,25,25,1.4702084731891185,1.2637983043542613
121.47662185932653,2.3035085201263428,6.143783807754517,1716646763.7512767,122.731137366124,26,26,1.4650095076980425,1.2545155067974785
121.38721667820134,2.3370518684387207,6.177336931228638,1716646763.7848299,122.63215186278134,27,27,1.4596196432939308,1.2449351845800058
121.29292970478102,2.370657444000244,6.210975885391235,1716646763.8184688,122.5279726418855,28,28,1.4540284351801755,1.235042937104483
121.19340865219095,2.404494285583496,6.244588136672974,1716646763.852081,122.41823294191424,29,29,1.4482251419278582,1.224824289723285
121.08827663571807,2.438525676727295,6.278269052505493,1716646763.885762,122.30254136161474,30,30,1.4421987200105113,1.2142647258966741
120.97713000595813,2.471621513366699,6.3119659423828125,1716646763.9194589,122.18047972810206,31,31,1.4359378189515788,1.2033497221439269
120.859536008719,2.505399465560913,6.345668077468872,1716646763.953161,122.05160079662733,32,32,1.4294307770558834,1.1920647879083226
120.73503025895351,2.5390284061431885,6.379227876663208,1716646763.9867208,121.91542576878898,33,33,1.4226656159789386,1.180395509835468
120.60311401929953,2.5727343559265137,6.413028955459595,1716646764.0205219,121.77144161665217,34,34,1.41563003588291,1.1683275973526452
120.46325126963069,2.6066043376922607,6.4466552734375,1716646764.0541482,121.61909820279132,35,35,1.4083114137991033,1.1558469331606376
120.31486555844927,2.640190601348877,6.480282783508301,1716646764.0877757,121.45780519210538,36,36,1.4006968065149137,1.1429396336561097
120.15733663073479,2.6741955280303955,6.5140204429626465,1716646764.1215134,121.28692875263111,37,37,1.392772958958727,1.1295921218963179
119.98999682705774,2.7080111503601074,6.547918081283569,1716646764.155411,121.10578804215596,38,38,1.3845263175756393,1.1157912150982292
119.81212725278492,2.7438268661499023,6.5839152336120605,1716646764.1914082,120.91365147815101,39,39,1.3759430466351321,1.1015242253660902
119.62295372033962,2.7772417068481445,6.617549180984497,1716646764.225042,120.70973278942829,40,40,1.3670090461244486,1.0867790690886692
119.20729563384164,2.825514316558838,6.6655800342559814,1716646764.273073,120.26310527366104,42,41,1.3480312486222676,1.0558096398194003
118.19907845824834,2.8998613357543945,6.740432977676392,1716646764.347926,119.18677474338423,46,42,1.3052219694674667,0.9876962851358969
