step,time,_timestamp,loss_interior,_step,_runtime,loss_boundary,l2_error,loss
0,1.4936156272888184,1729310429.9849026,121.33525939816738,0,2.3139777183532715,1.445666175191286,1.5116296784630823,122.78092557335867
1,2.10491681098938,1729310430.3602612,120.48930921133987,1,2.6893362998962402,1.327726707950552,1.259447826546569,121.81703591929042
2,2.5923562049865723,1729310430.8475258,114.98818500607608,2,3.176600933074951,0.89383443066718,2.173794761195846,115.88201943674326
3,3.5680365562438965,1729310431.823423,73.4419103837577,3,4.152498006820679,2.520772567459606,2.024482966466243,75.9626829512173
4,4.6183953285217285,1729310432.875292,60.85678030490283,4,5.204367160797119,2.344647885564621,1.814325435060897,63.201428190467446
5,6.110605478286743,1729310434.3660495,12.532414396021878,5,6.695124626159668,2.1961161996485394,1.9651741630253259,14.728530595670417
6,7.658482789993286,1729310435.9142675,6.300959259760186,6,8.243342638015747,2.5581551468073944,1.6193957999102324,8.85911440656758
7,9.46749210357666,1729310437.723125,3.3263086147883154,7,10.052200078964233,1.7421800672472727,1.0592087830474086,5.068488682035588
8,11.52564549446106,1729310439.7816026,2.14226908057805,8,12.110677719116211,0.7498545469147553,0.6263786802716987,2.8921236274928055
9,14.192148923873901,1729310442.4479437,1.5656388820450031,9,14.777018785476685,0.2591870248261163,0.29949640619629037,1.8248259068711195
10,17.176676750183105,1729310445.4327784,0.7168171853064306,10,17.761853456497192,0.06719443279998122,0.26524876287389026,0.7840116181064118
11,20.232441902160645,1729310448.4885113,0.5378581368945832,11,20.817586421966553,0.054468234797493194,0.22647484827592712,0.5923263716920764
12,23.740245819091797,1729310451.9962244,0.12037881147784114,12,24.325299501419067,0.0413207783673187,0.1438985832132896,0.16169958984515984
13,27.612982988357544,1729310455.8691401,0.050860785248350734,13,28.19821524620056,0.017493373729939064,0.08755931987895554,0.0683541589782898
14,31.68422222137451,1729310459.940453,0.01695592611703583,14,32.26952815055847,0.00655600780980976,0.0506296763256226,0.02351193392684559
15,36.4812707901001,1729310464.7373347,0.009602316218417973,15,37.06640982627869,0.0022452872316864286,0.0297094498516579,0.011847603450104402
16,43.45805644989014,1729310471.7143345,0.003887573189066571,16,44.04340958595276,0.0008566217449213662,0.020846485181686324,0.0047441949339879375
17,51.727622509002686,1729310479.9840052,0.0017920364097936863,17,52.31308031082153,0.0004475257297680461,0.017368452964663213,0.0022395621395617325
18,60.892478227615356,1729310489.1488667,0.0009577260619584927,18,61.4779417514801,0.0003004150929442062,0.014810456483755742,0.001258141154902699
19,71.61127638816833,1729310499.867732,0.0005465847072165133,19,72.19680714607239,0.0002165467007212788,0.012761171646464443,0.0007631314079377922
20,83.41211938858032,1729310511.6686394,0.0003534669253861437,20,83.99771451950073,0.0001589811351876175,0.011140291189433743,0.0005124480605737613
21,96.83460974693298,1729310525.0908914,0.000254010091009365,21,97.41996645927429,0.00011825673869273976,0.009793393534403507,0.00037226682970210477
22,111.34213280677795,1729310539.5986423,0.00018692565963993044,22,111.92771744728088,9.040349868753913e-05,0.008663747095858942,0.00027732915832746956
23,125.4171257019043,1729310553.6736653,0.00014946000410744956,23,126.0027403831482,7.058675965201437e-05,0.007744566400584307,0.00022004676375946393
24,140.84295415878296,1729310569.0992913,0.00013436080312867764,24,141.4283664226532,5.7130750314974794e-05,0.007061936312122728,0.00019149155344365244
25,146.20953965187073,1729310574.4658573,0.0001199845231554957,25,146.79493236541748,4.90964287667437e-05,0.0065759321202056974,0.00016908095192223939
26,164.9097752571106,1729310593.1663523,0.00010954066769280099,26,165.4954273700714,4.3191096150667154e-05,0.0061937020409394555,0.00015273176384346816
27,169.04628372192383,1729310597.3026338,0.00010177281884161165,27,169.63170886039734,3.8384428908057756e-05,0.005815644122673497,0.0001401572477496694
28,174.1683111190796,1729310602.4246542,0.00010149204073723453,28,174.7537293434143,3.3428342809777465e-05,0.0054845886139445925,0.00013492038354701198
29,179.85819602012634,1729310608.1148322,9.823093348966079e-05,29,180.44390726089478,2.9421700595642804e-05,0.005177626945795159,0.0001276526340853036
30,182.71551060676575,1729310610.9718888,9.450666195615529e-05,30,183.3009638786316,2.601062882771322e-05,0.004861510154465708,0.00012051729078386851
31,184.61239862442017,1729310612.8688064,8.956615849587425e-05,31,185.19788146018982,2.288467624384796e-05,0.004603285179894656,0.00011245083473972222
32,203.24977231025696,1729310631.5061677,8.142825718161398e-05,32,203.8352427482605,2.0517379369937723e-05,0.004255003991559216,0.0001019456365515517
33,207.38537907600403,1729310635.6417449,7.278395105112874e-05,33,207.97081995010376,1.7576445525160403e-05,0.004074611930816812,9.036039657628915e-05
34,226.03271079063416,1729310654.289457,7.336324557043097e-05,34,226.61853218078613,1.4754837401431715e-05,0.0037513164925184503,8.811808297186268e-05
35,230.06108283996582,1729310658.3174553,7.285671977206848e-05,35,230.64653038978577,1.2686279680283102e-05,0.0036559911879934757,8.554299945235158e-05
36,248.68967962265015,1729310676.9461339,6.391876669400874e-05,36,249.27520895004272,1.1370402500065014e-05,0.00342021285980489,7.528916919407375e-05
37,252.71418070793152,1729310680.9708052,6.0291248447148104e-05,37,253.29988026618958,9.559411429831696e-06,0.0032381601415702784,6.98506598769798e-05
38,259.3288128376007,1729310687.5853152,5.157399441232022e-05,38,259.91439032554626,8.324586721982575e-06,0.00305969744303781,5.989858113430279e-05
39,277.9419951438904,1729310706.1984131,4.862029408360882e-05,39,278.52748823165894,7.232244825243251e-06,0.002797461186037225,5.585253890885207e-05
40,282.241108417511,1729310710.4975538,4.138664684418349e-05,40,282.82662892341614,5.959041405432491e-06,0.002579320273792198,4.734568824961598e-05
42,305.0355432033539,1729310733.2921214,3.74911575735056e-05,41,305.6211965084076,4.478794344540292e-06,0.0022550661178461404,4.196995191804589e-05
