step,time,_timestamp,loss_interior,_step,_runtime,loss_boundary,l2_error,loss
46,350.10142946243286,1729310778.357921,3.10690629783905e-05,42,350.6869959831238,2.8711522699340983e-06,0.0016768957229095765,3.394021524832459e-05
50,397.896591424942,1729310826.1534128,2.0654945233836585e-05,43,398.4824879169464,2.4053194835175453e-06,0.0017293087240835793,2.306026471735413e-05
55,476.9690124988556,1729310905.226723,1.1209750137425408e-05,44,477.55579805374146,1.6981747137581078e-06,0.0011304536759889888,1.2907924851183515e-05
61,564.7832939624786,1729310993.040117,3.492529097633546e-06,45,565.3691921234131,9.96080709193152e-07,0.0009341338881554368,4.488609806826698e-06
67,662.5658676624298,1729311090.8226848,1.7990477934610863e-06,46,663.1517598628998,6.871881084304874e-07,0.0007378602389810798,2.486235901891574e-06
73,774.862190246582,1729311203.11904,9.977550410097179e-07,47,775.4481151103973,4.0681281672165336e-07,0.0005941618267368186,1.4045678577313713e-06
81,896.9064025878906,1729311325.1632118,7.132447640424132e-07,48,897.4922869205475,2.6924333758487543e-07,0.00047964516518820383,9.824881016272887e-07
89,1031.1528096199036,1729311459.4096339,4.3527021558502765e-07,49,1031.738708972931,2.000314509910144e-07,0.00042011540116388893,6.353016665760421e-07
98,1199.5111374855042,1729311627.7683308,2.8837307105781953e-07,50,1200.097405910492,1.3554249593653527e-07,0.0003267151457063964,4.239155669943548e-07
107,1367.7992615699768,1729311796.056106,2.1544224980738258e-07,51,1368.3851811885834,9.60182155606871e-08,0.00027885651292352187,3.1146046536806965e-07
118,1573.5497658252716,1729312001.8066,1.6674121769855357e-07,52,1574.1356751918793,7.65665557047236e-08,0.0002484652682736606,2.4330777340327715e-07
130,1798.024216413498,1729312226.2809904,1.3280845594937921e-07,53,1798.610065460205,6.094397554505784e-08,0.00021889404924766166,1.9375243149443704e-07
143,2041.2221157550812,1729312469.4789488,1.103819268371679e-07,54,2041.808023929596,5.1104476314004323e-08,0.00019950985741907384,1.6148640315117222e-07
157,2303.0941133499146,1729312731.3509338,9.401337217314093e-08,55,2303.6800088882446,4.5276977276681305e-08,0.00018676028542760064,1.3929034944982224e-07
172,2583.645311355591,1729313011.9020839,8.186004755245113e-08,56,2584.2311589717865,4.084749897666894e-08,0.0001767421909471939,1.2270754652912008e-07
190,2920.357260942459,1729313348.6140559,7.13582055826155e-08,57,2920.943130970001,3.736423137126914e-08,0.0001687131066607487,1.0872243695388465e-07
195,3013.874369621277,1729313442.1320314,6.89113990779035e-08,58,3014.4611065387726,3.659147911166161e-08,0.0001668701863774927,1.0550287818956512e-07
