l2_error,loss_boundary,step,time,_timestamp,loss,_step,loss_interior,_runtime
1.5685848662881856,1.4847215461960392,0,1.140146017074585,1715816290.9575293,121.48023419239249,0,119.99551264619645,5.260727405548096
1.5680012974815556,1.4841336036152868,1,1.4639511108398438,1715816291.0184398,121.47598121657865,1,119.99184761296335,5.321637868881226
1.5671321673499787,1.4829663427430042,2,1.5227806568145752,1715816291.067944,121.4675296469192,2,119.9845633041762,5.371142148971558
1.5659813045173308,1.4812281365756188,3,1.5692765712738037,1715816291.115461,121.45492412942757,3,119.97369599285194,5.418659210205078
1.5645521425144449,1.4789269205514644,4,1.616150140762329,1715816291.1629071,121.43819805910945,4,119.959271138558,5.466105222702026
1.562847550776418,1.4760699252646794,5,1.6648483276367188,1715816291.2101686,121.4173712041464,5,119.94130127888172,5.51336669921875
1.5608696330115375,1.4726633370896371,6,1.7122631072998047,1715816291.2577357,121.39244651442793,6,119.91978317733829,5.560933828353882
1.5586194968216234,1.4687118955988758,7,1.7597098350524902,1715816291.298131,121.36340614392692,7,119.89469424832805,5.60132908821106
1.5560969979769665,1.464218436214932,8,1.8001441955566406,1715816291.3401153,121.33020669648609,8,119.86598826027115,5.643313407897949
1.5533004620652162,1.4591833856962324,9,1.842212438583374,1715816291.3801134,121.29277367927855,9,119.83359029358232,5.683311462402344
1.550226385338154,1.4536042168295853,10,1.8821532726287842,1715816291.421744,121.25099511635057,10,119.79739089952098,5.724942207336426
1.5468691154632386,1.4474748671041147,11,1.9247455596923828,1715816291.4624963,121.20471423482539,11,119.75723936772127,5.7656943798065186
1.543220511524552,1.4407851241888794,12,1.9642558097839355,1715816291.5019298,121.1537210866701,12,119.71293596248123,5.805127859115601
1.5392695809622188,1.4335199787300459,13,2.003772020339966,1715816291.5414374,121.09774290679924,13,119.6642229280692,5.844635486602783
1.535002089102295,1.4256589422951027,14,2.0432791709899902,1715816291.5808597,121.03643293001232,14,119.61077398771722,5.8840577602386475
1.5304001343595324,1.4171753251432533,15,2.082918882369995,1715816291.6204753,120.9693572895096,15,119.55218196436635,5.923673391342163
1.5254416788460374,1.4080354647371813,16,2.122326612472534,1715816291.6608057,120.89597949077688,16,119.4879440260397,5.964003801345825
1.520100019595551,1.3981978912592197,17,2.165013074874878,1715816291.702581,120.81564178521671,17,119.4174438939575,6.005779027938843
1.5143431792979785,1.3876124104079115,18,2.2108023166656494,1715816291.7451727,120.72754254153205,18,119.33993013112413,6.048370838165283
1.5081331863727097,1.3762190757248745,19,2.2514915466308594,1715816291.7837787,120.63070840515998,19,119.2544893294351,6.086976766586304
1.5014252009115197,1.3639470115528434,20,2.290985584259033,1715816291.8226688,120.52395961070516,20,119.16001259915232,6.125866889953613
1.4941664232156133,1.3507130318114327,21,2.329888343811035,1715816291.8616748,120.40586621471739,21,119.05515318290595,6.164872884750366
1.4862946918465123,1.3364199766413827,22,2.367974281311035,1715816291.900683,120.27469216330402,22,118.93827218666264,6.203881025314331
1.477736632976608,1.3209546549841225,23,2.4068944454193115,1715816291.9398377,120.12832287353511,23,118.80736821855099,6.243035793304443
1.468405154263353,1.3041852310597857,24,2.4474334716796875,1715816291.9799473,119.96417019174257,24,118.65998496068278,6.283145427703857
1.4581959722681148,1.2859578189851193,25,2.486684799194336,1715816292.0193472,119.77904588614584,25,118.49308806716071,6.322545289993286
1.4469827043863848,1.2660919421115584,26,2.5260355472564697,1715816292.0589092,119.56899074682961,26,118.30289880471805,6.362107276916504
1.434609817657088,1.2443743585999378,27,2.5661723613739014,1715816292.0983748,119.32904012447926,27,118.08466576587932,6.401572942733765
1.4208823695723156,1.2205505363957747,28,2.608511209487915,1715816292.1407971,119.05289709263019,28,117.83234655623441,6.443995237350464
1.4055509480548944,1.1943127643675282,29,2.646897792816162,1715816292.179865,118.7324693560977,29,117.53815659173017,6.483062982559204
1.388289453455191,1.1652835087075355,30,2.687252998352051,1715816292.2195733,118.35720230193407,30,117.19191879322653,6.52277135848999
1.3686622955429142,1.1329921992504461,31,2.7223289012908936,1715816292.258744,117.91310294990983,31,116.78011075065938,6.561942100524902
1.3460761671927322,1.096843292138904,32,2.763263463973999,1715816292.2972336,117.38128957296081,32,116.28444628082191,6.600431680679321
1.3197099075211955,1.056073570128148,33,2.8044886589050293,1715816292.3361044,116.73580606354086,33,115.67973249341271,6.639302492141724
1.2884146041421696,1.0096981016041182,34,2.843454360961914,1715816292.3748474,115.94028818165863,34,114.93059008005451,6.6780455112457275
1.2505766634215496,0.9564491052972008,35,2.882434368133545,1715816292.4139886,114.94283092230992,35,113.98638181701273,6.717186689376831
1.2039436838373363,0.894724502990595,36,2.921193838119507,1715816292.453298,113.66804460665553,36,112.77332010366493,6.75649619102478
1.1454386725772885,0.8225919989920091,37,2.9594829082489014,1715816292.492165,112.00476807615223,37,111.18217607716022,6.795363187789917
1.0710640874339887,0.7379565239224017,38,2.999281644821167,1715816292.5310853,109.78723985122744,38,109.04928332730503,6.834283351898193
0.9762105944402698,0.6391199390580135,39,3.037761926651001,1715816292.5699925,106.76685635860882,39,106.1277364195508,6.873190641403198
0.8573144373994418,0.526170110012457,40,3.0776994228363037,1715816292.6093018,102.57144359516217,40,102.0452734851497,6.912499904632568
0.5906671477415365,0.2874662049749597,42,3.1330366134643555,1715816292.6675913,88.22109480295332,41,87.93362859797836,6.970789432525635
1.8442249265870647,1.2100682520152335,46,3.2281291484832764,1715816292.7659163,41.405375968541605,42,40.19530771652637,7.069114446640015
