time,l2_error,loss,_timestamp,loss_boundary,step,_runtime,loss_interior,_step
2.9125609397888184,1.5708130773349622,123.44703025487668,1715810170.0132718,1.497609306913441,0,8.799442768096924,121.94942094796323,0
4.570176362991333,11.90282849120035,123.44702035103182,1715810170.6992228,1.4976080556030091,1,9.485393762588501,121.94941229542881,1
5.185856580734253,3.7290692006403185,1799642.5209517987,1715810171.3144207,70.11485201489576,2,10.100591659545898,1799572.4060997837,2
5.80141019821167,3.109959042104263,381497.65932118736,1715810171.9298532,7.040365124447776,3,10.716024160385132,381490.6189560629,3
6.418560743331909,2.8901342942764727,36839.22423784551,1715810172.5467725,5.038554130200719,4,11.332943439483643,36834.18568371531,4
7.032931327819824,2.7114797086821767,9703.440281425515,1715810173.1622372,4.311108973662476,5,11.948408126831055,9699.129172451852,5
7.64811635017395,2.674597557139087,1312.607736977084,1715810173.7763383,3.836552665194283,6,12.562509298324585,1308.7711843118898,6
8.262410402297974,2.5394085561796294,600.6267313041172,1715810174.3905969,3.73276506250546,7,13.176767826080322,596.8939662416118,7
8.876947402954102,2.7774195656132785,214.7386511905082,1715810175.0051801,3.4313094373595843,8,13.791351079940796,211.30734175314862,8
9.491262674331665,2.5694779966963024,164.8116389041157,1715810175.6196659,4.053981638141951,9,14.405836820602417,160.75765726597376,9
10.106471300125122,2.47305390803454,53.04653875214957,1715810176.234996,3.5584841141405907,10,15.021167039871216,49.48805463800898,10
10.72221064567566,2.2870461575479437,39.13296965463739,1715810176.85043,3.3288324493911143,11,15.636600971221924,35.80413720524628,11
11.33627200126648,2.0163860054963556,35.47968191596158,1715810177.464657,2.8885806365880207,12,16.25082802772522,32.591101279373554,12
11.950490713119507,1.7280905547423115,18.917110147452217,1715810178.0786994,2.325726727729308,13,16.864870309829712,16.59138341972291,13
12.565727949142456,1.493514792225298,14.195304450393234,1715810178.6939216,1.757982443852484,14,17.480092525482178,12.43732200654075,14
13.179795742034912,1.2839028095909475,9.847917480080788,1715810179.3079531,1.3535594816723135,15,18.09412407875061,8.494357998408475,15
13.793688297271729,1.1051404520391583,7.236394284238308,1715810179.9218695,1.028231238209771,16,18.708040475845337,6.208163046028537,16
14.408124208450317,0.8811364806153704,6.176482305308963,1715810180.5363076,0.7841513094129005,17,19.322478532791138,5.392330995896063,17
15.022644281387329,0.7267203841547372,4.583151564981452,1715810181.1508284,0.518676825749629,18,19.936999320983887,4.064474739231823,18
15.637410640716553,0.65359598231024,3.2060531901852287,1715810181.7655988,0.3621085252404169,19,20.551769733428955,2.8439446649448117,19
16.251287698745728,0.6089197475320401,2.578840915246115,1715810182.3794734,0.297370526629447,20,21.16564440727234,2.281470388616668,20
16.865596294403076,0.535526765914523,2.2111230707888145,1715810182.9937954,0.25989070950413873,21,21.779966354370117,1.9512323612846758,21
17.480392456054688,0.4544747387321513,1.743116660671539,1715810183.6086116,0.20550805868217165,22,22.394782543182373,1.5376086019893673,22
18.094799518585205,0.39146179776716283,1.6651174394541552,1715810184.2230198,0.15451914815148765,23,23.009190797805786,1.5105982913026677,23
18.711187839508057,0.37181321221889535,1.0798434716426026,1715810184.8393803,0.12129401600514304,24,23.625551223754883,0.9585494556374595,24
19.325485944747925,0.3491797769624906,0.8755551206191794,1715810185.4537299,0.11221510235890582,25,24.239900827407837,0.7633400182602735,25
19.939842700958252,0.3290956591068963,0.7413928289932032,1715810186.0680013,0.10184863014435705,26,24.854172229766846,0.6395441988488462,26
20.55570387840271,0.3051043307105685,0.6192023679439854,1715810186.6840568,0.09230526241483142,27,25.47022771835327,0.526897105529154,27
21.171068906784058,0.2842980464849975,0.4821899183914953,1715810187.2995617,0.08164891561811746,28,26.08573269844055,0.40054100277337784,28
21.78592038154602,0.2741415196511676,0.36853310948333773,1715810187.9141352,0.07368711676103341,29,26.700306177139282,0.29484599272230433,29
22.40081024169922,0.264254761191088,0.30955281317064043,1715810188.5289805,0.0695926661367554,30,27.31515145301819,0.23996014703388502,30
23.01454782485962,0.25009041264953313,0.2661077641224725,1715810189.1427445,0.06508422786927442,31,27.92891550064087,0.2010235362531981,31
23.629129886627197,0.2432046153831648,0.21623852211422243,1715810189.7574477,0.05910298189282114,32,28.54361867904663,0.15713554022140128,32
24.24342370033264,0.23355341594754297,0.1911360015150696,1715810190.3716288,0.05652981060734859,33,29.15779972076416,0.13460619090772102,33
24.857958555221558,0.22489830431572413,0.1660809165851327,1715810190.9861462,0.05260900689515004,34,29.7723171710968,0.11347190968998265,34
25.471859216690063,0.21842705339884705,0.14805890730973817,1715810191.600057,0.0491235460962878,35,30.38622784614563,0.09893536121345037,35
26.086044311523438,0.21130619130778674,0.13235773727124436,1715810192.2141929,0.04666917170176441,36,31.00036382675171,0.08568856556947996,36
26.700357913970947,0.20369850420533112,0.11574957230334637,1715810192.8285499,0.04373993274342824,37,31.614720821380615,0.07200963955991813,37
27.31464195251465,0.20047896063713525,0.10176403250194144,1715810193.442796,0.04080112529421495,38,32.22896695137024,0.060962907207726486,38
27.927024126052856,0.19555116401673564,0.09445981038362095,1715810194.055083,0.039631789880695524,39,32.841253995895386,0.05482802050292543,39
28.539771795272827,0.19012434347596283,0.08630506732102682,1715810194.6678529,0.03768599047139415,40,33.45402383804321,0.04861907684963267,40
29.747722148895264,0.17881632352331603,0.07116009096469395,1715810195.8758123,0.03330584563796452,42,34.661983251571655,0.03785424532672942,41
32.13804841041565,0.15900903154194904,0.05195476106870974,1715810198.2661803,0.02715227200444363,46,37.052351236343384,0.02480248906426611,42
