l2_error,loss_interior,loss,time,_step,step,_timestamp,_runtime,loss_boundary
1.2085424683202877,121.24083465905335,122.74310081234546,2.7014310359954834,0,0,1715606167.594167,7.034152030944824,1.5022661532921098
0.9321619911866488,108.59021348808712,109.36512154727927,4.475245475769043,1,1,1715606168.8782768,8.318261861801147,0.7749080591921558
1.162155526823564,97.75443197309654,98.25130391508148,5.7554402351379395,2,2,1715606170.1596694,9.59965443611145,0.49687194198493206
0.535667703418458,82.33658491863947,82.98586836200847,7.046911239624023,3,3,1715606171.4499319,10.889916896820068,0.6492834433690072
0.9056737478027085,63.591770097418916,63.79333293248061,8.224632024765015,4,4,1715606172.6267986,12.066783666610718,0.20156283506169428
0.8229593384562017,44.935200353012966,45.48911701326351,9.491817712783813,5,5,1715606173.8953404,13.335325479507446,0.553916660250546
1.1067752640998014,39.79540163177344,40.30151350722264,10.804524898529053,6,6,1715606175.206757,14.646742105484009,0.5061118754491993
1.1248782148810534,32.18854809558715,33.0690901482137,12.035950660705566,7,7,1715606176.4382102,15.87819528579712,0.8805420526265438
1.093108055874127,31.168229128838842,32.05518503251732,13.301886558532715,8,8,1715606177.7039738,17.143958806991577,0.886955903678477
1.1131380139418472,30.160618409506863,31.023761182028977,14.545204877853394,9,9,1715606178.9471078,18.38709282875061,0.863142772522112
1.1083475707134456,29.220835727682694,30.105160070992874,15.776394844055176,10,10,1715606180.1782846,19.618269681930542,0.8843243433101804
1.1645747278424867,28.605468654502438,29.493205094932094,17.006403923034668,11,11,1715606181.407954,20.847939014434814,0.887736440429654
1.1573535660031207,27.35378631514467,28.312472270122143,18.21827459335327,12,12,1715606182.6199715,22.059956550598145,0.9586859549774716
1.168446869524549,26.572018099558587,27.5379461626936,19.459062099456787,13,13,1715606183.8606946,23.300679683685303,0.9659280631350147
1.231916184078924,26.150317223566187,27.13091157948017,20.772812604904175,14,14,1715606185.1750908,24.615075826644897,0.9805943559139827
1.2225369643833066,25.358952607290767,26.443076952588147,21.965665102005005,15,15,1715606186.3681798,25.808164834976196,1.08412434529738
1.2472901009302142,24.725638021520183,25.79842269142354,23.209161520004272,16,16,1715606187.6108835,27.05086851119995,1.072784669903356
1.2585848304541152,24.283980115514478,25.393242651540127,24.502443552017212,17,17,1715606188.9046977,28.344682693481445,1.1092625360256492
1.2820902054759398,23.942230680001444,25.07682918631299,25.722408771514893,18,18,1715606190.124024,29.564008951187134,1.134598506311549
1.2946796764972144,23.59152934968942,24.76103591219798,26.960291147232056,19,19,1715606191.3626297,30.80261468887329,1.1695065625085581
1.3025653015262022,23.25093468109991,24.449173686853694,28.14488196372986,20,20,1715606192.5469818,31.986966848373413,1.1982390057537828
1.3315376901372231,23.00823616678322,24.219023526884804,29.338948726654053,21,21,1715606193.7413948,33.18137979507446,1.210787360101584
1.3364762829880947,22.64554918443903,23.91035036735724,30.557715892791748,22,22,1715606194.9603436,34.400328636169434,1.2648011829182106
1.369660231596315,22.407060656954457,23.679409872656418,31.71820616722107,23,23,1715606196.1300015,35.56998658180237,1.2723492157019625
1.3693999880156404,22.142561103863507,23.477410177981604,32.958293199539185,24,24,1715606197.3606021,36.80058717727661,1.3348490741180983
1.3850212591630928,21.883459274585135,23.21655979987414,34.13702321052551,25,25,1715606198.5398073,37.97979235649109,1.3331005252890042
1.3915473190638217,21.649599691649037,23.015430220475405,35.30103588104248,26,26,1715606199.7030218,39.143006801605225,1.3658305288263688
1.4209546376898272,21.467349886437848,22.84487347679747,36.44509315490723,27,27,1715606200.8474495,40.287434577941895,1.3775235903596224
1.4232268942641169,21.175822413522262,22.61092411393282,37.61927580833435,28,28,1715606202.0216277,41.461612701416016,1.4351017004105588
1.4385687366542361,20.991346862670607,22.43010913156653,38.78175640106201,29,29,1715606203.1845765,42.62456154823303,1.4387622688959258
1.4541883664676942,20.80168598065688,22.272412606155545,39.9261155128479,30,30,1715606204.3291173,43.769102334976196,1.4707266254986633
1.4727686318568327,20.59131721674952,22.090271447325055,41.07452464103699,31,31,1715606205.4764483,44.916433334350586,1.498954230575536
1.4751064205928215,20.370794747200726,21.91012671980163,42.23940944671631,32,32,1715606206.6413703,46.08135533332825,1.5393319726009045
1.4905447964576453,20.216681659158297,21.760314288906233,43.49118947982788,33,33,1715606207.8930433,47.3330283164978,1.5436326297479364
1.5044681197748229,20.047179337947696,21.623583515000654,44.73377966880798,34,34,1715606209.13539,48.57537508010864,1.5764041770529584
1.5242379457026936,19.86441636851067,21.46707728574784,45.99944591522217,35,35,1715606210.401566,49.841551065444946,1.6026609172371693
1.5247592888666137,19.66236616315889,21.308604159330145,47.299567461013794,36,36,1715606211.7016413,51.14162635803223,1.6462379961712554
1.5412575549188654,19.526143050289615,21.17325337062644,48.574764013290405,37,37,1715606212.9767346,52.41671967506409,1.6471103203368238
1.5451502213768809,19.36483872226054,21.047909798497816,49.807997703552246,38,38,1715606214.2102349,53.65021991729736,1.6830710762372751
1.5762566095188248,19.23940286181212,20.930624087881455,51.12033724784851,39,39,1715606215.5224118,54.96239686012268,1.6912212260693356
1.5719774771792434,19.04353950319241,20.80084317795922,52.36712622642517,40,40,1715606216.7690563,56.209041357040405,1.7573036747668085
1.8698955446172005,17.06150689421415,19.517337227495997,54.78986215591431,41,42,1715606219.192203,58.63218808174133,2.455830333281844
1.8922887934537127,15.309504373105277,17.8269717276576,59.74688506126404,42,46,1715606224.1491718,63.58915686607361,2.5174673545523234
2.2833481185118667,15.00700056908755,17.57903367279949,64.68452644348145,43,50,1715606229.0866995,68.52668452262878,2.5720331037119393
