step,_step,_runtime,_timestamp,loss,loss_interior,time,loss_boundary,l2_error
29,29,76.78108024597168,1726559555.1851861,122978.7017866585,1461.9199971633186,74.62919545173645,121516.78178949517,404.1677181041793
30,30,79.27362513542175,1726559557.677731,121603.23405081299,1485.0413008266837,77.11804699897766,120118.19274998631,403.6755801037779
31,31,81.76437783241272,1726559560.1684837,123278.9665905598,1487.407598071414,79.61107683181763,121791.55899248838,403.2020277783125
32,32,84.25600051879883,1726559562.6601064,121651.45636514481,1479.6522547535808,82.10062432289124,120171.80411039123,402.7486241977994
33,33,86.75330400466919,1726559565.15741,124060.17664189517,1445.817410630904,84.5983235836029,122614.35923126427,402.3409754336048
34,34,89.24483513832092,1726559567.648941,120570.3360757174,1430.006915407006,87.08977031707764,119140.32916031039,401.98347506696643
35,35,91.74440336227417,1726559570.1485093,121561.06289774773,1438.3666558570546,89.59057927131653,120122.69624189068,401.65864494024856
36,36,94.24322867393494,1726559572.6473346,121344.2798595245,1518.6778950752366,92.08382511138916,119825.60196444926,401.36821541775504
37,37,96.75938844680786,1726559575.1634943,122019.09847818427,1426.6553496226522,94.60665798187256,120592.44312856162,401.1139382991036
38,38,99.29401922225952,1726559577.6981251,121150.97923250601,1451.008258407495,97.13717555999756,119699.97097409851,400.87944496756455
39,39,101.78311276435852,1726559580.1872187,120692.34923404385,1453.494014016021,99.63007593154907,119238.85522002784,400.6310066251735
40,40,104.27266550064087,1726559582.6767714,121271.1904878864,1420.8737886815024,102.12037372589111,119850.3166992049,400.3762019105204
42,41,109.30444931983948,1726559587.7085552,120927.50204734839,1459.9200448321499,107.15183925628662,119467.58200251624,399.9098479265404
46,42,119.11018085479736,1726559597.5142868,120942.85760864372,1519.270673433288,116.95725536346436,119423.58693521043,399.13814180546177
50,43,128.8667585849762,1726559607.2708645,120886.10975807444,1676.182382543498,126.71524333953857,119209.92737553094,398.4415361010408
55,44,141.0999357700348,1726559619.5040417,119174.530045393,1790.9040626473382,138.9476296901703,117383.62598274565,397.47734545241036
61,45,156.24266624450684,1726559634.6467721,118600.73742173443,1868.9398052146523,154.09003019332886,116731.79761651978,396.4635834103022
67,46,171.0275809764862,1726559649.4316869,119706.9284421404,2036.993021566698,168.87679362297058,117669.9354205737,395.5657445645352
73,47,185.94627928733826,1726559664.3503852,117674.84663434568,1526.020875743541,183.78502988815308,116148.82575860214,394.43903528780345
81,48,205.4899001121521,1726559683.894006,117532.261994903,1420.900574191537,203.32919239997864,116111.36142071147,393.06826177628614
89,49,225.2314591407776,1726559703.635565,116833.27353765059,1439.574679285985,223.06880569458008,115393.6988583646,391.68665741067366
98,50,249.58510208129883,1726559727.989208,115528.53379921509,1321.3564852413842,247.42348551750183,114207.1773139737,390.1087948529068
107,51,274.01531887054443,1726559752.4194248,114686.7090245491,1235.1695854551847,271.8538558483124,113451.53943909392,388.57388173729134
118,52,303.90804982185364,1726559782.3121557,113726.80690751686,1237.1787648923669,301.7472515106201,112489.6281426245,386.7415570682923
130,53,336.54632592201233,1726559814.9504318,112034.99762370069,1237.5622505494748,334.38483214378357,110797.43537315122,384.77922784477784
143,54,371.8268496990204,1726559850.2309556,111832.87225151417,1609.3665615482907,369.66513180732727,110223.50568996588,382.9546234746275
157,55,409.83655071258545,1726559888.2406566,115594.72135977157,3619.5218044917806,407.6747944355011,111975.19955527979,383.79832730416075
172,56,450.55035376548767,1726559928.9544597,113102.27249187602,1625.6683111088653,448.3892970085144,111476.60418076716,382.2900292677095
190,57,499.4102578163147,1726559977.8143637,108933.38150106763,1250.2478964459715,497.24846482276917,107683.13360462166,378.45903226810714
208,58,544.782698392868,1726560023.1868043,110593.40576732457,1235.6290222667867,542.6331114768982,109357.77674505778,375.6696608255379
229,59,595.8256466388702,1726560074.2297525,106834.63498061254,1232.26187591147,593.6771631240845,105602.37310470107,372.49151889872775
252,60,652.068112373352,1726560130.4722183,106435.88649549859,1230.6763664694572,649.9196937084198,105205.21012902913,369.06721798177205
277,61,712.8670508861542,1726560191.2711568,104805.44532139204,1229.1760545597856,710.7175104618073,103576.26926683226,365.3982098054989
305,62,781.653023481369,1726560260.0571294,103168.89335592487,1228.6053588278871,779.5046279430389,101940.28799709698,361.34914427954396
335,63,855.6158666610718,1726560334.0199726,100274.27951188976,1228.5865631191507,853.4675781726837,99045.69294877061,357.0702952070473
369,64,938.4187383651733,1726560416.8228443,97687.01478031643,1228.7725518503064,936.2694199085236,96458.24222846613,352.2858825780213
406,65,1028.9667851924896,1726560507.370891,108043.83471905121,6747.360739666104,1026.8180224895477,101296.4739793851,368.4786705987633
446,66,1128.6090116500854,1726560607.0131176,99214.0107925138,1419.4154554671977,1126.4619631767273,97794.5953370466,351.9361464627572
491,67,1237.7408225536346,1726560716.1449285,94412.98824033201,1253.3103998589763,1235.59219789505,93159.67784047303,345.5998602288303
540,68,1356.8769364356995,1726560835.2810423,93311.53665410793,1243.7498824000015,1354.7284851074219,92067.78677170792,339.79946707268795
594,69,1487.9441142082214,1726560966.34822,88638.17049637194,1239.1896418785082,1485.7953822612762,87398.98085449343,333.4194101518106
653,70,1630.6933269500732,1726561109.0974329,86539.18335083486,1234.351859548398,1628.5459311008453,85304.83149128647,326.4573782461503
718,71,1788.868681192398,1726561267.272787,85560.43831995376,1239.4557505993084,1786.7208507061005,84320.98256935444,318.7966094096857
790,72,1964.0146820545197,1726561442.418788,80420.3722949439,1231.8228507361584,1961.8654944896698,79188.54944420773,310.3367952101783
869,73,2155.632339000702,1726561634.036445,76750.46364339926,1230.5167176773064,2153.4839186668396,75519.94692572195,301.10014736353787
956,74,2366.5201754570007,1726561844.9242814,72680.64067453283,1229.322234612166,2364.3710741996765,71451.31843992067,290.9769398255204
1052,75,2599.515374183655,1726562077.91948,68746.06795975729,1228.6500757830436,2597.3669645786285,67517.41788397424,279.8940704091093
1157,76,2854.302265405655,1726562332.7063713,63403.905795378596,1228.0246231399854,2852.152107477188,62175.88117223861,267.8835851443712
1272,77,3133.5013196468353,1726562611.9054255,59900.69204570984,1227.7089169370179,3131.3543906211853,58672.98312877282,254.8893563225374
1400,78,3443.9738013744354,1726562922.3779073,55296.43810259072,1227.4614866603074,3441.825273036957,54068.97661593041,240.62920032182313
1539,79,3780.7879934310913,1726563259.1920993,50649.918387050544,1226.9215516407055,3778.639033794403,49422.99683540984,225.40837199741063
1693,80,4153.741405487061,1726563632.1455114,44764.91574494541,1226.6256736314608,4151.5916867256165,43538.290071313946,208.893231645282
1863,81,4567.236565589905,1726564045.6406715,40687.237002500406,1226.386242080827,4565.088297128677,39460.85076041958,191.121913737502
2049,82,5021.493641614914,1726564499.8977475,34207.68646100053,1226.2358331331336,5019.3390374183655,32981.450627867394,172.26546615714398
2254,83,5520.772181749344,1726564999.1762877,29496.322717796058,1226.270300788544,5518.622618436813,28270.052417007515,152.21908740556196
2479,84,6071.497954130173,1726565549.90206,24292.677587980288,1226.220154515516,6069.349064826965,23066.457433464773,131.26180140086515
2727,85,6676.473784208298,1726566154.87789,19998.654483808292,1225.7364183478076,6674.324812173843,18772.918065460482,109.57754718661997
3000,86,7340.750250816345,1726566819.1543567,15301.228916267302,1225.6084497289928,7338.603236436844,14075.62046653831,87.87075837590628
3299,87,8071.144695520401,1726567549.5488014,11768.495633346804,1225.5512781106922,8068.9974274635315,10542.944355236112,67.61577749812189
3629,88,8883.258249998093,1726568361.662356,8168.563498227289,1225.580621015112,8881.108698368073,6942.982877212176,51.820425193209665
3992,89,9771.620708703995,1726569250.0248146,5791.282824288466,1225.439236535951,9769.472521781921,4565.843587752515,46.25568296676108
4087,90,10002.474662303925,1726569480.8787682,5012.845779298887,1225.3858124170818,10000.326709747314,3787.459966881805,46.97233495429923
