step,_step,_runtime,_timestamp,loss,loss_interior,time,loss_boundary,l2_error
0,0,4.352839469909668,1726559482.7569454,128625.54041337894,1225.288350358502,1.905486822128296,127400.25206302044,416.1135279693182
1,1,6.851986408233643,1726559485.2560923,128400.9199020209,1225.5474005149422,4.700122594833374,127175.37250150596,416.0548362780609
2,2,9.389947891235352,1726559487.7940538,129428.79662586105,1225.8884096439187,7.22802734375,128202.90821621714,415.99276426146633
3,3,11.891986608505249,1726559490.2960925,128086.86150623304,1226.3393987646434,9.73691439628601,126860.5221074684,415.9233017412757
4,4,14.386867046356201,1726559492.790973,127958.52944567283,1226.916585239137,12.232998132705688,126731.6128604337,415.84554623297316
5,5,16.87589716911316,1726559495.280003,127872.20534967525,1227.7323003751656,14.722729921340942,126644.47304930008,415.75504865259956
6,6,19.39978265762329,1726559497.8038886,126920.53906717981,1228.696562853851,17.244454383850098,125691.84250432596,415.6483525699216
7,7,21.89334273338318,1726559500.2974486,127735.13347919496,1230.1890547064586,19.741743326187134,126504.94442448851,415.5224464042644
8,8,24.381259202957153,1726559502.785365,128600.35215572055,1232.327333956377,22.228238344192505,127368.02482176418,415.3716956222161
9,9,26.869752645492554,1726559505.2738585,127309.8408628214,1235.1349454695683,24.721092224121094,126074.70591735182,415.1916748741451
10,10,29.365254163742065,1726559507.76936,128775.64169747943,1239.2802726470295,27.21100664138794,127536.3614248324,414.9787142684337
11,11,31.855023860931396,1726559510.2591298,128242.40353955995,1244.6234291110122,29.702428579330444,126997.78011044893,414.7318000994777
12,12,34.39495253562927,1726559512.7990584,128548.11039859943,1251.659178824292,32.243462800979614,127296.45121977513,414.447586608673
13,13,36.882190227508545,1726559515.2862961,125889.24236290381,1261.3578942934573,34.73061919212341,124627.88446861035,414.1237265123163
14,14,39.369380235672,1726559517.7734861,128109.94192987602,1273.7047109819484,37.21828556060791,126836.23721889406,413.7556241227044
15,15,41.85860300064087,1726559520.262709,128709.89547700516,1288.1980446470961,39.70435619354248,127421.69743235807,413.3396160895697
16,16,44.34686803817749,1726559522.750974,126504.29179112405,1305.7861637324318,42.19437789916992,125198.50562739161,412.87588042314366
17,17,46.84208941459656,1726559525.2461953,128998.42464431662,1324.5298617398187,44.690248250961304,127673.8947825768,412.3632709959779
18,18,49.337063789367676,1726559527.7411697,126659.57287866062,1347.3988822604583,47.18370985984802,125312.17399640016,411.8016288382411
19,19,51.825902700424194,1726559530.2300086,126627.65359513288,1369.1366274907077,49.670692682266235,125258.51696764218,411.18041997137885
20,20,54.31738615036011,1726559532.721492,126957.56186668554,1395.678401783846,52.1654851436615,125561.8834649017,410.5035659706427
21,21,56.81287860870361,1726559535.2169845,125534.32680928217,1415.1270720758905,54.659377098083496,124119.19973720628,409.7744801984519
22,22,59.305787801742554,1726559537.7098937,125226.64898407293,1422.4351861891141,57.1510534286499,123804.21379788381,408.9936566438815
23,23,61.81354236602783,1726559540.2176483,125326.51343797888,1438.5547754307433,59.65871739387512,123887.95866254813,408.18757066060834
24,24,64.30636072158813,1726559542.7104666,124491.02644977535,1446.467756565993,62.15247344970703,123044.55869320936,407.38668548080756
25,25,66.79659628868103,1726559545.2007022,124663.41499454998,1450.8660975571665,64.64180088043213,123212.54889699281,406.61123794078424
26,26,69.28740906715393,1726559547.691515,123114.6952658811,1444.8057732589066,67.13632035255432,121669.8894926222,405.90289925612666
27,27,71.78710508346558,1726559550.191211,123243.0452946322,1450.3257408177565,69.63400316238403,121792.71955381444,405.26363425582605
28,28,74.27860975265503,1726559552.6827157,123826.17114442868,1465.1256094833805,72.12355732917786,122361.0455349453,404.6893486460546
