_timestamp,loss,time,_step,l2_error,loss_boundary,_runtime,loss_interior,step
1726519437.5163314,128625.54041337894,49.43989396095276,0,71423902787246.53,127400.25206302044,50.24699354171753,1225.288350358502,0
1726519486.0816474,3.2813891831821433e+27,98.25200915336609,1,341958859699864.7,3.2813891831821433e+27,98.8123095035553,1225.125,1
1726519534.714692,5.5191521108899676e+28,146.88518953323364,2,69772907974355.55,5.5191521108899676e+28,147.44535422325134,1225.125,2
1726519583.4431684,2.135129993650808e+27,195.6135311126709,3,32067940976689.203,2.135129993650808e+27,196.1738305091858,1225.125,3
1726519632.1951323,5.6566714854131316e+26,244.36558890342712,4,15258451782167.66,5.6566714854131316e+26,244.92579436302185,1225.125,4
1726519680.9447963,1.2043611444808927e+26,293.11520552635193,5,10067751109907.438,1.2043611444808927e+26,293.6754584312439,1225.125,5
1726519729.704794,5.797880716906563e+25,341.8737964630127,6,11406706955580.164,5.797880716906563e+25,342.43545603752136,1225.125,6
1726519778.4547114,7.342316969654164e+25,390.62517166137695,7,12113505875313.787,7.342316969654164e+25,391.185373544693,1225.125,7
1726519827.2089195,5.854181713670363e+25,439.37928676605225,8,9640471921946.066,5.854181713670363e+25,439.93958163261414,1225.125,8
1726519875.9582992,5.183980658252683e+25,488.1286840438843,9,8671238945114.867,5.183980658252683e+25,488.6889612674713,1225.125,9
1726519924.7058587,2.403928770187183e+25,536.8762216567993,10,8898710382317.129,2.403928770187183e+25,537.4365208148956,1225.125,10
1726519973.452762,3.5107477461381407e+25,585.6231410503387,11,6083855949449.784,3.5107477461381407e+25,586.1834239959717,1225.125,11
1726520022.2029452,8.793652204894229e+24,634.3733742237091,12,6524597901787.815,8.793652204894229e+24,634.933607339859,1225.125,12
1726520070.952242,2.2098941633482614e+25,683.1226196289062,13,6401438419740.806,2.2098941633482614e+25,683.6829040050507,1225.125,13
1726520119.6973028,2.1254815901853904e+25,731.8676900863647,14,4873870454355.373,2.1254815901853904e+25,732.427964925766,1225.125,14
1726520168.445207,6.334704796314799e+24,780.6156177520752,15,3844430028538.8403,6.334704796314799e+24,781.1758692264557,1225.125,15
1726520217.1963108,3.7189738202920834e+24,829.3667325973511,16,3658429460155.5386,3.7189738202920834e+24,829.9269728660583,1225.125,16
1726520265.9445386,9.626095439109468e+24,878.1149823665619,17,3037073545403.572,9.626095439109468e+24,878.6752007007599,1225.125,17
1726520314.691041,2.8877443614422514e+24,926.8614521026611,18,2775458482919.6567,2.8877443614422514e+24,927.4217031002045,1225.125,18
1726520363.436323,5.842292326358403e+24,975.6069853305817,19,2488392230227.42,5.842292326358403e+24,976.1669850349426,1225.125,19
1726520412.184184,2.62215503534936e+24,1024.3546917438507,20,2654995726118.5234,2.62215503534936e+24,1024.9148461818695,1225.125,20
1726520460.9335465,4.4974006285855426e+24,1073.1039493083954,21,2445926028435.277,4.4974006285855426e+24,1073.664208650589,1225.125,21
1726520509.6815612,2.1133013329954672e+24,1121.8520390987396,22,2034749575899.49,2.1133013329954672e+24,1122.4122233390808,1225.125,22
1726520558.429402,2.842896177053068e+24,1170.6000347137451,23,1856550535187.3784,2.842896177053068e+24,1171.1600642204285,1225.125,23
1726520607.1772423,3.0713038439117733e+24,1219.3476476669312,24,1658353719563.6208,3.0713038439117733e+24,1219.9079043865204,1225.125,24
1726520655.9301753,1.6466593096757602e+24,1268.1001510620117,25,1636845357049.6592,1.6466593096757602e+24,1268.6608374118805,1225.125,25
1726520704.6807294,1.1790020303056399e+24,1316.8510298728943,26,1296476169252.467,1.1790020303056399e+24,1317.4113914966583,1225.125,26
1726520753.4301045,6.434238358833386e+23,1365.6004993915558,27,1152877815341.3682,6.434238358833386e+23,1366.1607666015625,1225.125,27
1726520802.181,1.2581142570374558e+24,1414.3513507843018,28,1068368034969.0845,1.2581142570374558e+24,1414.9116621017456,1225.125,28
1726520850.9316726,1.1731425286904811e+24,1463.1021342277527,29,981002476919.3069,1.1731425286904811e+24,1463.6623346805573,1225.125,29
1726520899.6791465,2.9029963352605243e+23,1511.849515914917,30,932517223013.0099,2.9029963352605243e+23,1512.4098086357117,1225.125,30
1726520948.4274533,3.059203891951786e+23,1560.5978944301605,31,895593996806.8988,3.059203891951786e+23,1561.158115386963,1225.125,31
1726520997.173235,3.366080325314239e+23,1609.343790769577,32,815113199735.024,3.366080325314239e+23,1609.9038970470428,1225.125,32
1726521045.921414,3.324851560252398e+23,1658.0917840003967,33,728372733261.1537,3.324851560252398e+23,1658.6520760059357,1225.125,33
1726521094.6700747,3.996289265054793e+23,1706.8404076099396,34,670247189945.7645,3.996289265054793e+23,1707.4007368087769,1225.125,34
1726521143.427032,1.3318185064968132e+23,1755.597419500351,35,657270082619.0874,1.3318185064968132e+23,1756.1576941013336,1225.125,35
1726521192.1757648,1.9063930124622617e+23,1804.3460793495178,36,623545654783.4374,1.9063930124622617e+23,1804.9064269065857,1225.125,36
1726521240.9231195,6.839219521125825e+22,1853.0934898853302,37,610664934541.8473,6.839219521125825e+22,1853.6537816524506,1225.125,37
1726521289.6696844,5.337942288132999e+23,1901.8401267528534,38,581202749866.3402,5.337942288132999e+23,1902.4003465175629,1225.125,38
1726521338.4142735,1.5269451210422203e+23,1950.5847244262695,39,587362949054.2966,1.5269451210422203e+23,1951.1449356079102,1225.125,39
1726521387.1654258,2.8702596881929215e+23,1999.3359994888306,40,666680580396.1552,2.8702596881929215e+23,1999.896087884903,1225.125,40
1726521484.592096,8.446670594931982e+22,2096.7625782489777,41,624141418786.9314,8.446670594931982e+22,2097.3227581977844,1225.125,42
1726521679.3833923,3.346471526880209e+23,2291.5539207458496,42,533330206631.9152,3.346471526880209e+23,2292.114054441452,1225.125,46
1726521874.1698978,9.50245161032216e+22,2486.3403975963593,43,553551565161.3943,9.50245161032216e+22,2486.900559902191,1225.125,50
1726522117.6435378,4.782782177589561e+22,2729.8140568733215,44,477876931094.8947,4.782782177589561e+22,2730.3741998672485,1225.125,55
1726522409.8026087,2.5370167267880408e+23,3021.9729709625244,45,446581317543.3464,2.5370167267880408e+23,3022.5332708358765,1225.125,61
1726522701.9541326,8.405639143502305e+22,3314.124399662018,46,431713038207.0994,8.405639143502305e+22,3314.684794664383,1225.125,67
1726522994.1100981,2.328830995842281e+22,3606.280527114868,47,386662304145.68756,2.328830995842281e+22,3606.840760231018,1225.125,73
1726523383.633556,3.5953521279136487e+22,3995.8039290905,48,432095129862.44574,3.5953521279136487e+22,3996.3642179965973,1225.125,81
1726523773.1495585,3.5929614477448075e+22,4385.319992303848,49,389662444397.6394,3.5929614477448075e+22,4385.880220651627,1225.125,89
1726524211.3810794,2.426994801705732e+22,4823.551460027695,50,354496930110.6311,2.426994801705732e+22,4824.111741542816,1225.125,98
1726524649.605152,6.465009163616251e+22,5261.7756452560425,51,355342496415.7272,6.465009163616251e+22,5262.335813999176,1225.125,107
1726525185.172486,2.683898285505065e+22,5797.342986345291,52,335011864444.0211,2.683898285505065e+22,5797.903148174286,1225.125,118
1726525769.4312057,1.8273584718198728e+22,6381.601621866226,53,367188538469.4341,1.8273584718198728e+22,6382.161867856979,1225.125,130
1726526402.3705232,4.157963786879406e+22,7014.540798425674,54,307490546436.68915,4.157963786879406e+22,7015.101185321808,1225.125,143
1726527084.0118542,2.855572906582048e+22,7696.182389259338,55,400481508702.5838,2.855572906582048e+22,7696.742516279221,1225.125,157
1726527814.3625176,1.80385163506362e+22,8426.53300666809,56,287802563457.1456,1.80385163506362e+22,8427.093179702759,1225.125,172
1726528694.1348546,1.754702562304287e+22,9306.305348157883,57,279092298152.271,1.754702562304287e+22,9306.865516662598,1225.125,190
1726529424.5772116,1.7946201107865463e+22,10036.746483325958,58,277281611734.5592,1.7946201107865463e+22,10037.307873725891,1225.125,205
