loss_interior,loss,l2_error,_step,_runtime,_timestamp,loss_boundary,step,time
1225.288350358502,128625.54041337894,412.7262927344923,0,4.30824613571167,1726529390.932207,127400.25206302044,0,1.8580584526062012
1227.4760502982365,126691.55778054148,368.4995134049712,1,6.809271335601807,1726529393.4332323,125464.08173024324,1,4.594874143600464
3601.1525557973905,108902.98204050242,502.90416018809043,2,9.298981189727783,1726529395.9229422,105301.82948470503,2,7.083632707595825
364067775063486.8,364067775237379.1,3760862666323.8115,3,11.786682844161987,1726529398.4106438,173892.33512736094,3,9.578455209732056
1225.125,7.063271153935812e+24,2010562391492.0125,4,14.265130281448364,1726529400.8890913,7.063271153935812e+24,4,12.057024717330933
1225.125,2.0296699400870675e+24,160225144061.3049,5,16.746915340423584,1726529403.3708763,2.0296699400870675e+24,5,14.538007259368896
1225.125,1.2754902200724373e+22,641704949337.8315,6,19.229350328445435,1726529405.8533113,1.2754902200724373e+22,6,17.021047592163086
1225.125,2.0473170948380975e+23,347202871106.49695,7,21.707275390625,1726529408.3312364,2.0473170948380975e+23,7,19.49918842315674
1225.125,6.101821719678912e+22,139363493339.51428,8,24.184352159500122,1726529410.8083131,6.101821719678912e+22,8,21.975605726242065
1225.125,9.672112237585277e+21,164062033133.8998,9,26.664692640304565,1726529413.2886536,9.672112237585277e+21,9,24.456707239151
1225.125,1.4655090790141904e+22,144790855021.57535,10,29.142155647277832,1726529415.7661166,1.4655090790141904e+22,10,26.926827669143677
1225.125,1.0451317175497846e+22,121788147351.40817,11,31.62250542640686,1726529418.2464664,1.0451317175497846e+22,11,29.407515287399292
1225.125,7.415720220009636e+21,117625429523.97775,12,34.10442924499512,1726529420.7283902,7.415720220009636e+21,12,31.88934564590454
1225.125,6.899478011706657e+21,111874505960.08607,13,36.58277344703674,1726529423.2067344,6.899478011706657e+21,13,34.36737561225891
1225.125,6.317000843788702e+21,107653207167.39203,14,39.060463190078735,1726529425.6844242,6.317000843788702e+21,14,36.84557890892029
1225.125,6.048291152373352e+21,107752763024.50682,15,41.53726029396057,1726529428.1612213,6.048291152373352e+21,15,39.32214021682739
1225.125,5.619639980039727e+21,97919158919.11874,16,44.014214754104614,1726529430.6381757,5.619639980039727e+21,16,41.79915404319763
1225.125,4.826899597723349e+21,93755672931.32191,17,46.49202299118042,1726529433.115984,4.826899597723349e+21,17,44.27654719352722
