time,loss,step,_step,_runtime,l2_error,_timestamp,loss_boundary,loss_interior
1.702709674835205,0.14108229717860596,0,0,5.699949264526367,0.23246138608303998,1715520495.7289002,0.14074845709614556,0.00033384008246040104
2.2166335582733154,0.07106391627748396,1,1,6.013172626495361,0.23246138608303998,1715520496.0421236,0.06959680789223306,0.0014671083852508928
2.5208187103271484,0.07106391627748396,2,2,6.317334175109863,0.20274752306179927,1715520496.346285,0.06959680789223306,0.0014671083852508928
2.8261990547180176,0.06811625410306384,3,3,6.622741460800171,0.2002715249970703,1715520496.6516924,0.06610534039669917,0.0020109137063646647
3.130643129348755,0.0680884243612444,4,4,6.9271399974823,0.19973439714542676,1715520496.956091,0.06593900937012215,0.0021494149911222516
3.4352049827575684,0.06785224199918109,5,5,7.231730222702026,0.20135227059755686,1715520497.2606812,0.0654446179852803,0.0024076240139007973
3.7414309978485107,0.06761936300324019,6,6,7.537973642349243,0.2001378129738367,1715520497.5669246,0.06546672189189884,0.002152641111341352
4.048157691955566,0.0673678733726066,7,7,7.844646215438843,0.19951368330275537,1715520497.8735971,0.06528558115027927,0.002082292222327325
4.358492136001587,0.06709391429806569,8,8,8.155029773712158,0.1991560187412698,1715520498.1839807,0.06493349349980804,0.0021604207982576546
4.66686487197876,0.06678785810552257,9,9,8.463444948196411,0.1985059038322461,1715520498.4923959,0.06468757124478124,0.002100286860741326
4.974429130554199,0.06643924306064038,10,10,8.771043539047241,0.19776658195187988,1715520498.7999945,0.06437989213758395,0.002059350923056421
5.282224178314209,0.06603524087925226,11,11,9.078694820404053,0.19697344132366784,1715520499.1076458,0.06398907140668551,0.0020461694725667514
5.591222763061523,0.06555864023478647,12,12,9.387721538543701,0.1959395428920719,1715520499.4166725,0.0635627320353619,0.0019959081994245648
5.898655414581299,0.06498534450449851,13,13,9.695119142532349,0.1947055220015808,1715520499.72407,0.06302622221901462,0.001959122285483894
6.206276893615723,0.06428102128098696,14,14,10.002796411514282,0.19309332707921156,1715520500.0317473,0.06237762027372686,0.0019034010072601023
6.515758514404297,0.06339602394710543,15,15,10.312395095825195,0.19101497324429656,1715520500.341346,0.06154800510536727,0.0018480188417381571
6.839466571807861,0.06225788651380809,16,16,10.636191129684448,0.18810287706753073,1715520500.665142,0.06048471721648353,0.001773169297324556
7.148173093795776,0.060760295735838805,17,17,10.94470763206482,0.1842581910246788,1715520500.9736586,0.0590436001409859,0.0017166955948529096
7.46172022819519,0.05874962404899494,18,18,11.258294105529785,0.17775172884377483,1715520501.287245,0.05713864381600995,0.001610980232984988
7.772997856140137,0.056009883355137735,19,19,11.569579839706421,0.17342683208782078,1715520501.5985308,0.054250758371384766,0.0017591249837529664
8.082524299621582,0.05241224393192766,20,20,11.87901759147644,0.16264070360463243,1715520501.9079685,0.05139744515016186,0.0010147987817657957
8.391698598861694,0.05127287685781525,21,21,12.188196659088135,0.16812938290204735,1715520502.2171476,0.04846087116732968,0.002812005690485571
8.70446228981018,0.04990159483830755,22,22,12.50101637840271,0.15476865394675174,1715520502.5299673,0.048923123567922035,0.0009784712703855116
9.016021966934204,0.048457337724877196,23,23,12.812536478042603,0.16360744786353457,1715520502.8414874,0.045453789446209696,0.003003548278667499
9.3281729221344,0.04719837308674749,24,24,13.124697208404541,0.15048926326779685,1715520503.1536481,0.04629852253338568,0.0008998505533618165
9.64202356338501,0.04559037098233139,25,25,13.438573837280273,0.14771720974125624,1715520503.4675248,0.043358732378543506,0.002231638603787879
9.955209732055664,0.041186247284167414,26,26,13.751781463623047,0.12739139892286624,1715520503.7807324,0.03814154669980388,0.003044700584363536
10.267051219940186,0.03684368730146931,27,27,14.06358814239502,0.11713125801516483,1715520504.092539,0.03494584357874163,0.001897843722727676
10.579173564910889,0.03586311619983694,28,28,14.375889778137207,0.12386786417276274,1715520504.4048407,0.032307924274198374,0.0035551919256385615
10.891319990158081,0.034041449835176284,29,29,14.687833309173584,0.11752072532427833,1715520504.7167842,0.03280555391161501,0.001235895923561279
11.205337762832642,0.03143314048166994,30,30,15.001850843429565,0.10712065540948859,1715520505.0308018,0.0293182708232259,0.002114869658444035
11.517601251602173,0.029654062097253225,31,31,15.314100742340088,0.10496182995888217,1715520505.3430517,0.02802737525304286,0.0016266868442103648
11.830660343170166,0.026695935021376103,32,32,15.627172708511353,0.09922314164029172,1715520505.6561236,0.024977226652210166,0.0017187083691659354
12.142587661743164,0.025934453460016767,33,33,15.939413785934448,0.09241900118109422,1715520505.9683647,0.024520842200945813,0.0014136112590709554
12.45488715171814,0.02446756407866569,34,34,16.25137686729431,0.09151907410280048,1715520506.2803278,0.02217690935303285,0.002290654725632837
12.766833543777466,0.023440678386824128,35,35,16.563327312469482,0.09292097060402546,1715520506.5922782,0.02205111110060575,0.0013895672862183784
13.079154253005981,0.022774944961113323,36,36,16.875685453414917,0.09208378275627646,1715520506.9046364,0.021452677639813643,0.001322267321299679
13.392895698547363,0.02117706931111897,37,37,17.189428567886353,0.08895776877846946,1715520507.2183795,0.019451102453396468,0.0017259668577225015
13.70468521118164,0.01962254944649034,38,38,17.501201152801514,0.08779818227007906,1715520507.530152,0.01865619730690097,0.0009663521395893708
14.01620864868164,0.019508120479985725,39,39,17.812726974487305,0.09095963693014497,1715520507.841678,0.018302085939002316,0.0012060345409834103
14.328135251998901,0.01813960869513809,40,40,18.124621629714966,0.08077747208959174,1715520508.1535726,0.01746397039120249,0.0006756383039356009
14.949381589889526,0.016845372394012473,42,41,18.745986461639404,0.0824471374641841,1715520508.7749374,0.01628626456042177,0.0005591078335907039
