l2_error,loss_interior,step,_step,_runtime,_timestamp,time,loss_boundary,loss
0.6129084902529598,0.00010116877576278899,0,0,5.029211521148682,1717818982.2786486,2.145204544067383,2.830374782642472,2.8304759514182347
0.7414949784122716,0.005075801202275439,1,1,5.819499254226685,1717818983.0689363,3.1918728351593018,0.37469652621159977,0.37977232741387523
0.7632802767038857,0.0044765453101581155,2,2,6.608135938644409,1717818983.857573,3.98060941696167,0.31946011317103495,0.3239366584811931
0.7819296047265614,0.004070088446838882,3,3,7.397001266479492,1717818984.6464384,4.76941704750061,0.31904042618662215,0.323110514633461
0.8102572978001297,0.003380461784978755,4,4,8.19011664390564,1717818985.4395537,5.562466859817505,0.3188582283371251,0.3222386901221039
0.8391061348716959,0.0018211041751399564,5,5,8.9804105758667,1717818986.2298477,6.352676630020142,0.318519156910022,0.320340261085162
0.8238884398120135,0.0012822507054602815,6,6,9.76878046989441,1717818987.0182176,7.141026735305786,0.31557430470155906,0.31685655540701935
0.7610482634876516,0.008155791272411048,7,7,10.558332681655884,1717818987.8077698,7.930376768112183,0.30142483885995985,0.3095806301323709
0.6645982412953536,0.025949935250994326,8,8,11.35088062286377,1717818988.6003177,8.722966194152832,0.2727931111732049,0.29874304642419924
0.6613305646887281,0.054691848265130565,9,9,12.139024257659912,1717818989.3884614,9.511000156402588,0.23920470074555364,0.2938965490106842
0.6340521037574539,0.05561602345685747,10,10,12.92932415008545,1717818990.1787612,10.301327466964722,0.23826828625372384,0.2938843097105813
0.6075466842406552,0.06185780471899478,11,11,13.720071792602539,1717818990.969509,11.092241764068604,0.23139606351266895,0.2932538682316637
0.5834045239474166,0.06670492074195024,12,12,14.509773254394531,1717818991.7592103,11.88189435005188,0.22602598214052724,0.2927309028824775
0.5628141509126354,0.06976724059893345,13,13,15.29963207244873,1717818992.5490692,12.671793222427368,0.222481183551344,0.29224842415027746
0.5312186948291239,0.07079403730443536,14,14,16.088920831680298,1717818993.338358,13.460991144180298,0.22080508244427638,0.2915991197487117
0.511471777902666,0.0686047440845069,15,15,16.8781259059906,1717818994.127563,14.250292539596558,0.22173450669275535,0.29033925077726225
0.4950600793948782,0.06248675487633166,16,16,17.66678261756897,1717818994.9162197,15.03892993927002,0.22632370141497596,0.28881045629130764
0.499978003560908,0.045073473986657224,17,17,18.454367876052856,1717818995.703805,15.826423168182373,0.23944506335525134,0.2845185373419086
0.5300541446535303,0.014281455353656056,18,18,19.243180751800537,1717818996.4926178,16.61519503593445,0.26132153839090383,0.2756029937445599
0.5948563995239317,0.0010318592823821747,19,19,20.033995389938354,1717818997.2834325,17.40591025352478,0.26096208675744803,0.26199394603983023
0.6385252512529916,0.004426755345858351,20,20,20.82535481452942,1717818998.074792,18.197219610214233,0.24543824929998584,0.24986500464584419
0.6810063474324519,0.008849551627731603,21,21,21.616729497909546,1717818998.8661666,18.988240957260132,0.2378684952311387,0.2467180468588703
0.7435325665877639,0.011051108630543314,22,22,22.407444715499878,1717818999.6568818,19.779274702072144,0.23121603653687617,0.24226714516741948
0.7383717870176768,0.00801847137487518,23,23,23.20123600959778,1717819000.450673,20.57294726371765,0.22257342201775307,0.23059189339262826
0.6936337532526227,0.005679236005112598,24,24,23.99204182624817,1717819001.241479,21.36366081237793,0.20527604779387373,0.21095528379898634
0.6558255834205484,0.013628429456256575,25,25,24.78328227996826,1717819002.0327194,22.155123472213745,0.1859986299835711,0.1996270594398277
0.6090445288846781,0.02213560522810617,26,26,25.575210094451904,1717819002.8246472,22.947057247161865,0.1730604100335376,0.19519601526164376
0.5967813562983749,0.03350040919556029,27,27,26.36727023124695,1717819003.6167073,23.73894429206848,0.15973402407595183,0.19323443327151213
0.5719853039767933,0.03628510063658143,28,28,27.15797996520996,1717819004.407417,24.529747247695923,0.15679441493474414,0.19307951557132558
0.5488603921491523,0.04082188326336124,29,29,27.950111150741577,1717819005.1995482,25.321908235549927,0.15180670787786377,0.192628591141225
0.5287454448011738,0.04381320515210117,30,30,28.741480827331543,1717819005.990918,26.11332082748413,0.14839942001940062,0.19221262517150178
0.49731894491204076,0.04477291628523004,31,31,29.53307867050171,1717819006.7825158,26.904906511306763,0.14677894788556756,0.1915518641707976
0.47714283683084563,0.04230751118718913,32,32,30.325153589248657,1717819007.5745907,27.69693350791931,0.14789223670426976,0.19019974789145888
0.4670253156574162,0.03609051781935305,33,33,31.120684385299683,1717819008.3701215,28.492305517196655,0.1530658500898348,0.18915636790918786
0.46476621399755536,0.02787790909090554,34,34,31.919066667556763,1717819009.1685038,29.29071545600891,0.16018717365461357,0.1880650827455191
0.4684000213403661,0.019761047337566607,35,35,32.71611928939819,1717819009.9655564,30.08786678314209,0.1672073726427337,0.1869684199803003
0.47658526188893374,0.013327852695047547,36,36,33.51107716560364,1717819010.7605143,30.882672786712646,0.17271238970425187,0.18604024239929942
0.4883614376488819,0.009224526190143042,37,37,34.30294966697693,1717819011.5523868,31.674575805664062,0.17609617364010402,0.18532069983024707
0.5027620049325214,0.007212682359886083,38,38,35.09961557388306,1717819012.3490527,32.47134351730347,0.17742137828321844,0.18463406064310453
0.5358282868828416,0.006536587606251804,39,39,35.89236879348755,1717819013.141806,33.264049768447876,0.1771338328328854,0.1836704204391372
0.5675414409270392,0.006565077582107467,40,40,36.68643379211426,1717819013.935871,34.058127880096436,0.17553323311529184,0.18209831069739932
0.6112150617425268,0.004838401212237428,42,41,38.252094984054565,1717819015.501532,35.6237096786499,0.17342029664452974,0.17825869785676718
