loss,loss_interior,step,_timestamp,_step,_runtime,l2_error,loss_boundary,time
2.8959556675396283,0.00010308301560862395,0,1716014790.2337654,0,8.302796363830566,0.5394293075835611,2.8958525845240195,2.8969905376434326
0.15552825819711058,0.007430328926390198,1,1716014792.0868025,1,10.15583348274231,0.37784869772427215,0.14809792927072038,5.47864556312561
0.08614795134021687,0.018443330338841584,2,1716014793.9989612,2,12.067992210388184,0.18944046424226021,0.06770462100137528,7.391063213348389
0.03595025129234876,0.012306544571940511,3,1716014795.9386525,3,14.007683515548706,0.1554260223476814,0.023643706720408244,9.330673217773438
0.0207916762146088,0.006532280334975411,4,1716014797.9124823,4,15.981513261795044,0.1437347821700765,0.014259395879633392,11.304320812225342
0.01440725366732158,0.0021321193809159425,5,1716014799.9363377,5,18.00536870956421,0.0897209850013224,0.012275134286405637,13.328078031539917
0.007127185571302645,0.002065905758062436,6,1716014801.9970567,6,20.06608772277832,0.055108242991872,0.00506127981324021,15.388721942901611
0.004012601155355328,0.0017095113905228547,7,1716014804.0727584,7,22.141789436340332,0.04051833897854486,0.0023030897648324733,17.46443748474121
0.0024440352477958973,0.0010321919995789715,8,1716014806.1945598,8,24.263590812683105,0.03226304274398957,0.0014118432482169256,19.58495259284973
0.0015351556927847378,0.0005942960904430223,9,1716014808.3746018,9,26.44363284111023,0.027514930880660905,0.0009408596023417155,21.76623249053955
0.0010897915028584915,0.0004177059284758844,10,1716014810.5898166,10,28.65884757041931,0.022916089718712875,0.000672085574382607,23.981226921081543
0.0007491285002003613,0.0002596724846649565,11,1716014812.8223536,11,30.891384601593018,0.019891466894905792,0.0004894560155354048,26.213927268981934
0.0005168140672432309,0.0001923383756450093,12,1716014815.090737,12,33.15976810455322,0.01762578338750904,0.00032447569159822163,28.482393264770508
0.00038451516427921457,0.0001490918632354973,13,1716014817.3948243,13,35.463855266571045,0.01524512071070643,0.00023542330104371723,30.78642773628235
0.00027115675523465757,0.00010911783359543544,14,1716014819.749492,14,37.818522930145264,0.012778609609033532,0.00016203892163922214,33.141080379486084
0.00021814803459992182,9.886756754166426e-05,15,1716014822.151976,15,40.221007108688354,0.012139277626130552,0.00011928046705825756,35.54353451728821
0.0001728610536352968,7.380312935039502e-05,16,1716014824.5967195,16,42.66575050354004,0.010652632254171663,9.905792428490177e-05,37.98808312416077
0.00014302536015884642,6.10460529325846e-05,17,1716014827.0812397,17,45.15027070045471,0.00994286510593556,8.197930722626183e-05,40.47255253791809
0.00011659510643260952,5.0474873162736645e-05,18,1716014829.623034,18,47.69206500053406,0.009254270031785073,6.612023326987287e-05,43.01455044746399
0.00010215397993139415,4.376825303671312e-05,19,1716014832.144534,19,50.21356511116028,0.008934288624019977,5.8385726894681034e-05,45.536112546920776
8.835578294299875e-05,3.4981965419267474e-05,20,1716014834.6768472,20,52.74587821960449,0.008651923963126359,5.337381752373128e-05,48.06843590736389
7.841052487244645e-05,3.0441270736358505e-05,21,1716014837.213041,21,55.28207206726074,0.007939005486909756,4.796925413608795e-05,50.604554176330566
7.053467727372023e-05,2.849035585767701e-05,22,1716014839.7297804,22,57.79881143569946,0.0077685894809880396,4.204432141604323e-05,53.12134289741516
6.275767838227335e-05,2.3344382063575065e-05,23,1716014842.237348,23,60.306379079818726,0.007327609416827541,3.941329631869829e-05,55.62884044647217
5.7705079143506856e-05,2.050152013311389e-05,24,1716014844.7595773,24,62.82860827445984,0.00730942017551242,3.720355901039297e-05,58.15090584754944
5.483150748343653e-05,1.881553190840191e-05,25,1716014847.288193,25,65.35722398757935,0.0069583127668366015,3.601597557503462e-05,60.679661989212036
5.1763686246186435e-05,1.782668569908128e-05,26,1716014849.8176785,26,67.88670945167542,0.006822153770369399,3.393700054710515e-05,63.20924401283264
4.897451586713397e-05,1.6782134341607374e-05,27,1716014852.3362885,27,70.40531945228577,0.006571173023491253,3.21923815255266e-05,65.72785711288452
4.718079328346334e-05,1.64468322015198e-05,28,1716014854.8581471,28,72.92717814445496,0.006344992495680693,3.073396108194354e-05,68.24968981742859
4.4872219089892163e-05,1.626010778684021e-05,29,1716014857.3676288,29,75.43665981292725,0.00625607849461442,2.8612111303051953e-05,70.75919318199158
4.3870205410079054e-05,1.595910933717483e-05,30,1716014859.879995,30,77.94902610778809,0.006229066062982061,2.791109607290422e-05,73.27158737182617
4.1937858888905833e-05,1.4921412869992778e-05,31,1716014862.4073129,31,80.47634387016296,0.005896210421534506,2.7016446018913053e-05,75.79876017570496
4.030423888990857e-05,1.5304446185129145e-05,32,1716014864.9249842,32,82.99401521682739,0.005672163005582607,2.4999792704779428e-05,78.31638765335083
3.864785858823822e-05,1.520843281993549e-05,33,1716014867.4359162,33,85.50494718551636,0.005587744380661301,2.3439425768302725e-05,80.82749533653259
3.6802463609061464e-05,1.4167929248636899e-05,34,1716014869.9516294,34,88.02066040039062,0.005530764323943413,2.2634534360424565e-05,83.34309792518616
3.523726113301289e-05,1.289791862749379e-05,35,1716014872.4699354,35,90.53896641731262,0.005474048223193913,2.23393425055191e-05,85.86150431632996
3.3450135711079174e-05,1.1920071697501397e-05,36,1716014874.9923902,36,93.06142115592957,0.005312541440507231,2.153006401357778e-05,88.38395261764526
3.2444401188138716e-05,1.1954934688189742e-05,37,1716014877.5160375,37,95.58506846427917,0.005222092815721462,2.0489466499948977e-05,90.90761494636536
3.128347896562652e-05,1.1089941869173251e-05,38,1716014880.0403337,38,98.1093647480011,0.005176384495224327,2.0193537096453268e-05,93.43189811706543
