loss_boundary,_runtime,time,_step,loss_interior,loss,l2_error,_timestamp,step
2.846136044664834,5.835062026977539,1.8588099479675293,0,0.00010489956486163507,2.8462409442296956,1.3042234791078073,1716723128.675609,0
0.7598938141208289,8.679872751235962,4.955453872680664,1,1.3746536208335887,2.134547434954418,1.5510878231418874,1716723131.5204198,1
1.1159394496520814,9.890076160430908,6.166069507598877,2,0.8001638918084872,1.9161033414605686,1.705337702904974,1716723132.7306232,2
1.4399808010217015,11.094335317611694,7.370279550552368,3,0.27166465371037324,1.7116454547320747,1.741119276546151,1716723133.9348824,3
1.502035253375664,12.309284687042236,8.58503770828247,4,0.05338691189088534,1.5554221652665494,0.4264824772952096,1716723135.1498318,4
0.12676022615633015,16.817773818969727,13.092139720916748,5,0.006062715760111641,0.13282294191644178,0.3297268690070076,1716723139.658321,5
0.0427915709492019,18.377322673797607,14.653302192687988,6,0.005643005966640665,0.04843457691584256,0.18107047962062015,1716723141.2178698,6
0.023826704780711104,20.205868244171143,16.48185420036316,7,0.0009461239713076796,0.024772828752018784,0.04656953130611358,1716723143.0464153,7
0.0016285242160727945,25.18202781677246,21.458019495010376,8,0.00048115702396158013,0.0021096812400343747,0.03395044356603574,1716723148.022575,8
0.0005818619879595573,28.900182008743286,25.176156044006348,9,0.00026783857159242157,0.0008497005595519789,0.007133899687335841,1716723151.740729,9
5.38743241492823e-05,31.992270946502686,28.268126249313354,10,5.869804517219883e-05,0.00011257236932148113,0.007351287064915753,1716723154.832818,10
3.564559739053474e-05,36.53983283042908,32.815494775772095,11,1.781372863294437e-05,5.3459326023479106e-05,0.0063493678858385465,1716723159.38038,11
2.824568455047035e-05,42.03652048110962,38.31251358985901,12,1.2998084575154304e-05,4.124376912562465e-05,0.006825510627265643,1716723164.8770676,12
2.567512642400453e-05,44.79378151893616,41.0697877407074,13,1.1442778311228992e-05,3.711790473523352e-05,0.00673375520841871,1716723167.6343286,13
2.422877795350464e-05,47.94448781013489,44.220457553863525,14,1.1369919542382506e-05,3.5598697495887145e-05,0.006241953238653731,1716723170.785035,14
2.0597496976755507e-05,51.59628129005432,47.872273445129395,15,1.0071013745432868e-05,3.0668510722188375e-05,0.005861109567173325,1716723174.4368284,15
1.8042847403506782e-05,53.49853157997131,49.77446269989014,16,9.431970976362032e-06,2.7474818379868814e-05,0.005479862238727867,1716723176.3390787,16
1.5558437958365966e-05,57.02130675315857,53.2970974445343,17,8.122483620509663e-06,2.3680921578875628e-05,0.005081726476318066,1716723179.8618538,17
1.3248389519883783e-05,58.88334608078003,55.15926933288574,18,7.002133484762375e-06,2.0250523004646157e-05,0.004624123778271861,1716723181.7238932,18
1.1084082770542327e-05,62.589770555496216,58.86578965187073,19,6.002015310195375e-06,1.7086098080737703e-05,0.004239196736850072,1716723185.4303176,19
9.345829826473505e-06,64.19718837738037,60.47319316864014,20,5.082807006973248e-06,1.4428636833446753e-05,0.003892535721684822,1716723187.0377355,20
7.857588057254013e-06,67.91738677024841,64.19336318969727,21,4.3705760525350776e-06,1.2228164109789091e-05,0.003312773201954282,1716723190.7579339,21
5.871391110615317e-06,71.39087724685669,67.66684985160828,22,3.6207493560602886e-06,9.492140466675606e-06,0.002864975998059618,1716723194.2314243,22
4.588841594185687e-06,74.22802758216858,70.50397372245789,23,3.156405681535939e-06,7.745247275721627e-06,0.0025425644749421995,1716723197.0685747,23
3.7223451805592932e-06,77.96679472923279,74.24265122413635,24,2.7948452866929205e-06,6.517190467252214e-06,0.002211392273159949,1716723200.8073418,24
3.0029865664816522e-06,81.74700093269348,78.02271342277527,25,2.5006585776890745e-06,5.503645144170727e-06,0.0020058860766814525,1716723204.587548,25
2.5578093290951567e-06,85.24126982688904,81.51680088043213,26,2.279193559758926e-06,4.837002888854083e-06,0.0018449889467999176,1716723208.081817,26
2.2250844588048836e-06,88.92047643661499,85.19640970230103,27,2.096845401891686e-06,4.321929860696569e-06,0.0017178762911090053,1716723211.7610235,27
1.9727918139040334e-06,92.60051608085632,88.87643885612488,28,1.9455047169844624e-06,3.918296530888496e-06,0.0016232722190451106,1716723215.4410632,28
1.7733621306021071e-06,96.13610696792603,92.41203331947327,29,1.8174139814860006e-06,3.5907761120881077e-06,0.0015359364918999243,1716723218.976654,29
1.6078569683905297e-06,99.9592752456665,96.2352077960968,30,1.7075154311777356e-06,3.315372399568265e-06,0.0014625076343736578,1716723222.7998223,30
1.4761913612275796e-06,103.45204329490662,99.72798371315002,31,1.61258970257242e-06,3.0887810637999993e-06,0.0014074970567174233,1716723226.2925904,31
1.3709279840217094e-06,107.19093775749207,103.4667820930481,32,1.5302163980382244e-06,2.901144382059934e-06,0.0013623192250456005,1716723230.0314848,32
1.2839672210695718e-06,110.72047638893127,106.9962272644043,33,1.4578499073176299e-06,2.7418171283872017e-06,0.0013230050585938285,1716723233.5610235,33
1.2109822350583067e-06,114.35064673423767,110.62648010253906,34,1.3933409258220247e-06,2.6043231608803314e-06,0.001290032327983257,1716723237.1911938,34
1.1493076409258387e-06,118.07580804824829,114.3517529964447,35,1.3359111316942062e-06,2.485218772620045e-06,0.0012625209411717818,1716723240.9163551,35
1.094997487471521e-06,121.55913186073303,117.83506035804749,36,1.2846386982756173e-06,2.3796361857471385e-06,0.0012373729634208293,1716723244.399679,36
1.047109670007113e-06,125.05220603942871,121.32813310623169,37,1.2381874633862525e-06,2.2852971333933655e-06,0.0012148025574314776,1716723247.8927531,37
1.0044100052636969e-06,129.02714157104492,125.3030412197113,38,1.1959196264376747e-06,2.2003296317013716e-06,0.0011945880313658757,1716723251.8676887,38
9.659120124241135e-07,132.50939393043518,128.78532075881958,39,1.1573088608658859e-06,2.1232208732899996e-06,0.001175744553893964,1716723255.349941,39
9.309013078717654e-07,136.3384084701538,132.61432361602783,40,1.122011277366758e-06,2.0529125852385233e-06,0.00115858517221589,1716723259.1789556,40
8.697303419336562e-07,144.12368083000183,140.39932298660278,41,1.0593294695429757e-06,1.929059811476632e-06,0.0011275734633584302,1716723266.964228,42
7.73006598050027e-07,159.77029180526733,156.04616928100586,42,9.580912617152608e-07,1.7310978597652877e-06,0.0010755700729331188,1716723282.610839,46
6.990718027739664e-07,175.76137495040894,172.03728580474854,43,8.787890129592672e-07,1.5778608157332337e-06,0.0010325043659138423,1716723298.601922,50
6.2689356653876e-07,195.90430665016174,192.17983722686768,44,7.995346470010073e-07,1.4264282135397673e-06,0.0009866662895850658,1716723318.7448537,55
5.593507211159868e-07,220.52254939079285,216.79849100112915,45,7.235259203658989e-07,1.2828766414818858e-06,0.0009395217826957681,1716723343.3630965,61
5.05451191318949e-07,244.94690608978271,241.22255420684814,46,6.614907277705153e-07,1.1669419190894644e-06,0.0008982689515127104,1716723367.7874532,67
4.609194348994319e-07,269.53462290763855,265.8105320930481,47,6.093314479309226e-07,1.0702508828303545e-06,0.0008613763793075421,1716723392.37517,73
4.118441299297251e-07,302.34850811958313,298.62408924102783,48,5.510004730046553e-07,9.628446029343804e-07,0.0008173454597335572,1716723425.1890552,81
3.713002303744041e-07,335.4119505882263,331.6878411769867,49,5.022320632587212e-07,8.735322936331253e-07,0.0007779930977248394,1716723458.2524977,89
3.3314703732936864e-07,371.8870565891266,368.16269159317017,50,4.559580619785492e-07,7.891050993079178e-07,0.0007382140814663994,1716723494.7276037,98
3.0099375123556616e-07,408.73941349983215,405.0154061317444,51,4.167020957364935e-07,7.176958469720597e-07,0.0007023625989546464,1716723531.5799606,107
2.6793117242816293e-07,453.2877526283264,449.5634021759033,52,3.7613873561305126e-07,6.440699080412142e-07,0.000663027906611649,1716723576.1282997,118
2.3792417732733267e-07,501.935364484787,498.2110311985016,53,3.391518169009489e-07,5.770759942282816e-07,0.0006248461185447282,1716723624.7759116,130
2.109372893339299e-07,553.7990126609802,550.0745553970337,54,3.0574673128539404e-07,5.166840206193239e-07,0.0005881866589056349,1716723676.6395597,143
1.8686804954072346e-07,609.7259118556976,606.001513004303,55,2.7582842874170553e-07,4.62696478282429e-07,0.0005533454627132596,1716723732.566459,157
1.6556027813389948e-07,668.7409934997559,665.0166850090027,56,2.492170202160193e-07,4.147772983499188e-07,0.0005205302204004494,1716723791.5815406,172
1.4471270903338412e-07,739.1702017784119,735.4458165168762,57,2.2302251987974277e-07,3.677352289131269e-07,0.000486295259099271,1716723862.0107489,190
1.2781457453815997e-07,808.5340223312378,804.8096570968628,58,2.0163255841198203e-07,3.29447132950142e-07,0.0004567076370270942,1716723931.3745694,208
1.1186981011161894e-07,889.1364817619324,885.4121046066284,59,1.8127061575335424e-07,2.931404258649732e-07,0.00042696960138644544,1716724011.9770288,229
9.789936510378506e-08,975.9768304824829,972.252489566803,60,1.6324055932898314e-07,2.611399244327682e-07,0.0003991672134149081,1716724098.8173776,252
8.577761016249498e-08,1069.6833539009094,1065.9590187072754,61,1.4740573382466834e-07,2.331833439871633e-07,0.00037343114382549445,1716724192.523901,277
7.497936472763952e-08,1174.1708769798279,1170.4465336799622,62,1.3310333658067232e-07,2.0808270130831184e-07,0.00034897119797315903,1716724297.011424,305
6.57883996548164e-08,1284.9784722328186,1281.2541301250458,63,1.2073472959580848e-07,1.8652312925062487e-07,0.00032676435882581526,1716724407.8190193,335
5.7529695607274586e-08,1410.6917884349823,1406.9674217700958,64,1.094098086550803e-07,1.669395042623549e-07,0.00030548212352701884,1716724533.5323355,369
5.0427962209084975e-08,1545.9661982059479,1542.2418048381805,65,9.9446878421875e-08,1.4987484063095996e-07,0.00028595707083685053,1716724668.8067453,406
4.4348021465898155e-08,1691.6821565628052,1687.9578194618225,66,9.068219947556843e-08,1.350302209414666e-07,0.000268147547791891,1716724814.5227036,446
3.894157807577955e-08,1854.2426643371582,1850.518334388733,67,8.262805369735399e-08,1.2156963177313354e-07,0.000251285748979907,1716724977.0832114,491
3.430215973710927e-08,2031.0720512866974,2027.3476784229279,68,7.543850739966629e-08,1.0974066713677556e-07,0.0002358938065713449,1716725153.9125984,540
3.027557664275325e-08,2224.066745996475,2220.341928243637,69,6.890596309675074e-08,9.918153973950398e-08,0.00022170667638907743,1716725346.907293,594
2.681523522159027e-08,2434.721360206604,2430.997018098831,70,6.299176489214154e-08,8.980700011373181e-08,0.00020878657173160512,1716725557.5619073,653
2.382003209240464e-08,2665.9133574962616,2662.1890053749084,71,5.7568682836462355e-08,8.1388714928867e-08,0.00019696234392534287,1716725788.7539046,718
2.1219054542133294e-08,2921.644401073456,2917.920070409775,72,5.2556439849825934e-08,7.377549439195923e-08,0.00018613064300110045,1716726044.4849482,790
2.048103656450397e-08,3005.2946467399597,3001.5703036785126,73,5.107145531779836e-08,7.155249188230233e-08,0.00018294857058357903,1716726128.1351938,814
