time,_timestamp,loss_interior,loss_boundary,_step,step,loss,_runtime,l2_error
1.1767914295196533,1715919948.9999182,0.00010014121857631205,2.782974664163798,0,0,2.783074805382374,5.527543306350708,1.8975873069999636
1.5373921394348145,1715919949.041714,0.00010108464199478005,2.781901290474093,1,1,2.782002375116088,5.569339036941528,1.8971210173546884
1.5780398845672607,1715919949.0822408,0.00010203401228314671,2.7808281276265405,2,2,2.780930161638824,5.60986590385437,1.8966547472697266
1.6186387538909912,1715919949.1225834,0.00010298869012609907,2.7797551793962634,3,3,2.7798581680863896,5.650208473205566,1.8961885019268816
1.658942699432373,1715919949.1627622,0.0001039484341532798,2.7786824485681114,4,4,2.7787863970022646,5.69038724899292,1.895722275960512
1.6990339756011963,1715919949.2027898,0.00010491360557435389,2.7776099376987244,5,5,2.7777148513042986,5.730414867401123,1.8952560658086903
1.743819236755371,1715919949.2425056,0.00010588447472108315,2.7765376496626213,6,6,2.7766435341373423,5.770130634307861,1.894789870444997
1.7792301177978516,1715919949.28242,0.00010686117015281887,2.7754655874089207,7,7,2.7755724485790734,5.810045003890991,1.8943236900223555
1.81858229637146,1715919949.32005,0.00010784375180410751,2.7743937538170695,8,8,2.774501597568874,5.847675085067749,1.8938575251412504
1.8561038970947266,1715919949.353881,0.00010883225123935628,2.7733221516373034,9,9,2.773430983888543,5.881505966186523,1.8933913765346806
1.8899736404418945,1715919949.3876486,0.00010982668899743849,2.772250783462446,10,10,2.7723606101514435,5.915273666381836,1.8929252449392708
1.9239983558654785,1715919949.4213676,0.00011082708159140631,2.771179651712116,11,11,2.7712904787937074,5.948992729187012,1.8924591310408039
1.9575161933898926,1715919949.454901,0.00011183344439334023,2.7701087586223085,12,12,2.770220592066702,5.982526063919067,1.8919930354465782
1.9913198947906494,1715919949.4886663,0.00011284579307410431,2.76903810623793,13,13,2.769150952031004,6.016291379928589,1.8915269586687693
2.0247035026550293,1715919949.5219498,0.00011386414445398605,2.7679676964070707,14,14,2.7680815605515248,6.049574851989746,1.8910609011151325
2.058213949203491,1715919949.555429,0.00011488851694177701,2.7668975307763,15,15,2.7670124192932417,6.083054065704346,1.8905948630857232
2.0916388034820557,1715919949.5889316,0.00011591893063769569,2.7658276107867796,16,16,2.7659435297174175,6.116556644439697,1.8901288447745483
2.1251513957977295,1715919949.6224911,0.00011695540717420247,2.7647579376714155,17,17,2.7648748930785896,6.150116205215454,1.8896628462751477
2.1590449810028076,1715919949.6561828,0.00011799796935482967,2.7636885124532746,18,18,2.7638065104226293,6.183807849884033,1.8891968675890276
2.1923093795776367,1715919949.6895063,0.00011904664064689435,2.7626193359452924,19,19,2.7627383825859395,6.2171313762664795,1.8887309086357202
2.2256662845611572,1715919949.7229207,0.00012010144459117527,2.761550408751156,20,20,2.7616705101957475,6.2505457401275635,1.8882649692633626
2.2587740421295166,1715919949.7560453,0.00012116240418993196,2.7604817312672356,21,21,2.7606028936714258,6.283670425415039,1.8877990492591277
2.2919983863830566,1715919949.7891996,0.0001222295413130718,2.7594133036854993,22,22,2.7595355332268126,6.316824674606323,1.8873331483594022
2.325190782546997,1715919949.8223758,0.00012330287612984269,2.7583451259974217,23,23,2.7584684288735515,6.350000858306885,1.8868672662599766
2.358146905899048,1715919949.8555164,0.00012438242654852288,2.757277197998891,24,24,2.7574015804254395,6.38314151763916,1.8864014026265448
2.392164945602417,1715919949.8891933,0.00012546820764104983,2.7562095192960943,25,25,2.7563349875037355,6.416818380355835,1.8859355571055632
2.4252207279205322,1715919949.922411,0.00012656023104190553,2.755142089312268,26,26,2.75526864954331,6.45003604888916,1.8854697293351805
2.458383083343506,1715919949.9556115,0.0001276585043305181,2.754074907295115,27,27,2.754202565799446,6.48323655128479,1.885003918955719
2.4921998977661133,1715919949.9894137,0.0001287630304233155,2.753007972324633,28,28,2.7531367353550564,6.517038822174072,1.8845381256191005
2.526323080062866,1715919950.0233896,0.0001298738070100455,2.7519412833210892,29,29,2.7520711571280994,6.55101466178894,1.8840723489966982
2.560112953186035,1715919950.0573058,0.00013099082606942244,2.7508748390529036,30,30,2.7510058298789732,6.584930896759033,1.8836065887852174
2.5946078300476074,1715919950.0925868,0.00013211407349481095,2.7498086381442968,31,31,2.7499407522177917,6.620211839675903,1.8831408447103657
2.6296133995056152,1715919950.1266508,0.0001332435288546998,2.748742679082593,32,32,2.7488759226114476,6.654275894165039,1.882675116528174
2.6635758876800537,1715919950.1607575,0.00013437916530672388,2.747676960225161,33,33,2.7478113393904677,6.688382625579834,1.8822094040239323
2.697535753250122,1715919950.194488,0.0001355209496780422,2.7466114798059946,34,34,2.7467470007556725,6.722113132476807,1.8817437070087712
2.7309458255767822,1715919950.2284174,0.000136668842718406,2.7455462359419815,35,35,2.7456829047847,6.75604248046875,1.8812780253140124
2.765162944793701,1715919950.2621565,0.000137822799524839,2.7444812266388774,36,36,2.7446190494384024,6.78978157043457,1.8808123587834977
2.7978997230529785,1715919950.2951858,0.00013898277012866026,2.7434164497970595,37,37,2.743555432567188,6.822810888290405,1.880346707264215
2.831561803817749,1715919950.3286672,0.00014014870022724935,2.7423519032170836,38,38,2.742492051917311,6.856292247772217,1.8798810705956177
2.865277051925659,1715919950.3637745,0.00014132053203539562,2.7412875846051112,39,39,2.7414289051371465,6.891399621963501,1.8794154485981152
2.9004640579223633,1715919950.3974552,0.0001424982052250984,2.740223491578256,40,40,2.740365989783481,6.925080299377441,1.878949841061246
2.946279764175415,1715919950.4436612,0.00014487082770044043,2.7380959723351745,41,42,2.738240843162875,6.971286296844482,1.8780186683041011
