_step,l2_error,loss,_timestamp,_runtime,loss_boundary,loss_interior,step,time
0,1.618023112258434,2.8611648490621544,1716219303.912892,5.176346063613892,2.8610605278034016,0.00010432125875268583,0,1.0344421863555908
1,1.116049688942388,2.2317254057162397,1716219303.9578307,5.221284627914429,2.2311096265980686,0.0006157791181709667,1,1.3967394828796387
2,0.5955665982770106,1.2964483302689194,1716219304.0016515,5.265105485916138,1.293591274164666,0.0028570561042533488,2,1.4405317306518555
3,1.2926965397518462,0.4587237395673226,1716219304.046292,5.309746026992798,0.44895703018996086,0.009766709377361713,3,1.484912633895874
4,1.8401034357122554,0.6041114338225335,1716219304.091815,5.355268955230713,0.5841078239930972,0.020003609829436306,4,1.5293443202972412
5,1.0320176942419528,1.2167118589419423,1716219304.1371236,5.400577545166016,1.2063873352263512,0.010324523715591009,5,1.5742733478546143
6,0.7103562192898605,0.4187426069765686,1716219304.1823692,5.4458231925964355,0.4133092566777815,0.005433350298787129,6,1.619800329208374
7,1.0795788783553941,0.6746980956710565,1716219304.2206905,5.484144449234009,0.6297815353818754,0.04491656028918112,7,1.6649596691131592
8,0.6146687245086598,1.2027015888182435,1716219304.2591915,5.522645473480225,1.1380097021241058,0.06469188669413771,8,1.7023909091949463
9,0.9074151444924256,0.5553767057215959,1716219304.2963338,5.559787750244141,0.49990876716815413,0.05546793855344174,9,1.740720510482788
10,1.427788045463774,0.3943485816267349,1716219304.3333485,5.596802473068237,0.35280798273640585,0.04154059889032906,10,1.7780952453613281
11,1.2799489254465413,0.7888109483552409,1716219304.3702543,5.633708238601685,0.7561542739890565,0.03265667436618434,11,1.8149535655975342
12,0.8138520866267241,0.6331809155605642,1716219304.4071236,5.670577526092529,0.6089840963442837,0.024196819216280512,12,1.8518376350402832
13,0.6338448089423466,0.34828317894814986,1716219304.443766,5.707220077514648,0.3379087089972102,0.010374469950939673,13,1.8886408805847168
14,0.7098416953118104,0.44542283194956295,1716219304.4802978,5.743751764297485,0.44491487159425297,0.0005079603553099996,14,1.9251878261566162
15,0.7040718438541848,0.6394473937016456,1716219304.5168712,5.780325174331665,0.637391485410714,0.0020559082909316437,15,1.9617936611175537
16,0.6483438351429248,0.6245545103547008,1716219304.5533912,5.816845178604126,0.6206978778335307,0.0038566325211700685,16,1.9982662200927734
17,0.6674269905316429,0.46089845851084343,1716219304.5898895,5.853343486785889,0.46044641036327355,0.0004520481475698797,17,2.0349345207214355
18,0.734243779687605,0.34459972638309977,1716219304.6263604,5.889814376831055,0.3355969392394588,0.00900278714364094,18,2.0713322162628174
19,0.7566478957324473,0.3436382516818354,1716219304.6627138,5.926167726516724,0.2915660860143131,0.05207216566752234,19,2.1076714992523193
20,0.7024193747070424,0.40374321958901926,1716219304.6991432,5.962597131729126,0.2765088371655668,0.12723438242345245,20,2.1442394256591797
21,0.614585412527966,0.43256675078111384,1716219304.7356153,5.9990692138671875,0.24775128095215782,0.18481546982895602,21,2.1807491779327393
22,0.5673557010423185,0.3939269340902022,1716219304.7720046,6.035458564758301,0.22341699654562133,0.17050993754458088,22,2.2171404361724854
23,0.5854037617340347,0.3414717498483516,1716219304.8083763,6.0718302726745605,0.2388185291910483,0.10265322065730331,23,2.2532799243927
24,0.647650542650576,0.31944330412681354,1716219304.84462,6.108073949813843,0.28058838556010773,0.03885491856670579,24,2.2894790172576904
25,0.7406595662400365,0.31998416794148693,1716219304.8809636,6.1444175243377686,0.313866085245467,0.006118082696019917,25,2.3259341716766357
26,0.8296420246018896,0.3367092854377073,1716219304.917244,6.180697917938232,0.33625607683365116,0.00045320860405609375,26,2.3622817993164062
27,0.8542869944390168,0.3647429151613452,1716219304.9539807,6.217434644699097,0.3573493150399646,0.0073936001213806245,27,2.398833990097046
28,0.7924878182578592,0.3765975836116974,1716219304.9907737,6.254227638244629,0.36382529285542703,0.012772290756270364,28,2.435576915740967
29,0.6944413358855658,0.35935758196332257,1716219305.0278614,6.291315317153931,0.34881549671817885,0.010542085245143742,29,2.472532033920288
30,0.6249072416478328,0.33822653252193796,1716219305.0649815,6.32843542098999,0.33394098293253044,0.004285549589407522,30,2.5096628665924072
31,0.6045305362285933,0.31980140517085326,1716219305.1021583,6.365612268447876,0.3193603730382835,0.0004410321325697542,31,2.5466620922088623
32,0.6389723117936965,0.2861105492396624,1716219305.1393995,6.402853488922119,0.2837508245279191,0.002359724711743289,32,2.583916664123535
33,0.6754159601952131,0.2576547017508462,1716219305.1777475,6.441201448440552,0.24636897705269928,0.01128572469814692,33,2.6249096393585205
34,0.6141580650265716,0.2578805391002033,1716219305.2150576,6.478511571884155,0.22774962149165068,0.030130917608552642,34,2.659682512283325
35,0.490325605336185,0.261027780161674,1716219305.2523682,6.515822172164917,0.19776468548262943,0.06326309467904456,35,2.6968047618865967
36,0.4478178307395244,0.2699575508132383,1716219305.2896693,6.553123235702515,0.1695896767070147,0.10036787410622361,36,2.73408579826355
37,0.5264515394327068,0.2716223987279321,1716219305.3269534,6.590407371520996,0.16651153043756534,0.10511086829036675,37,2.7714743614196777
38,0.6362304283775043,0.23629330740302124,1716219305.3641114,6.627565383911133,0.17347274387923758,0.06282056352378367,38,2.8085832595825195
39,0.6050595405881869,0.2200877413160043,1716219305.4013786,6.664832592010498,0.1992423509195694,0.020845390396434915,39,2.8459596633911133
40,0.5132785819426415,0.21046114657365086,1716219305.4385915,6.702045440673828,0.20275431089842177,0.00770683567522909,40,2.8828887939453125
41,0.5782497961128118,0.23521863008046112,1716219305.4918065,6.755260467529297,0.22602103129168352,0.009197598788777607,42,2.936333417892456
