step,_step,_runtime,l2_error,_timestamp,time,loss_boundary,loss_interior,loss
0,0,8.990973472595215,1.8887306706814635,1716118229.9859114,2.618980884552002,2.917861965006167,0.00010417426610045117,2.9179661392722673
1,1,9.3306405544281,0.6257861210490598,1716118230.3255785,4.030231237411499,2.9178512031011326,0.00010417751182085053,2.9179553806129532
2,2,9.64177942276001,0.4837695467073934,1716118230.6367173,4.342162132263184,0.34621174585795744,0.0005793881587757761,0.3467911340167332
3,3,9.955000162124634,1.5513607595546328,1716118230.949938,4.6542346477508545,0.30722653403844746,0.03081693546284651,0.338043469501294
4,4,10.268759965896606,0.6622454111697931,1716118231.2636979,4.967893600463867,2.101359965539319,0.0008697042844954996,2.1022296698238145
5,5,10.584380626678467,0.54317669608811,1716118231.5793185,5.2821104526519775,0.20994984639631906,0.0046093022500139046,0.21455914864633296
6,6,10.899544954299927,0.48368613000015065,1716118231.8944829,5.598706245422363,0.17006757898759103,0.018052048588579513,0.18811962757617054
7,7,11.214582443237305,0.5321736859388327,1716118232.2095203,5.913748741149902,0.1513791542106015,0.008689936601976329,0.16006909081257784
8,8,11.531474828720093,0.512512000704725,1716118232.5264127,6.230626821517944,0.14523439285308043,0.009697814532955555,0.154932207386036
9,9,11.848304510116577,0.5417306909974369,1716118232.8432424,6.547252416610718,0.13947649433216844,0.014236039944041504,0.15371253427620996
10,10,12.16519021987915,0.4697114471350222,1716118233.160128,6.864328145980835,0.13527353349564206,0.012423712821138955,0.14769724631678102
11,11,12.4817214012146,0.4930110022537083,1716118233.4766593,7.180766820907593,0.12816974882731325,0.014136198069105476,0.14230594689641873
12,12,12.800107717514038,0.38738570423804386,1716118233.7950456,7.49914026260376,0.13177615314396043,0.007288559788848314,0.13906471293280875
13,13,13.11751127243042,0.3943933646044295,1716118234.1124492,7.816465616226196,0.11648458338896771,0.013827638344645246,0.13031222173361295
14,14,13.433754920959473,0.3505387985552819,1716118234.4286928,8.132762908935547,0.08917604987087771,0.029934726846463984,0.11911077671734169
15,15,13.751339197158813,0.3859882198144696,1716118234.746277,8.450376510620117,0.08183299571662579,0.03461172461582322,0.11644472033244901
16,16,14.067964315414429,0.3753686727214225,1716118235.0629022,8.767094612121582,0.07554554965416918,0.03167582380408299,0.10722137345825217
17,17,14.381730794906616,0.34828532052737704,1716118235.3766687,9.080892324447632,0.07910128047943744,0.021620556954128838,0.10072183743356627
18,18,14.69746446609497,0.3073020086059996,1716118235.6924024,9.39662790298462,0.056614112888460494,0.013378371028580692,0.06999248391704119
19,19,15.01306676864624,0.2576476775047794,1716118236.0080047,9.712265014648438,0.04954175465171264,0.013094876897333673,0.06263663154904632
20,20,15.329074144363403,0.26224856535432783,1716118236.324012,10.028137445449829,0.04075353893799172,0.016224258131786396,0.05697779706977811
21,21,15.645036697387695,0.22771697886713024,1716118236.6399746,10.344228744506836,0.03993231108744479,0.015297372913404151,0.05522968400084895
22,22,15.961003541946411,0.23436999274113507,1716118236.9559414,10.660175085067749,0.038940895828191914,0.014659574682852589,0.0536004705110445
23,23,16.276459455490112,0.19374394226307093,1716118237.2713974,10.975648880004883,0.03857834521291979,0.013081041693746532,0.05165938690666633
24,24,16.5925350189209,0.19092695793323336,1716118237.587473,11.291535377502441,0.03650422106634394,0.01264546694336958,0.04914968800971352
25,25,16.9085795879364,0.188227808997583,1716118237.9035175,11.60771107673645,0.03389168201301748,0.011387540609034257,0.04527922262205174
26,26,17.224402904510498,0.17542297321020786,1716118238.2193408,11.923535823822021,0.02883475131445974,0.01326489957681886,0.0420996508912786
27,27,17.540035486221313,0.1703899858977199,1716118238.5349734,12.239219188690186,0.02321405585709057,0.015710743250274394,0.03892479910736496
28,28,17.85602855682373,0.19044018569141172,1716118238.8509665,12.555129766464233,0.022349919939447113,0.01589921425919181,0.03824913419863892
29,29,18.171199083328247,0.18753510973133292,1716118239.166137,12.870093584060669,0.020852905013273443,0.015885170547210656,0.0367380755604841
30,30,18.48449397087097,0.1948837317271873,1716118239.4794319,13.183635950088501,0.02074863628831371,0.015359544983698901,0.03610818127201261
31,31,18.797959566116333,0.20337244115433536,1716118239.7928975,13.49707841873169,0.0204165022694143,0.01473975700013621,0.03515625926955051
32,32,19.11150598526001,0.1897480084305365,1716118240.106444,13.810638189315796,0.020311855679142867,0.01362720086548599,0.03393905654462886
33,33,19.4253830909729,0.18140583464549823,1716118240.420321,14.124495506286621,0.01935587621100428,0.013137462759430403,0.03249333897043469
34,34,19.73944902420044,0.18510475907054186,1716118240.734387,14.438564777374268,0.018875388036141926,0.013063689164611541,0.031939077200753466
35,35,20.053305864334106,0.16609882141309928,1716118241.0482438,14.752405166625977,0.018614984746399478,0.012863589370094353,0.03147857411649383
36,36,20.36717462539673,0.1730253348722634,1716118241.3621125,15.06628942489624,0.01852332318263473,0.01220740171286784,0.030730724895502572
37,37,20.681514501571655,0.173794609340099,1716118241.6764524,15.380579471588135,0.018872358856075352,0.01147524138097879,0.030347600237054143
38,38,20.99496293067932,0.16170179705835028,1716118241.9899008,15.694098949432373,0.018992012313020102,0.009789195959679314,0.028781208272699414
39,39,21.30932068824768,0.1759591550738168,1716118242.3042586,16.008370399475098,0.01889161917949852,0.00927945649356345,0.02817107567306197
40,40,21.62480401992798,0.170011905037825,1716118242.619742,16.32382583618164,0.018044159970868376,0.009068043545749391,0.027112203516617767
42,41,22.233296632766724,0.18930654625732285,1716118243.2282345,16.932390451431274,0.01804477286160471,0.008022196727667814,0.026066969589272522
