loss,_runtime,l2_error,loss_interior,time,_step,_timestamp,step,loss_boundary
48.92347435353573,6.186601161956787,4.491125375035585,48.91067652143811,1.6851940155029297,0,1715358075.9167542,0,0.012797832097621838
31.263514487444674,6.2579216957092285,2.0356145154222682,20.26482267532753,2.075059652328491,1,1715358075.9880748,1,10.998691812117142
12.341219421751722,6.315165996551514,0.7563343482905373,10.016444273016601,2.1323177814483643,2,1715358076.045319,2,2.3247751487351214
7.899855287559938,6.368119478225708,1.1709577025233422,7.300612979744213,2.1852314472198486,3,1715358076.0982726,3,0.5992423078157254
7.19457153345704,6.425153970718384,1.5865173054455364,6.233240807386945,2.242335081100464,4,1715358076.155307,4,0.9613307260700947
6.240050265523729,6.482786178588867,1.266170556178876,4.808486964279386,2.2982773780822754,5,1715358076.2129393,5,1.4315633012443427
4.252539666566065,6.535745859146118,0.888953942912938,3.3358720199577205,2.3529772758483887,6,1715358076.265899,6,0.9166676466083442
1.973150847043468,6.590134143829346,0.45912867532368423,1.5467957748019177,2.4073450565338135,7,1715358076.3202872,7,0.42635507224155034
1.4837257301262117,6.644123554229736,0.1427311480024634,1.361549783454389,2.4613683223724365,8,1715358076.3742766,8,0.12217594667182263
0.8808379572704046,6.69677734375,0.12787441466535132,0.8605230457111801,2.5140297412872314,9,1715358076.4269304,9,0.020314911559224488
0.8034801107907202,6.750717878341675,0.16018586645011515,0.788159368298827,2.567939519882202,10,1715358076.480871,10,0.015320742491893169
0.6846530090908681,6.807674169540405,0.18870346745437414,0.6647124709213268,2.6248855590820312,11,1715358076.5378273,11,0.019940538169541284
0.6444161095852093,6.857601881027222,0.2029087052585236,0.6183824229081195,2.67482852935791,12,1715358076.587755,12,0.026033686677089853
0.6187620657594177,6.907593250274658,0.20643748348068258,0.5891232618121837,2.7248342037200928,13,1715358076.6377463,13,0.029638803947234022
0.5737739561061848,6.958308458328247,0.1765081787180924,0.5427466246524446,2.7754950523376465,14,1715358076.6884615,14,0.031027331453740117
0.5276263046807219,7.007928133010864,0.18047581920464545,0.5012185719420977,2.8251585960388184,15,1715358076.7380812,15,0.02640773273862414
0.4723696847484226,7.060772180557251,0.1645424034947621,0.444482896377276,2.877986192703247,16,1715358076.7909253,16,0.027886788371146585
0.435647863392518,7.111042737960815,0.1557831438675945,0.4095817422700455,2.9283058643341064,17,1715358076.8411958,17,0.02606612112247249
0.3993360200927951,7.16347861289978,0.15219152161963195,0.37487536279188094,2.9806783199310303,18,1715358076.8936317,18,0.024460657300914193
0.3947927689170946,7.217869281768799,0.14282469609333118,0.37112524067723957,3.034883737564087,19,1715358076.9480224,19,0.023667528239855018
0.3803593856404062,7.270400285720825,0.14384709939721577,0.3592823352788686,3.087650775909424,20,1715358077.0005534,20,0.02107705036153761
0.36194839728812667,7.323720693588257,0.1546796877334945,0.3415776372856371,3.14097261428833,21,1715358077.0538738,21,0.020370760002489566
0.3384450382273827,7.376423597335815,0.15044592978371468,0.3178773515178349,3.193659782409668,22,1715358077.1065767,22,0.02056768670954781
0.3259305026770152,7.426318883895874,0.14099599776791946,0.3061506373589761,3.2435250282287598,23,1715358077.156472,23,0.01977986531803911
0.3155225170262831,7.477332592010498,0.14214399323350901,0.29735967614667147,3.2945163249969482,24,1715358077.2074857,24,0.01816284087961163
0.302542452979025,7.527223110198975,0.13939169337830848,0.28443355707524337,3.3443644046783447,25,1715358077.2573762,25,0.018108895903781636
0.28704955756002976,7.580842018127441,0.13629213152920883,0.269394057812148,3.3980679512023926,26,1715358077.310995,26,0.017655499747881793
0.2820422485652702,7.634565591812134,0.1322005904727528,0.2649272233352286,3.4517996311187744,27,1715358077.3647187,27,0.017115025230041627
0.2676539868704566,7.688467264175415,0.12532255311495832,0.2512818424043877,3.50569748878479,28,1715358077.4186203,28,0.0163721444660689
0.2543509119835826,7.741941213607788,0.12426206260724944,0.2394732684903283,3.559161901473999,29,1715358077.4720943,29,0.014877643493254345
0.2415625651636821,7.795675992965698,0.11852041498508399,0.2268901474402902,3.612907648086548,30,1715358077.525829,30,0.014672417723391888
0.23197721182620537,7.853101968765259,0.1140229662289013,0.21829749479169724,3.670346975326538,31,1715358077.583255,31,0.01367971703450812
0.22081865166890313,7.9064013957977295,0.1088780051687446,0.2080239213791619,3.7236344814300537,32,1715358077.6365545,32,0.01279473028974124
0.20789015084529683,7.958693265914917,0.10493748210507232,0.19633093610030725,3.7759416103363037,33,1715358077.6888463,33,0.011559214744989584
0.19657975800516297,8.008883953094482,0.10154999348687645,0.18560677504495565,3.826139211654663,34,1715358077.739037,34,0.01097298296020733
0.19074523178269306,8.061117887496948,0.09846687290369442,0.1803010867090907,3.878345251083374,35,1715358077.791271,35,0.010444145073602355
0.17722061007433543,8.114837884902954,0.09412158437565073,0.16772718864204214,3.9320735931396484,36,1715358077.844991,36,0.009493421432293281
0.1668410115414911,8.168193817138672,0.08990081269433019,0.15802149777654853,3.98543381690979,37,1715358077.898347,37,0.008819513764942596
0.15526174552626362,8.222371578216553,0.08852113904762228,0.14747661888378286,4.039560556411743,38,1715358077.9525247,38,0.007785126642480764
0.14728166346577284,8.27581262588501,0.0867208802886511,0.1396316137518081,4.093040943145752,39,1715358078.0059657,39,0.007650049713964737
0.1445158720069151,8.326918601989746,0.07808365097886057,0.13701996079406867,4.144119501113892,40,1715358078.0570717,40,0.007495911212846432
0.12217564253490173,8.433726787567139,0.07066631651346515,0.11581053844002885,4.250789642333984,41,1715358078.1638799,42,0.006365104094872877
