_step,loss,_timestamp,l2_error,step,_runtime,loss_boundary,loss_interior,time
41,0.18847963656983238,1714842984.250396,0.10372224058339827,42,7.1041340827941895,0.01974217793332458,0.1687374586365078,3.3648529052734375
42,0.17593191126543678,1714842984.4121094,0.09093827346612675,46,7.265847444534302,0.01791590673823791,0.15801600452719886,3.5264596939086914
43,0.16511610401485688,1714842984.5569267,0.09048032364420115,50,7.410664796829224,0.015826745369910356,0.14928935864494652,3.67128324508667
44,0.15048365927601076,1714842984.734733,0.10082356536919064,55,7.588471174240112,0.016261001013404084,0.13422265826260668,3.8491621017456055
45,0.14360519302559477,1714842984.950782,0.09951832707521663,61,7.804520130157471,0.015375980587100642,0.12822921243849414,4.065120697021484
46,0.11798509756810854,1714842985.1292944,0.0809891200945146,67,7.983032464981079,0.011012797576626938,0.1069722999914816,4.243651390075684
47,0.10850457160144172,1714842985.3067434,0.07890661742524611,73,8.160481452941895,0.011720922278166498,0.09678364932327523,4.421169996261597
48,0.09883655264248405,1714842985.5547922,0.07979189561556482,81,8.408530235290527,0.009657227734347662,0.08917932490813639,4.668212175369263
49,0.08432559582229515,1714842985.8330414,0.05959956035917759,89,8.686779499053955,0.007668594489741866,0.07665700133255329,4.947111368179321
50,0.07441222589432456,1714842986.179749,0.05750182089050775,98,9.03348708152771,0.006307145119980071,0.06810508077434449,5.293777942657471
51,0.05804358957218495,1714842986.5124974,0.0591154618516027,107,9.366235494613647,0.006150088815382948,0.051893500756802005,5.626755475997925
52,0.05218886721549837,1714842986.9124892,0.046600099521135564,118,9.76622724533081,0.004869987954603328,0.04731887926089504,6.026762008666992
53,0.04705706602356077,1714842987.377669,0.052196515439106875,130,10.231407165527344,0.0040244826611802904,0.043032583362380486,6.492129325866699
54,0.03814818248383285,1714842987.8778918,0.04856112523595623,143,10.731629848480225,0.0032077328397355736,0.03494044964409728,6.992152452468872
55,0.029882065262434893,1714842988.3793836,0.03144174008638898,157,11.233121633529663,0.0019333594261232159,0.027948705836311677,7.493796110153198
56,0.027488312304633333,1714842988.8956673,0.028843859929814798,172,11.74940538406372,0.0017319548188974888,0.025756357485735844,8.00935173034668
57,0.02465633504957358,1714842989.4217606,0.028176939320293817,190,12.275498628616333,0.0011084216226758298,0.02354791342689775,8.535402536392212
58,0.022097059367999463,1714842989.9487872,0.020838133571527993,208,12.802525281906128,0.0008403111196739601,0.0212567482483255,9.063069581985474
59,0.01839482558093134,1714842990.7404387,0.022645494247031547,229,13.594176769256592,0.0005817385555092601,0.017813087025422083,9.853955268859863
60,0.01645574708302346,1714842991.4664195,0.018461573085300963,252,14.320157527923584,0.0005742767167735227,0.01588147036624994,10.579653024673462
61,0.01327035060068762,1714842992.3677967,0.018931638043078694,277,15.221534729003906,0.0005622739868607398,0.01270807661382688,11.481439113616943
62,0.01153100187967622,1714842993.4695024,0.017808349624487265,305,16.323240518569946,0.0004992480478246649,0.011031753831851555,12.583271741867065
63,0.010043887435146798,1714842994.6121807,0.015939688414528773,335,17.46591877937317,0.0004980228210841822,0.009545864614062616,13.72619104385376
64,0.007961171394787483,1714842995.656832,0.01804742582270689,369,18.51057004928589,0.0004797625118271595,0.007481408882960324,14.770884275436401
65,0.006912388920590825,1714842996.7826495,0.018899470055091776,406,19.636387586593628,0.0004933874826114731,0.006419001437979352,15.896831035614014
66,0.005075126874270365,1714842998.0873234,0.0163733531469734,446,20.94106149673462,0.000378721803692552,0.004696405070577813,17.201529026031494
67,0.004331021242446492,1714843000.0023096,0.016188242945665576,491,22.85604763031006,0.00035604381063267297,0.003974977431813818,19.11635661125183
68,0.0027868650614858367,1714843002.035663,0.012208988462252808,540,24.889400959014893,0.00023282299247716823,0.0025540420690086684,21.149428129196167
69,0.002192322128898933,1714843003.6846955,0.01250874881111958,594,26.53843355178833,0.0002058245387621143,0.001986497590136819,22.79883313179016
70,0.0016274575366342482,1714843005.6175613,0.010882183515383132,653,28.471299409866333,0.00016579221544295826,0.00146166532119129,24.731440544128418
71,0.0010821512239064357,1714843007.3835,0.00899131577892888,718,30.23723816871643,0.0001193308443090755,0.0009628203795973602,26.49761962890625
72,0.00065218394771482,1714843009.2096963,0.007787354579995134,790,32.0634343624115,8.723374338208423e-05,0.0005649502043327358,28.32100009918213
73,0.0004334250818839403,1714843011.2154872,0.007174482638707356,869,34.0692253112793,7.179974304715169e-05,0.0003616253388367886,30.329402685165405
74,0.0002770660796119437,1714843013.6960957,0.005898959754443074,956,36.54983377456665,5.8290538956010164e-05,0.00021877554065593353,32.80984163284302
75,0.0001859073356262756,1714843016.692602,0.005537687510844778,1052,39.546339988708496,4.831589245422072e-05,0.00013759144317205489,35.80628800392151
76,0.00012799263795994974,1714843019.93925,0.005211908897070869,1157,42.79298806190491,4.106640336703445e-05,8.692623459291528e-05,39.05005478858948
77,8.956734521893892e-05,1714843023.7885158,0.004763344063784539,1272,46.64225387573242,3.5323840728865846e-05,5.4243504490073064e-05,42.90223264694214
78,6.46553710166276e-05,1714843028.0215344,0.004454547983007802,1400,50.87527251243591,3.108113993749115e-05,3.3574231079136444e-05,47.135361671447754
79,4.713940221444191e-05,1714843032.4175146,0.004153053375724981,1539,55.27125263214111,2.709832551558931e-05,2.0041076698852598e-05,51.53117752075195
80,3.649113025418353e-05,1714843036.897588,0.0038722369542460184,1693,59.75132608413696,2.340338276082128e-05,1.3087747493362252e-05,56.01127529144287
81,2.6913448113307435e-05,1714843041.8353534,0.003479681921828042,1863,64.6890914440155,1.8985603054802484e-05,7.92784505850495e-06,60.948482036590576
82,2.1250796038432577e-05,1714843047.227917,0.0031596146536286072,2049,70.08165502548218,1.542687311199497e-05,5.8239229264376075e-06,66.34129118919373
83,1.6931307486161303e-05,1714843053.2574213,0.002771227450777162,2254,76.111159324646,1.1913418536706587e-05,5.0178889494547156e-06,72.37121987342834
84,1.2725988156885186e-05,1714843059.822529,0.002318668673263618,2479,82.67626714706421,8.080321742669281e-06,4.645666414215904e-06,78.93626499176025
85,1.0033525490910594e-05,1714843067.6044564,0.0019543482796060374,2727,90.45819449424744,5.851642339796683e-06,4.181883151113911e-06,86.71790337562561
86,8.247898007707772e-06,1714843075.5227728,0.0017048088289079155,3000,98.37651085853577,4.585429185156941e-06,3.662468822550831e-06,94.63597130775452
87,7.427928082205003e-06,1714843084.1690185,0.0015908584764072957,3299,107.02275657653809,4.100097048197899e-06,3.3278310340071035e-06,103.28273105621338
88,6.795743474114559e-06,1714843093.8944554,0.0015133089358047836,3629,116.74819350242615,3.6993987517384606e-06,3.0963447223760976e-06,113.00772190093994
89,6.285936972652798e-06,1714843105.9353983,0.0014212518677551714,3992,128.78913640975952,3.4028217608521833e-06,2.883115211800615e-06,125.04895257949829
90,5.770457173814962e-06,1714843117.8166106,0.001353462785794113,4391,140.6703486442566,3.1193513422359826e-06,2.6511058315789796e-06,136.9304175376892
91,5.226138907753384e-06,1714843130.7076762,0.0012754405598409257,4831,153.56141424179077,2.7887743718873163e-06,2.4373645358660674e-06,149.82180881500244
92,4.521273958325906e-06,1714843145.053591,0.0011495251719184107,5314,167.907329082489,2.260405610115859e-06,2.260868348210047e-06,164.16681504249573
93,3.996884028152623e-06,1714843161.046871,0.0010672798272210226,5845,183.90060901641846,1.8477192427299154e-06,2.149164785422708e-06,180.16025161743164
94,3.5451073617962924e-06,1714843178.8899,0.000971651876695759,6429,201.74363803863525,1.5099188784126012e-06,2.035188483383691e-06,198.00367736816406
95,2.8832166425791963e-06,1714843197.8082979,0.0007713021951283984,7072,220.66203594207764,9.777905412114765e-07,1.9054261013677198e-06,216.92215394973755
96,2.5057928336040268e-06,1714843219.5176337,0.0006544080674378917,7779,242.37137174606323,7.100400819615963e-07,1.7957527516424305e-06,238.63072991371155
97,2.268138104379309e-06,1714843242.9842598,0.0005487666839357151,8557,265.8379979133606,5.340512338893274e-07,1.7340868704899817e-06,262.09797716140747
98,1.940373139866317e-06,1714843272.6175964,0.00040581579834930026,9413,295.47133445739746,3.2099928827127214e-07,1.619373851595045e-06,291.7307140827179
99,1.6672547004831725e-06,1714843308.5654051,0.0002890523510839953,10354,331.41914319992065,1.5692226820088485e-07,1.5103324322822876e-06,327.67031264305115
100,1.478235781249227e-06,1714843345.4503536,0.00020573635065395694,11389,368.3040916919708,8.449178668742902e-08,1.3937439945617978e-06,364.5641043186188
101,1.294409558827712e-06,1714843387.3249705,0.00019262300981806845,12528,410.1787085533142,6.788289948639425e-08,1.2265266593413177e-06,406.43844628334045
102,1.2485233755675584e-06,1714843424.9419324,0.00020752285369798093,13781,447.7956705093384,7.388430964601216e-08,1.1746390659215463e-06,444.0560736656189
103,1.1956783921555682e-06,1714843465.5447078,0.00023182533161374404,15159,488.39844584465027,8.738374322406282e-08,1.1082946489315053e-06,484.6563820838928
104,1.1485574119572505e-06,1714843510.1552095,0.00025570415357805727,16675,533.0089476108551,1.1329798971811421e-07,1.0352594222391363e-06,529.2690889835358
105,1.1340346465219919e-06,1714843559.8715022,0.00027357527480400206,18342,582.7252402305603,1.2475817351325938e-07,1.0092764730087324e-06,578.9853482246399
106,1.1169136863675688e-06,1714843614.69794,0.00030570578627059554,20177,637.5516781806946,1.456048211799277e-07,9.71308865187641e-07,633.8117709159851
107,1.1018515909754854e-06,1714843672.823908,0.00030502465681343414,22194,695.6776461601257,1.5377459478782383e-07,9.480769961876617e-07,691.9377646446228
108,1.092983825117567e-06,1714843742.2799525,0.0002922832874164261,24414,765.1336905956268,1.5317904620854812e-07,9.398047789090188e-07,761.3935234546661
109,1.0706732633763398e-06,1714843832.549731,0.0002724006009454277,26855,855.4034690856934,1.3643974080047356e-07,9.342335225758663e-07,851.6611742973328
110,1.0309240866089846e-06,1714843938.1264472,0.00025549750287467965,29540,960.9801852703094,1.264300631447829e-07,9.044940234642016e-07,957.2395803928375
111,1.0267142201351727e-06,1714843980.8962786,0.00025350312406809697,30606,1003.7500166893005,1.2664930057498014e-07,9.000649195601924e-07,1000.0102334022522
