step,time,_step,_runtime,_timestamp,loss_boundary,loss_interior,loss
0,1.0540616512298584,0,4.584344863891602,1710883982.649293,0.013371693364886023,48.310213036154124,48.32358472951901
1,1.175727367401123,1,4.705909967422485,1710883982.770858,2.431109291973712,25.746511799122455,28.177621091096167
2,1.2984516620635986,2,4.828612804412842,1710883982.893561,1.1281365996614163,13.733311133007204,14.861447732668621
3,1.4201860427856445,3,4.950341463088989,1710883983.0152895,0.8726058125051241,5.669934312287482,6.542540124792605
4,1.5409133434295654,4,5.0710718631744385,1710883983.13602,0.42796043271097933,4.293005511077658,4.720965943788638
5,1.6615405082702637,5,5.1917195320129395,1710883983.2566676,0.30211500296308985,3.544564660120967,3.846679663084057
6,1.78287935256958,6,5.313088893890381,1710883983.378037,0.30701069226577343,3.1489182482053266,3.4559289404711
7,1.9045755863189697,7,5.4347498416900635,1710883983.499698,0.24726950209243673,2.9340459814118014,3.181315483504238
8,2.0253827571868896,8,5.555537223815918,1710883983.6204853,0.2519805278355686,2.7148855727991275,2.966866100634696
9,2.151249408721924,9,5.681471347808838,1710883983.7464194,0.2069392045438439,2.62065792290162,2.827597127445464
10,2.2717268466949463,10,5.8018927574157715,1710883983.8668408,0.2021665389134911,2.375189584326754,2.577356123240245
11,2.3933260440826416,11,5.923477649688721,1710883983.9884257,0.15130851012593277,2.264036730194492,2.4153452403204247
12,2.5147881507873535,12,6.046386241912842,1710883984.1113343,0.15346092615783538,2.0499098595864975,2.2033707857443328
13,2.637491464614868,13,6.167637348175049,1710883984.2325854,0.09090910182819513,1.9096650607441563,2.0005741625723514
14,2.757875680923462,14,6.288031101226807,1710883984.3529792,0.08346408430690587,1.726879080182781,1.8103431644896868
15,2.8787970542907715,15,6.409078598022461,1710883984.4740267,0.0548173506874641,1.6537015114218578,1.708518862109322
16,2.999480962753296,16,6.529631853103638,1710883984.59458,0.06012527111832721,1.1872259958202935,1.2473512669386206
17,3.1220927238464355,17,6.65224289894104,1710883984.717191,0.011520684074396992,1.0607305546982477,1.0722512387726448
18,3.2420434951782227,18,6.772211313247681,1710883984.8371594,0.01839002377638653,0.9699627774241688,0.9883528012005554
19,3.3625316619873047,19,6.892688989639282,1710883984.957637,0.00815005491048062,0.8785933405300836,0.8867433954405642
21,3.603950262069702,20,7.134131908416748,1710883985.19908,0.013506719983703574,0.7585872057734785,0.772093925757182
22,3.724684238433838,21,7.254847049713135,1710883985.3197951,0.012911835674861266,0.7337149140968463,0.7466267497717076
23,3.8445885181427,22,7.374748468399048,1710883985.4396966,0.017870469288463135,0.6873747020208045,0.7052451713092677
25,4.0853729248046875,23,7.615522146224976,1710883985.6804702,0.04745892587935181,0.5924307754912931,0.6398897013706449
27,4.329761028289795,24,7.859919786453247,1710883985.9248679,0.03290105713201295,0.49675561406850666,0.5296566712005196
28,4.450783014297485,25,7.980950355529785,1710883986.0458984,0.03201934447262216,0.48637385988470183,0.518393204357324
30,4.6904137134552,26,8.220587253570557,1710883986.2855353,0.03265119570299434,0.4654828086474513,0.49813400435044564
32,4.929708242416382,27,8.459863185882568,1710883986.5248113,0.03362542065205256,0.442605444934698,0.47623086558675054
34,5.168383598327637,28,8.698533058166504,1710883986.7634811,0.03444527485892227,0.4241216261888145,0.4585669010477368
36,5.407146692276001,29,8.937308073043823,1710883987.0022562,0.03492230730547825,0.4058726970270001,0.4407950043324783
39,5.772064447402954,30,9.30222773551941,1710883987.3671758,0.03551933133633443,0.37619038598200694,0.4117097173183414
41,6.013737201690674,31,9.543901920318604,1710883987.60885,0.03598210618452623,0.3632880086469785,0.39927011483150476
44,6.377043962478638,32,9.907213687896729,1710883987.9721618,0.038138937954305355,0.27169752835299626,0.3098364663073016
47,6.739837169647217,33,10.270010709762573,1710883988.3349588,0.03373167533823345,0.25128816383103914,0.2850198391692726
50,7.1016411781311035,34,10.631800174713135,1710883988.6967483,0.03491508660014297,0.2259078598947052,0.26082294649484816
53,7.468083143234253,35,10.998244285583496,1710883989.0631924,0.03492570357381345,0.20207059437231686,0.2369962979461303
57,7.948011875152588,36,11.478171348571777,1710883989.5431194,0.030373142841219832,0.18827386939005944,0.21864701223127928
60,8.309831142425537,37,11.839992761611938,1710883989.9049408,0.029861258201600533,0.1819525315486606,0.21181378975026113
64,8.791612386703491,38,12.321770668029785,1710883990.3867188,0.029092009834201838,0.1738575394376741,0.20294954927187595
68,9.270815372467041,39,12.800984382629395,1710883990.8659325,0.028410885215435017,0.16655026312414428,0.1949611483395793
73,9.877519607543945,40,13.407698631286621,1710883991.4726467,0.027288167298890994,0.15641971770385243,0.18370788500274343
77,10.358362674713135,41,13.888544797897339,1710883991.9534929,0.02640424934739472,0.14683231435309402,0.17323656370048873
82,10.958151578903198,42,14.488323450088501,1710883992.5532715,0.02490108204716592,0.12806054903908295,0.15296163108624888
88,11.678710222244263,43,15.208909034729004,1710883993.273857,0.02389698235589399,0.11716492429835217,0.14106190665424614
93,12.290132522583008,44,15.820312976837158,1710883993.885261,0.022122788673512174,0.10113166934365964,0.1232544580171718
99,13.023487567901611,45,16.553661584854126,1710883994.6186097,0.020108945691225726,0.0872913616474866,0.10740030733871234
106,13.867974281311035,46,17.398113012313843,1710883995.463061,0.01583388074219434,0.05417616980617234,0.07001005054836668
113,14.73499059677124,47,18.265151023864746,1710883996.330099,0.015011371463697118,0.04887470923963461,0.06388608070333174
120,15.601426362991333,48,19.131587982177734,1710883997.196536,0.014031988804676024,0.044373701676799444,0.05840569048147547
