loss_boundary,step,time,_runtime,_timestamp,loss,_step,l2_error,loss_interior
0.012968360244833192,0,0.907684326171875,4.9017298221588135,1712771814.8316019,48.68664260128643,0,0.34078674711152734,48.673674241041596
0.03383978342442179,1,0.9136745929718018,4.90715479850769,1712771814.8370268,48.21546637232325,1,0.30717652661194705,48.18162658889883
0.06371190794639106,2,0.9180049896240234,4.911449909210205,1712771814.841322,47.754707415717235,2,0.3040299481940043,47.69099550777084
0.10171136534407639,3,0.9223592281341553,4.915792465209961,1712771814.8456645,47.302935589235354,3,0.32945147433438576,47.20122422389128
0.14726939802636616,4,0.9267153739929199,4.920194149017334,1712771814.8500662,46.85910358172089,4,0.37569502593847365,46.71183418369452
0.19963432211275614,5,0.9310975074768066,4.924662828445435,1712771814.8545349,46.42245443696565,5,0.4342100234278507,46.222820114852894
0.2578003062547031,6,0.9350314140319824,4.928486347198486,1712771814.8583584,45.99214512320142,6,0.4988259407722844,45.73434481694672
0.32071140409436305,7,0.938715934753418,4.932126998901367,1712771814.861999,45.567203079254384,7,0.5658918609805098,45.24649167516002
0.38747246368165306,8,0.9423468112945557,4.9357688426971436,1712771814.8656409,45.14663002631235,8,0.6334575185333102,44.7591575626307
0.45742464445354947,9,0.9460184574127197,4.939430236816406,1712771814.8693023,44.72949917471948,9,0.700535432112225,44.27207453026593
0.5301025877186228,10,0.9496617317199707,4.943075180053711,1712771814.8729472,44.31498991366218,10,0.7666207225916122,43.78488732594356
0.6051418933852494,11,0.9532561302185059,4.946667671203613,1712771814.8765397,43.902365788191155,11,0.8314295950964825,43.2972238948059
0.6822049296129139,12,0.9568586349487305,4.950269937515259,1712771814.880142,43.4909373205218,12,0.8947790068009108,42.80873239090889
0.76094772040674,13,0.9604337215423584,4.953843593597412,1712771814.8837156,43.08003751343606,13,0.9565330897172111,42.31908979302932
0.8410085872722454,14,0.9640114307403564,4.957425832748413,1712771814.8872979,42.669004362034805,14,1.0165790014759972,41.82799577476256
1.0035432989519055,16,0.970522403717041,4.9650866985321045,1712771814.8949587,41.84386314050097,15,1.1311631083839204,40.84031984154907
1.0852171125140968,17,0.9752209186553955,4.9686479568481445,1712771814.89852,41.42841294399107,16,1.1855423526401876,40.343195831476976
1.1666294261582548,18,0.9787917137145996,4.972198724746704,1712771814.9020708,41.01016595977845,17,1.2378998011769795,39.843536533620195
1.3271681573925287,20,0.9850218296051025,4.978432893753052,1712771814.908305,40.162820259614854,18,1.3364072508363807,38.835652102222326
1.4056066673720078,21,0.9885509014129639,4.981967926025391,1712771814.91184,39.732594547259446,19,1.382520286409731,38.32698787988744
1.5573062408968767,23,0.9948904514312744,4.988301992416382,1712771814.918174,38.85658208495422,20,1.4684527807428969,37.29927584405734
1.6300443969221636,24,0.9984140396118164,4.991826772689819,1712771814.9216988,38.40997219792986,21,1.5082943845706824,36.779927801007695
1.768207086322258,26,1.0046560764312744,4.998067140579224,1712771814.9279392,37.49792332755828,22,1.5818428345571363,35.72971624123603
1.8955014611769867,28,1.0109906196594238,5.004415512084961,1712771814.9342875,36.55932823204928,23,1.6474342201723118,34.6638267708723
2.0639767291829205,31,1.0199482440948486,5.013367652893066,1712771814.9432397,35.10002068287143,24,1.7315636321912138,33.03604395368851
2.160346578512673,33,1.0262765884399414,5.019675016403198,1712771814.949547,34.09322947011356,25,1.7785564721355185,31.93288289160089
2.243384025133297,35,1.0324687957763672,5.025887727737427,1712771814.9557598,33.06057327283161,26,1.8185627328556206,30.817189247698316
2.3423299423820567,38,1.0413718223571777,5.034808397293091,1712771814.9646804,31.46723559980402,27,1.8660409926883275,29.124905657421962
2.4105188567722706,41,1.0505900382995605,5.044087886810303,1712771814.97396,29.82863542189034,28,1.8993236092602237,27.41811656511807
2.4484512759774777,44,1.0602281093597412,5.0537190437316895,1712771814.983591,28.15650040604008,29,1.9191717459681534,25.7080491300626
2.4523128634498326,48,1.072477102279663,5.065970420837402,1712771814.9958425,25.900782776247148,30,1.9250340515133075,23.448469912797314
2.4190333772533137,51,1.081979513168335,5.075456857681274,1712771815.005329,24.2130803847167,31,1.9130378355360083,21.794047007463387
2.32223163978506,55,1.0942597389221191,5.087743282318115,1712771815.0176153,22.008245254624434,32,1.8719104829797724,19.686013614839375
2.1602395273440385,59,1.1061980724334717,5.099642515182495,1712771815.0295146,19.902868823050422,33,1.797138654701376,17.742629295706383
1.8667374569651145,64,1.1206676959991455,5.114113092422485,1712771815.0439851,17.483770515024005,34,1.6504332632320542,15.61703305805889
1.4979998764223028,69,1.1352672576904297,5.133844614028931,1712771815.0637167,15.370011024583654,35,1.4465647976715816,13.872011148161352
1.1091443816316369,74,1.1549677848815918,5.148391962051392,1712771815.078264,13.608025253547039,36,1.2014339958014737,12.498880871915402
0.7040880107201545,80,1.172478199005127,5.165922164916992,1712771815.0957942,11.974059684556773,37,0.8949566323177036,11.269971673836618
0.43175319958064723,86,1.1899473667144775,5.183393955230713,1712771815.113266,10.821037650097832,38,0.6420916836719143,10.389284450517184
0.28641426655961233,93,1.2100505828857422,5.203524589538574,1712771815.1333966,9.94193939830657,39,0.5126110671941712,9.655525131746957
0.2560952783022639,100,1.230623483657837,5.224109888076782,1712771815.153982,9.357565178986988,40,0.5413153498613199,9.101469900684725
0.2539512362567907,107,1.2514092922210693,5.244945526123047,1712771815.1748176,8.881042954639252,41,0.5865619915321791,8.627091718382461
0.23136827011993513,115,1.2748844623565674,5.268431901931763,1712771815.198304,8.342762934407988,42,0.584938873475209,8.111394664288053
