loss,time,_step,l2_error,_runtime,_timestamp,step,loss_boundary,loss_interior
48.68664260128643,1.2797391414642334,0,0.3023303594367975,6.262914657592773,1712771643.1888137,0,0.012968360244833192,48.673674241041596
47.427100859541845,1.284867525100708,1,0.5882136645755016,6.26744270324707,1712771643.1933417,1,0.08703338254699919,47.34006747699485
45.249282850240185,1.2886605262756348,2,1.2241110838801166,6.271200656890869,1712771643.1970997,2,0.41143937744052755,44.837843472799655
42.63446155003356,1.2924368381500244,3,2.003986378125262,6.275084018707275,1712771643.200983,3,1.239647262690039,41.39481428734352
39.96909905538178,1.296433448791504,4,2.8294457302316043,6.279192209243774,1712771643.2050912,4,2.764373238056088,37.204725817325695
37.39978697854781,1.3017125129699707,5,3.609093816058621,6.284343242645264,1712771643.2102423,5,4.9945637141699875,32.405223264377824
34.8264409507817,1.306075096130371,6,4.238273664543882,6.288650274276733,1712771643.2145493,6,7.662781767248611,27.163659183533092
32.00212790763789,1.3106067180633545,7,4.593094359256378,6.293267488479614,1712771643.2191665,7,10.17186759209803,21.830260315539864
28.666519708492153,1.314995288848877,8,4.53765864131494,6.297668218612671,1712771643.2235672,8,11.64246031090566,17.02405939758649
24.65014283515275,1.3199501037597656,9,3.9486934948969394,6.302613973617554,1712771643.228513,9,11.1827026232076,13.467440211945148
19.97124674333729,1.3241186141967773,10,2.7626907710121618,6.30678653717041,1712771643.2326856,10,8.445987690595395,11.525259052741895
15.01496016617093,1.3283355236053467,11,1.1521187708736493,6.311002969741821,1712771643.236902,11,4.299762280562186,10.715197885608744
10.895016023619162,1.3326199054718018,12,1.6705900070391566,6.315293073654175,1712771643.241192,12,1.0932882776500714,9.80172774596909
9.909836709384619,1.3369016647338867,13,3.7833143040106076,6.31953763961792,1712771643.2454367,13,1.7804584284844418,8.129378280900177
14.325502062685393,1.3411576747894287,14,5.288761967964939,6.3238365650177,1712771643.2497356,14,7.375483964855706,6.9500180978296875
22.7704893694496,1.3485209941864014,15,5.449640434623493,6.332595348358154,1712771643.2584944,16,16.78604805103389,5.984441318415708
26.662814597587484,1.3537242412567139,16,5.381223604560216,6.336270809173584,1712771643.2621698,17,16.014789325923903,10.648025271663581
22.39070357937981,1.357649564743042,17,4.339103030370204,6.340166807174683,1712771643.2660658,18,15.33231483615956,7.058388743220252
22.500572485854388,1.3637135028839111,18,2.1746624842217623,6.346264600753784,1712771643.2721636,20,3.0141529917635266,19.48641949409086
33.14888095276752,1.3674039840698242,19,1.4964127930864142,6.349940776824951,1712771643.2758398,21,2.2821893902829165,30.866691562484604
13.05893381509467,1.3733716011047363,20,2.4834081975174476,6.355909109115601,1712771643.2818081,23,1.6425934687201396,11.41634034637453
17.109894981870468,1.3769962787628174,21,3.8878798216352144,6.359522819519043,1712771643.2854218,24,3.351818766897207,13.75807621497326
14.438682835385695,1.3831872940063477,22,2.790513754154829,6.365694761276245,1712771643.2915938,26,7.798766499475962,6.639916335909733
10.87982850057612,1.3892247676849365,23,1.3471285126321113,6.371748924255371,1712771643.297648,28,1.8752726846585857,9.004555815917534
4.561970987828991,1.3978796005249023,24,1.1741340950396664,6.380439519882202,1712771643.3063385,31,1.4962947761155891,3.0656762117134018
7.275796945944791,1.4064829349517822,25,2.296469281158779,6.389016628265381,1712771643.3149157,33,2.420469418498131,4.85532752744666
10.787918212918626,1.414336919784546,26,2.5675628007619444,6.396937370300293,1712771643.3228364,35,4.115362872924682,6.672555339993944
10.709220169547429,1.4253113269805908,27,2.3540746104899966,6.407848834991455,1712771643.3337479,38,4.928190087472595,5.781030082074833
6.352203209885973,1.4343137741088867,28,0.6706967722921778,6.41684889793396,1712771643.342748,41,0.495372993418007,5.856830216467966
6.47872014291752,1.442887544631958,29,1.1243573065187091,6.425430536270142,1712771643.3513296,44,0.45138655908303266,6.027333583834487
6.246366743904357,1.453864336013794,30,0.29205246588511424,6.436391115188599,1712771643.3622901,48,0.2278101105772522,6.018556633327105
36.12040654505336,1.465951919555664,31,1.737496201061858,6.448504209518433,1712771643.3744032,51,0.13726802276008504,35.98313852229328
21.585511638611447,1.4811792373657227,32,0.7873183319113601,6.463700532913208,1712771643.3895996,55,0.5775542747010729,21.007957363910375
14.21666276949651,1.4943149089813232,33,1.2037697856453775,6.4768898487091064,1712771643.4027889,59,1.120005946285565,13.096656823210946
6.515682758652783,1.5079913139343262,34,0.5064169441873991,6.490531921386719,1712771643.416431,64,0.6345508804743841,5.881131878178399
10.14641199101675,1.5217978954315186,35,0.43939268386675945,6.504350900650024,1712771643.43025,69,0.12408169305429828,10.022330297962451
7.102161858835535,1.5353424549102783,36,1.33566576805445,6.517904043197632,1712771643.443803,74,0.9342152844237797,6.167946574411755
4.450105888403525,1.5516440868377686,37,1.5555089936900806,6.534198522567749,1712771643.4600976,80,1.0127776344433197,3.4373282539602052
6.990464574007541,1.5677204132080078,38,2.2470928783228583,6.550259113311768,1712771643.4761581,86,2.1525994253445906,4.83786514866295
3.63764729903403,1.5864367485046387,39,0.928964101114664,6.568969011306763,1712771643.494868,93,1.6191820212750505,2.0184652777589793
2.530491443775575,1.6099882125854492,40,0.4021983969693962,6.592590570449829,1712771643.5184896,100,0.02744410428258579,2.5030473394929893
3.916166461100859,1.6290972232818604,41,0.9224871605552771,6.6116414070129395,1712771643.5375404,107,0.15434597024071645,3.7618204908601425
3.5637108760557714,1.6505801677703857,42,1.1144308487927925,6.63311505317688,1712771643.559014,115,1.2892340831942237,2.274476792861548
