_runtime,_timestamp,loss_boundary,loss_interior,loss,step,time,_step
4.284009218215942,1710807635.7516541,0.013371693364886023,48.310213036154124,48.32358472951901,0,0.8559226989746094,0
4.288006067276001,1710807635.755651,0.0017638885240321741,47.695471366766306,47.69723525529034,1,0.86006760597229,1
4.291676044464111,1710807635.759321,0.02260991829392954,46.56342647817176,46.586036396465694,2,0.8638477325439453,2
4.294532775878906,1710807635.7621777,0.13943406084254414,45.02348144037489,45.162915501217434,3,0.8667056560516357,3
4.297339677810669,1710807635.7649846,0.41173665987551034,43.179613502016494,43.591350161892,4,0.8695187568664551,4
4.300187110900879,1710807635.767832,0.8774111732421237,41.11851984084735,41.99593101408947,5,0.87237548828125,5
4.303416013717651,1710807635.771061,1.5430550950761244,38.90520879698421,40.44826389206034,6,0.8755929470062256,6
4.306177139282227,1710807635.773822,2.3816207627669503,36.58493693150346,38.966557694270406,7,0.8783793449401855,7
4.309202432632446,1710807635.7768474,3.335689236375085,34.18891418797421,37.524603424349294,8,0.8813977241516113,8
4.312094449996948,1710807635.7797394,4.324658180408146,31.7411644997999,36.06582268020804,9,0.8842902183532715,9
4.314995765686035,1710807635.7826407,5.25459611032116,29.264674145374595,34.51927025569576,10,0.8871831893920898,10
4.31782603263855,1710807635.785471,6.0298125260575945,26.78584439974414,32.81565692580173,11,0.8899998664855957,11
4.320642709732056,1710807635.7882876,6.565110383952516,24.336939067119463,30.902049451071978,12,0.8928167819976807,12
4.323410987854004,1710807635.791056,6.797378610502714,21.956605631510005,28.75398424201272,13,0.8955905437469482,13
4.326204061508179,1710807635.793849,6.694957742932569,19.688726763860437,26.383684506793006,14,0.8983726501464844,14
4.328955411911011,1710807635.7966003,6.263306462861816,17.579938202927362,23.84324466578918,15,0.9011354446411133,15
4.331702470779419,1710807635.7993474,5.545944060634191,15.676188794091706,21.2221328547259,16,0.9038829803466797,16
4.334490537643433,1710807635.8021355,4.620296710148127,14.018674619343383,18.63897132949151,17,0.9066693782806396,17
4.337170124053955,1710807635.804815,3.588743374821629,12.639254001631505,16.227997376453132,18,0.9093499183654785,18
4.339864253997803,1710807635.8075092,2.5657561894415273,11.555118134356713,14.12087432379824,19,0.9120450019836426,19
4.345041513442993,1710807635.8126864,0.9718578595654324,10.231081751422943,11.202939610988375,21,0.917201042175293,20
4.347776412963867,1710807635.8154213,0.5540080595320596,9.901102083553212,10.455110143085271,22,0.9199542999267578,21
4.350506067276001,1710807635.818151,0.42936044988244043,9.690783778499588,10.120144228382028,23,0.9226770401000977,22
4.35567831993103,1710807635.8233232,0.9361226765729469,9.301655735873448,10.237778412446394,25,0.9278221130371094,23
4.360865116119385,1710807635.82851,1.938586439184371,8.673841086314878,10.61242752549925,27,0.9330334663391113,24
4.363916397094727,1710807635.8315613,2.384744218908032,8.275588768544276,10.660332987452309,28,0.9360873699188232,25
4.369266986846924,1710807635.836912,2.784057292789652,7.381971534587365,10.166028827377016,30,0.9414377212524414,26
4.374639272689819,1710807635.8422842,2.413038091237444,6.423728345523341,8.836766436760785,32,0.9467830657958984,27
4.380918741226196,1710807635.8485637,1.6204688544204378,5.609771976769177,7.230240831189615,34,0.9530494213104248,28
4.386362552642822,1710807635.8540075,0.9165241257863779,5.162583103835453,6.0791072296218305,36,0.9585237503051758,29
4.394001483917236,1710807635.8616464,0.4435777870965454,4.880427629827698,5.324005416924243,39,0.9661538600921631,30
4.40700626373291,1710807635.8746512,0.3552428768639671,4.518926341255751,4.874169218119718,41,0.9791600704193115,31
4.414561986923218,1710807635.882207,0.25291397246154085,3.602597450175703,3.8555114226372442,44,0.9867491722106934,32
4.422142744064331,1710807635.8897877,0.12495842499049203,2.5718300124031375,2.6967884373936295,47,0.9943149089813232,33
4.429603338241577,1710807635.8972483,0.06452372193601912,2.0860167215740986,2.150540443510118,50,1.0017733573913574,34
4.4371161460876465,1710807635.904761,0.09961544927385477,1.8960857377406661,1.995701187014521,53,1.009268045425415,35
4.446975231170654,1710807635.9146202,0.10358671139813588,1.6206039488268011,1.724190660224937,57,1.0191378593444824,36
4.454455614089966,1710807635.9221005,0.06952087230061497,1.42677108256408,1.496291954864695,60,1.0266180038452148,37
4.464483022689819,1710807635.932128,0.04423149703474889,1.2849958805691282,1.329227377603877,64,1.0365855693817139,38
4.4743757247924805,1710807635.9420207,0.04445821510136832,1.1470896120289924,1.1915478271303608,68,1.046539068222046,39
4.486640453338623,1710807635.9542854,0.05773427393489031,0.9781582287279755,1.0358925026628658,73,1.0587949752807617,40
4.497095823287964,1710807635.9647408,0.06183104696096801,0.8323364396576542,0.8941674866186222,77,1.0692157745361328,41
4.509870290756226,1710807635.9775152,0.06118359835367854,0.7455949293821047,0.8067785277357833,82,1.0820019245147705,42
4.524962902069092,1710807635.9926078,0.06547072691417008,0.673181647605805,0.7386523745199751,88,1.097109079360962,43
4.5378007888793945,1710807636.0054457,0.06402437071596659,0.639671566416493,0.7036959371324596,93,1.1099302768707275,44
4.552775859832764,1710807636.0204208,0.0591932312148271,0.6143625237571778,0.6735557549720049,99,1.1249032020568848,45
4.570127725601196,1710807636.0377727,0.0529329490468422,0.5898046472772314,0.6427375963240736,106,1.1422688961029053,46
4.587627410888672,1710807636.0552723,0.05004188786430885,0.5645602834327105,0.6146021712970193,113,1.1597468852996826,47
4.605022430419922,1710807636.0726674,0.045665003955930206,0.5426571406121512,0.5883221445680814,120,1.1771180629730225,48
4.625022888183594,1710807636.0926678,0.04221783884777513,0.5206424294637021,0.5628602683114772,128,1.197070837020874,49
