l2_error,_step,_runtime,_timestamp,loss_boundary,loss_interior,time,step,loss
0.283008672840448,0,5.8837316036224365,1714357925.4073815,0.012968366003896538,48.67366922335172,1.5469238758087158,0,48.68663758935562
0.34713254264593013,1,6.019726514816284,1714357925.5433764,0.07682839051643686,42.595449069295924,1.938019037246704,1,42.67227745981236
0.3252118766389595,2,6.125104188919067,1714357925.6487541,0.16218698865661413,33.16979513446429,2.046900987625122,2,33.3319821231209
0.24507839473879267,3,6.231741905212402,1714357925.7553918,0.1385168747234473,26.03512535931169,2.153634786605835,3,26.173642234035135
0.22568098928516653,4,6.341962099075317,1714357925.865612,0.07486103742229527,15.616255281863436,2.257267951965332,4,15.691116319285731
0.2246252414697792,5,6.397416353225708,1714357925.9210663,0.06011505474505358,12.208056938521342,2.3189613819122314,5,12.268171993266396
0.2411273333831951,6,6.451076507568359,1714357925.9747264,0.05955532093979368,9.542659426565216,2.3728816509246826,6,9.602214747505009
0.23501722003386435,7,6.529837131500244,1714357926.053487,0.05048826393589361,6.964721652318484,2.4515199661254883,7,7.015209916254377
0.19658234084087473,8,6.5834059715271,1714357926.107056,0.04290504642217628,5.782061236850862,2.505192279815674,8,5.824966283273039
0.17973308905089802,9,6.676388263702393,1714357926.2000382,0.03180077697398831,4.363364534569575,2.587183952331543,9,4.395165311543563
0.189022656201291,10,6.779795408248901,1714357926.3034453,0.03903197647544442,3.2357719472474002,2.7016286849975586,10,3.274803923722845
0.339827166560338,11,6.87968111038208,1714357926.403331,0.04315413364055642,2.880461301931413,2.801577568054199,11,2.9236154355719695
0.537791160846875,12,6.9872541427612305,1714357926.510904,0.10837471049777686,2.371721332951272,2.9091341495513916,12,2.480096043449049
0.7223174759582731,13,7.0905046463012695,1714357926.6141546,0.1944213640643755,1.7579560169440427,3.0124118328094482,13,1.9523773810084182
0.7039072444279434,14,7.150587558746338,1714357926.6742375,0.31971669272738246,1.3249861733019943,3.0723042488098145,14,1.6447028660293768
0.6800089199919147,15,7.204910755157471,1714357926.7285607,0.3186935265588958,0.9277269578476458,3.1266696453094482,15,1.2464204844065416
0.42049194558000136,16,7.286258220672607,1714357926.8099082,0.3137148294897363,0.7081593569415592,3.208193063735962,16,1.0218741864312955
0.3777404036105418,17,7.3903303146362305,1714357926.9139802,0.16205205116235866,0.4246187422739958,3.3122475147247314,17,0.5866707934363544
0.35183261768991353,18,7.453677415847778,1714357926.9773273,0.13239258605490617,0.31036132028180374,3.3753974437713623,18,0.4427539063367099
0.33741910024263344,19,7.519502401351929,1714357927.0431523,0.12121734581243453,0.23710852581171032,3.4414315223693848,19,0.35832587162414486
0.24092613139848312,20,7.667759656906128,1714357927.1914096,0.09196089952774532,0.144901998227931,3.5894381999969482,21,0.23686289775567632
0.22157193636190378,21,7.721830606460571,1714357927.2454805,0.05488156494921603,0.10049844005755088,3.6435930728912354,22,0.1553800050067669
0.20596829796742303,22,7.795217752456665,1714357927.3188677,0.045729977948599995,0.07664907343811818,3.7171742916107178,23,0.12237905138671817
0.14370328507547672,23,7.996772289276123,1714357927.5204222,0.031116106464620697,0.04820938430172933,3.91849422454834,25,0.07932549076635002
0.12426595125496236,24,8.136528491973877,1714357927.6601784,0.020742137571389218,0.033346760808640984,4.058436632156372,27,0.0540888983800302
0.11353518880766654,25,8.21080732345581,1714357927.7344573,0.01766742593812717,0.02671463421701446,4.132560729980469,28,0.04438206015514163
0.09086647649278624,26,8.317996263504028,1714357927.8416462,0.013961835459314023,0.018085525504673666,4.239707708358765,30,0.03204736096398769
0.08169015327004096,27,8.424511194229126,1714357927.9481611,0.010370541111464045,0.012124709201527797,4.346277475357056,32,0.022495250312991842
0.07227600191566784,28,8.537714719772339,1714357928.0613647,0.008728118603672667,0.007981752046514521,4.4595866203308105,34,0.01670987065018719
0.0696255413409136,29,8.725420236587524,1714357928.2490702,0.007962748240411693,0.005411259938398432,4.646930694580078,36,0.013374008178810124
0.06518793901754848,30,8.889713287353516,1714357928.4133632,0.007028439092234111,0.0032149293690356263,4.811211347579956,39,0.010243368461269737
0.0626423752566432,31,9.09242558479309,1714357928.6160755,0.006576137993490163,0.0022759645282944257,5.0141987800598145,41,0.008852102521784588
0.05986695679669378,32,9.27939510345459,1714357928.803045,0.006010914260649133,0.0016652747881972878,5.201283931732178,44,0.007676189048846422
0.05550126090965921,33,9.469494104385376,1714357928.993144,0.005337872567609109,0.0012308616677386326,5.391109466552734,47,0.006568734235347741
0.05403810319560378,34,9.628435134887695,1714357929.152085,0.004919367383500572,0.0011720111596703984,5.550163507461548,50,0.00609137854317097
0.05269226161849161,35,9.816299676895142,1714357929.3399496,0.004628058095387362,0.0009802359656266451,5.738035678863525,53,0.005608294061014007
0.049862601966276274,36,10.027400016784668,1714357929.55105,0.00418048183794777,0.0008532331793679637,5.949109792709351,57,0.005033715017315733
0.04544605604359803,37,10.19935131072998,1714357929.7230012,0.003925808114530379,0.0006661985666940535,6.12123441696167,60,0.004592006681224433
0.043804064291448196,38,10.521239519119263,1714357930.0448895,0.0034020280986523915,0.0005615963700837682,6.442830562591553,64,0.00396362446873616
0.041447959694978206,39,10.734638452529907,1714357930.2582884,0.002980754514187563,0.0005128070862908255,6.656311273574829,68,0.0034935616004783884
0.0393331656102277,40,11.02278208732605,1714357930.546432,0.0027509649503700594,0.00037235596600143997,6.943766355514526,73,0.0031233209163714993
0.03740423584621952,41,11.24586534500122,1714357930.7695153,0.0025361841557732735,0.0003204647546963726,7.166870832443237,77,0.002856648910469646
