loss,time,loss_boundary,_timestamp,l2_error,_runtime,loss_interior,step,_step
48.92347435353573,1.0927438735961914,0.012797832097621838,1729104527.2314558,0.35881737511519185,2.3682637214660645,48.91067652143811,0,0
48.55292744890687,1.4357974529266357,0.026498677564095355,1729104527.2600615,0.31589373304570156,2.396869421005249,48.52642877134278,1,1
48.025480674447046,1.4687044620513916,0.05530677248438044,1729104527.2929401,0.3124852587275112,2.429748058319092,47.97017390196267,2,2
47.28977212590841,1.5037810802459717,0.11376392919050676,1729104527.3280315,0.4099226875081311,2.464839458465576,47.1760081967179,3,3
46.287309138389546,1.5377311706542969,0.22895179730493176,1729104527.3619561,0.6230570622137975,2.4987640380859375,46.058357341084616,4,4
44.95099820537158,1.5714659690856934,0.4396240097192681,1729104527.3956995,0.9269900080933701,2.5325074195861816,44.511374195652316,5,5
43.17713656056371,1.6153733730316162,0.7917934541391124,1729104527.4397225,1.2870324075536603,2.5765304565429688,42.3853431064246,6,6
40.73688523954961,1.6578779220581055,1.3084828318057813,1729104527.4820952,1.6260789623203693,2.618903160095215,39.428402407743825,7,7
37.098403610614795,1.700669527053833,1.8860478341561482,1729104527.5249004,1.8949931055555544,2.661708354949951,35.21235577645865,8,8
31.2203786459588,1.7553856372833252,2.3767454864355186,1729104527.5796676,1.918879816805576,2.716475486755371,28.843633159523282,9,9
22.573872307116265,1.8105556964874268,2.321951798834806,1729104527.6361399,1.4269979784952587,2.7729477882385254,20.251920508281458,10,10
13.746223367708602,1.882786750793457,1.3329521569597527,1729104527.707024,0.7469617685670746,2.843832015991211,12.41327121074885,11,11
8.332259785042638,1.961029291152954,0.49133312239036325,1729104527.7852814,0.45018122680571393,2.9220893383026123,7.840926662652274,12,12
5.346514764754742,2.0524582862854004,0.2134036759929889,1729104527.8767,0.30143431318876673,3.013507843017578,5.133111088761753,13,13
3.088577555867944,2.1700258255004883,0.06882541625335696,1729104527.9943368,0.1885473813600781,3.1311447620391846,3.019752139614587,14,14
1.6528049895562051,2.297997236251831,0.022011772310747045,1729104528.1223109,0.17718982075414416,3.2591187953948975,1.630793217245458,15,15
0.76294867765127,2.4290528297424316,0.02984409444956687,1729104528.253364,0.16012948815510922,3.390172004699707,0.733104583201703,16,16
0.5190976190992994,2.5597052574157715,0.030632424651966566,1729104528.383987,0.14065531354672173,3.5207948684692383,0.48846519444733283,17,17
0.46063178268490196,2.7183327674865723,0.02531678165222117,1729104528.542555,0.1276322628549322,3.6793630123138428,0.4353150010326808,18,18
0.4177188408733021,2.881274938583374,0.021648632420524516,1729104528.7055237,0.12022575426217036,3.842331647872925,0.3960702084527776,19,19
0.37598940827556054,3.0503387451171875,0.019627583957445793,1729104528.87457,0.1153562311343299,4.011377811431885,0.35636182431811475,20,20
0.33163255741077013,3.254269599914551,0.018126555270746258,1729104529.0785954,0.11309805047326238,4.215403318405151,0.3135060021400239,21,21
0.2795176921981429,3.4517102241516113,0.01697126676455783,1729104529.2759836,0.12077080243172858,4.41279149055481,0.26254642543358503,22,22
0.2309072897930569,3.666771173477173,0.018235608875956003,1729104529.4911413,0.1329090802094023,4.627949237823486,0.21267168091710092,23,23
0.17125046494818902,3.9070043563842773,0.023743132758634,1729104529.731265,0.11925536664482808,4.868072986602783,0.14750733218955503,24,24
0.12196843710881439,4.153194904327393,0.019549954481028253,1729104529.9774716,0.10452786437611686,5.114279508590698,0.10241848262778613,25,25
0.06789169291662023,4.429994821548462,0.014542661441508611,1729104530.2542171,0.09126173717089725,5.391025066375732,0.05334903147511162,26,26
0.060706695862730316,4.646750450134277,0.010097613748275646,1729104530.4710162,0.08969640617046064,5.607824087142944,0.05060908211445467,27,27
0.05718793186588516,4.9095988273620605,0.008411934897791483,1729104530.7338762,0.061988065575965125,5.8706841468811035,0.04877599696809368,28,28
0.04798238480789805,5.182941913604736,0.004243012357919413,1729104531.0072186,0.04485737980733641,6.144026517868042,0.043739372449978636,29,29
0.022770940478155737,5.3884172439575195,0.00242946119692778,1729104531.2138045,0.03269129219015667,6.35061240196228,0.020341479281227957,30,30
0.013574277731931015,5.5271570682525635,0.0016205639282886736,1729104531.3549469,0.02512220626133948,6.491754770278931,0.011953713803642341,31,31
0.012541227481027975,5.7628889083862305,0.0010010572751316252,1729104531.5871708,0.015505018739327345,6.723978757858276,0.01154017020589635,32,32
0.00596354122565065,6.032684803009033,0.0003376362369730361,1729104531.8569734,0.010589168337273318,6.993781328201294,0.005625904988677614,33,33
0.002687968264098086,6.301459789276123,0.00013906705843410235,1729104532.1257045,0.009918193219962172,7.262512445449829,0.002548901205663984,34,34
0.0008855551047630523,6.601545095443726,7.006598626882198e-05,1729104532.4258013,0.00853519642233988,7.5626091957092285,0.0008154891184942303,35,35
0.00044023542804257396,6.95964241027832,4.3602591244483555e-05,1729104532.7839053,0.0064954488629032974,7.920713186264038,0.0003966328367980904,36,36
0.0002318891155575453,7.352949857711792,2.5300402829760276e-05,1729104533.1771994,0.00470522383038087,8.31400728225708,0.00020658871272778503,37,37
0.00013155106916073008,7.769877672195435,1.3423192777994136e-05,1729104533.5943084,0.003779751209725801,8.73111629486084,0.00011812787638273596,38,38
8.222250645813621e-05,8.244333744049072,8.18886943377346e-06,1729104534.0686045,0.003382892591806295,9.2054123878479,7.403363702436274e-05,39,39
6.640496005635228e-05,8.589463949203491,7.912159936655873e-06,1729104534.4137313,0.0026964449317951117,9.550539255142212,5.849280011969641e-05,40,40
